MaxIW,Iteration,WReturnMean,EmpiricalD2Harmonic,Weights,EmpiricalD2Arithmetic,OptimizationReturnMean,TimeElapsed,InitialBound,LearnableVariance,OptimizationReturnMax,EpThisIter,EpLenMean,ESSRenyiHarmonic,MinIW,MinBehavPdf,DivergenceHarmonic,InitialReturnMean,InitialReturnMax,ESSRenyiArithmetic,OptimizationReturnMin,MeanD2-0,StdIW,StdWReturnMean,VarianceInitializer,MeanIW,MinTargetPdf,InitialReturnMin,ReturnMeanIW,Penalization,EpisodesSoFar,EpRewMean,MeanEntropy,Bound,ReturnStepMax,TimestepsSoFar,InitialReturnStd,Epsilon,Inner Iteration,ReturnStepMaxmin
369.24237,1,5439.8955,1.0,[ 0. -0.  0.  0.],1.0,44.53387,2.4622902870178223,-8380.004,,109.98837,11,7.454545454545454,11.0,0.55608404,-8.072796,66146240000000.0,64.505615,129.96011,11.0,,1.0,112.49795,,-1.0,56.12396,-8.072796,19.971745,208223.3,True,11,64.50561230091517,0.41894197,-23912202000.0,9.999984,82,35.762016,1.0,1,9.999984
3767.0334,2,8204.066,1.0,[-0.03  -0.286 -0.034 -0.407],1.0,73.57607,5.358524322509766,-12116.115,,139.92711,11,9.363636363636363,11.0,0.046398066,-6.3995776,1.7857057e+19,83.55894,149.90997,11.0,,1.0,1065.9661,,-1.0,431.17038,-6.3995776,9.982861,2418229.0,True,22,83.55893609162291,0.41894197,-16531379000000.0,9.999649,185,34.9567,1.0,1,9.999649
14223.851,3,19606.973,1.0,[-0.133 -0.876 -0.177 -1.195],1.0,120.83179,5.887141942977905,-29627.11,,239.91931,11,13.090909090909092,11.0,0.015808051,-16.467896,2.148627e+20,120.83179,239.91931,11.0,,1.0,4079.0532,,-1.0,1326.6993,-16.467896,,74986610.0,True,33,120.83178414347312,0.41894197,-146877130000000.0,9.999946,329,70.757706,1.0,1,9.999946
180.45195,4,5890.659,1.0,[-0.292 -1.368  0.155 -0.407],1.0,49.971237,6.396048545837402,-7994.9673,,89.980484,11,8.0,11.0,0.34199393,-6.2539043,3036583200.0,69.93767,109.946915,11.0,,1.0,51.047474,,-1.0,21.246534,-6.2539043,19.966427,152198.62,True,44,69.93766164537602,0.41894197,-116110460.0,9.999428,417,31.61301,1.0,1,9.999428
14313.607,5,16250.898,1.0,[-0.402 -0.541 -0.066  0.099],1.0,94.50815,7.041761159896851,-28013.523,,249.95972,11,11.454545454545455,11.0,0.853805,-9.550252,5.7708376e+28,104.49283,259.9444,11.0,,1.0,4152.026,,-1.0,1694.3785,-9.550252,9.984687,13146247.0,True,55,104.49282808081722,0.41894197,-2.8256825e+18,9.999974,543,73.021545,1.0,1,9.999974
10787.007,6,22985.367,1.0,[-0.417 -0.907 -0.224 -0.818],1.0,57.2963,7.69310998916626,-34745.6,,180.027,11,14.727272727272727,11.0,1.8918806,-9.867756,1.9732826e+22,137.18727,259.91797,11.0,,1.0,3850.3953,,-1.0,2256.2446,-9.867756,79.890976,78908920.0,True,66,137.18727687214897,0.41894197,-1652001200000000.0,9.999971,705,64.53695,1.0,1,9.999971
99289.06,7,31704.738,1.0,[-0.359 -1.012 -0.365 -1.801],1.0,114.498566,8.350381135940552,-50648.004,,299.9328,11,15.454545454545455,11.0,1.967403,-16.182873,3.0247338e+36,144.4456,329.87982,11.0,,1.0,28517.086,,-1.0,9111.283,-16.182873,29.947031,985924700.0,True,77,144.44559306316714,0.41894197,-3.2945653e+22,9.999932,875,104.116325,1.0,1,9.999932
15046.552,8,164700.67,1.0,[-0.078 -0.269 -0.657 -2.334],1.0,272.62497,9.390404224395752,-352929.38,,999.923,11,32.27272727272727,11.0,0.3235163,-39.779366,4.6050473e+28,312.55313,1039.8512,11.0,,1.0,4304.39,,-1.0,1439.7467,-39.779366,39.928192,1487695000.0,True,88,312.5531311280983,0.41894197,-4.039266e+19,10.0,1230,258.8652,1.0,1,10.0
21610.16,9,159388.98,1.0,[ 0.086 -0.098 -0.685 -2.408],1.0,254.43288,10.610557556152344,-221991.94,,489.86127,11,37.45454545454545,11.0,0.19323938,-25.588898,6.4574077e+16,364.26004,599.6884,11.0,,1.0,6166.331,,-1.0,2159.2834,-25.588898,109.82713,381754660.0,True,99,364.2600259405724,0.41894197,-15908670000000.0,9.999981,1642,163.41241,1.0,1,9.999981
1150610.1,10,140436.47,1.0,[-0.013 -0.174 -0.682 -2.406],1.0,230.82735,11.663362979888916,-230617.9,,639.89233,11,32.09090909090909,11.0,1.4477028,-25.86877,1.0764515e+37,310.69345,719.7584,11.0,,1.0,330030.94,,-1.0,107281.67,-25.86877,79.86612,55398437000.0,True,110,310.6934438481579,0.41894197,-2.9587875e+23,9.999978,1995,209.53773,1.0,1,9.999978
