Bound,Epsilon,WReturnMean,OptimizationReturnMin,EpLenMean,EmpiricalD2Arithmetic,InitialReturnMax,EpisodesSoFar,EmpiricalD2Harmonic,MeanIW,StdWReturnMean,MeanEntropy,Penalization,Inner Iteration,MeanD2-0,TimeElapsed,OptimizationReturnMax,Weights,MinIW,TimestepsSoFar,VarianceInitializer,InitialReturnMean,StdIW,MinTargetPdf,ESSRenyiHarmonic,MinBehavPdf,DivergenceHarmonic,OptimizationReturnMean,InitialBound,ReturnStepMaxmin,Iteration,EpRewMean,InitialReturnStd,LearnableVariance,EpThisIter,InitialReturnMin,ReturnMeanIW,ESSRenyiArithmetic,MaxIW,ReturnStepMax
-147038740.0,1.0,7073.416,,7.636363636363637,1.0,189.88666,11,1.0,20.097076,,0.41894197,True,1,1.0,1.6153631210327148,179.90591,[0. 0. 0. 0.],0.5775535,84,-1.0,66.316925,25.27901,-7.270849,11.0,-7.270849,547712600.0,56.33618,-13350.127,9.9999895,1,66.31692809494263,51.72505,,11,9.980748,143315.95,11.0,64.24308,9.9999895
-17209051000.0,1.0,9707.261,,8.363636363636363,1.0,239.91727,22,1.0,4.1923733,,0.41894197,True,1,1.0,4.35675835609436,229.93524,[-0.131 -0.092 -0.231 -0.414],0.8741238,176,-1.0,73.58205,6.366831,-13.407587,11.0,-13.407587,2949702200000.0,63.60002,-19727.227,9.999866,2,73.58204426667551,65.52055,,11,9.982024,71136.516,11.0,23.826408,9.999866
-25284.979,1.0,7172.247,,8.818181818181818,1.0,139.92816,33,1.0,1.3693041,,0.41894197,True,1,1.0,4.503326892852783,109.96501,[-0.77  -0.375 -0.459  0.265],0.4551816,273,-1.0,78.12686,1.1193268,-9.604678,11.0,-9.604678,30.273851,48.163708,-10580.67,9.999969,3,78.12685684925931,32.687016,,11,29.963146,6531.272,11.0,4.3216133,9.999969
-1.5690618e+17,1.0,5856.667,,8.0,1.0,129.91525,44,1.0,226297.7,,0.41894197,True,1,1.0,4.641997337341309,109.93951,[-1.465 -0.505 -1.134  0.475],0.16494596,361,-1.0,69.95632,709779.2,-9.112443,11.0,-9.112443,2.8520266e+27,49.980576,-8794.746,9.999866,4,69.9563221091647,31.028696,,11,19.975744,813780860.0,11.0,2470755.8,9.999866
-2.2490359e+21,1.0,20056.42,,13.0,1.0,289.8988,55,1.0,79661.625,,0.41894197,True,1,1.0,4.7915825843811035,249.95682,[-1.479 -0.747 -1.186  0.041],1.1544684,504,-1.0,119.93568,183450.98,-12.162804,11.0,-12.162804,2.3633125e+34,79.9937,-34686.145,9.999956,5,119.93568245955917,75.31171,,11,39.941982,939890370.0,11.0,637667.9,9.999956
-1.1375794e+20,1.0,30602.707,,17.181818181818183,1.0,299.87918,66,1.0,8902.546,,0.41894197,True,1,1.0,4.9393391609191895,200.01486,[-1.482 -0.819 -1.396 -0.934],3.394887,693,-1.0,161.7098,27426.22,-17.603699,11.0,-17.603699,5.280707e+31,61.845493,-46257.094,9.999962,6,161.70980175158203,66.72816,,11,99.86431,90250840.0,11.0,95626.97,9.999962
-1.6444186e+16,1.0,61055.223,,24.818181818181817,1.0,349.86847,77,1.0,168.79904,,0.41894197,True,1,1.0,5.097148180007935,229.94154,[-1.421  0.065 -1.601 -0.519],5.94083,966,-1.0,238.07294,269.91608,-22.604372,11.0,-22.604372,5.9555173e+23,118.14602,-82363.74,9.999982,7,238.0729390983527,66.155106,,11,119.926926,8828957.0,11.0,908.9743,9.999982
-3.4737799e+16,1.0,185062.22,,39.72727272727273,1.0,819.7085,88,1.0,14857.837,,0.41894197,True,1,1.0,5.317914962768555,629.7878,[-1.28   0.53  -1.701 -0.581],0.26544,1403,-1.0,387.10147,46950.465,-22.224083,11.0,-22.224083,8.820242e+22,197.18076,-302029.06,9.999999,8,387.1014503326083,187.65575,,11,189.9207,9977847000.0,11.0,163328.23,9.999999
-8.0918066e+21,1.0,116614.14,,33.18181818181818,1.0,559.8575,99,1.0,204558.64,,0.41894197,True,1,1.0,5.517533302307129,369.90475,[-1.348  0.317 -1.739 -0.685],0.03181581,1768,-1.0,321.6724,324878.84,-33.911957,11.0,-33.911957,2.199353e+34,131.71968,-171177.22,9.9999895,9,321.67241079126313,114.6342,,11,189.95273,49704180000.0,11.0,930499.5,9.9999895
-337109550000.0,1.0,120392.125,,32.72727272727273,1.0,569.9141,110,1.0,29.903358,,0.41894197,True,1,1.0,5.719106912612915,400.0222,[-1.531 -0.105 -1.712 -0.88 ],0.015329406,2128,-1.0,317.15775,40.728966,-26.16049,11.0,-26.16049,35546980000000.0,147.26582,-176933.02,9.999999,10,317.1577675315749,140.72337,,11,169.89194,6105067.0,11.0,137.60417,9.999999
