ReturnStepMaxmin,InitialBound,Penalization,MeanD2-0,StdWReturnMean,EpRewMean,WReturnMean,MaxIW,Iteration,LearnableVariance,OptimizationReturnMin,Epsilon,Inner Iteration,ESSRenyiArithmetic,EmpiricalD2Harmonic,TimestepsSoFar,ESSRenyiHarmonic,MinTargetPdf,ReturnStepMax,TimeElapsed,MeanEntropy,MeanIW,EpLenMean,EpisodesSoFar,EmpiricalD2Arithmetic,Bound,Weights,OptimizationReturnMean,VarianceInitializer,OptimizationReturnMax,DivergenceHarmonic,InitialReturnMean,MinIW,MinBehavPdf,EpThisIter,InitialReturnMax,StdIW,ReturnMeanIW,InitialReturnMin,InitialReturnStd
9.999988,-38278.023,True,1.0,,73.59617383588369,14455.83,24.113312,1,,,1.0,1,11.0,1.0,92,11.0,-11.2939,9.999988,3.441173553466797,0.41894197,5.737224,8.363636363636363,11,1.0,-7569245700.0,[ 0.  0.  0. -0.],53.63075,-1.0,349.96432,100957410000.0,73.59618,0.7365194,-11.2939,11,369.92975,7.8214793,33599.156,19.965431,95.075935
9.999992,-38286.008,True,1.0,,139.02054670957435,24644.027,7.0522337,2,,,1.0,1,11.0,1.0,256,11.0,-13.657322,9.999992,7.142658233642578,0.41894197,2.624776,14.909090909090908,22,1.0,-670703000000.0,[-0.269 -0.391 -0.078 -0.138],79.09055,-1.0,220.01132,2417165700000000.0,139.02055,0.14476109,-13.657322,11,279.9413,2.4952185,79231.87,59.929993,72.919914
9.999989,-20595.734,True,1.0,,86.31424488462021,10579.862,3.611291,3,,,1.0,1,11.0,1.0,362,11.0,-12.175253,9.999989,7.659704208374023,0.41894197,1.3505459,9.636363636363637,33,1.0,-824205100.0,[-0.242  0.083 -0.178 -0.015],46.34508,-1.0,199.89906,6771218400.0,86.31424,0.37781143,-12.175253,11,239.86823,0.84119225,25524.662,39.969162,55.943844
9.999998,-9109.801,True,1.0,,65.40599478110867,5701.787,5050971.0,4,,,1.0,1,11.0,1.0,445,11.0,-13.949842,9.999998,8.19244647026062,0.41894197,459211.4,7.545454545454546,44,1.0,-2.1512795e+20,[-0.132  0.304 -0.202 -0.046],35.440918,-1.0,109.9547,3.9846607e+33,65.406,0.045824025,-13.949842,11,139.91977,1452041.9,2246946300.0,29.965076,37.73385
9.999922,-51619.086,True,1.0,,112.66747422579925,25161.93,491.14676,5,,,1.0,1,11.0,1.0,580,11.0,-13.962381,9.999922,8.721231460571289,0.41894197,47.80856,12.272727272727273,55,1.0,-5.7747626e+16,[-0.207 -0.047 -0.234 -0.393],102.68403,-1.0,379.86865,4.7641195e+24,112.66748,1.1646644,-13.962381,11,389.8521,140.22612,6825474.5,9.983454,111.66006
9.999962,-18173.787,True,1.0,,89.94886878568649,10506.17,14120.915,6,,,1.0,1,11.0,1.0,690,11.0,-9.04427,9.999962,9.204906702041626,0.41894197,1293.1382,10.0,66,1.0,-1.0696323e+21,[-1.033  0.323 -0.6   -0.176],59.972668,-1.0,179.89777,1.946026e+34,89.94886,0.13442971,-9.04427,11,209.87396,4056.516,56642920.0,29.976204,49.14643
9.999976,-5861.1855,True,1.0,,59.96526466888472,4122.708,287.62192,7,,,1.0,1,11.0,1.0,767,11.0,-8.932795,9.999976,9.585123300552368,0.41894197,60.769325,7.0,77,1.0,-3280573800000.0,[-0.854  0.788 -0.644 -0.173],29.99767,-1.0,69.96634,3.5609157e+18,59.965267,0.93897647,-8.932795,11,99.93393,81.01361,387363.25,29.967594,22.953756
9.999981,-16746.953,True,1.0,,97.20917022045647,11721.536,131.56342,8,,,1.0,1,11.0,1.0,885,11.0,-10.535344,9.999981,10.194934606552124,0.41894197,28.791388,10.727272727272727,88,1.0,-5329745400.0,[-0.596  0.702 -0.628 -0.592],67.25671,-1.0,139.95578,1124656300000.0,97.209175,0.40779847,-10.535344,11,169.90825,42.97662,302099.34,29.952473,47.664597
10.0,-143788.3,True,1.0,,269.87105794575183,96773.305,52.734356,9,,,1.0,1,11.0,1.0,1193,11.0,-25.697681,10.0,11.52343225479126,0.41894197,9.575825,28.0,99,1.0,-3.8365684e+16,[-0.621  0.526 -0.647 -0.767],249.89551,-1.0,499.71683,6.6590815e+23,269.87106,0.36429325,-25.697681,11,519.6924,14.498007,1213539.4,19.97556,154.73499
9.999986,-125348.25,True,1.0,,265.31749454753634,90130.41,61975.617,10,,,1.0,1,11.0,1.0,1496,11.0,-21.393976,9.999986,12.666576385498047,0.41894197,8762.06,27.545454545454547,110,1.0,-5.6728203e+20,[-0.841  0.425 -0.682 -0.818],215.39091,-1.0,399.86316,2.5946198e+32,265.3175,0.113321275,-21.393976,11,449.78973,17647.088,1178723200.0,49.92658,140.48856
