ESSRenyiArithmetic,MeanIW,EpThisIter,ReturnStepMax,InitialReturnMin,OptimizationReturnMax,EpRewMean,Penalization,OptimizationReturnMean,EmpiricalD2Harmonic,OptimizationReturnMin,ESSRenyiHarmonic,Inner Iteration,ReturnMeanIW,InitialReturnMax,MinBehavPdf,Weights,DivergenceHarmonic,EpisodesSoFar,TimestepsSoFar,VarianceInitializer,LearnableVariance,Epsilon,EpLenMean,TimeElapsed,InitialReturnMean,Iteration,MeanEntropy,MinTargetPdf,InitialReturnStd,InitialBound,MaxIW,EmpiricalD2Arithmetic,MeanD2-0,StdWReturnMean,StdIW,ReturnStepMaxmin,WReturnMean,MinIW,Bound
11.0,952.07416,11,9.999937,9.980229,319.91803,97.22230700089337,True,87.24207,1.0,,11.0,1,6070630.0,329.89825,-15.862925,[-0. -0.  0. -0.],38201536000000.0,11,118,-1.0,,1.0,10.727272727272727,3.8083717823028564,97.22231,1,0.41894197,-15.862925,95.425316,-37503.547,10419.043,1.0,1.0,,2993.7393,9.999937,18558.168,0.13318235,-117102445000.0
11.0,985.42847,11,9.999886,39.94698,209.95692,105.36631029120208,True,65.419334,1.0,,11.0,1,56135264.0,249.9039,-10.099842,[-0.042 -0.235 -0.079 -0.432],1.4199373e+29,22,245,-1.0,,1.0,11.545454545454545,7.705538511276245,105.36631,2,0.41894197,-10.099842,58.19599,-25360.332,9727.207,1.0,1.0,,2771.8286,9.999886,14488.834,0.2018054,-4.0966014e+18
11.0,195.95395,11,9.999995,39.94649,389.96,163.51928722050323,True,123.5728,1.0,,11.0,1,3245599.0,429.9065,-10.93892,[-0.129 -0.374 -0.365 -1.376],4.536685e+25,33,436,-1.0,,1.0,17.363636363636363,8.347673416137695,163.51929,3,0.41894197,-10.93892,99.56718,-68825.164,1104.5492,1.0,1.0,,387.54163,9.999995,36652.18,0.35582945,-2.167007e+17
11.0,156.88301,11,9.999939,29.962366,129.90451,112.62655824491513,True,82.66419,1.0,,11.0,1,1513046.2,159.86688,-7.0652704,[-0.33   0.007 -0.313 -0.476],1304070400.0,44,571,-1.0,,1.0,12.272727272727273,8.896992921829224,112.626564,4,0.41894197,-7.0652704,35.913143,-18423.475,1086.265,1.0,1.0,,323.61313,9.999939,13974.496,0.14225796,-162174060.0
11.0,289.57834,11,9.999997,79.91519,289.98123,162.6262051853543,True,82.71101,1.0,,11.0,1,8659986.0,369.89642,-11.901413,[-0.418 -0.397 -0.304 -0.756],1.5876834e+21,55,761,-1.0,,1.0,17.272727272727273,9.66480541229248,162.6262,5,0.41894197,-11.901413,86.98002,-57830.72,1425.9482,1.0,1.0,,402.14325,9.999997,34012.81,14.269875,-949041540000000.0
11.0,5.493043,11,9.999998,79.96587,759.78973,496.1639756135069,True,416.19812,1.0,,11.0,1,1669975.4,839.7556,-35.678177,[-0.534  0.443 -0.791 -0.965],18306260000000.0,66,1318,-1.0,,1.0,50.63636363636363,11.692624807357788,496.16397,6,0.41894197,-35.678177,189.06352,-404681.75,17.528242,1.0,1.0,,6.469381,9.999998,281923.7,0.48630807,-525230640000.0
11.0,2780.1848,11,9.999999,19.966827,1089.6132,557.0509604098072,True,537.08417,1.0,,11.0,1,462223740.0,1109.58,-56.466267,[-0.483  0.545 -0.814 -1.01 ],2.3805871e+23,77,1942,-1.0,,1.0,56.72727272727273,14.122004985809326,557.05096,7,0.41894197,-56.466267,299.4672,-614305.75,27622.215,1.0,1.0,,7868.5254,9.999999,399986.38,0.5705027,-1.0456883e+17
11.0,481.81873,11,9.999998,319.66882,569.80786,540.6495490947244,True,220.98073,1.0,,11.0,1,52602530.0,889.4767,-53.301163,[-0.611  0.428 -0.85  -1.186],52175010000000.0,88,2548,-1.0,,1.0,55.09090909090909,16.592894792556763,540.6496,8,0.41894197,-53.301163,173.91992,-460275.28,5061.591,1.0,1.0,,1448.423,9.999998,322550.1,1.476135,-994870170000.0
11.0,4.869742,11,9.999999,379.73956,809.97723,581.5974324592624,True,201.85786,1.0,,11.0,1,2010252.9,1189.7168,-36.482117,[-0.518  0.511 -0.851 -1.194],548128630000000.0,99,3199,-1.0,,1.0,59.18181818181818,19.369993686676025,581.5974,9,0.41894197,-36.482117,237.51357,-641063.1,15.198535,1.0,1.0,,4.5792613,9.999999,394668.25,0.056947287,-5768615600000.0
11.0,51.693165,11,9.999999,379.70398,579.99896,633.3997235688862,True,253.69576,1.0,,11.0,1,23969340.0,959.70294,-47.72666,[-0.622  0.445 -0.843 -1.178],106928130000000.0,110,3907,-1.0,,1.0,64.36363636363636,21.812378883361816,633.39966,10,0.41894197,-47.72666,190.50804,-597819.9,184.11015,1.0,1.0,,61.69502,9.999999,437488.56,0.088243924,-1657940500000.0
