ReturnMeanIW,MeanD2-0,ReturnStepMax,EpLenMean,Iteration,MinBehavPdf,StdWReturnMean,Epsilon,MinTargetPdf,Bound,MeanIW,MaxIW,InitialBound,ESSRenyiHarmonic,InitialReturnStd,ReturnStepMaxmin,EpisodesSoFar,TimeElapsed,EpThisIter,Penalization,Weights,OptimizationReturnMax,VarianceInitializer,EmpiricalD2Arithmetic,StdIW,LearnableVariance,MinIW,OptimizationReturnMean,InitialReturnMax,DivergenceHarmonic,EpRewMean,TimestepsSoFar,WReturnMean,Inner Iteration,MeanEntropy,EmpiricalD2Harmonic,ESSRenyiArithmetic,InitialReturnMin,OptimizationReturnMin,InitialReturnMean
1164916.0,1.0,9.999999,9.636363636363637,1,-6.946561,,1.0,-6.946561,-6674019000000.0,49.728043,460.58295,-16991.225,11.0,57.086235,9.999999,11,1.6575562953948975,11,True,[ 0.  0.  0. -0.],179.96225,-1.0,1.0,130.13986,,1.2265166,76.341034,189.9451,1.12921404e+18,86.323868182568,106,10710.648,1,0.41894197,1.0,11.0,9.982842,,86.32386
79722810.0,1.0,9.999951,6.818181818181818,2,-7.3968334,,1.0,-7.3968334,-703460300000000.0,31829.758,345112.9,-12057.016,11.0,48.94364,9.999951,22,4.183508396148682,11,True,[ 0.109  0.384 -0.02   0.301],179.94534,-1.0,1.0,99077.03,,1.0635037,48.1699,189.93005,1.2549263e+22,58.15460468406586,181,5777.438,1,0.41894197,1.0,11.0,9.984706,,58.154606
60604044.0,1.0,9.999952,8.545454545454545,3,-5.570251,,1.0,-5.570251,-5467264700000000.0,6778.3096,62053.09,-11639.48,11.0,38.693947,9.999952,33,4.361939191818237,11,True,[ 0.12   0.341 -0.133 -0.184],139.97986,-1.0,1.0,17766.854,,0.9835491,55.432384,159.96507,1.5064459e+24,75.41759712418809,275,7185.0356,1,0.41894197,1.0,11.0,19.985212,,75.4176
135695000.0,1.0,9.999971,17.181818181818183,4,-22.697628,,1.0,-22.697628,-2.3910427e+20,451.03885,4936.226,-99037.516,11.0,142.34169,9.999971,44,4.6397411823272705,11,True,[ 0.06   0.084 -0.185 -0.606],499.86316,-1.0,1.0,1418.3417,,0.093480825,111.75251,549.8246,2.0643915e+31,161.71393775610034,464,46412.555,1,0.41894197,1.0,11.0,49.961433,,161.71394
4443997.0,1.0,9.999998,30.363636363636363,5,-27.831081,,1.0,-27.831081,-52611050000.0,45.125412,166.79094,-202133.31,11.0,188.4694,9.999998,55,4.921072244644165,11,True,[ 0.292  0.165 -0.287 -1.029],659.95416,-1.0,1.0,55.344143,,0.3642988,273.5246,679.9215,427326080000.0,293.4919620264948,798,121658.25,1,0.41894197,1.0,11.0,19.967373,,293.49197
3119184.2,1.0,9.999968,31.545454545454547,6,-20.42611,,1.0,-20.42611,-2663732000.0,24.032537,191.7432,-149244.78,11.0,132.78992,9.999968,66,5.315571069717407,11,True,[ 0.192  0.119 -0.355 -1.243],439.89865,-1.0,1.0,53.712757,,0.35518646,275.3066,469.84988,4793368600.0,305.25784590582253,1145,110815.52,1,0.41894197,1.0,11.0,29.951233,,305.25784
128038300.0,1.0,9.999983,33.27272727272727,7,-23.727612,,1.0,-23.727612,-69964736000000.0,795.9246,6733.4062,-215617.45,11.0,189.30437,9.999983,77,5.684112310409546,11,True,[ 0.208  0.002 -0.341 -1.281],579.84717,-1.0,1.0,1906.8434,,0.43107978,242.61346,659.7427,8.526532e+17,322.5089958466506,1511,139848.2,1,0.41894197,1.0,11.0,79.89552,,322.509
265597.8,1.0,9.99997,26.272727272727273,8,-31.905453,,1.0,-31.905453,-56990957000000.0,2.005114,4.082851,-284099.12,11.0,276.10138,9.99997,88,5.941728591918945,11,True,[ 0.12  -0.086 -0.344 -1.274],869.82996,-1.0,1.0,1.0648614,,0.02874165,212.62904,909.7638,1.5646282e+17,252.56286674746943,1800,140019.98,1,0.41894197,1.0,11.0,39.933823,,252.56285
1511113100.0,1.0,9.999997,67.0,9,-46.868355,,1.0,-46.868355,-3.5191775e+18,4769.0933,38421.105,-1079511.8,11.0,433.13522,9.999997,99,6.316881895065308,11,True,[-0.037  0.101 -0.389 -1.299],1609.6537,-1.0,1.0,10834.325,,0.8374938,649.7629,1619.634,5.9392096e+25,659.7431787218537,2537,622867.2,1,0.41894197,1.0,11.0,9.98029,,659.74316
420772060.0,1.0,10.0,77.45454545454545,10,-70.397514,,1.0,-70.397514,-4801012700000000.0,237.27397,1735.9806,-1225371.5,11.0,454.78308,10.0,110,7.037231206893921,11,True,[ 0.013  0.213 -0.414 -1.308],1559.7886,-1.0,1.0,501.78247,,1.049111,744.30444,1579.7546,1.2212962e+20,764.2705071193254,3389,790937.1,1,0.41894197,1.0,11.0,19.966103,,764.2705
