EpRewMean,Inner Iteration,WReturnMean,MeanD2-0,ReturnStepMaxmin,StdWReturnMean,EpisodesSoFar,MeanIW,Bound,OptimizationReturnMean,MaxIW,StdIW,EpLenMean,DivergenceHarmonic,MeanEntropy,InitialReturnMin,Iteration,InitialReturnMax,ReturnStepMax,InitialReturnStd,EmpiricalD2Arithmetic,TimeElapsed,Epsilon,Penalization,ReturnMeanIW,EmpiricalD2Harmonic,MinTargetPdf,OptimizationReturnMin,InitialReturnMean,MinBehavPdf,Weights,ESSRenyiHarmonic,InitialBound,MinIW,TimestepsSoFar,LearnableVariance,ESSRenyiArithmetic,VarianceInitializer,EpThisIter,OptimizationReturnMax
43.60324276674703,1,2269.5776,1.0,9.9999695,,165,2058.3503,-1515327300000.0,33.616837,22521.17,6470.9463,5.363636363636363,1.853563e+18,0.41894197,9.986407,15,79.96126,9.9999695,19.19205,1.0,13.137101650238037,1.0,True,1879661.2,1.0,-7.175708,,43.603245,-7.175708,[-0.834 -1.327  0.252  1.46 ],11.0,-3382.5962,0.01819388,1650,,11.0,-1.0,11,69.97485
48.14979737952287,1,3496.049,1.0,9.999982,,176,18.084492,-2107828600.0,38.16526,166.38408,47.07939,5.818181818181818,382296520000.0,0.41894197,9.984536,16,139.93909,9.999982,34.316853,1.0,13.538228034973145,1.0,True,68051.67,1.0,-6.733647,,48.14979,-6.733647,[-0.881 -1.62   0.209  1.06 ],11.0,-6905.004,0.36724252,1714,,11.0,-1.0,11,129.95454
45.42026647402713,1,2705.6057,1.0,9.999891,,187,264.70764,-217856210.0,25.455437,1639.8186,559.25055,5.545454545454546,10651180000.0,0.41894197,19.96483,17,109.95249,9.999891,25.349655,1.0,13.964155197143555,1.0,True,660076.1,1.0,-7.6684732,,45.42027,-7.6684732,[-1.231 -0.917 -0.393  1.207],11.0,-4810.127,0.06462901,1775,,11.0,-1.0,11,89.98766
57.24645724331406,1,4751.0386,1.0,9.999959,,198,573.2358,-1.4385599e+16,47.261246,4804.1978,1391.3318,6.7272727272727275,8.185042e+24,0.41894197,9.98521,18,169.95628,9.999959,38.391163,1.0,14.361520051956177,1.0,True,4677179.5,1.0,-4.9992123,,57.24646,-4.9992123,[-1.437 -0.897 -0.687  0.859],11.0,-9779.298,0.07180197,1849,,11.0,-1.0,11,159.97107
54.523224320814364,1,4651.5674,1.0,9.9999695,,209,1370207.4,-1.2226756e+19,24.551146,15068115.0,4331658.5,6.454545454545454,4.7039805e+30,0.41894197,29.97208,19,179.95657,9.9999695,40.97298,1.0,14.755157709121704,1.0,True,3420917500.0,1.0,-5.5334816,,54.523228,-5.5334816,[-1.535 -0.532 -0.797  1.167],11.0,-10288.963,0.4810152,1920,,11.0,-1.0,11,149.9845
106.31666005985066,1,15123.29,1.0,9.999979,,220,1861.9025,-5.380303e+16,76.33841,7871.737,2964.3794,11.636363636363637,2.0947952e+25,0.41894197,29.978262,20,259.8642,9.999979,61.806602,1.0,15.432086706161499,1.0,True,29700132.0,1.0,-7.605801,,106.31666,-7.605801,[-1.494 -0.728 -0.829  0.71 ],11.0,-26878.658,0.25921625,2048,,11.0,-1.0,11,229.88594
61.78799124855016,1,4722.7363,1.0,9.999885,,231,11607.392,-8.3386914e+17,31.826118,124267.32,35635.953,7.181818181818182,8.053213e+28,0.41894197,29.96187,21,129.92273,9.999885,30.082893,1.0,15.843496799468994,1.0,True,12014107.0,1.0,-8.427534,,61.787987,-8.427534,[-1.428 -0.411 -0.804  1.091],11.0,-7661.1533,0.06944838,2127,,11.0,-1.0,11,99.96086
89.05274600907067,1,9738.57,1.0,9.999996,,242,127807.95,-119539460000000.0,59.099365,1405706.8,404107.1,9.909090909090908,5.649375e+20,0.41894197,29.95338,22,169.97415,9.999996,42.522682,1.0,16.39531898498535,1.0,True,625722500.0,1.0,-9.079601,,89.05274,-9.079601,[-1.451 -0.616 -0.87   0.64 ],11.0,-14767.888,0.1623664,2236,,11.0,-1.0,11,140.02077
127.20510848395496,1,17146.115,1.0,9.999968,,253,29.481531,-8583282000.0,47.25029,246.0304,68.70885,13.727272727272727,2319337700000.0,0.41894197,79.95482,23,179.92569,9.999968,31.064066,1.0,16.92757225036621,1.0,True,829853.44,1.0,-11.116898,,127.20511,-11.116898,[-1.475 -0.87  -0.912  0.212],11.0,-22781.58,0.004079365,2387,,11.0,-1.0,11,99.97087
62.689026269922415,1,5003.4097,1.0,9.999928,,264,56278.715,-4.0056383e+19,42.724728,612165.9,175789.66,7.2727272727272725,1.38049425e+32,0.41894197,19.964302,24,139.94446,9.999928,32.764236,1.0,17.481421947479248,1.0,True,141925700.0,1.0,-5.0435066,,62.689026,-5.0435066,[-1.497 -0.6   -0.873  0.631],11.0,-8412.627,0.9790374,2467,,11.0,-1.0,11,119.980156
43.600270594189304,1,2378.0422,1.0,9.99974,,275,1.9316151,-253705680.0,23.631624,5.9606647,1.5956472,5.363636363636363,21315328000.0,0.41894197,19.968647,25,99.9117,9.99974,21.841667,1.0,17.858237981796265,1.0,True,4949.0723,1.0,-8.715617,,43.60027,-8.715617,[-1.592 -0.261 -0.95   0.977],11.0,-4115.7466,0.6782526,2526,,11.0,-1.0,11,79.943054
49.06568160445838,1,2615.6704,1.0,9.99996,,286,97.259155,-1842766200.0,19.089449,720.00415,206.46059,5.909090909090909,2737603000000.0,0.41894197,29.976233,26,79.98379,9.99996,14.43015,1.0,18.30991244316101,1.0,True,161236.25,1.0,-3.608838,,49.065678,-3.608838,[-1.585 -0.062 -0.968  1.127],11.0,-3729.3162,0.23414913,2591,,11.0,-1.0,11,50.007553
63.601796475828834,1,4994.9165,1.0,9.9999275,,297,106.6786,-372475300.0,33.648094,554.8617,158.12955,7.363636363636363,16033936000.0,0.41894197,29.953705,27,129.94925,9.9999275,30.817654,1.0,18.83410096168518,1.0,True,245923.45,1.0,-9.476132,,63.601795,-9.476132,[-1.602 -0.201 -0.981  0.92 ],11.0,-7934.533,0.04110139,2672,,11.0,-1.0,11,99.995544
61.776363412250475,1,4212.358,1.0,9.99986,,308,88.08165,-6874574300.0,31.81614,448.1484,136.14537,7.181818181818182,23830668000000.0,0.41894197,29.960224,28,89.94096,9.99986,19.900713,1.0,19.349549293518066,1.0,True,310119.28,1.0,-5.8712025,,61.776363,-5.8712025,[-1.617 -0.356 -0.988  0.725],11.0,-5620.538,0.32086372,2751,,11.0,-1.0,11,59.98074
79.03539062691179,1,7163.2324,1.0,9.999942,,319,11992.718,-109459700000000.0,39.070984,98940.74,29027.97,8.909090909090908,1.3865943e+21,0.41894197,39.96441,29,129.94759,9.999942,30.27605,1.0,19.86758255958557,1.0,True,29207540.0,1.0,-7.797262,,79.03539,-7.797262,[-1.577 -0.812 -0.8    0.654],11.0,-10102.774,0.29085568,2849,,11.0,-1.0,11,89.98318
144.4904538749302,1,23938.305,1.0,9.999967,,330,17.139725,-1727247400.0,84.527626,70.8875,20.968615,15.454545454545455,21548165000.0,0.41894197,59.962833,30,259.95703,9.999967,55.32461,1.0,20.721879720687866,1.0,True,410562.56,1.0,-8.468169,,144.49046,-8.468169,[-1.654 -1.061 -0.843  0.23 ],11.0,-35702.08,0.060694233,3019,,11.0,-1.0,11,199.9942
