DivergenceHarmonic,VarianceInitializer,Inner Iteration,Weights,StdWReturnMean,InitialReturnMean,EmpiricalD2Arithmetic,MinBehavPdf,Epsilon,StdIW,InitialBound,ESSRenyiHarmonic,MaxIW,ESSRenyiArithmetic,ReturnMeanIW,EpThisIter,TimestepsSoFar,OptimizationReturnMean,EpisodesSoFar,InitialReturnMax,OptimizationReturnMax,MeanD2-0,MinTargetPdf,EpLenMean,ReturnStepMaxmin,MeanIW,InitialReturnMin,WReturnMean,EmpiricalD2Harmonic,MeanEntropy,Bound,InitialReturnStd,OptimizationReturnMin,MinIW,EpRewMean,Iteration,LearnableVariance,TimeElapsed,Penalization,ReturnStepMax
4.6898917e+35,-1.0,1,[-2.078 -1.208 -0.902  0.052],,159.9267,1.0,-10.482215,1.0,3995182.2,-48045.43,11.0,13903417.0,11.0,61187846000.0,11,2335,80.01879,165,309.93857,230.03065,1.0,-10.482215,17.0,10.0,1269666.0,79.90791,31323.182,1.0,0.41894197,-1.1451851e+22,75.80652,,0.3758758,159.92670387181496,15,,12.110541582107544,True,10.0
9.642979e+16,-1.0,1,[-2.093 -1.449 -1.092 -0.899],,148.99731,1.0,-8.316722,1.0,299.49838,-41287.63,11.0,1064.3463,11.0,2226905.5,11,2510,69.119095,176,299.93146,220.05324,1.0,-8.316722,15.909090909090908,9.999981,125.752144,79.87822,25627.785,1.0,0.41894197,-4862873000000.0,58.54558,,0.21288691,148.99731278685522,16,,12.61824631690979,True,9.999981
3.847336e+35,-1.0,1,[-1.927 -0.887 -1.354 -1.667],,167.1537,1.0,-12.369283,1.0,32777.53,-45153.324,11.0,116241.75,11.0,421568960.0,11,2705,57.276768,187,289.893,180.01608,1.0,-12.369283,17.727272727272727,9.999967,13017.687,109.87692,30524.188,1.0,0.41894197,-9.0739955e+21,50.831417,,26.28251,167.1536902821324,17,,13.190670728683472,True,9.999967
1.0211923e+25,-1.0,1,[-1.855  0.055 -1.648 -1.522],,219.8462,1.0,-14.585357,1.0,1730.5397,-62697.082,11.0,5040.6367,11.0,61266532.0,11,2958,40.059155,198,279.88046,100.0934,1.0,-14.585357,23.0,9.999754,1442.2114,179.78706,49061.023,1.0,0.41894197,-4.3575454e+16,26.993738,,0.14215028,219.84621752433577,18,,13.687039852142334,True,9.999754
529706240000000.0,-1.0,1,[-1.717  0.531 -1.679 -1.466],,389.85574,1.0,-24.233818,1.0,79.35398,-227144.27,11.0,278.34262,11.0,5557799.0,11,3398,130.01799,209,609.8441,350.00638,1.0,-24.233818,40.0,9.999999,39.34238,259.83774,162402.94,1.0,0.41894197,-1490046600000.0,102.05607,,0.6513805,389.8557346694831,19,,14.663201093673706,True,9.999999
4.645764e+30,-1.0,1,[-1.642  0.757 -1.703 -1.392],,458.02686,1.0,-25.750784,1.0,362656.66,-314362.12,11.0,1275320.6,11.0,16155094000.0,11,3913,148.213,220,709.8093,399.99548,1.0,-25.750784,46.81818181818182,10.0,131242.08,309.81384,226656.47,1.0,0.41894197,-1.8904056e+20,129.8764,,23.112139,458.02685502109557,20,,15.623798847198486,True,10.0
510350360000.0,-1.0,1,[-1.677  0.396 -1.755 -1.733],,332.56085,1.0,-25.142742,1.0,3000.0266,-144749.11,11.0,10477.652,11.0,171885020.0,11,4290,102.74219,231,419.79553,189.97685,1.0,-25.142742,34.27272727272727,9.999992,993.08905,229.81868,114071.65,1.0,0.41894197,-22087457000.0,58.948467,,0.025352133,332.560865691557,21,,16.21633529663086,True,9.999992
2.778969e+18,-1.0,1,[-1.746  0.253 -1.721 -1.26 ],,316.23807,1.0,-34.604076,1.0,4512.048,-176346.77,11.0,15913.635,11.0,86539900.0,11,4649,136.38222,242,599.88086,420.02502,1.0,-34.604076,32.63636363636363,9.999997,1881.9208,179.85585,113703.586,1.0,0.41894197,-104427575000000.0,117.03445,,1.862365,316.2380776623667,22,,16.8612859249115,True,9.999997
1.1240295e+28,-1.0,1,[-1.765  0.662 -1.776 -0.979],,437.0961,1.0,-37.27738,1.0,2509.3662,-277442.28,11.0,8913.324,11.0,326107460.0,11,5141,187.21088,253,639.83563,389.95038,1.0,-37.27738,44.72727272727273,9.999999,1371.3966,249.88524,206176.53,1.0,0.41894197,-7.5555954e+18,122.97771,,25.255909,437.09610405955647,23,,17.865275382995605,True,9.999999
9527454000000000.0,-1.0,1,[-0.872  0.556 -1.543 -0.61 ],,303.47586,1.0,-27.992357,1.0,2125.319,-168992.81,11.0,6633.037,11.0,115632220.0,11,5486,233.50783,264,559.684,489.716,1.0,-27.992357,31.363636363636363,9.999998,1246.9796,69.96801,114463.56,1.0,0.41894197,-5322636000000.0,149.55254,,0.25267953,303.4758562401472,24,,18.541451930999756,True,9.999998
406411550.0,-1.0,1,[-0.834  0.429 -1.573 -0.819],,441.61865,1.0,-36.604538,1.0,231.87628,-329188.84,11.0,821.3152,11.0,14095024.0,11,5983,191.74863,275,809.6819,559.8119,1.0,-36.604538,45.18181818181818,9.999995,126.90881,249.87003,215065.9,1.0,0.41894197,-2314768100.0,141.55875,,0.14333023,441.61864857657093,25,,19.47550129890442,True,9.999995
6.052068e+23,-1.0,1,[-0.738  0.354 -1.606 -1.035],,388.9295,1.0,-27.943275,1.0,195417.34,-258457.34,11.0,632144.06,11.0,12602966000.0,11,6422,368.95648,286,679.8147,659.8417,1.0,-27.943275,39.90909090909091,9.999978,86775.38,19.973034,178007.53,1.0,0.41894197,-6.258585e+16,163.52786,,0.08277236,388.9295074048778,26,,20.418433666229248,True,9.999978
2628491800000000.0,-1.0,1,[-0.873  0.205 -1.6   -0.887],,389.82782,1.0,-37.31826,1.0,387.3621,-362104.62,11.0,1374.9551,11.0,12523730.0,11,6862,309.92706,297,959.7994,879.8986,1.0,-37.31826,40.0,9.999999,173.07523,79.90074,201741.34,1.0,0.41894197,-8221630700000.0,223.10443,,0.015180144,389.8278169787449,27,,21.103570222854614,True,9.999999
2.2770963e+17,-1.0,1,[-0.752  0.421 -1.621 -0.854],,387.11328,1.0,-31.766819,1.0,9311.139,-260965.75,11.0,32585.557,11.0,552963650.0,11,7299,387.11328,308,689.7478,689.7478,1.0,-31.766819,39.72727272727273,10.0,3222.5452,,178147.8,1.0,0.41894197,-39520318000000.0,168.19958,,0.11421115,387.11325125170083,28,,21.787835359573364,True,10.0
93086540000.0,-1.0,1,[-0.64   0.603 -1.623 -0.725],,444.34677,1.0,-41.70385,1.0,13.625687,-488061.78,11.0,49.511005,11.0,767969.44,11,7799,334.4355,319,1099.4622,989.55084,1.0,-41.70385,45.45454545454545,9.999999,6.8701677,109.91133,277633.22,1.0,0.41894197,-64202540000.0,283.17685,,0.21574153,444.34678100154383,29,,22.76500940322876,True,9.999999
576365950.0,-1.0,1,[-0.662  0.507 -1.628 -0.801],,441.64285,1.0,-33.293255,1.0,3.3072758,-357231.78,11.0,9.225941,11.0,1405751.5,11,8296,411.67764,330,789.8097,759.8445,1.0,-33.293255,45.18181818181818,9.999999,3.7652023,29.965214,248642.0,1.0,0.41894197,-2608382500.0,231.5029,,0.3497445,441.64282920876775,30,,23.84642791748047,True,9.999999
9.029798e+25,-1.0,1,[-0.591  0.6   -1.652 -0.836],,627.9314,1.0,-50.48374,1.0,4437.389,-838340.5,11.0,15722.94,11.0,738262660.0,11,8998,488.04782,341,1349.4999,1209.6163,1.0,-50.48374,63.81818181818182,10.0,1957.9702,139.88358,521317.97,1.0,0.41894197,-3.012505e+18,356.3989,,2.2754762,627.9313688530278,31,,24.869966983795166,True,10.0
2438229800.0,-1.0,1,[-0.567  0.498 -1.697 -1.059],,661.57654,1.0,-39.439095,1.0,114.27433,-688843.2,11.0,378.6178,11.0,33751508.0,11,9737,281.73105,352,1099.6543,719.80884,1.0,-39.439095,67.18181818181819,9.999988,76.444916,379.8455,478340.8,1.0,0.41894197,-10427991000.0,201.63652,,0.09756763,661.5765509103759,32,,26.10067129135132,True,9.999988
4.0817146e+17,-1.0,1,[-0.466  0.518 -1.717 -1.128],,1011.4932,1.0,-76.615135,1.0,25372.723,-1593529.4,11.0,78990.016,11.0,9969518000.0,11,10861,331.76755,363,1629.5803,949.85455,1.0,-76.615135,102.18181818181819,9.999996,14762.851,679.72577,1131258.1,1.0,0.41894197,-295345640000000.0,328.8456,,0.0384754,1011.4933122038703,33,,27.77737855911255,True,9.999996
1336328300.0,-1.0,1,[-0.357  0.577 -1.718 -1.139],,1135.1334,1.0,-62.999428,1.0,7.118282,-1868054.6,11.0,19.814613,11.0,8695194.0,11,12121,775.3678,374,1609.1929,1249.4272,1.0,-62.999428,114.54545454545455,9.999999,6.344714,359.76562,1417277.4,1.0,0.41894197,-16487124000.0,358.81674,,0.6354932,1135.1333827754754,34,,29.560990810394287,True,9.999999
7956694500.0,-1.0,1,[-0.396  0.66  -1.71  -1.054],,934.1932,1.0,-51.005016,1.0,15.756335,-1304321.2,11.0,57.67638,11.0,13766395.0,11,13160,564.37524,385,1409.6224,1039.8044,1.0,-51.005016,94.45454545454545,10.0,9.732999,369.81802,958421.06,1.0,0.41894197,-30868013000.0,292.7527,,0.9004177,934.1932039385318,35,,31.070085287094116,True,10.0
5060799000000000.0,-1.0,1,[-0.298  0.633 -1.728 -1.124],,766.9893,1.0,-59.916046,1.0,102.576164,-1109142.6,11.0,367.02914,11.0,52541468.0,11,14015,577.1685,396,1439.6154,1249.7946,1.0,-59.916046,77.72727272727273,9.999999,47.570072,189.82082,748366.56,1.0,0.41894197,-25665303000000.0,400.11737,,0.3963911,766.9893271797773,36,,32.39862823486328,True,9.999999
2.0830322e+17,-1.0,1,[-0.354  0.549 -1.727 -1.198],,966.9943,1.0,-79.79973,1.0,326613.94,-1577134.9,11.0,1137630.4,11.0,157603480000.0,11,15090,717.10986,407,1649.7349,1399.8505,1.0,-79.79973,97.72727272727273,9.999999,104812.2,249.88438,1103358.2,1.0,0.41894197,-216389280000000.0,410.21985,,0.048555896,966.9942655492563,37,,34.15160369873047,True,9.999999
6.9906513e+22,-1.0,1,[-0.281  0.643 -1.724 -1.16 ],,1058.7242,1.0,-85.23422,1.0,2860.33,-2450461.8,11.0,10030.202,11.0,1622266200.0,11,16266,1028.7781,418,2318.9343,2288.988,1.0,-85.23422,106.9090909090909,9.999999,993.94684,29.946274,1514361.8,1.0,0.41894197,-2.4750203e+17,627.2675,,0.97456783,1058.7243251467544,38,,35.36322808265686,True,9.999999
775056640.0,-1.0,1,[-0.334  0.541 -1.723 -1.209],,1269.62,1.0,-88.35922,1.0,24.115679,-2761894.0,11.0,77.30534,11.0,35625264.0,11,17674,529.90674,429,2319.203,1579.4895,1.0,-88.35922,128.0,10.0,18.083202,739.7134,1825575.8,1.0,0.41894197,-26102395000.0,462.21262,,0.4189408,1269.6201213313198,39,,37.84134292602539,True,10.0
4.6671256e+21,-1.0,1,[-0.239  0.521 -1.718 -1.287],,1398.7192,1.0,-87.54696,1.0,10641.892,-2820327.0,11.0,37369.504,11.0,14844374000.0,11,19224,448.98523,440,2039.3575,1089.6234,1.0,-87.54696,140.9090909090909,9.999999,4394.9688,949.73413,2096336.4,1.0,0.41894197,-4.9460057e+16,374.05948,,0.93719393,1398.7193262223109,40,,40.31612730026245,True,9.999999
1080827450000.0,-1.0,1,[-0.116  0.503 -1.71  -1.285],,1948.5847,1.0,-126.75308,1.0,1414.7056,-5907547.5,11.0,5007.9585,11.0,1953477900.0,11,21379,1558.6692,451,2909.3508,2519.4353,1.0,-126.75308,195.9090909090909,9.999999,637.0807,389.91556,4434083.0,1.0,0.41894197,-1533793400000.0,798.186,,0.0667876,1948.5846810291312,41,,43.63175582885742,True,9.999999
