VanillaAvgRet,IterType,AvgDiscRet,VarNormIw,VarRet,Delta,MaxVanillaIw,AvgNormIw,MinVanillaIw,VarDiscRet,J,Bound,eRenyi2,ESSClassic,AvgEpLen,VarVanillaIw,AvgVanillaIw,MinNormIw,MaxNormIw,ESSRenyi,BatchSize,EpsThisIter,AvgRet,VarJ
129.039102473,1,129.039102473,0.00747731,6442.25079311,0.7,195.93,0.01,1.11836e-05,6442.25079311,389.07,297.916,11.1464,1.33288322887,14.13,383.003,2.26323,4.94145e-08,0.86571,8.97154067364,100,100,129.039102473,247.088
129.039102473,,258.785026205,0.00331413,6442.25079311,0.7,89416.3,0.01,0.00510386,14747.3170171,235.863,-33732.1,247811.0,2.95771570937,14.13,8.52773e+07,1604.1,3.18176e-08,0.557423,0.00080706749001,200,100,129.039102473,137.161
137.43037997,1,137.43037997,0.0020446,6901.75952132,0.7,228.127,0.005,1.50868e-12,6901.75952132,386.27,299.082,18.1386,2.42791818929,15.02,300.217,1.91595,3.93716e-15,0.595336,11.026217783,200,100,137.43037997,297.488
265.762347926,2,265.762347926,3.50449e-18,12506.1630071,0.7,1.0,0.01,1.0,12506.1630071,265.762,217.756,1.0,100.0,28.77,,1.0,0.01,0.01,200.0,200,100,265.762347926,111.27
137.43037997,,285.012225548,0.00438688,6901.75952132,0.7,6.62831e+11,0.005,0.00438353,12778.2105248,219.168,-inf,nan,1.1389647998,15.02,2.20519e+21,3.54499e+09,6.18271e-15,0.934883,nan,300,100,137.43037997,117.888
136.155381811,1,136.155381811,0.00117561,7836.1584684,0.7,311.231,0.00333333,4.09444e-15,7836.1584684,374.35,281.963,19.9324,2.81817294509,14.89,335.946,1.7819,7.65933e-18,0.58221,15.0509052615,300,100,136.155381811,475.654
275.936259717,2,275.936259717,3.50449e-18,10068.1685253,0.7,1.0,0.01,1.0,10068.1685253,275.936,217.373,1.0,100.0,29.84,,1.0,0.01,0.01,300.0,300,100,275.936259717,99.8373
275.223299915,2,275.223299915,2.1793e-19,7201.86430675,0.7,1.0,0.005,1.0,7201.86430675,275.58,234.17,1.0,200.000000102,29.78,,1.0,0.005,0.005,300.0,300,100,275.223299915,92.4597
136.155381811,,260.717966918,0.00332464,7836.1584684,0.7,2.44234e+14,0.00333333,0.00321305,6285.06790736,343.488,-inf,nan,1.00260668193,14.89,1.98832e+26,8.15173e+11,1.31385e-17,0.998699,nan,400,100,136.155381811,9.57004
148.849880779,1,148.849880779,0.000645772,8436.80264888,0.7,332.703,0.0025,5.67379e-13,8436.80264888,367.279,278.88,24.3317,3.8437472479,16.25,315.264,1.74678,8.12037e-16,0.476166,16.4394665031,400,100,148.849880779,532.555
292.65086953,2,292.65086953,3.50449e-18,12631.7831855,0.7,1.0,0.01,1.0,12631.7831855,292.651,241.676,1.0,100.0,31.64,,1.0,0.01,0.01,400.0,400,100,292.65086953,111.828
292.259875201,2,292.259875201,2.1793e-19,10375.0424433,0.7,1.0,0.005,1.0,10375.0424433,292.455,256.411,1.0,200.000000102,31.6,,1.0,0.005,0.005,400.0,400,100,292.259875201,106.717
292.367565071,2,292.367565071,5.43914e-20,13790.9017634,0.7,1.0,0.00333333,1.0,13790.9017634,292.426,257.137,1.0,299.999969474,31.61,,1.0,0.00333333,0.00333333,400.0,400,100,292.367565071,110.197
295.119827817,1,295.119827817,0.00191809,15010.5932661,0.7,1638.93,0.0025,2.57461e-13,15010.5932661,862.39,651.36,47.6822,1.30239069785,31.9,6715.83,4.67794,1.37593e-16,0.875883,8.38886637708,400,100,295.119827817,1275.45
367.69891785,2,367.69891785,3.50449e-18,27244.7495185,0.7,1.0,0.01,1.0,27244.7495185,367.699,290.77,1.0,100.0,39.69,,1.0,0.01,0.01,400.0,400,100,367.69891785,164.232
352.159045199,2,352.159045199,2.1793e-19,19488.8335065,0.7,1.0,0.005,1.0,19488.8335065,359.929,305.532,1.0,200.000000102,38.0,,1.0,0.005,0.005,400.0,400,100,352.159045199,152.294
324.777042252,2,324.777042252,5.43914e-20,10047.6028727,0.7,1.0,0.00333333,1.0,10047.6028727,348.212,303.797,1.0,299.999969474,35.07,,1.0,0.00333333,0.00333333,400.0,400,100,324.777042252,138.031
295.119827817,,330.462118589,0.00224636,15010.5932661,0.7,3.88408e+12,0.0025,0.000610153,8022.90067519,255.793,-1.15122e+17,8.95755e+30,1.11259918285,31.9,3.77803e+22,1.02526e+10,1.4878e-16,0.947098,5.58188057339e-29,500,100,295.119827817,134.928
292.46808478,1,292.46808478,0.00123518,12310.5446968,0.7,1552.47,0.002,1.62695e-18,12310.5446968,823.775,631.272,49.5969,1.61719953381,31.63,4830.18,3.95501,8.2273e-22,0.785067,10.0812734992,500,100,292.46808478,1963.71
379.404091537,2,379.404091537,3.50449e-18,25512.6553313,0.7,1.0,0.01,1.0,25512.6553313,379.404,303.851,1.0,100.0,40.98,,1.0,0.01,0.01,500.0,500,100,379.404091537,158.926
356.895758087,2,356.895758087,2.1793e-19,13596.2927476,0.7,1.0,0.005,1.0,13596.2927476,368.15,314.726,1.0,200.000000102,38.52,,1.0,0.005,0.005,500.0,500,100,356.895758087,139.591
367.416854535,2,367.416854535,5.43914e-20,28723.0612097,0.7,1.0,0.00333333,1.0,28723.0612097,367.906,321.711,1.0,299.999969474,39.67,,1.0,0.00333333,0.00333333,500.0,500,100,367.416854535,149.897
366.965804543,2,366.965804543,5.4346e-20,26508.7185885,0.7,1.0,0.0025,1.0,26508.7185885,367.671,327.665,1.0,400.0,39.61,,1.0,0.0025,0.0025,500.0,500,100,366.965804543,153.013
373.289521544,1,373.289521544,0.00134315,22744.9139119,0.7,1489.04,0.002,6.20069e-24,22744.9139119,1119.32,835.652,62.8487,1.48758298769,40.32,4446.12,3.6388,3.4081e-27,0.818425,7.95561674846,500,100,373.289521544,1918.63
579.513408927,2,579.513408927,3.50449e-18,52371.9181798,0.7,1.0,0.01,1.0,52371.9181798,579.513,496.84,1.0,100.0,62.54,,1.0,0.01,0.01,500.0,500,100,579.513408927,227.702
555.573449635,2,555.573449635,2.1793e-19,62992.2780255,0.7,1.0,0.005,1.0,62992.2780255,567.543,506.556,1.0,200.000000102,60.01,,1.0,0.005,0.005,500.0,500,100,555.573449635,239.267
