VarVanillaIw,MaxVanillaIw,eRenyi2,MinVanillaIw,AvgDiscRet,MinNormIw,MaxNormIw,Bound,Delta,BatchSize,VarDiscRet,AvgVanillaIw,J,VarJ,EpsThisIter,VarNormIw,VanillaAvgRet,AvgNormIw,ESSRenyi,AvgRet,IterType,ESSClassic,VarRet,AvgEpLen
0.573351,2.78664,1.44422,0.0244213,-1439.17128124,0.000217773,0.0248493,-1709.97,0.2,100,150772.4426,1.12141,-1235.28,220.17,100,4.5592e-05,-1439.17128124,0.01,69.2414336857,-1439.17128124,1,68.9008301092,150772.4426,500.0
0.0992457,1.56474,1.10528,0.180117,-1219.57558247,0.00171544,0.0149026,-1589.35,0.2,100,50738.1717805,1.04998,-1177.03,124.841,100,9.00228e-06,-1219.57558247,0.01,90.4746425119,-1219.57558247,1,91.8170265454,50738.1717805,500.0
0.0909807,1.50251,1.08632,0.121154,-1199.5484393,0.00117526,0.0145752,-1566.99,0.2,100,57784.4693492,1.03087,-1157.14,133.758,100,8.56141e-06,-1199.5484393,0.01,92.0536708185,-1199.5484393,1,92.1864810357,57784.4693492,500.0
0.0331558,1.58461,1.02935,0.340352,-1144.12215534,0.00342973,0.0159682,-1525.9,0.2,100,17395.9069839,0.992356,-1131.31,106.872,100,3.36685e-06,-1144.12215534,0.01,97.148412049,-1144.12215534,1,96.7743328507,17395.9069839,500.0
3.00837,14.838,1.0,3.38696e-08,-1159.69775609,6.21213e-10,0.272148,-1525.97,0.2,100,21511.2330845,0.545217,-1133.73,0.721925,100,0.00101203,-1159.69775609,0.01,99.9999761581,-1159.69775609,1,9.07518600576,21511.2330845,500.0
5.95742e-08,1.00142,1.0,0.99963,-1133.73123209,0.00999643,0.0100143,-1360.94,0.2,100,0.391589233441,0.999987,-1133.73,0.622594,100,5.95747e-12,-1133.73123209,0.01,99.9999880791,-1133.73123209,1,100.0,0.391589233441,500.0
5.27861e-06,1.01109,1.0,0.996122,-1133.65016838,0.00996037,0.01011,-1361.23,0.2,100,0.531777755164,1.00009,-1133.65,0.724693,100,5.27771e-10,-1133.65016838,0.01,99.9995470068,-1133.65016838,1,99.9994850619,0.531777755164,500.0
3.57262e-06,1.00812,1.0,0.996874,-1133.70743525,0.00996872,0.0100812,-1361.29,0.2,100,0.483618550843,1.0,-1133.71,0.69097,100,3.57259e-10,-1133.70743525,0.01,99.9997019777,-1133.70743525,1,99.9996223469,0.483618550843,500.0
,1.0,1.0,1.0,-1133.64930198,0.01,0.01,-1360.83,0.2,100,0.371972365316,1.0,-1133.65,0.606843,100,3.50449e-18,-1133.64930198,0.01,100.0,-1133.64930198,1,100.0,0.371972365316,500.0
5.44462e-06,1.00862,1.00001,0.995075,-1133.78389058,0.00994988,0.0100854,-1361.09,0.2,100,0.471168718994,1.00009,-1133.78,0.682531,100,5.44366e-10,-1133.78389058,0.01,99.9994635611,-1133.78389058,1,99.9994888773,0.471168718994,500.0
1.72111e-06,1.00351,1.0,0.996641,-1133.82053389,0.00996541,0.0100341,-1361.25,0.2,100,0.536351066017,1.0001,-1133.82,0.728128,100,1.72075e-10,-1133.82053389,0.01,99.99986887,-1133.82053389,1,99.9998397989,0.536351066017,500.0
3.06476e-06,1.00721,1.0,0.997162,-1133.70856891,0.00997127,0.0100717,-1361.08,0.2,100,0.399676577098,1.00004,-1133.71,0.628394,100,3.06454e-10,-1133.70856891,0.01,99.9997854237,-1133.70856891,1,99.9996795775,0.399676577098,500.0
1.17872e-06,1.00312,1.0,0.997147,-1133.80792322,0.00997174,0.0100315,-1361.38,0.2,100,0.600880203566,0.999973,-1133.81,0.770758,100,1.17878e-10,-1133.80792322,0.01,99.9998927118,-1133.80792322,1,99.9998855561,0.600880203566,500.0
,1.0,1.0,1.0,-1133.59440909,0.01,0.01,-1360.6,0.2,100,0.210239434823,1.0,-1133.59,0.456217,100,3.50449e-18,-1133.59440909,0.01,100.0,-1133.59440909,1,100.0,0.210239434823,500.0
