EpsThisIter,VarVanillaIw,AvgRet,ESSClassic,MaxNormIw,eRenyi2,AvgEpLen,MinNormIw,Bound,J,IterType,AvgVanillaIw,VanillaAvgRet,MinVanillaIw,MaxVanillaIw,BatchSize,VarNormIw,VarDiscRet,AvgDiscRet,VarRet,VarJ,Delta,AvgNormIw,ESSRenyi
100,3.44942e-22,-330.980371244,1.00868357614,0.995677,283887.0,404.05,,-49.0331,-49.0331,1,1.86539e-12,-330.980371244,,1.85733e-10,100,0.00991305,20130.4196536,-330.980371244,20130.4196536,0.017613,1.0,0.01,0.000352252794218
100,nan,-330.980371244,nan,nan,1.90118e-13,404.05,nan,nan,nan,,inf,-330.980371244,5.38409e+09,inf,200,nan,3821.95735005,-70.482572279,20130.4196536,nan,1.0,nan,1.05197677223e+15
100,,-313.492367431,inf,1.0,2.69594e+16,385.36,,-62.5951,-62.5951,1,5.5358e-40,-313.492367431,,1.10716e-37,200,0.005,22529.9438091,-313.492367431,22529.9438091,,1.0,0.005,7.41857331075e-15
100,,-59.6420443067,100.0,0.01,1.0,87.9,0.01,-59.642,-59.642,2,1.0,-59.6420443067,1.0,1.0,200,3.50449e-18,55.988888976,-59.6420443067,55.988888976,7.44507,1.0,0.01,200.0
100,2.07852e-18,-62.7300803995,1.0,1.0,2.76012e+10,90.98,,-54.6977,-54.6977,1,1.01944e-10,-62.7300803995,,2.03888e-08,200,0.005,1329.99867789,-62.7300803995,1329.99867789,2.39727e-10,1.0,0.005,7.24606737721e-09
100,,-58.3701087563,100.0,0.01,1.0,85.87,0.01,-58.3701,-58.3701,2,1.0,-58.3701087563,1.0,1.0,200,3.50449e-18,53.6055111865,-58.3701087563,53.6055111865,7.28488,1.0,0.01,200.0
100,nan,-62.7300803995,nan,nan,3.42291e-30,90.98,nan,nan,nan,,inf,-62.7300803995,4.90465e+07,inf,300,nan,48.9593150747,-59.2600520581,1329.99867789,nan,1.0,nan,8.76446713203e+31
100,11.4,-58.0707911293,1.49028225212,0.793201,443.506,84.94,,-51.904,-51.904,1,0.238168,-58.0707911293,,56.6744,300,0.00223304,49.2802171191,-58.0707911293,49.2802171191,6.82843,1.0,0.00333333,0.676428958239
100,,-59.6891120018,100.0,0.01,1.0,87.51,0.01,-59.6891,-59.6891,2,1.0,-59.6891120018,1.0,1.0,300,3.50449e-18,49.4755920203,-59.6891120018,49.4755920203,6.99863,1.0,0.01,300.0
100,,-61.062045147,200.000000102,0.005,1.0,88.38,0.005,-60.3756,-60.3756,2,1.0,-61.062045147,1.0,1.0,300,2.1793e-19,1338.06610638,-61.062045147,1338.06610638,26.2165,1.0,0.005,300.0
