eRenyi2,VarRet,AvgVanillaIw,AvgRet,BatchSize,IterType,MaxVanillaIw,MinVanillaIw,VarDiscRet,ESSClassic,AvgDiscRet,MaxNormIw,AvgEpLen,J,EpsThisIter,VarNormIw,VarVanillaIw,Delta,Bound,VanillaAvgRet,MinNormIw,VarJ,AvgNormIw,ESSRenyi
2.75939,133464.220469,1.20545,-1425.44948405,100,1,4.93704,3.27549e-09,133464.220469,39.476979389,-1425.44948405,0.0409561,500.0,-1144.76,100,0.000154861,2.25028,0.9,-1255.48,-1425.44948405,2.71724e-11,60.7131,0.01,36.2398419802
1.24505,16761.6580466,0.99969,-1151.11459963,100,1,2.39922,0.132414,16761.6580466,80.369390016,-1151.11459963,0.0239996,500.0,-1131.18,100,2.46722e-05,0.246569,0.9,-1196.57,-1151.11459963,0.00132455,116.931,0.01,80.3183701263
10.9444,9714.40206942,2.17087,-1125.96600324,100,1,141.932,3.82144e-05,9714.40206942,2.27762423062,-1125.96600324,0.653803,500.0,-808.015,100,0.00433388,204.241,0.9,-991.244,-1125.96600324,1.76033e-07,754.87,0.01,9.13706362247
nan,9714.40206942,461.958,-1125.96600324,200,,26168.1,0.00704562,95179.6867501,2.8004196467,-1189.95810745,0.566461,500.0,-1137.52,100,0.00350595,7.48189e+06,0.9,-inf,-1125.96600324,1.52516e-07,89.1244,0.01,nan
12.1915,5008.67085305,1.74948,-1128.11824488,200,1,114.243,2.28728e-06,5008.67085305,7.7431097622,-1128.11824488,0.326506,500.0,-910.545,100,0.000623855,76.3769,0.9,-1047.29,-1128.11824488,6.53701e-09,1088.99,0.005,16.4048084742
1.0,81281.4144527,1.0,-1091.10896322,200,2,1.0,1.0,81281.4144527,100.0,-1091.10896322,0.01,500.0,-1091.11,100,3.50449e-18,,0.9,-1156.6,-1091.10896322,0.01,283.67,0.01,200.0
0.559855,5008.67085305,2307.88,-1128.11824488,300,,437201.0,0.00875324,43153.0941031,1.1141644243,-1065.94161738,0.947192,500.0,-1133.48,100,0.00448509,9.55559e+08,0.9,-inf,-1128.11824488,1.89638e-08,24.615,0.005,535.853504812
12.1526,5827.70235636,1.37548,-1134.64489354,300,1,102.666,1.75346e-05,5827.70235636,11.861895687,-1134.64489354,0.248799,500.0,-937.286,100,0.000270803,46.1112,0.9,-1048.76,-1134.64489354,4.24931e-08,1205.15,0.00333333,24.686059324
1.0,79806.11623,1.0,-1087.25269899,300,2,1.0,1.0,79806.11623,100.0,-1087.25269899,0.01,500.0,-1087.25,100,3.50449e-18,,0.9,-1152.68,-1087.25269899,0.01,281.084,0.01,300.0
1.0,69428.5937999,1.0,-1085.37600641,300,2,1.0,1.0,69428.5937999,200.000000102,-1085.37600641,0.005,500.0,-1086.31,100,2.1793e-19,,0.9,-1132.58,-1085.37600641,0.005,271.794,0.005,300.0
