AvgNormIw,MaxVanillaIw,AvgDiscRet,VanillaAvgRet,IterType,AvgEpLen,VarJ,VarRet,MaxNormIw,Bound,AvgVanillaIw,BatchSize,MinNormIw,ESSClassic,EpsThisIter,ESSRenyi,VarDiscRet,J,MinVanillaIw,Delta,AvgRet,VarVanillaIw,VarNormIw,eRenyi2
0.01,6.86284,129.039102473,129.039102473,1,14.13,438.883,6442.25079311,0.516598,343.59,0.132847,100,5.76696e-11,2.98244535866,100,,6442.25079311,343.59,7.66122e-10,1.0,129.039102473,0.57989,0.00328581,inf
0.01,1.30527e+09,277.772478962,129.039102473,,14.13,100.588,6442.25079311,0.583596,nan,2.23661e+07,200,6.51487e-11,2.04454966832,100,nan,3378.51370319,289.044,0.145712,1.0,129.039102473,2.42089e+16,0.00483945,nan
0.005,1074.67,153.702294508,153.702294508,1,16.76,7.01661e-09,8047.54906325,1.0,417.058,5.37337,200,,1.0,100,6.45545193634e-09,8047.54906325,417.058,,1.0,153.702294508,5774.63,0.005,3.09816e+10
0.01,1.0,379.290378277,379.290378277,2,40.9,99.2935,9958.79626444,0.01,379.29,1.0,200,0.01,100.0,100,200.0,9958.79626444,379.29,1.0,1.0,379.290378277,,3.50449e-18,1.0
nan,inf,361.121310754,153.702294508,,16.76,nan,8047.54906325,nan,nan,inf,300,nan,nan,100,5.33949338095e+16,7741.96042219,nan,0.000930514,1.0,153.702294508,nan,nan,5.61851e-15
0.00333333,285.32,132.852395055,132.852395055,1,14.52,558.873,8472.67988533,0.476865,364.061,1.99442,300,2.65047e-20,2.53075112299,100,,8472.67988533,364.061,1.58584e-17,1.0,132.852395055,469.111,0.00131039,inf
0.01,1.0,336.107829914,336.107829914,2,36.31,138.972,19508.1907608,0.01,336.108,1.0,300,0.01,100.0,100,300.0,19508.1907608,336.108,1.0,1.0,336.107829914,,3.50449e-18,1.0
0.005,1.0,319.921148614,319.921148614,2,34.55,124.589,11717.76813,0.005,328.014,1.0,300,0.005,200.000000102,100,300.0,11717.76813,328.014,1.0,1.0,319.921148614,,2.1793e-19,1.0
0.00333333,6.3058e+16,320.008854279,132.852395055,,14.52,19.3791,8472.67988533,0.98182,325.974,2.14085e+14,400,5.45707e-20,1.03717619286,100,0.0206353678113,8872.11070734,325.974,0.00350483,1.0,132.852395055,1.32553e+31,0.00321345,19384.2
0.0025,103.712,153.474109996,153.474109996,1,16.74,614.967,11067.5676576,0.329601,316.799,0.786648,400,9.96767e-18,6.20710715358,100,,11067.5676576,316.799,3.13642e-15,1.0,153.474109996,39.3574,0.000397508,inf
0.01,1.0,330.241973485,330.241973485,2,35.65,118.523,14189.5509802,0.01,330.242,1.0,400,0.01,100.0,100,400.0,14189.5509802,330.242,1.0,1.0,330.241973485,,3.50449e-18,1.0
0.005,1.0,325.021671731,325.021671731,2,35.12,117.001,13451.7584506,0.005,327.632,1.0,400,0.005,200.000000102,100,400.0,13451.7584506,327.632,1.0,1.0,325.021671731,,2.1793e-19,1.0
0.00333333,1.0,336.071457202,336.071457202,2,36.29,113.106,11063.3189048,0.00333333,330.445,1.0,400,0.00333333,299.999969474,100,400.0,11063.3189048,330.445,1.0,1.0,336.071457202,,5.43914e-20,1.0
0.0025,901.592,328.922634109,328.922634109,1,35.53,1564.19,12736.7798624,0.629552,718.415,3.58029,400,1.28085e-18,2.35337315618,100,,12736.7798624,718.415,1.83433e-15,1.0,328.922634109,2171.36,0.0010587,inf
0.01,1.0,390.129107552,390.129107552,2,42.29,421.577,179522.522716,0.01,390.129,1.0,400,0.01,100.0,100,400.0,179522.522716,390.129,1.0,1.0,390.129107552,,3.50449e-18,1.0
0.005,1.0,335.334533744,335.334533744,2,36.34,362.866,84964.0826303,0.005,362.732,1.0,400,0.005,200.000000102,100,400.0,84964.0826303,362.732,1.0,1.0,335.334533744,,2.1793e-19,1.0
0.00333333,1.0,314.946374358,314.946374358,2,34.12,334.872,72274.909746,0.00333333,346.803,1.0,400,0.00333333,299.999969474,100,400.0,72274.909746,346.803,1.0,1.0,314.946374358,,5.43914e-20,1.0
0.0025,5.45159e+14,331.825434756,328.922634109,,35.53,16.2309,12736.7798624,0.990468,90.562,1.37601e+12,500,2.01515e-18,1.01927335007,100,1.19116279925,67074.0758627,90.562,0.00110915,1.0,328.922634109,7.43009e+26,0.00245261,419.758
0.002,5.99238e-08,344.022369386,344.022369386,1,37.15,4.14807e-06,28463.2840717,1.0,1015.88,1.19848e-10,500,,1.0,100,1.23011902681e-10,28463.2840717,1015.88,,1.0,344.022369386,7.18173e-18,0.002,4.06465e+12
0.01,1.0,80.1846757481,80.1846757481,2,8.89,19.7489,393.957831036,0.01,80.1847,1.0,500,0.01,100.0,100,500.0,393.957831036,80.1847,1.0,1.0,80.1846757481,,3.50449e-18,1.0
0.005,1.0,74.442685393,74.442685393,2,8.27,15.8526,97.0740462606,0.005,77.3137,1.0,500,0.005,200.000000102,100,500.0,97.0740462606,77.3137,1.0,1.0,74.442685393,,2.1793e-19,1.0
0.00333333,1.0,77.2852575276,77.2852575276,2,8.58,16.6825,335.665831181,0.00333333,77.3042,1.0,500,0.00333333,299.999969474,100,500.0,335.665831181,77.3042,1.0,1.0,77.2852575276,,5.43914e-20,1.0
0.0025,1.0,76.9784994845,76.9784994845,2,8.55,16.0749,200.618120362,0.0025,77.2228,1.0,500,0.0025,400.0,100,500.0,200.618120362,77.2228,1.0,1.0,76.9784994845,,5.4346e-20,1.0
0.002,18.3204,77.1642800798,77.1642800798,1,8.57,126.675,157.192301803,0.0372977,90.9549,0.982387,500,2.29344e-05,173.051170474,100,,157.192301803,90.9549,0.0112652,1.0,77.1642800798,1.82701,7.57242e-06,inf
0.01,1.0,97.087853518,97.087853518,2,10.7,97.3272,9568.26814513,0.01,97.0879,1.0,500,0.01,100.0,100,500.0,9568.26814513,97.0879,1.0,1.0,97.087853518,,3.50449e-18,1.0
0.005,1.0,91.2870052036,91.2870052036,2,10.09,75.8499,2037.38369151,0.005,94.1874,1.0,500,0.005,200.000000102,100,500.0,2037.38369151,94.1874,1.0,1.0,91.2870052036,,2.1793e-19,1.0
0.00333333,1.0,107.63501228,107.63501228,2,11.83,109.84,24815.366028,0.00333333,98.67,1.0,500,0.00333333,299.999969474,100,500.0,24815.366028,98.67,1.0,1.0,107.63501228,,5.43914e-20,1.0
0.0025,1.0,104.140386217,104.140386217,2,11.46,101.521,5060.34420087,0.0025,100.038,1.0,500,0.0025,400.0,100,500.0,5060.34420087,100.038,1.0,1.0,104.140386217,,5.4346e-20,1.0
0.002,117.838,104.852186561,104.852186561,1,11.55,2899.85,11327.2831906,0.191618,343.325,1.22992,500,0.00010778,24.4798648756,100,,11327.2831906,343.325,0.0662803,1.0,104.852186561,29.4431,7.78555e-05,inf
0.01,1.0,147.656830708,147.656830708,2,16.14,112.02,12675.2320544,0.01,147.657,1.0,500,0.01,100.0,100,500.0,12675.2320544,147.657,1.0,1.0,147.656830708,,3.50449e-18,1.0
0.005,1.0,190.033420676,190.033420676,2,20.66,336.127,214663.605134,0.005,168.845,1.0,500,0.005,200.000000102,100,500.0,214663.605134,168.845,1.0,1.0,190.033420676,,2.1793e-19,1.0
0.00333333,1.0,173.028740978,173.028740978,2,18.85,289.738,26130.7736543,0.00333333,170.24,1.0,500,0.00333333,299.999969474,100,500.0,26130.7736543,170.24,1.0,1.0,173.028740978,,5.43914e-20,1.0
0.0025,1.0,168.254955122,168.254955122,2,18.34,268.62,37150.0228107,0.0025,169.743,1.0,500,0.0025,400.0,100,500.0,37150.0228107,169.743,1.0,1.0,168.254955122,,5.4346e-20,1.0
0.002,42866.7,173.404231677,173.404231677,1,18.89,5.04982e-07,36627.8394651,1.0,4670.45,85.7335,500,,1.0,100,2.01780224595e-06,36627.8394651,4670.45,,1.0,173.404231677,3.67511e+06,0.002,2.47794e+08
0.01,1.0,2434.30856146,2434.30856146,2,261.85,1950.97,3844719.64237,0.01,2434.31,1.0,500,0.01,100.0,100,500.0,3844719.64237,2434.31,1.0,1.0,2434.30856146,,3.50449e-18,1.0
0.005,1.0,2207.77261584,2207.77261584,2,237.53,1903.91,3452340.57875,0.005,2321.04,1.0,500,0.005,200.000000102,100,500.0,3452340.57875,2321.04,1.0,1.0,2207.77261584,,2.1793e-19,1.0
0.00333333,1.0,2280.57708181,2280.57708181,2,245.57,1890.62,3507517.04615,0.00333333,2307.55,1.0,500,0.00333333,299.999969474,100,500.0,3507517.04615,2307.55,1.0,1.0,2280.57708181,,5.43914e-20,1.0
0.0025,1.0,2088.49267743,2088.49267743,2,225.39,1872.98,3306037.46323,0.0025,2252.79,1.0,500,0.0025,400.0,100,500.0,3306037.46323,2252.79,1.0,1.0,2088.49267743,,5.4346e-20,1.0
0.002,1726.88,2108.69291594,2108.69291594,1,227.18,1511.65,3099469.29581,0.613512,4580.8,5.6295,500,4.76935e-19,2.35559238404,100,,3099469.29581,4580.8,1.34245e-15,1.0,2108.69291594,6708.55,0.000846737,inf
0.01,1.0,3639.07301816,3639.07301816,2,393.06,1513.03,2312375.43636,0.01,3639.07,1.0,500,0.01,100.0,100,500.0,2312375.43636,3639.07,1.0,1.0,3639.07301816,,3.50449e-18,1.0
0.005,1.0,3807.59316841,3807.59316841,2,411.2,1448.38,1911258.68617,0.005,3723.33,1.0,500,0.005,200.000000102,100,500.0,1911258.68617,3723.33,1.0,1.0,3807.59316841,,2.1793e-19,1.0
0.00333333,1.0,3806.72765458,3806.72765458,2,410.76,1445.05,2085103.70781,0.00333333,3751.13,1.0,500,0.00333333,299.999969474,100,500.0,2085103.70781,3751.13,1.0,1.0,3806.72765458,,5.43914e-20,1.0
0.0025,1.0,3890.15968901,3890.15968901,2,419.57,1422.94,1838393.92607,0.0025,3785.89,1.0,500,0.0025,400.0,100,500.0,1838393.92607,3785.89,1.0,1.0,3890.15968901,,5.4346e-20,1.0
0.002,3777.04,3699.14029535,3699.14029535,1,399.63,27.755,2135453.47409,0.795386,4675.29,9.49738,500,,1.48967389434,100,2.30351663834e-12,2135453.47409,4675.29,,1.0,3699.14029535,30245.4,0.00134126,2.17059e+14
0.01,1.0,4512.1420719,4512.1420719,2,486.15,660.726,440967.922418,0.01,4512.14,1.0,500,0.01,100.0,100,500.0,440967.922418,4512.14,1.0,1.0,4512.1420719,,3.50449e-18,1.0
0.005,1.0,4611.77664868,4611.77664868,2,496.38,518.096,96288.4982409,0.005,4561.96,1.0,500,0.005,200.000000102,100,500.0,96288.4982409,4561.96,1.0,1.0,4611.77664868,,2.1793e-19,1.0
0.00333333,1.0,4614.99475572,4614.99475572,2,496.76,448.133,64392.034513,0.00333333,4579.64,1.0,500,0.00333333,299.999969474,100,500.0,64392.034513,4579.64,1.0,1.0,4614.99475572,,5.43914e-20,1.0
0.0025,1.0,4586.90750732,4586.90750732,2,493.37,443.712,186880.883553,0.0025,4581.46,1.0,500,0.0025,400.0,100,500.0,186880.883553,4581.46,1.0,1.0,4586.90750732,,5.4346e-20,1.0
0.002,160.554,4529.49425914,4529.49425914,1,486.81,44.975,465070.260141,0.216044,4666.72,1.48631,500,,8.82788674953,100,,465070.260141,4666.72,,1.0,4529.49425914,123.159,0.000223001,inf
0.01,1.0,4650.12004302,4650.12004302,2,500.0,25.9188,678.569436459,0.01,4650.12,1.0,500,0.01,100.0,100,500.0,678.569436459,4650.12,1.0,1.0,4650.12004302,,3.50449e-18,1.0
0.005,1.0,4657.34672367,4657.34672367,2,500.0,23.8776,446.852677655,0.005,4653.73,1.0,500,0.005,200.000000102,100,500.0,446.852677655,4653.73,1.0,1.0,4657.34672367,,2.1793e-19,1.0
0.00333333,1.0,4657.93756674,4657.93756674,2,500.0,24.1355,601.523292381,0.00333333,4655.13,1.0,500,0.00333333,299.999969474,100,500.0,601.523292381,4655.13,1.0,1.0,4657.93756674,,5.43914e-20,1.0
0.0025,1.0,4656.74572607,4656.74572607,2,500.0,22.8137,335.688671055,0.0025,4655.54,1.0,500,0.0025,400.0,100,500.0,335.688671055,4655.54,1.0,1.0,4656.74572607,,5.4346e-20,1.0
0.002,36.536,4657.39085809,4657.39085809,1,500.0,37.2381,528.304071883,0.0753779,4662.43,0.96941,500,1.21102e-12,49.4534968794,100,,528.304071883,4662.43,5.86987e-10,1.0,4657.39085809,8.57881,3.65151e-05,inf
0.01,1.0,4658.34621955,4658.34621955,2,500.0,18.2523,336.509808215,0.01,4658.35,1.0,500,0.01,100.0,100,500.0,336.509808215,4658.35,1.0,1.0,4658.34621955,,3.50449e-18,1.0
0.005,1.0,4657.69158584,4657.69158584,2,500.0,18.7473,373.296987451,0.005,4658.02,1.0,500,0.005,200.000000102,100,500.0,373.296987451,4658.02,1.0,1.0,4657.69158584,,2.1793e-19,1.0
0.00333333,1.0,4657.79926692,4657.79926692,2,500.0,18.324,307.427496138,0.00333333,4657.95,1.0,500,0.00333333,299.999969474,100,500.0,307.427496138,4657.95,1.0,1.0,4657.79926692,,5.43914e-20,1.0
0.0025,1.0,4659.20308141,4659.20308141,2,500.0,18.4402,355.2285853,0.0025,4658.26,1.0,500,0.0025,400.0,100,500.0,355.2285853,4658.26,1.0,1.0,4659.20308141,,5.4346e-20,1.0
0.002,14.0635,4655.90130908,4655.90130908,1,500.0,23.8605,427.354990743,0.0311662,4663.43,0.902483,500,2.97098e-09,118.901303965,100,,427.354990743,4663.43,1.34063e-06,1.0,4655.90130908,2.61577,1.28464e-05,inf
0.01,1.0,4662.36241361,4662.36241361,2,500.0,14.9593,226.039762942,0.01,4662.36,1.0,500,0.01,100.0,100,500.0,226.039762942,4662.36,1.0,1.0,4662.36241361,,3.50449e-18,1.0
0.005,1.0,4658.49654372,4658.49654372,2,500.0,16.1187,291.282407107,0.005,4660.43,1.0,500,0.005,200.000000102,100,500.0,291.282407107,4660.43,1.0,1.0,4658.49654372,,2.1793e-19,1.0
0.00333333,1.0,4617.674056,4617.674056,2,495.55,240.01,172804.611103,0.00333333,4646.18,1.0,500,0.00333333,299.999969474,100,500.0,172804.611103,4646.18,1.0,1.0,4617.674056,,5.43914e-20,1.0
0.0025,1.0,4658.70889775,4658.70889775,2,500.0,208.085,267.368328915,0.0025,4649.31,1.0,500,0.0025,400.0,100,500.0,267.368328915,4649.31,1.0,1.0,4658.70889775,,5.4346e-20,1.0
0.002,126.902,4661.4928255,4661.4928255,1,500.0,56.3983,235.386586834,0.729327,4672.09,0.347996,500,,1.75101253917,100,,235.386586834,4672.09,,1.0,4661.4928255,34.5284,0.00114048,inf
0.01,1.0,4497.32568979,4497.32568979,2,482.11,736.222,547497.182178,0.01,4497.33,1.0,500,0.01,100.0,100,500.0,547497.182178,4497.33,1.0,1.0,4497.32568979,,3.50449e-18,1.0
0.005,1.0,4633.05763868,4633.05763868,2,496.87,564.047,85923.4137692,0.005,4565.19,1.0,500,0.005,200.000000102,100,500.0,85923.4137692,4565.19,1.0,1.0,4633.05763868,,2.1793e-19,1.0
0.00333333,1.0,4665.401382,4665.401382,2,500.0,463.037,218.978289392,0.00333333,4598.6,1.0,500,0.00333333,299.999969474,100,500.0,218.978289392,4598.6,1.0,1.0,4665.401382,,5.43914e-20,1.0
