renyi2,EpsThisIter,VarVanillaIw,ESSRenyi,AvgRet,IterType,AvgNormIw,VarNormIw,SamplesThisIter,AvgVanillaIw,MinVanillaIw,MinNormIw,VarRet,VarDiscRet,J,VarJ,ESSClassic,MaxVanillaIw,VanillaAvgRet,Bound,MaxNormIw,delta,BatchSize,AvgEpLen,AvgDiscRet
nan,8828,1.49297e+18,nan,46.6153312666,1,6.29311e-07,5.83954e-08,50000,3.18201e+06,,,2852.54342157,2852.54342157,34648.3,14561.9,7.80116437132,5.37753e+11,46.6153312666,382.165,0.106352,0.5,100,5.66379700952,46.6153312666
nan,7140,1.5887e+32,nan,60.0080714238,1,7.78089e-07,5.27405e-08,50000,4.2705e+13,,,20351.5257456,20351.5257456,146911.0,550807.0,7.24800258502,4.80871e+18,60.0080714238,736.998,0.0876151,0.5,100,7.00280112045,60.0080714238
nan,7572,inf,nan,55.9969448767,1,7.33697e-07,4.98809e-08,50000,1.43349e+18,,,12264.7167806,12264.7167806,74905.1,191289.0,6.17906479542,1.58293e+23,55.9969448767,590.921,0.0810181,0.5,100,6.60327522451,55.9969448767
nan,8112,3.3326e+24,nan,51.6120580278,1,6.84856e-07,1.71208e-07,50000,3.02155e+09,,,5324.93401252,5324.93401252,43234.3,33837.6,4.0,1.10297e+15,51.6120580278,400.319,0.249996,0.5,100,6.16370808679,51.6120580278
nan,7216,2.13684e+18,nan,59.2642467378,1,7.69894e-07,6.52244e-08,50000,4.40668e+06,,,11113.0253619,11113.0253619,97515.3,57020.8,3.33966446119,7.61136e+11,59.2642467378,1088.15,0.132979,0.5,100,6.92904656319,59.2642467378
nan,5008,6.07741e+26,nan,89.816024605,1,1.10934e-06,2.41958e-07,50000,5.55972e+10,,,50770.7609774,50770.7609774,345437.0,117691.0,3.99099678441,1.16899e+16,89.816024605,2500.22,0.233249,0.5,100,9.98402555911,89.816024605
nan,3696,2.27777e+27,nan,125.248392084,1,1.50313e-06,1.47425e-07,50000,1.86838e+11,,,88221.3779084,88221.3779084,434309.0,80068.9,2.46580857484,1.52665e+16,125.248392084,2620.76,0.12282,0.5,100,13.5281385281,125.248392084
nan,1544,1.98393e+10,nan,313.971759363,1,3.59816e-06,1.86487e-07,50000,1173.6,,,659827.622722,659827.622722,541835.0,52278.7,4.16639029258,3.25437e+07,313.971759363,4045.0,0.0997766,0.5,100,32.3834196891,313.971759363
nan,1404,1.1507e+09,nan,346.40079274,1,3.95695e-06,3.09851e-07,50000,241.138,,,837070.173951,837070.173951,562111.0,56308.8,4.83842171327,8.3914e+06,346.40079274,4199.36,0.137699,0.5,100,35.6125356125,346.40079274
nan,644,3.92497e+06,nan,767.098177686,1,8.62664e-06,1.02349e-07,50000,53.4218,,,2029867.3798,2029867.3798,745684.0,43640.0,13.7351397875,191915.0,767.098177686,4244.98,0.0309908,0.5,100,77.6397515528,767.098177686
nan,480,52710.2,nan,1032.86319138,1,1.15741e-05,1.89496e-08,50000,19.3034,,,2528396.03752,2528396.03752,765583.0,32201.6,15.116331516,13441.5,1032.86319138,4321.9,0.00805936,0.5,100,104.166666667,1032.86319138
nan,276,2895.39,nan,1803.88389725,1,2.01288e-05,5.92087e-08,50000,4.45122,,,4026374.43302,4026374.43302,838132.0,19606.7,4.01840319285,5074.2,1803.88389725,4364.86,0.022946,0.5,100,181.15942029,1803.88389725
nan,356,115673.0,nan,1396.01980272,1,1.56055e-05,2.88986e-07,50000,9.87314,,,3288064.21161,3288064.21161,821396.0,25618.3,4.20062164025,42496.0,1396.01980272,4329.99,0.0671692,0.5,100,140.449438202,1396.01980272
nan,268,78.8041,nan,1858.31430793,1,2.07297e-05,4.65194e-09,50000,2.69805,,,4365020.94782,4365020.94782,861850.0,21145.8,3.04576843893,315.523,1858.31430793,4401.62,0.00242423,0.5,100,186.567164179,1858.31430793
nan,228,269.411,nan,2185.76649948,1,2.43665e-05,1.82211e-08,50000,2.96287,,,4316595.13069,4316595.13069,850221.0,17448.5,7.28062586702,958.055,2185.76649948,4369.43,0.00787898,0.5,100,219.298245614,2185.76649948
nan,284,160.623,nan,1752.77677652,1,1.95618e-05,5.03599e-09,50000,3.49358,,,4036812.04928,4036812.04928,836512.0,21069.5,3.36040684525,466.375,1752.77677652,4379.22,0.0026114,0.5,100,176.056338028,1752.77677652
nan,196,62.9919,nan,2544.04558672,1,2.83447e-05,6.80732e-09,50000,2.72663,,,3733293.5716,3733293.5716,859844.0,16038.1,2.74522533467,275.066,2544.04558672,4347.04,0.00285945,0.5,100,255.102040816,2544.04558672
nan,192,31.3439,nan,2597.71166008,1,2.89352e-05,5.61435e-09,50000,2.16199,,,4009541.1635,4009541.1635,869661.0,12632.7,3.74644108534,199.846,2597.71166008,4396.05,0.00267467,0.5,100,260.416666667,2597.71166008
