eRenyi2,AvgVanillaIw,VarDiscRet,AvgDiscRet,MinVanillaIw,AvgEpLen,VanillaAvgRet,VarNormIw,AvgNormIw,MaxNormIw,AvgRet,Bound,ESSRenyi,J,MinNormIw,VarJ,VarVanillaIw,ESSClassic,IterType,MaxVanillaIw,EpsThisIter,VarRet,BatchSize
13.5773535,1.5776004,8461.533767404411,97.23881347052911,3.4635614e-09,10.73,97.23881347052911,0.003078942,0.01,0.542459,97.23881347052911,213.73431,7.3652056099061545,362.54453,2.1954619e-11,663.64825,76.62942,3.1764663157595274,1,85.578354,100,8461.533767404411,100
22.858559,2.112773,636703.1752693742,507.32929646082454,1.0673109e-10,51.73,507.32929646082454,0.0032240797,0.01,0.47016582,507.32929646082454,2185.6953,4.374729024267077,4197.613,5.0517067e-13,4949.59,143.91678,3.037816439926673,1,99.335365,100,636703.1752693742,100
5.6704006,1.1627796,3464160.866994447,2302.664779741035,4.3142204e-10,231.04,2302.664779741035,0.0004673524,0.01,0.1222111,2302.664779741035,3666.4595,17.63543825386665,4668.519,3.710265e-12,1211.9589,6.3188663,17.77212864289394,1,14.210457,100,3464160.866994447,100
1.6091462,0.9559315,1766602.7137575469,4346.434595728201,4.0154577e-05,434.92,4346.434595728201,7.88887e-05,0.01,0.031968433,4346.434595728201,4391.319,62.144755819851646,4925.126,4.2005706e-07,253.31465,0.7208888,56.148291064249314,1,3.055963,100,1766602.7137575469,100
1.0783212,0.9738296,328886.09100741235,4909.294521064977,0.11873244,490.97,4909.294521064977,9.192699e-06,0.01,0.014936229,4909.294521064977,4549.132,92.73674512310608,4986.111,0.0012192321,81.24873,0.08717842,91.65838128688482,1,1.4545343,100,328886.09100741235,100
1.0495638,0.99090165,114472.4603410399,4952.8756724984405,0.3019094,495.32,4952.8756724984405,5.5579712e-06,0.01,0.013238644,4952.8756724984405,4548.5156,95.2776794365622,4979.6284,0.0030468148,156.99458,0.05457296,94.78460231080211,1,1.3118194,100,114472.4603410399,100
1.0,1.0,0.014226406267496581,4999.901358853705,1.0,500.0,4999.901358853705,3.5044917e-18,0.009999998,0.01,4999.901358853705,4579.0913,100.0,4999.902,0.01,0.11865277,,100.0,1,1.0,100,0.014226406267496581,100
1.0,1.0,246481.69884083615,4934.022431149259,1.0,493.44,4934.022431149259,3.5044917e-18,0.009999998,0.01,4934.022431149259,4513.212,200.0,4934.0225,0.01,493.98065,,100.0,,1.0,100,246481.69884083615,200
1.0750216,0.9492981,195442.788844729,4947.861723592281,0.16933076,494.815,4947.861723592281,2.4389421e-06,0.005,0.007305587,4947.861723592281,4678.116,186.04276921490342,4986.634,0.0008918735,110.26865,0.087915756,182.3038111271045,1,1.387036,100,195442.788844729,200
1.0,1.0,0.007590342016689212,4999.904939684689,1.0,500.0,4999.904939684689,3.5044917e-18,0.009999998,0.01,4999.904939684689,4579.094,200.0,4999.905,0.01,0.08669356,,100.0,2,1.0,100,0.007590342016689212,200
1.000002,0.9999766,0.041004265123256084,4999.902216643936,0.9959171,500.0,4999.902216643936,1.16966645e-11,0.005,0.0050043818,4999.902216643936,4702.3447,199.99959468923691,4999.903,0.004979702,0.20132314,4.6784956e-07,199.9998832792306,1,1.000853,100,0.041004265123256084,200
1.0,1.0,0.006858841366405251,4999.915706020255,1.0,500.0,4999.915706020255,3.5044917e-18,0.009999998,0.01,4999.915706020255,4579.105,200.0,4999.9155,0.01,0.08241393,,100.0,2,1.0,100,0.006858841366405251,200
1.0000005,0.9999872,0.031547833569631006,4999.909802098705,0.9927365,500.0,4999.909802098705,4.2350182e-11,0.005,0.0050058174,4999.909802098705,4702.352,199.99990463261383,4999.91,0.0049637463,0.17615719,1.6939679e-06,199.9996475400352,1,1.0011506,100,0.031547833569631006,200
1.0,1.0,135485.36914755937,4963.114038418064,1.0,496.33,4963.114038418064,3.5044917e-18,0.009999998,0.01,4963.114038418064,4542.303,200.0,4963.114,0.01,366.23834,,100.0,2,1.0,100,135485.36914755937,200
1.0,1.0,67742.6402884913,4981.516854721878,1.0,498.165,4981.516854721878,2.179301e-19,0.0049999994,0.005,4981.516854721878,4683.9585,300.0,4981.5166,0.005,259.62265,,200.00000010221265,,1.0,100,67742.6402884913,300
1.0215514,0.990708,45161.54406005124,4987.642473518814,0.36253804,498.77666666666664,4987.642473518814,2.8720245e-07,0.0033333336,0.0041414252,4987.642473518814,4749.8716,293.67098770344785,4995.4307,0.0012197945,77.80505,0.025370091,292.46545820548533,1,1.2308829,100,45161.54406005124,300
