VarRet,MaxVanillaIw,delta,AvgRet,IterType,AvgVanillaIw,VarNormIw,ESSClassic,EpsThisIter,VarJ,AvgEpLen,BatchSize,AvgNormIw,MaxNormIw,MinVanillaIw,renyi2,Bound,ESSRenyi,J,VarVanillaIw,AvgDiscRet,VarDiscRet,SamplesThisIter,VanillaAvgRet,MinNormIw
4908.67696931,6527.82,0.5,129.496285175,1,1.53853,1.08061e-09,3.52951023733,3524,24185.8,14.1884222474,100,1.57649e-06,0.0066889,,nan,298.486,nan,50077.8,1029.19,129.496285175,4908.67696931,50000,129.496285175,
5375.19983321,6578.92,0.5,131.336865173,1,1.58701,1.25606e-09,2.30879433863,3476,25039.9,14.3843498274,100,1.59826e-06,0.00662557,,nan,314.388,nan,56231.6,1238.44,131.336865173,5375.19983321,50000,131.336865173,
6200.547852,9.21259e+06,0.5,132.391490648,1,34.8404,5.86814e-07,1.99657103001,3448,32249.4,14.5011600928,100,1.61124e-06,0.426048,,nan,395.959,nan,67902.5,2.74376e+08,132.391490648,6200.547852,50000,132.391490648,
5966.8228472,9.35743e+06,0.5,137.122995844,1,42.0801,4.7087e-07,2.23632421182,3332,24818.1,15.006002401,100,1.66733e-06,0.370768,,nan,330.223,nan,59351.7,2.99923e+08,137.122995844,5966.8228472,50000,137.122995844,
6851.23935843,2671.71,0.5,147.903817756,1,1.46903,8.97981e-10,2.74533076631,3094,20435.1,16.160310278,100,1.79559e-06,0.00326561,,nan,325.79,nan,58566.1,601.055,147.903817756,6851.23935843,50000,147.903817756,
8186.51976039,5759.82,0.5,181.523969425,1,1.92318,2.29644e-09,1.59092549313,2530,23602.8,19.7628458498,100,2.19587e-06,0.00657651,,nan,349.862,nan,70370.0,1761.49,181.523969425,8186.51976039,50000,181.523969425,
8041.71042817,10219.8,0.5,194.602287698,1,2.33185,2.8312e-09,4.57344281004,2362,20192.2,21.1685012701,100,2.35206e-06,0.0103083,,nan,396.592,nan,79283.0,2782.76,194.602287698,8041.71042817,50000,194.602287698,
9114.2043046,988209.0,0.5,211.666319697,1,10.7966,3.06276e-07,1.88933320706,2174,25408.2,22.9990800368,100,2.55545e-06,0.2339,,nan,415.645,nan,90330.7,5.46704e+06,211.666319697,9114.2043046,50000,211.666319697,
9187.415436,15897.4,0.5,232.292515672,1,2.40475,7.50771e-09,2.59347081777,1984,19376.1,25.2016129032,100,2.80018e-06,0.0185116,,nan,455.237,nan,84462.2,5536.99,232.292515672,9187.415436,50000,232.292515672,
10240.183365,269663.0,0.5,258.077657169,1,6.36737,1.39422e-07,1.58124556577,1788,29323.9,27.9642058166,100,3.10713e-06,0.13159,,nan,488.736,nan,108765.0,585504.0,258.077657169,10240.183365,50000,258.077657169,
11099.5250756,1478.99,0.5,278.581015766,1,1.6238,1.82e-09,3.0287317626,1658,14516.9,30.1568154403,100,3.35076e-06,0.00305195,,nan,478.878,nan,88053.3,427.415,278.581015766,11099.5250756,50000,278.581015766,
9882.29939297,12791.8,0.5,294.718024842,1,1.94073,1.18908e-08,4.98258025647,1568,17552.5,31.887755102,100,3.54308e-06,0.0233533,,nan,493.7,nan,95207.5,3567.6,294.718024842,9882.29939297,50000,294.718024842,
