VarJ,J,AvgNormIw,VarNormIw,BatchSize,IterType,EpsThisIter,MaxNormIw,VarDiscRet,MaxVanillaIw,AvgVanillaIw,AvgDiscRet,VarVanillaIw,MinVanillaIw,AvgRet,VarRet,Bound,MinNormIw,ESSClassic,eRenyi2,AvgEpLen,VanillaAvgRet,ESSRenyi
864.40564,635.6235,0.010000002,0.00637751,100,1,100,0.7989807,17647.03692024444,72.57789,0.908381,113.33971806407222,52.624416,6.992975e-19,113.33971806407222,17647.03692024444,334.77197,7.698285e-21,1.5591539629018145,23.337286,12.34,113.33971806407222,4.284988409507155
205.89078,87.20637,0.01,0.009481361,200,,100,0.9738293,72438.92934085338,1.4300065e+18,1.4684365e+16,307.9635030122281,2.0444711e+34,0.013778301,113.33971806407222,17647.03692024444,-inf,9.382973e-21,1.0541245006002318,2.3543202e-05,12.34,113.33971806407222,8495021.311700862
2104.1433,609.91675,0.005,0.00040749667,200,1,100,0.24771215,29881.117072200628,68.641846,1.3855164,126.23877502978048,31.29013,2.4021168e-15,126.23877502978048,29881.117072200628,301.14755,8.66867e-18,11.615501212043771,12.805238,13.63,126.23877502978048,15.618608852957024
955.3833,552.8172,0.009999998,3.5044917e-18,200,2,100,0.01,921977.0376160408,1.0,1.0,552.8172010212392,,1.0,552.8172010212392,921977.0376160408,132.00739,0.01,100.0,1.0,56.28,552.8172010212392,200.0
6927.1187,3912.1992,0.005,0.0007879045,200,1,100,0.33884692,844638.8098913044,102.42241,1.5113374,539.1878175741065,71.9874,2.2466256e-22,539.1878175741065,844638.8098913044,2152.852,7.4325745e-25,6.180737007741041,34.959064,54.91,539.1878175741065,5.720976889801512
1915.8934,2831.62,0.009999998,3.5044917e-18,200,2,100,0.01,3707724.866529241,1.0,1.0,2831.620104160944,,1.0,2831.620104160944,3707724.866529241,2410.8096,0.01,100.0,1.0,283.86,2831.620104160944,200.0
843.9831,4800.89,0.005,0.00011805101,200,1,100,0.06461392,3751241.039452545,13.624081,1.0542682,2699.6826315936946,5.2484603,1.8384327e-15,2699.6826315936946,3751241.039452545,4097.905,8.718999e-18,35.09738415148572,5.5814776,270.67,2699.6826315936946,35.832805007207476
1084.9397,4616.4224,0.009999998,3.5044917e-18,200,2,100,0.01,1188984.0643193694,1.0,1.0,4616.42264595731,,1.0,4616.42264595731,1188984.0643193694,4195.612,0.01,100.0,1.0,461.8,4616.42264595731,200.0
189.7446,4951.292,0.005,1.3035295e-05,200,1,100,0.01472561,1121750.2972615384,2.925521,0.99334455,4649.169961116478,0.5144945,0.011986708,4649.169961116478,1121750.2972615384,4586.1953,6.0335096e-05,131.68248617267506,1.5054722,465.07,4649.169961116478,132.84868510238806
0.39316383,4999.8066,0.009999998,3.5044917e-18,200,2,100,0.01,0.15614393652696032,1.0,1.0,4999.806630575579,,1.0,4999.806630575579,0.15614393652696032,4578.996,0.01,100.0,1.0,500.0,4999.806630575579,200.0
