EpLenMean,Weights,Bound,ESSClassic,InitialReturnMax,EpRewMean,MeanIWNorm,TimestepsSoFar,MeanIW,ReturnMeanIW,Iteration,InitialReturnMean,InitialBound,EpisodesSoFar,StdIW,MinIWNorm,EpThisIter,J_sample_variance,TimeElapsed,MaxIWNorm,MinIW,InitialReturnMin,MaxIW,EmpiricalD2,StdIWNorm,InitialReturnStd,ESSRenyi
404.43,[-0.042  0.888 -2.601 -2.095 -0.724],379.07413,16.91448,960.0298,4039.173356293611,0.009667422,309587,0.9667423,379.07413,18,-9.765625e-06,-7.6293945e-06,1800,2.1426144,4.432647e-05,100,5857907.5,135.81497645378113,0.12665458,0.004432647,-4039.1733,12.665458,10.864193,0.021426143,1477.5145,9.20455
453.06,[-0.04   0.923 -2.659 -2.132 -0.776],1020.68933,3.7661617,471.6538,4527.692448255051,0.02638438,354893,2.6384377,1020.68933,19,7.324219e-05,7.05719e-05,1900,13.337097,1.0848681e-07,100,40907010.0,152.88942074775696,1.2646291,1.0848681e-05,-4517.7124,126.46292,814.4624,0.13337095,1210.1931,0.122780375
427.95,[-0.009  0.947 -2.722 -2.289 -0.765],16317.662,1.021235,723.5386,4275.831414408505,0.23211259,397688,23.21126,16317.662,20,-7.8125e-05,-8.010864e-05,2000,228.5109,3.795414e-32,100,27536340000.0,170.49543857574463,22.968546,3.7954143e-30,-4265.851,2296.8547,2.705288e+35,2.2851088,1436.985,3.6964641e-34
382.75,[ 0.199  0.952 -2.705 -2.32  -0.865],5304.2354,1.3224491,1176.8882,3822.5647708147853,0.053470846,435963,5.347085,5304.2354,21,-0.00017822266,-0.0001411438,2100,46.18882,8.644803e-08,100,2999326200.0,187.06723189353943,4.6422725,8.6448035e-06,-3802.6013,464.22723,21429.14,0.4618882,1687.075,0.0046665426
362.67,[ 0.279  0.806 -2.754 -2.261 -0.905],8887.262,1.2251934,1378.4551,3620.9028827573707,0.06549158,472230,6.549158,8887.262,22,9.033203e-05,8.010864e-05,2200,58.803917,1.5967192e-09,100,6635666400.0,203.0433566570282,5.897019,1.5967193e-07,-3411.0703,589.7019,244640.62,0.58803904,1756.7985,0.00040876286
486.72,[ 0.183  0.743 -2.786 -2.309 -0.979],132.1639,22.87382,133.91016,4865.69666972732,0.0105603365,520902,1.0560336,132.1639,23,-2.9296874e-05,-3.9577484e-05,2300,1.9391406,7.470557e-05,100,73280.086,220.86959505081177,0.10959453,0.007470557,-4595.923,10.959454,15.434464,0.019391404,663.8844,6.479007
500.0,[ 0.105  0.721 -2.859 -2.303 -1.   ],0.08085017,22.465519,0.4008789,4999.215787948441,0.007410448,570902,0.7410448,0.08085017,24,-2.9296874e-05,-2.9295217e-05,2400,1.3766822,3.6767316e-05,100,0.09215381,238.0623459815979,0.10567581,0.0036767318,-0.75683594,10.567581,8.186636,0.0137668215,0.21959819,12.21503
495.63,[ 0.062  0.717 -2.87  -2.304 -1.039],430.8346,1.0189788,44.09619,4955.587573795,0.09806227,620465,9.806226,430.8346,25,0.00014648438,0.0001462698,2500,96.64855,1.4359313e-11,100,18214894.0,252.51030778884888,9.714288,1.4359314e-09,-4335.9775,971.4288,322861.2,0.96648526,435.7822,0.00030973065
500.0,[ 0.073  0.647 -2.968 -2.264 -1.16 ],,nan,0.20263672,4999.508148134902,,670465,,,26,-0.00015136719,-0.00015136704,2600,,,100,,271.3414988517761,,,-0.33789062,,inf,,0.11898919,
54.47,[-1.053  0.376 -3.366 -2.296 -1.329],45.383175,32.32671,525.30664,534.4931449198974,0.011322699,675912,1.13227,45.383175,27,-2.0751953e-05,-2.0503998e-05,2700,1.6382413,0.00021333218,100,305918.78,273.74251914024353,0.09839431,0.02133322,-184.74738,9.839432,4.298915,0.016382413,131.80145,23.261684
58.92,[-1.076  0.392 -3.426 -2.483 -1.338],46.508625,21.840662,720.81085,578.9955292124758,0.007108737,681804,0.71087366,46.508625,28,-1.373291e-05,-1.5735626e-05,2800,1.344776,0.00010083444,100,122319.555,278.3220217227936,0.08594261,0.010083444,-219.25555,8.594261,16.215446,0.01344776,193.89204,6.1669593
59.31,[-1.062  0.457 -3.446 -2.501 -1.347],104.31471,2.0607443,726.87604,582.8806540884657,0.006668674,687735,0.6668674,104.31471,29,-2.3193359e-05,-2.2649765e-05,2900,4.597331,1.495984e-06,100,1005262.6,282.958655834198,0.46170044,0.0001495984,-203.15045,46.170044,746.1643,0.045973312,176.51976,0.13401873
66.08,[-1.024  0.528 -3.469 -2.593 -1.367],1107.0586,1.2827033,789.18964,650.56738955789,0.03646393,694343,3.646393,1107.0586,30,-5.3710937e-05,-5.221367e-05,3000,31.988728,1.5211663e-05,100,118905160.0,288.03618359565735,3.2145288,0.0015211663,-250.79855,321.45288,1139708500.0,0.3198873,214.3565,8.774173e-08
65.82,[-0.998  0.538 -3.45  -2.631 -1.157],112.455894,2.0074847,831.80725,647.9674106619543,0.017473837,700925,1.7473837,112.455894,31,-3.0517579e-06,,3100,12.208396,4.97471e-08,100,1262500.1,293.1794261932373,1.2133929,4.97471e-06,-238.24261,121.33929,1101.1989,0.12208396,205.46954,0.09081012
72.32,[-1.025  0.674 -3.477 -2.813 -1.238],92.44301,25.705368,706.7292,712.9551691279567,0.012723937,708157,1.2723938,92.44301,32,3.112793e-05,3.20673e-05,3200,2.163159,2.3113018e-05,100,785615.25,299.22773122787476,0.120885104,0.0023113019,-712.95514,12.0885105,6.0060596,0.021631587,223.54506,16.64985
71.09,[-1.075  0.722 -3.478 -2.73  -1.324],77.977585,2.8523514,909.0904,700.6503355186862,0.017008377,715266,1.700838,77.977585,33,7.93457e-06,5.841255e-06,3300,9.926076,4.6898935e-10,100,812455.25,303.9697780609131,0.9033339,4.6898936e-08,-270.93283,90.33339,210.4262,0.09926076,198.01648,0.475226
80.05,[-1.073  0.794 -3.461 -2.779 -1.463],37.69298,42.606487,1309.4666,790.2462528001489,0.009162834,723271,0.91628337,37.69298,34,-2.0751953e-05,-2.2172928e-05,3400,1.0634652,0.00051953556,100,237985.11,309.2265238761902,0.063064724,0.051953558,-320.5207,6.306473,3.4103014,0.010634652,269.9541,29.322922
80.23,[-1.119  0.823 -3.471 -2.72  -1.455],39.002388,21.779425,987.67706,792.0480649564519,0.0050199316,731294,0.50199324,39.002388,35,3.2958986e-05,3.1471252e-05,3500,0.95133877,3.7068236e-05,100,240489.5,315.2371802330017,0.05594901,0.0037068236,-262.34576,5.594901,30.196836,0.009513387,248.18541,3.3116052
73.79,[-1.189  0.838 -3.495 -2.711 -1.462],103.96307,1.9302106,1232.0461,727.6483404058303,0.016883017,738673,1.6883018,103.96307,36,8.789063e-05,8.869171e-05,3600,12.034148,1.10269065e-08,100,724948.6,319.5358428955078,1.1478049,1.1026907e-06,-247.8989,114.78049,301.9529,0.12034147,208.53296,0.33117747
81.66,[-1.207  0.931 -3.518 -2.669 -1.55 ],119.244835,12.307066,893.3886,806.3497984924797,0.0072635477,746839,0.7263548,119.244835,37,4.8828124e-06,8.583069e-06,3700,1.9388928,1.6272075e-05,100,1343267.0,325.2425026893616,0.12544288,0.0016272076,-796.3684,12.544288,79.25057,0.019388929,249.30896,1.2618206
80.5,[-1.18   0.962 -3.527 -2.697 -1.584],380.5741,3.3344178,615.0094,794.7561946599817,0.020720327,754889,2.0720327,380.5741,38,-2.380371e-05,-2.4616718e-05,3800,11.156361,6.540103e-06,100,12533187.0,330.5579631328583,1.0618304,0.00065401033,-235.0271,106.183044,37379.375,0.11156359,175.49527,0.002675272
81.75,[-1.207  0.971 -3.532 -2.755 -1.412],291.49838,13.327591,1152.4753,807.2473963415177,0.012303548,763064,1.2303548,291.49838,39,7.507324e-05,7.43866e-05,3900,3.137581,0.00010598262,100,10846792.0,336.71822786331177,0.28477883,0.010598262,-797.2672,28.477884,91.779564,0.03137581,244.3459,1.0895672
82.9,[-1.267  1.    -3.54  -2.727 -1.312],205.9321,3.7416368,850.9855,818.7512244106473,0.041124612,771354,4.1124606,205.9321,40,4.8828124e-06,4.7683716e-07,4000,20.85884,1.331245e-06,100,8592317.0,342.2577760219574,1.3709397,0.0001331245,-818.7512,137.09398,5043.854,0.2085884,217.91844,0.019826109
95.14,[-1.263  1.098 -3.538 -2.624 -1.28 ],694.32214,1.5631759,1708.5667,941.1582200625926,0.024516089,780868,2.451609,694.32214,41,7.446289e-05,7.4863434e-05,4100,19.45477,1.648864e-08,100,41136424.0,348.403281211853,1.9462605,1.6488641e-06,-371.42987,194.62605,2418.3857,0.19454767,330.55063,0.041349895
94.32,[-1.267  1.188 -3.54  -2.518 -1.389],43.096176,49.45874,946.761,932.9775777713952,0.009591796,790300,0.9591797,43.096176,42,-7.93457e-05,-7.724762e-05,4200,0.96962,0.00086041156,100,307859.78,355.59138464927673,0.057264157,0.08604116,-283.2345,5.7264156,3.6908622,0.0096962,286.647,27.09394
95.16,[-1.269  1.206 -3.536 -2.545 -1.322],182.72266,8.925227,1018.3639,941.3876420668587,0.014325565,799816,1.4325566,182.72266,43,7.019043e-05,6.7949295e-05,4300,4.57616,1.1362459e-05,100,4083066.8,361.15090322494507,0.39241466,0.0011362459,-941.3876,39.241467,19.85346,0.045761596,262.62006,5.0369053
91.8,[-1.236  1.184 -3.563 -2.694 -1.383],280.5344,7.3962364,962.0058,907.7869377953268,0.010099281,808996,1.0099282,280.5344,44,1.0375977e-05,1.0967255e-05,4400,3.5735464,1.06825e-05,100,8942469.0,367.3024137020111,0.31022084,0.00106825,-278.0348,31.022083,96.92181,0.03573546,229.5967,1.0317595
98.63,[-1.31   1.251 -3.53  -2.532 -1.386],2331.682,1.4356159,1013.6971,976.0830237040766,0.055695176,818859,5.569517,2331.682,45,-4.5166016e-05,-5.054474e-05,4500,46.148586,2.6070535e-11,100,537276350.0,373.02793645858765,4.6015863,2.6070535e-09,-296.3731,460.15863,96801.13,0.46148592,266.3607,0.0010330458
102.05,[-1.28   1.338 -3.533 -2.484 -1.397],67.015076,43.86251,1459.486,1010.3089911759595,0.009455808,829064,0.94558084,67.015076,46,2.8076172e-05,3.0517578e-05,4600,1.0697404,6.300524e-05,100,304056.25,379.9438409805298,0.053124197,0.006300524,-300.5028,5.31242,3.2231522,0.010697404,247.33493,31.025528
101.12,[-1.317  1.385 -3.542 -2.433 -1.454],164.45174,2.7664726,708.8013,1001.007570099773,0.019553663,839176,1.9553664,164.45174,47,-2.4414062e-06,-1.9073486e-06,4700,11.59239,1.1878015e-09,100,3114127.8,386.42793011665344,1.1214956,1.1878015e-07,-301.2168,112.14957,998.3734,0.1159239,227.38168,0.10016292
96.31,[-1.363  1.37  -3.543 -2.486 -1.592],154.23143,12.452208,916.9124,952.9003297995588,0.018275341,848807,1.8275342,154.23143,48,6.1035155e-07,-4.7683716e-07,4800,4.8457937,5.76502e-05,100,1353113.1,391.6037566661835,0.44291908,0.00576502,-273.10773,44.29191,6.938382,0.048457935,197.36969,14.412581
101.03,[-1.397  1.396 -3.541 -2.449 -1.682],85.93643,17.472204,1059.6882,1000.0985458570009,0.006209282,858910,0.6209282,85.93643,49,-2.5024414e-05,-2.3841858e-05,4900,1.3494838,4.9381388e-06,100,974089.9,397.7382700443268,0.103715494,0.0004938139,-300.35004,10.37155,15.566385,0.013494839,289.71356,6.424099
103.45,[-1.383  1.416 -3.552 -2.478 -1.749],280.31598,4.664826,905.5045,1024.3111522518745,0.01381336,869255,1.3813361,280.31598,50,-3.6621093e-06,-4.053116e-06,5000,6.244651,4.6708083e-06,100,5812417.5,404.0278880596161,0.5770532,0.00046708083,-304.5437,57.70532,380.2055,0.06244651,240.25806,0.26301566
101.62,[-1.336  1.399 -3.568 -2.579 -1.71 ],41.967674,16.161474,1103.8093,1006.0196951682931,0.0055121933,879417,0.55121934,41.967674,51,-7.5683594e-05,-7.724762e-05,5100,1.2554684,3.3407527e-05,100,231988.53,410.32780838012695,0.108343884,0.0033407528,-316.27466,10.834389,81.10451,0.012554684,227.49815,1.2329772
101.91,[-1.294  1.391 -3.575 -2.627 -1.662],415.97336,2.3939984,800.8939,1008.9291919484292,0.015796315,889608,1.5796317,415.97336,52,-1.15966795e-05,-1.001358e-05,5200,10.086308,1.0294684e-07,100,17118678.0,416.40749049186707,0.99989986,1.0294684e-05,-1008.9292,99.98999,566.3471,0.10086307,247.98502,0.17657016
99.57,[-1.244  1.376 -3.581 -2.739 -1.755],350.14078,5.564565,944.2976,985.5358230500976,0.019513272,899565,1.9513271,350.14078,53,6.0424805e-05,5.9604645e-05,5300,8.038629,6.229775e-09,100,2786215.0,422.8614010810852,0.49880102,6.229775e-07,-265.7403,49.880104,5025.8306,0.08038628,249.12943,0.01989721
111.87,[-1.298  1.495 -3.577 -2.591 -1.766],111.53772,12.144334,1691.2969,1108.5475741537625,0.006041246,910752,0.60412455,111.53772,54,-2.4414063e-05,-2.861023e-05,5400,1.6248924,3.1351846e-07,100,2291170.8,429.7560439109802,0.11594303,3.1351847e-05,-1108.5476,11.594303,173.26216,0.016248921,370.54727,0.57716006
108.58,[-1.33   1.478 -3.575 -2.604 -1.792],93.23328,2.1154187,1134.2179,1075.6385518605932,0.008903129,921610,0.890313,93.23328,55,1.8310546e-06,4.7683716e-07,5500,6.056221,8.487462e-09,100,967060.3,434.6617670059204,0.59731984,8.4874625e-07,-365.8581,59.731983,2392.2568,0.060562212,258.17462,0.04180153
112.77,[-1.325  1.531 -3.586 -2.551 -1.915],165.60266,5.522515,862.3076,1117.5534276148576,0.020211384,932887,2.0211384,165.60266,56,-3.7841797e-05,-3.9100647e-05,5600,8.359721,6.5681515e-06,100,5645263.5,441.6675329208374,0.7512875,0.0006568152,-347.745,75.12875,41.155903,0.08359721,243.8381,2.429785
115.07,[-1.305  1.546 -3.588 -2.554 -1.966],481.2037,4.669101,1199.31,1140.5571245544727,0.014197421,944394,1.4197421,481.2037,57,-1.8310546e-06,-5.2452087e-06,5700,6.4151926,4.5945626e-06,100,20865906.0,448.4581050872803,0.5972398,0.0004594563,-360.75732,59.72398,1003.9855,0.06415192,295.30322,0.099603035
114.93,[-1.349  1.571 -3.592 -2.492 -1.888],807.7974,2.245541,1270.7069,1139.149967820484,0.016613107,955887,1.6613107,807.7974,58,-6.225586e-05,-6.246567e-05,5800,10.961214,1.0282644e-09,100,68344420.0,454.4833538532257,1.0859547,1.0282644e-07,-319.3479,108.595474,649.4094,0.109612145,303.2821,0.15398607
107.2,[-1.377  1.556 -3.597 -2.499 -1.993],60.939465,3.776012,808.0144,1061.8451369480229,0.011778552,966607,1.1778553,60.939465,59,0.00016235352,0.00015926361,5900,5.94589,1.4234091e-05,100,526509.56,461.5829803943634,0.58552563,0.0014234092,-1061.845,58.552563,25.829361,0.059458904,234.40067,3.871563
112.95,[-1.376  1.591 -3.597 -2.467 -1.998],50.403725,20.933062,1490.5078,1119.3523034524658,0.010532822,977902,1.0532821,50.403725,60,9.765625e-06,1.3947487e-05,6000,2.0470376,3.074108e-05,100,230085.05,467.4082884788513,0.14378044,0.0030741082,-1109.3718,14.378044,5.3722076,0.020470377,342.73096,18.61432
118.17,[-1.374  1.615 -3.603 -2.445 -2.032],326.52148,2.477534,1188.3107,1171.5581843182783,0.00861624,989719,0.86162394,326.52148,61,-3.967285e-05,-3.9339066e-05,6100,5.405803,1.8188751e-07,100,12534942.0,474.27613830566406,0.52844757,1.8188752e-05,-1171.5582,52.84476,266.2686,0.054058027,301.57343,0.37556064
124.27,[-1.368  1.645 -3.617 -2.395 -2.134],86.245026,11.914057,1637.3036,1232.5642880863334,0.006183859,1002146,0.618386,86.245026,62,-3.601074e-05,-3.7670135e-05,6200,1.6814464,4.754354e-06,100,1102763.1,481.1952962875366,0.12998103,0.00047543543,-362.74792,12.998102,40.561596,0.016814465,323.8444,2.4653862
118.74,[-1.387  1.64  -3.613 -2.369 -2.176],2706.6323,1.2172854,1142.6133,1177.258344742327,0.059383936,1014020,5.9383936,2706.6323,63,5.0048828e-05,5.00679e-05,6300,53.494995,9.27918e-14,100,699565630.0,488.19517183303833,5.3684473,9.279181e-12,-347.46906,536.8447,460155.38,0.5349501,278.07428,0.0002173179
121.92,[-1.395  1.64  -3.615 -2.376 -2.403],149.57855,4.0418987,1240.8123,1209.0595684615846,0.010501449,1026212,1.0501448,149.57855,64,1.2207031e-06,-1.4305115e-06,6400,5.116786,2.8677704e-07,100,1892999.4,495.6517276763916,0.37948376,2.8677703e-05,-399.27283,37.948376,551.1055,0.05116786,288.05432,0.18145345
120.69,[-1.374  1.646 -3.617 -2.383 -2.427],401.8881,3.0467637,1473.1189,1196.7648312503468,0.0146601545,1038281,1.4660155,401.8881,65,-5.6762696e-05,-5.197525e-05,6500,8.2699,4.6891762e-07,100,6793146.0,502.4114148616791,0.80036175,4.6891764e-05,-336.94843,80.03618,1889.0251,0.082699,305.88934,0.05293736
