Weights,ReturnMeanIW,InitialReturnMean,MeanIW,MinIWNorm,Bound,MaxIW,EpThisIter,EmpiricalD2,ESSRenyi,Iteration,InitialReturnStd,MinIW,InitialReturnMax,EpRewMean,StdIW,TimeElapsed,TimestepsSoFar,InitialBound,MeanIWNorm,MaxIWNorm,EpisodesSoFar,StdIWNorm,J_sample_variance,InitialReturnMin,ESSClassic,EpLenMean
[-0.689  0.919 -0.673  0.288  0.   ],15.333357,3.4332274e-06,0.82293236,1.2344288e-05,15.333357,10.306631,100,3.0214202,33.09702,1,23.445208,0.0012344288,151.9577,37.97746625903477,1.1716206,0.7569947242736816,480,3.6358833e-06,0.008229324,0.10306631,100,0.011716206,24996.863,-37.977463,33.03642,4.8
[-0.603  1.365 -0.924 -0.349 -0.319],51.502003,-9.918213e-07,1.0475262,3.219193e-05,51.502003,23.560423,100,178.61993,0.55984795,2,29.535322,0.003219193,122.51413,47.36923149739563,3.0679953,2.6084389686584473,1054,-1.3709068e-06,0.010475261,0.23560423,200,0.03067995,127234.59,-37.388245,10.440734,5.74
[-0.438  1.544 -0.983 -0.998 -0.224],790.6178,-1.5258789e-06,5.3994904,1.2943057e-21,790.6178,512.8467,100,303040100000.0,3.2998934e-10,3,51.29173,1.2943058e-19,175.26967,74.65620301425142,51.00419,4.368500709533691,1901,-1.1920929e-06,0.053994898,5.1284666,300,0.51004183,63364216.0,-74.656204,1.1082909,8.47
[-0.102  0.242 -0.638 -0.962 -0.511],1435.269,1.9836425e-05,3.4661734,2.9221718e-16,1435.269,234.74413,100,390409420000.0,2.5614136e-10,4,217.15947,2.922172e-14,994.9972,264.45866834632375,23.835556,6.667821645736694,4647,2.4676323e-05,0.034661733,2.3474412,400,0.23835553,170726420.0,-254.47894,2.0709124,27.46
[-0.359  0.262 -0.761 -1.161 -0.601],20110.371,-2.380371e-05,27.076277,1.151198e-08,20110.371,2614.1475,100,1533.0608,0.065228984,5,231.80449,1.151198e-06,767.2196,362.5208529551121,260.0366,9.372307062149048,8374,-2.336502e-05,0.2707627,26.141474,500,2.6003656,40224137000.0,-352.53775,1.0725702,37.27
[-0.126  0.141 -0.809 -1.241 -0.798],7007.882,-6.713867e-06,7.907608,5.5078857e-07,7007.882,417.5701,100,953823.8,0.000104841165,6,317.34558,5.507886e-05,1016.6022,493.18343689389434,52.22582,12.81715440750122,13408,-5.722046e-06,0.079076074,4.1757007,600,0.52225816,2393941500.0,-483.19662,2.2411745,50.34
[-0.189  0.335 -0.984 -1.615 -0.73 ],46368.504,9.765625e-05,58.404263,1.9540017e-33,46368.504,5610.8086,100,1.3098761e+33,7.63431e-32,7,364.70538,1.9540017e-31,1001.0521,818.6283925082305,558.47375,16.850340127944946,21697,9.918213e-05,0.5840426,56.108086,700,5.5847363,212183240000.0,-778.69617,1.0818318,82.89
[ 0.011  0.671 -1.144 -1.803 -0.823],1465.0237,4.8828124e-06,1.5504816,7.19078e-05,1465.0237,63.54154,100,40.23622,2.485323,8,618.9995,0.0071907802,2206.2197,802.9707590503748,6.589214,22.011679887771606,29830,1.4305115e-05,0.015504817,0.6354154,800,0.06589213,168595470.0,-802.97076,5.2464056,81.33
[-0.041  0.567 -1.192 -1.756 -0.893],9725.966,6.1035155e-07,6.1288204,2.5559352e-08,9725.966,574.25586,100,1062409.2,9.412569e-05,9,887.0749,2.5559352e-06,3858.82,1140.218018115617,57.105865,26.73524808883667,41336,-4.7683716e-06,0.061288204,5.7425585,900,0.57105863,9745042000.0,-1130.2372,1.1387242,115.06
[ 0.01   0.5   -1.296 -1.662 -1.033],77571.125,5.0048828e-05,23.457605,1.4271437e-07,77571.125,2164.2302,100,4747.676,0.021062938,10,1179.9369,1.4271437e-05,3551.7031,1447.4464411277118,215.63718,34.35772490501404,55913,4.673004e-05,0.23457603,21.642302,1000,2.1563716,590807300000.0,-1447.4464,1.1695293,145.77
[-0.032  0.424 -1.332 -1.693 -1.071],649.4688,9.2773436e-05,1.1279758,0.0011007217,649.4688,6.0357704,100,1.7898222,55.87147,11,1493.2795,0.11007217,2453.9783,2545.3093994405017,0.93695396,43.047173738479614,81461,8.773804e-05,0.011279758,0.0603577,1100,0.009369539,5851917.0,-2545.3093,59.172276,255.48
[-0.033  0.459 -1.401 -1.726 -1.081],13311.236,9.765625e-05,7.2222457,8.0821495e-11,13311.236,412.59546,100,15646798000.0,6.391084e-09,12,1682.5723,8.08215e-09,2429.2878,2569.873429124155,46.684795,56.62648916244507,107250,7.6293945e-05,0.072222464,4.1259546,1200,0.466848,11640734000.0,-2539.9297,2.3373415,257.89
[ 0.027  0.405 -1.518 -1.612 -1.159],31613.096,0.00012695312,15.516963,2.2638145e-09,31613.096,1534.7335,100,23031042.0,4.341966e-06,13,1647.3503,2.2638145e-07,2064.4067,2934.9591086909954,152.68755,70.5773515701294,136685,0.000102996826,0.15516962,15.347335,1300,1.5268753,100386910000.0,-2655.1765,1.0222191,294.35
[-0.026  0.354 -1.555 -1.622 -1.111],5116.502,0.00044189452,3.2110484,8.400614e-07,5116.502,285.94443,100,2063.5952,0.048459116,14,1511.5325,8.400614e-05,1700.3633,3299.1747479443065,28.436384,87.48442339897156,169757,0.00045204163,0.032110482,2.8594441,1400,0.28436384,2363904300.0,-3299.1743,1.2590476,330.72
[-0.004  0.316 -1.581 -1.695 -1.156],663.63336,1.4648437e-05,1.1030126,3.88693e-05,663.63336,8.800498,100,11.220029,8.912633,15,1345.53,0.0038869302,847.08936,4152.331536248536,1.6214375,105.36311268806458,211325,1.9073486e-05,0.0110301245,0.08800498,1500,0.016214374,2632852.2,-3772.5254,31.636314,415.68
[ 0.003  0.363 -1.696 -1.768 -1.159],636.77344,-0.00016113282,1.5538629,5.248892e-06,636.77344,54.211082,100,293.0588,0.34122846,16,1298.1373,0.0005248892,602.77783,4396.819639297004,5.8960843,123.01462912559509,255326,-0.00013923645,0.015538628,0.5421108,1600,0.058960844,14464199.0,-4366.865,6.4943523,440.01
[ 0.007  0.31  -1.746 -1.748 -1.117],233.90967,0.00044433595,1.0095944,0.0015992146,233.90967,3.7268457,100,2.2771323,43.914883,17,1511.1204,0.15992147,716.4741,4282.963295737232,0.7848539,140.13949036598206,298190,0.00045776367,0.010095943,0.037268456,1700,0.007848538,1664176.6,-4282.963,62.330803,428.64
[ 0.008  0.31  -1.777 -1.778 -1.143],338.83496,0.00034667968,1.1971557,6.495473e-06,338.83496,21.769245,100,24.1208,4.1457996,18,1173.5105,0.0006495473,450.18066,4549.389487385112,3.0657785,156.52380990982056,343710,0.0003452301,0.011971558,0.21769245,1800,0.030657785,2360571.5,-4539.4077,13.23078,455.2
[ 0.002  0.326 -1.798 -1.763 -1.198],693.581,-0.00012695312,1.8546379,3.265128e-19,693.581,179.95967,100,1.4756879e+17,6.776501e-16,19,1050.5236,3.265128e-17,402.604,4597.102436797327,17.901594,173.49555134773254,389706,-0.000118255615,0.01854638,1.7995967,1900,0.17901596,52656360.0,-4597.1025,1.0619358,459.96
[ 0.059  0.379 -1.862 -1.704 -1.254],2566.4314,-1.4648437e-05,4.4970417,4.727159e-12,2566.4314,439.82278,100,26629218.0,3.7552736e-06,20,1265.7623,4.727159e-10,579.23975,4420.377893643515,43.752605,189.77588558197021,433942,3.4332275e-05,0.04497041,4.3982277,2000,0.43752608,648843650.0,-4040.7852,1.0453987,442.36
[-1.291e-03  4.195e-01 -1.921e+00 -1.606e+00 -1.281e+00],155.43492,6.8359375e-05,1.5940659,2.7028686e-05,155.43492,54.024845,100,450.3781,0.22203566,21,601.7951,0.0027028685,105.654785,4894.025410908294,6.322872,207.8643615245819,482894,6.914139e-05,0.015940659,0.54024845,2100,0.06322871,459393.4,-4244.517,5.976155,489.52
[ 0.016  0.35  -1.985 -1.556 -1.241],615.5674,-0.00012695312,4.1465516,2.973423e-10,615.5674,389.45538,100,553343360.0,1.8071961e-07,22,772.2216,2.973423e-08,153.49854,4846.177095426342,38.75826,224.42160415649414,531368,-0.00013113022,0.041465517,3.8945537,2200,0.38758254,35710556.0,-4546.429,1.1316267,484.74
[ 4.872e-04  2.499e-01 -2.026e+00 -1.517e+00 -1.291e+00],268.67694,0.00013427735,1.0124006,3.0369261e-05,268.67694,15.124057,100,20.547039,4.8668814,23,834.4071,0.0030369263,297.35498,4702.358560015966,2.2633684,241.4795045852661,578414,0.00014019012,0.010124006,0.15124056,2300,0.022633681,496745.47,-4162.5566,16.671926,470.46
[ 0.011  0.269 -2.076 -1.54  -1.341],59.986233,-7.8125e-05,3.0458634,7.629125e-09,59.986233,264.52158,100,2775795700.0,3.6025707e-08,24,493.44974,7.6291246e-07,50.08203,4949.648315951746,26.350605,258.73585057258606,627918,-8.034706e-05,0.03045863,2.6452157,2400,0.26350605,790838.94,-4909.723,1.3184855,495.04
[-0.029  0.321 -2.111 -1.529 -1.337],9168.213,8.300781e-05,8.747993,6.7112005e-10,9168.213,817.60815,100,719606700000000.0,1.3896481e-13,25,1141.993,6.7112005e-08,1048.3057,3951.395111255323,81.34192,274.07979679107666,667501,6.866455e-05,0.08747993,8.176082,2500,0.81341946,7341133300.0,-2771.6455,1.143388,395.83
[ 0.008  0.395 -2.113 -1.53  -1.283],3.9648467e-14,-6.347656e-05,1.8496874e-13,,3.9648467e-14,1.8496493e-11,100,inf,,26,0.20016421,,0.33496094,4999.356343066354,1.8403772e-12,291.6637532711029,717501,-6.347615e-05,1.8496874e-15,1.8496492e-13,2600,1.840377e-14,1.5719822e-25,-0.7260742,1.0000412,500.0
[-0.392  0.329 -2.235 -1.561 -1.158],73.39973,-9.155274e-06,0.8143563,1.0427504e-05,73.39973,10.806002,100,7.2133327,13.863217,27,281.35516,0.0010427504,821.6052,788.1967720699367,1.4809752,294.92259979248047,725485,-6.198883e-06,0.008143562,0.10806002,2700,0.014809751,292374.47,-778.2145,23.216686,79.84
[-0.456  0.439 -2.27  -1.54  -1.226],358.63562,-5.9204103e-05,1.6371732,2.6183961e-05,358.63562,34.911552,100,19.332466,5.172646,28,243.48535,0.0026183962,920.87585,828.9055845276614,4.609591,300.9640383720398,733876,-5.5789948e-05,0.01637173,0.34911552,2800,0.046095904,4039429.8,-828.90564,11.201362,83.91
[-0.502  0.503 -2.274 -1.393 -1.298],99.85687,-6.1035156e-05,0.88030046,1.2118146e-07,99.85687,36.209816,100,2876.9695,0.0347588,29,236.79056,1.21181465e-05,720.26886,879.4935317183727,3.946603,307.708167552948,742773,-6.151199e-05,0.008803004,0.36209816,2900,0.039466027,1794205.1,-299.72156,4.7394514,88.97
[-0.472  0.567 -2.312 -1.462 -1.264],210.98431,3.0517578e-05,0.8349206,2.068268e-05,210.98431,23.581192,100,62.57138,1.5981747,30,243.7497,0.0020682681,760.45953,979.3312661032012,2.9006422,313.8704512119293,752668,2.9563904e-05,0.008349205,0.23581192,3000,0.02900642,1988506.0,-339.50848,7.6512604,98.95
[-0.491  0.658 -2.324 -1.357 -1.278],82.17765,-3.0517579e-06,0.96867234,3.2570945e-06,82.17765,38.660145,100,868.18994,0.11518217,31,316.0138,0.00032570946,980.4935,1129.2166636103843,4.367684,320.34162497520447,764062,-2.861023e-06,0.009686724,0.38660145,3100,0.043676842,427242.6,-389.4889,4.688117,113.94
[-0.43   0.672 -2.323 -1.387 -1.243],215.40166,-3.6621093e-06,1.6902195,6.844338e-06,215.40166,47.87861,100,368.3193,0.27150357,32,420.00784,0.0006844338,1573.3618,1326.3107912905316,6.1752224,327.6107323169708,777427,-8.583069e-06,0.016902199,0.47878608,3200,0.061752222,3523024.8,-506.50952,6.969572,133.65
[-0.407  0.746 -2.314 -1.366 -1.26 ],508.71484,-0.0001599121,14.33803,8.787002e-16,508.71484,1397.0757,100,1437677.1,6.955665e-05,33,466.63934,8.787002e-14,1815.0374,1474.5923994608377,138.99367,334.64821791648865,792275,-0.00014925003,0.14338028,13.970757,3300,1.3899363,24358522.0,-564.7897,1.0529119,148.48
[-0.478  0.737 -2.312 -1.424 -1.403],150.27368,2.8076172e-05,1.119135,7.505723e-08,150.27368,21.535488,100,81.95668,1.2201568,34,344.79514,7.5057233e-06,986.8262,1253.0256683044909,3.2901742,341.9780375957489,804907,3.2424927e-05,0.011191348,0.21535487,3400,0.032901738,950113.4,-1253.0256,10.370039,126.32
[-0.457  0.769 -2.325 -1.439 -1.499],64.256195,0.00017333984,1.0183921,4.3214354e-06,64.256195,70.80848,100,641.91644,0.15578352,35,418.28278,0.00043214354,1961.2441,1398.5494734362285,7.0458674,348.562513589859,818994,0.00017166138,0.010183919,0.70808476,3500,0.07045867,167763.34,-528.8512,2.0463579,140.87
[-0.431  0.816 -2.322 -1.493 -1.467],159.12503,0.00013122559,0.72965425,1.335615e-07,159.12503,34.53273,100,231.1266,0.43266332,36,316.59174,1.335615e-05,1378.4595,1421.3502253103286,3.682421,355.3749363422394,833309,0.00012874603,0.0072965426,0.3453273,3600,0.036824208,2028879.0,-501.53845,3.7778313,143.15
[-0.407  0.858 -2.334 -1.459 -1.523],637.46075,6.591797e-05,5.693952,9.619253e-07,637.46075,445.96085,100,8074.3755,0.012384859,37,518.755,9.6192525e-05,1577.7181,1742.0336367602824,45.224304,363.8042051792145,850831,6.771088e-05,0.05693953,4.4596086,3700,0.452243,26173390.0,-1732.0531,1.560463,175.22
[-0.354  0.838 -2.334 -1.499 -1.464],131.94334,8.056641e-05,0.9710069,0.00013723511,131.94334,9.282052,100,4.693262,21.307142,38,501.1845,0.013723511,1882.9644,1846.7271156243178,1.4364519,373.17879843711853,869400,8.583069e-05,0.00971007,0.09282052,3800,0.014364519,869211.6,-736.89417,31.36315,185.69
[-0.353  0.863 -2.364 -1.445 -1.445],261.2676,-0.00015625,0.8762142,3.54572e-05,261.2676,12.605661,100,11.842443,8.444203,39,710.8878,0.0035457201,2668.004,1961.6927292217922,1.7052022,381.2599663734436,889119,-0.0001487732,0.008762141,0.12605661,3900,0.01705202,11576386.0,-1951.7118,20.888548,197.19
[-0.357  0.831 -2.356 -1.461 -1.504],1514.4037,0.00018554687,2.723372,5.7280217e-06,1514.4037,130.25436,100,3088.4756,0.03237843,40,583.75916,0.0005728022,2019.9305,1929.8306353043693,16.176975,390.10653424263,908519,0.0002002716,0.027233718,1.3025436,4000,0.16176976,422818370.0,-870.02673,2.7560172,194.0
[-0.297  0.79  -2.355 -1.489 -1.47 ],3008.1985,-2.9296874e-05,4.9689116,6.474105e-11,3008.1985,448.3252,100,166267.06,0.000601442,41,622.5635,6.4741057e-09,2340.5981,2009.115566423557,44.64293,399.67456793785095,928712,-3.0517578e-05,0.049689118,4.483252,4100,0.4464293,931668740.0,-789.4103,1.2236859,201.93
[-0.301  0.885 -2.361 -1.466 -1.586],655.6191,2.9296874e-05,0.9790962,2.6173188e-05,655.6191,32.536655,100,26.22984,3.8124518,42,602.93317,0.0026173189,1527.9133,2231.795185070189,3.616035,410.9619929790497,951132,3.2424927e-05,0.009790962,0.32536656,4200,0.036160354,25976626.0,-811.9607,6.8305984,224.2
[-0.285  0.894 -2.365 -1.459 -1.652],348.16348,-4.8828126e-05,1.2076727,0.000114356706,348.16348,13.667405,100,15.550601,6.4306197,43,670.5191,0.011435671,2424.0012,2445.59832476135,2.3295991,421.123259305954,975690,-3.4332275e-05,0.012076727,0.13667405,4300,0.02329599,11121801.0,-845.91113,21.181793,245.58
