EpThisIter,InitialReturnMax,ReturnMeanIW,InitialReturnStd,TimeElapsed,EpRewMean,EpisodesSoFar,InitialReturnMin,EmpiricalD2,InitialReturnMean,Iteration,Weights,EpLenMean,Bound,TimestepsSoFar,InitialBound,J_sample_variance
100,124.800446,123.55233,42.96297,1.199690341949463,55.165755382738425,100,-55.165756,9525848.0,-1.1444092e-06,1,[ 0.579 -0.554  0.227  0.402  0.   ],6.52,123.55233,652,55.165756,132366.39
100,340.59695,9767.116,89.508865,5.100729703903198,119.22872611371604,200,-119.22872,82316.76,4.272461e-06,2,[ 0.29  -0.717 -0.216 -0.817 -0.106],12.93,9767.116,1945,119.22872,9330157000.0
100,506.58795,368.5532,177.18463,10.906773805618286,223.25323973434334,300,-223.25323,57.278885,7.6293945e-06,3,[ 0.391 -0.21  -0.558 -1.495 -0.503],23.34,368.5532,4279,223.25323,820926.3
100,837.44495,796.876,278.58466,16.03324055671692,422.29354996272406,400,-422.29355,5.308837e+21,4.272461e-06,4,[ 0.144  0.058 -0.843 -1.765 -0.69 ],43.25,796.876,8604,422.29355,7367655.0
100,2177.0063,7470.364,755.0584,22.714872360229492,1072.3223338028638,500,-1052.3596,4.1219233e+28,-5.126953e-05,5,[-0.034  0.343 -1.021 -1.765 -0.754],108.28,7470.364,19432,1072.3223,2216797000.0
100,3275.213,1523.5826,807.83356,31.561848878860474,1153.8375861951065,600,-1153.8378,8.98917,-0.00018554687,6,[-0.12   0.621 -1.301 -2.172 -0.628],116.43,1523.5826,31075,1153.8378,7173997.0
100,2706.4897,4815.0044,950.72363,40.6554696559906,1542.6960657423367,700,-1542.6959,9513.214,0.00015380859,7,[-0.156  0.652 -1.538 -2.179 -0.696],155.32,4815.0044,46607,1542.6959,1037196900.0
100,2724.4104,4458.0967,1237.7838,51.14468431472778,2274.534510117634,800,-2274.5344,75.743484,0.00011108399,8,[-0.075  0.583 -1.606 -2.262 -0.761],228.5,4458.0967,69457,2274.5344,102378104.0
100,2365.3755,4103.3105,1493.9642,63.69144415855408,2633.794358899472,900,-2623.8142,484.25595,-4.3945314e-05,9,[-0.067  0.65  -1.727 -2.367 -0.835],264.35,4103.3105,95892,2633.7944,205240620.0
100,1175.4841,5381.5674,1612.1185,80.16003465652466,3824.0560780865076,1000,-3544.2441,29338.56,0.00017089843,10,[-0.023  0.606 -1.823 -2.327 -0.903],382.95,5381.5674,134187,3824.056,341139260.0
100,1150.0791,28660.938,1167.1294,96.14440178871155,3849.5016007908766,1100,-2979.901,54988970000000.0,0.00013427735,11,[-0.062  0.638 -1.869 -2.273 -0.966],385.71,28660.938,172758,3849.5015,47785880000.0
100,153.10645,12371.498,742.0805,115.71426630020142,4846.512225544863,1200,-4826.547,295833.72,5.3710937e-05,12,[ 0.013  0.508 -1.978 -2.226 -1.063],484.8,12371.498,221238,4846.512,7508080000.0
100,50.0791,14130.955,493.442,134.00081086158752,4949.6115658938725,1300,-4909.6855,34651144.0,-0.00025390624,13,[ 0.007  0.517 -1.976 -2.24  -1.188],495.05,14130.955,270743,4949.612,8995270000.0
100,231.93164,11951.859,762.1887,152.28710460662842,4767.805578435673,1400,-4737.8604,4614029.0,-6.347656e-05,14,[-0.028  0.579 -1.94  -2.169 -1.211],477.04,11951.859,318447,4767.8057,6759667700.0
100,201.05762,6992.3335,694.3611,169.16361165046692,4798.655119014057,1500,-4788.675,3.0505616e+25,-8.300781e-05,15,[-0.021  0.483 -1.926 -2.189 -1.213],480.1,6992.3335,366457,4798.6553,712369340.0
100,127.555664,12460.236,601.2434,186.9485719203949,4872.119330973068,1600,-3313.1584,7237869.5,0.00023193359,16,[ 0.043  0.478 -1.939 -2.294 -1.204],487.37,12460.236,415194,4872.119,8565398500.0
100,300.53223,19893.875,903.66394,204.8959183692932,4699.208479543696,1700,-4689.2285,620173760.0,-0.0005175781,17,[-0.021  0.489 -1.96  -2.341 -1.157],470.18,19893.875,462212,4699.2085,22919766000.0
100,175.52148,7534.878,829.26135,222.5264859199524,4824.189156855038,1800,-4824.1895,254.4173,-0.0002685547,18,[ 0.016  0.532 -1.969 -2.524 -1.165],482.56,7534.878,510468,4824.1895,368367870.0
100,62.095215,5731.7188,483.05328,240.21697783470154,4937.611321842205,1900,-4557.962,61.36842,-3.90625e-05,19,[ 0.022  0.473 -1.974 -2.421 -1.225],493.86,5731.7188,559854,4937.6113,46394350.0
100,73.94678,9852.895,496.5682,257.9760949611664,4925.7739352532935,2000,-4566.085,5265253400.0,-0.00044433595,20,[-0.005  0.488 -1.971 -2.401 -1.21 ],492.68,9852.895,609122,4925.7744,2085070300.0
100,78.61084,12382.073,553.4146,276.3556764125824,4921.111242650454,2100,-4461.412,1064774.0,-5.859375e-05,21,[ 0.038  0.429 -1.983 -2.442 -1.261],492.22,12382.073,658344,4921.1113,7017569300.0
100,177.71484,6628.3193,772.8859,295.24321722984314,4821.971550715152,2200,-4821.9717,84.545,-0.00013671875,22,[-0.01   0.472 -1.962 -2.468 -1.211],482.35,6628.3193,706579,4821.9717,90678850.0
100,98.64795,10785.232,582.75226,313.0762553215027,4901.067089974109,2300,-4041.7324,43663176.0,0.00021972656,23,[ 0.01   0.423 -1.924 -2.419 -1.243],490.22,10785.232,755601,4901.067,5851947000.0
100,46.891113,94912.36,461.6188,331.1024868488312,4952.780264994292,2400,-4593.048,24798216.0,9.765625e-06,24,[ 0.014  0.531 -1.888 -2.514 -1.272],495.37,94912.36,805138,4952.7803,868140500000.0
100,253.21045,4895.8735,996.1483,348.60077834129333,4746.577680216518,2500,-4746.5776,1.3630743,1.4648437e-05,25,[-0.017  0.56  -1.894 -2.525 -1.4  ],474.79,4895.8735,852617,4746.5776,3020123.5
100,74.0376,11574.523,270.20587,366.3910884857178,4925.73250265241,2600,-1576.6514,19347020000000.0,7.8125e-05,26,[-0.023  0.566 -1.912 -2.512 -1.399],492.71,11574.523,901888,4925.7324,5296103000.0
100,0.69433594,6456.5034,0.4662627,384.3718695640564,4999.067809577839,2700,-1.6054688,1595.3035,-0.00046875,27,[ 0.018  0.54  -1.786 -2.567 -1.391],500.0,6456.5034,951888,4999.068,581882800.0
100,173.04883,139376.8,866.8151,402.9645736217499,4826.685017012249,2800,-4826.685,1440001600000.0,3.90625e-05,28,[ 0.011  0.543 -1.795 -2.604 -1.316],482.8,139376.8,1000168,4826.685,1867091100000.0
100,46.987305,82500.43,461.62265,421.14677476882935,4952.738637798388,2900,-4593.086,3310982700.0,-0.0005566406,29,[ 0.009  0.656 -1.847 -2.772 -1.436],495.37,82500.43,1049705,4952.739,598158600000.0
100,197.76367,21557.254,887.36523,439.8582935333252,4802.007413729698,3000,-4802.0073,4.465046e+25,2.6855469e-05,30,[ 0.046  0.655 -1.818 -2.616 -1.498],480.35,21557.254,1097740,4802.0073,34230538000.0
100,0.42529297,16083.255,0.3206083,458.7010509967804,4999.382189611005,3100,-1.2636719,1.6899188e+33,-0.00011230469,31,[-0.011  0.749 -1.841 -2.626 -1.475],500.0,16083.255,1147740,4999.382,12587920000.0
100,224.61523,5388.508,977.8926,476.334712266922,4775.175615506503,3200,-4765.196,34.830772,-0.00019042968,32,[ 0.079  0.773 -1.856 -2.726 -1.582],477.68,5388.508,1195508,4775.1753,58958060.0
100,81.13867,159882.14,571.7451,492.4316442012787,4918.639446787978,3300,-4628.874,inf,-0.00017089843,33,[ 0.071  0.776 -1.837 -2.727 -1.646],491.97,159882.14,1244705,4918.6396,2513195000000.0
100,0.33007812,5804.468,0.25340423,510.16645526885986,4999.579678492352,3400,-1.0859375,1996.5212,0.00016113282,34,[ 0.003  0.912 -1.861 -2.668 -1.839],500.0,5804.468,1294705,4999.5796,110135690.0
100,0.30810547,6255.625,0.2363072,527.3718268871307,4999.576162800167,3500,-0.9272461,333366760000.0,3.90625e-05,35,[-0.018  0.929 -1.895 -2.611 -1.805],500.0,6255.625,1344705,4999.576,148976510.0
100,0.32763672,6747.67,0.25098303,545.4203979969025,4999.539194635287,3600,-0.9135742,1039.6752,-0.00028320312,36,[ 0.026  0.972 -1.905 -2.663 -1.756],500.0,6747.67,1394705,4999.539,273300700.0
100,0.35107422,39890.99,0.24606876,563.6131412982941,4999.534428681406,3700,-0.71435547,4.708117e+29,0.00030273438,37,[ 0.009  1.005 -1.977 -2.724 -1.687],500.0,39890.99,1444705,4999.534,124157700000.0
100,50.243164,38920.91,496.453,582.330756187439,4949.6248960696,3800,-4939.644,3.5024926e+16,-6.347656e-05,38,[ 0.016  1.215 -2.011 -2.819 -1.729],495.02,38920.91,1494207,4949.625,136995370000.0
100,89.4082,66447.37,236.96956,599.1795563697815,4910.479233088567,3900,-1311.1182,370775160000.0,-0.00017089843,39,[-0.112  1.196 -1.973 -2.869 -1.802],491.31,66447.37,1543338,4910.4795,382430970000.0
100,675.0469,7176.726,691.31036,616.4106709957123,4324.861607537643,4000,-1565.3042,9241309.0,-0.00013183594,40,[-0.13   1.101 -2.005 -2.767 -1.922],433.12,7176.726,1586650,4324.862,423516060.0
100,1089.7583,4807.81,805.0926,630.6199440956116,3910.1666544937007,4100,-1530.7029,61.38494,-0.00029785157,41,[-0.149  1.088 -2.004 -2.782 -1.851],391.83,4807.81,1625833,3910.1667,27523504.0
100,1292.8315,102618.93,856.24445,645.8717172145844,3707.076179325473,4200,-1397.4363,inf,-0.00048339844,42,[-0.153  1.038 -1.989 -2.787 -1.862],371.56,102618.93,1662989,3707.0764,1009484800000.0
