IterType,MaxNormIw,MinVanillaIw,VarRet,EpsThisIter,MaxVanillaIw,AvgEpLen,AvgDiscRet,AvgVanillaIw,Delta,Bound,eRenyi2,AvgNormIw,VarJ,J,ESSRenyi,BatchSize,ESSClassic,VarDiscRet,VarNormIw,VanillaAvgRet,AvgRet,MinNormIw,VarVanillaIw
1,0.036617547,3.4056744e-11,4510235.975432037,100,4.0983763,200.0,-1743.3246030328082,1.1192384,0.9,-362.78467,2.9186683,0.01,77.672104,-34.826115,34.26220136904905,100,39.12657449647147,4510235.975432037,0.00015715229,-1743.3246030328082,-1743.3246030328082,3.04285e-13,1.9686383
1,0.015703402,0.03396885,137518.52316583678,100,1.4199866,200.0,-62.99382631140125,0.9042541,0.9,-110.4229,1.1574492,0.010000002,20.240166,-11.17445,86.39687691953397,100,80.18735800458502,137518.52316583678,2.4957484e-05,-62.99382631140125,-62.99382631140125,0.00037565603,0.2040712
1,0.061397735,1.3825504e-13,68.13242206988369,100,5.431411,200.0,-9.352795208454053,0.8846272,0.9,-9.375334,3.7785316,0.01,13.522601,-6.826151,26.46530765740953,100,24.60403730190735,68.13242206988369,0.00030953265,-9.352795208454053,-9.352795208454053,1.5628621e-15,2.422295
1,0.08350427,,50.51007374468432,100,7.967747,200.0,-7.986868263781993,0.95417243,0.9,-7.2268586,5.656387,0.010000002,11.171925,-5.3574815,17.67913026669442,100,16.02132985282649,50.51007374468432,0.0005294625,-7.986868263781993,-7.986868263781993,,4.8204646
,nan,0.12550598,50.51007374468432,100,inf,200.0,-8.270248960343546,inf,0.9,nan,nan,nan,nan,nan,nan,200,nan,54.08506276153867,nan,-7.986868263781993,-7.986868263781993,nan,nan
1,0.025625946,,48.48369279428849,100,5.5568194,200.0,-6.964340092634713,1.0842174,0.9,-7.3453016,3.9669561,0.005,8.947905,-6.181685,50.41648886746617,200,53.961940583288076,48.48369279428849,6.79979e-05,-6.964340092634713,-6.964340092634713,,3.197336
2,0.01,1.0,38.13882878622396,100,1.0,200.0,-6.743239238844614,1.0,0.9,-7.5082045,1.0,0.009999998,6.1447086,-6.743239,200.0,200,100.0,38.13882878622396,3.5044917e-18,-6.743239238844614,-6.743239238844614,0.01,
,nan,0.17995906,48.48369279428849,100,inf,200.0,-8.262519303418001,inf,0.9,nan,nan,nan,nan,nan,nan,300,nan,53.975335008895065,nan,-6.964340092634713,-6.964340092634713,nan,nan
1,0.4378257,,52.40217633097302,100,111.25792,200.0,-8.95118562390223,0.84704876,0.9,-6.4275503,78.703705,0.0033333334,18.628428,-2.1956716,3.811764651140788,300,2.5920843201415167,52.40217633097302,0.0012791194,-8.95118562390223,-8.95118562390223,,82.59815
2,0.01,1.0,50.3197366029389,100,1.0,200.0,-7.091045142354176,1.0,0.9,-7.856128,1.0,0.009999998,7.058083,-7.0910444,300.0,300,100.0,50.3197366029389,3.5044917e-18,-7.091045142354176,-7.091045142354176,0.01,
2,0.005,1.0,52.30289853271642,100,1.0,200.0,-7.740178320227568,1.0,0.9,-7.959222,1.0,0.0049999994,7.134672,-7.4156113,300.0,300,200.00000010221265,52.30289853271642,2.179301e-19,-7.740178320227568,-7.740178320227568,0.005,
,nan,0.008988124,52.40217633097302,100,inf,200.0,-7.696670076492219,inf,0.9,nan,nan,nan,nan,nan,nan,400,nan,48.454166635611635,nan,-8.95118562390223,-8.95118562390223,nan,nan
1,0.03707821,,52.917478424806234,100,12.366595,200.0,-8.274705292795748,0.83381826,0.9,-6.8422966,8.793247,0.0025,14.647443,-5.617283,45.489452287691144,400,39.02761039280682,52.917478424806234,5.7952097e-05,-8.274705292795748,-8.274705292795748,,6.446618
2,0.01,1.0,45.760435544986265,100,1.0,200.0,-7.2467722902286,1.0,0.9,-8.016301,1.0,0.009999998,6.730737,-7.246772,400.0,400,100.0,45.760435544986265,3.5044917e-18,-7.2467722902286,-7.2467722902286,0.01,
2,0.005,1.0,50.9459787879703,100,1.0,200.0,-8.394212261823125,1.0,0.9,-8.36775,1.0,0.0049999994,6.942538,-7.8204927,400.0,400,200.00000010221265,50.9459787879703,2.179301e-19,-8.394212261823125,-8.394212261823125,0.005,
2,0.0033333334,1.0,50.436816299704,100,1.0,200.0,-8.097944217839473,1.0,0.9,-8.360876,1.0,0.0033333336,6.9852567,-7.9129767,400.0,400,299.999969473632,50.436816299704,5.4391416e-20,-8.097944217839473,-8.097944217839473,0.0033333334,
,nan,0.080863,52.917478424806234,100,inf,200.0,-8.210062429057096,inf,0.9,nan,nan,nan,nan,nan,nan,500,nan,43.087582653134945,nan,-8.274705292795748,-8.274705292795748,nan,nan
1,0.09433566,,59.323550408678166,100,44.11216,200.0,-8.210786468378751,0.935217,0.9,-5.6883545,32.454823,0.002,19.514662,-3.5833604,15.40603093359687,500,14.993486718443744,59.323550408678166,0.00012965055,-8.210786468378751,-8.210786468378751,,28.349096
2,0.01,1.0,50.53322344759968,100,1.0,200.0,-7.099719039847251,1.0,0.9,-7.8666363,1.0,0.009999998,7.0730395,-7.0997186,500.0,500,100.0,50.53322344759968,3.5044917e-18,-7.099719039847251,-7.099719039847251,0.01,
2,0.005,1.0,47.043041636365125,100,1.0,200.0,-7.650061088459864,1.0,0.9,-7.9199376,1.0,0.0049999994,6.9552836,-7.3748903,500.0,500,200.00000010221265,47.043041636365125,2.179301e-19,-7.650061088459864,-7.650061088459864,0.005,
