J,IterType,Bound,eRenyi2,ESSClassic,VarVanillaIw,EpsThisIter,VarNormIw,ESSRenyi,BatchSize,MaxNormIw,MinVanillaIw,AvgDiscRet,VarRet,AvgRet,MaxVanillaIw,VarDiscRet,AvgEpLen,AvgNormIw,MinNormIw,AvgVanillaIw,VarJ,VanillaAvgRet
852.41077,1,307.4784,38.770874,1.6327481939601993,45.99205,100,0.0060855006,2.5792557562552934,100,0.7757313,,112.93948619549478,18670.40339418747,112.93948619549478,67.43798,18670.40339418747,12.3,0.01,,0.86934716,1604.4192,112.93948619549478
3181.501,1,1500.3157,15.963383,2.779907195461612,95.6012,100,0.0035325678,6.264336434706867,100,0.5886916,1.2461812e-10,344.06331345203085,376329.8559452344,344.06331345203085,96.84433,376329.8559452344,35.41,0.01,7.5752127e-13,1.6450775,11145.485,344.06331345203085
4394.9014,1,3250.7695,7.3922877,14.821054141199292,15.722454,100,0.00058052107,13.52761197028837,100,0.15137804,5.8688847e-06,1394.4568668951908,3147837.9449742394,1394.4568668951908,24.912315,3147837.9449742394,140.34,0.01,3.566189e-08,1.645702,1811.3002,1394.4568668951908
4768.897,1,3988.9778,3.4349937,29.309209781222826,2.9436073,100,0.00024362597,29.11213453523354,100,0.07969636,8.189116e-06,3295.364130215137,3259617.194730424,3295.364130215137,8.760252,3259617.194730424,330.16,0.01,7.450045e-08,1.0992036,607.3925,3295.364130215137
4947.1987,1,4481.9556,1.2223259,83.9575300270556,0.22451438,100,1.930086e-05,81.81124058417262,100,0.017252682,0.12169273,4822.541634181787,521524.46113618044,4822.541634181787,1.8607601,521524.46113618044,482.37,0.01,0.0011283164,1.0785338,204.63605,4822.541634181787
4975.6816,1,4537.672,1.0834141,91.60464413404486,0.092751004,100,9.257339e-06,92.30081282206116,100,0.015043487,0.02016034,4879.183342960559,466721.25110820244,4879.183342960559,1.5057913,466721.25110820244,487.99,0.01,0.00020141026,1.0009589,122.68669,4879.183342960559
4988.916,1,4561.6206,1.0310585,96.15977741617843,0.037466154,100,4.0339196e-06,96.9877026009273,100,0.012919237,0.26095334,4970.30851477076,39371.086856924005,4970.30851477076,1.2450672,39371.086856924005,497.07,0.01,0.0027077398,0.9637312,66.49589,4970.30851477076
4897.478,,4476.6675,1.0,100.0,,100,3.5044917e-18,200.0,200,0.01,1.0,4897.4783851407465,328252.5532516879,4897.4783851407465,1.0,328252.5532516879,489.8,0.009999998,0.01,1.0,570.0614,4897.4783851407465
4982.9414,1,4666.601,1.1302272,174.14817773207542,0.1383204,100,3.7298335e-06,176.95557013671402,200,0.007852586,0.0070930026,4885.984392278158,420376.37187561987,4885.984392278158,1.5122064,420376.37187561987,488.645,0.005,3.6832545e-05,0.9628716,111.5628,4885.984392278158
4995.307,2,4574.4966,1.0,100.0,,100,3.5044917e-18,200.0,200,0.01,1.0,4995.307294620163,2116.0413149130295,4995.307294620163,1.0,2116.0413149130295,499.55,0.009999998,0.01,1.0,45.76988,4995.307294620163
4990.458,1,4689.5093,1.0229211,195.3940536366092,0.023147784,100,5.9227756e-07,195.51850368796502,200,0.006141416,0.47994414,4982.30429735467,24736.99322671508,4982.30429735467,1.214117,24736.99322671508,498.255,0.005,0.0024277202,0.98846674,83.23284,4982.30429735467
4999.927,2,4579.116,1.0,100.0,,100,3.5044917e-18,200.0,200,0.01,1.0,4999.9268899654735,0.0052586029762053356,4999.9268899654735,1.0,0.0052586029762053356,500.0,0.009999998,0.01,1.0,0.072155744,4999.9268899654735
4996.78,1,4697.0396,1.0147198,196.61495231346817,0.017260656,100,4.325801e-07,197.0987373601797,200,0.0057897926,0.29548472,4989.275647516657,22704.95251913272,4989.275647516657,1.1565338,22704.95251913272,498.94,0.005,0.0014792435,0.9987697,44.626446,4989.275647516657
4999.9243,2,4579.114,1.0,100.0,,100,3.5044917e-18,200.0,200,0.01,1.0,4999.9242472855385,0.008426326927994133,4999.9242472855385,1.0,0.008426326927994133,500.0,0.009999998,0.01,1.0,0.091341384,4999.9242472855385
4999.9277,1,4702.3696,1.0,199.99999566954043,3.4429476e-08,100,8.6075987e-13,200.0,200,0.005001532,0.99906236,4999.927216526326,0.007944733499244532,4999.927216526326,1.0002894,0.007944733499244532,500.0,0.005,0.0049953964,0.9999831,0.08888231,4999.927216526326
4991.919,2,4571.1084,1.0,100.0,,100,3.5044917e-18,200.0,200,0.01,1.0,4991.919071918592,6401.615765879846,4991.919071918592,1.0,6401.615765879846,499.21,0.009999998,0.01,1.0,79.609055,4991.919071918592
4988.7563,,4691.198,1.0,200.00000010221265,,100,2.179301e-19,300.0,300,0.005,1.0,4988.756528444754,13407.662863196403,4988.756528444754,1.0,13407.662863196403,498.895,0.0049999994,0.005,1.0,115.501625,4988.756528444754
4994.284,1,4750.499,1.0068443,297.74835485388707,0.00752191,100,8.430699e-08,297.960673083731,300,0.0038202782,0.6646317,4992.480422222254,8951.32463435037,4992.480422222254,1.1411093,8951.32463435037,499.2633333333333,0.0033333336,0.0022250963,0.9956599,73.529274,4992.480422222254
4999.897,2,4579.0864,1.0,100.0,,100,3.5044917e-18,300.0,300,0.01,1.0,4999.897185122275,0.06070313049222701,4999.897185122275,1.0,0.06070313049222701,500.0,0.009999998,0.01,1.0,0.2451663,4999.897185122275
4999.912,2,4702.354,1.0,200.00000010221265,,100,2.179301e-19,300.0,300,0.005,1.0,4999.912211937129,0.033031306084165185,4999.912211937129,1.0,0.033031306084165185,500.0,0.0049999994,0.005,1.0,0.18130666,4999.912211937129
4997.5605,1,4753.715,1.0073442,298.1441362254736,0.0063181696,100,6.939523e-08,297.81278963756665,300,0.0036702303,0.50453645,4995.21691603273,6626.88175979758,4995.21691603273,1.1074501,6626.88175979758,499.53333333333336,0.003333333,0.0016720978,1.0057952,40.835873,4995.21691603273
4982.101,2,4561.2905,1.0,100.0,,100,3.5044917e-18,300.0,300,0.01,1.0,4982.100925130942,31684.130933681743,4982.100925130942,1.0,31684.130933681743,498.23,0.009999998,0.01,1.0,177.10814,4982.100925130942
4991.013,2,4693.455,1.0,200.00000010221265,,100,2.179301e-19,300.0,300,0.005,1.0,4991.013007760976,15842.284625836688,4991.013007760976,1.0,15842.284625836688,499.115,0.0049999994,0.005,1.0,125.55108,4991.013007760976
