AvgVanillaIw,AvgNormIw,MinVanillaIw,ESSClassic,AvgDiscRet,eRenyi2,Bound,MaxNormIw,J,BatchSize,MaxVanillaIw,ESSRenyi,VarNormIw,AvgEpLen,VarVanillaIw,VarDiscRet,AvgRet,MinNormIw,VarJ,VarRet
49572.6,0.01,,1.0,2.2382096176443156e-15,1993589.6,2274594.0,1.0,45.885044,100,4957260.0,5.016077468802036e-05,0.010000002,4.41,245744320000.0,256.62887337303863,34.07641874443197,,,256.62887337303863
25637.41,0.01,,1.0,3.623767952376511e-15,816515.8,1481903.1,1.0,57.808212,100,2563741.0,0.0001224716024712626,0.010000002,8.22,65727685000.0,1670.0994061077122,72.1561946772076,,1.09080354e-13,1670.0994061077122
34177.883,0.01,,1.0,7.815970093361103e-15,2490324.0,6295943.0,1.0,184.21556,100,3417788.2,4.015541752800037e-05,0.0100000035,8.58,116812750000.0,2024.93171378135,75.75499314079536,,,2024.93171378135
3355.896,0.01,,1.0,9.805489753489382e-15,inf,479794.9,1.0,143.00659,100,335589.6,,0.010000003,8.7,1126203900.0,1870.011375602236,76.95454803612309,,,1870.0113756022356
12858.369,0.01,,1.0,2.4868995751603505e-15,nan,2494320.8,1.0,194.0028,100,1285836.9,nan,0.010000003,8.6,16533757000.0,2123.4280950311677,75.95426959208227,,,2123.4280950311672
69459.086,0.01,,1.0175341456264362,5.542233338928782e-15,nan,3917659.8,0.99130875,56.40393,100,6885540.0,nan,0.009825941,8.29,474058650000.0,1404.9216028680785,72.854295290248,,9.729351,1404.9216028680783
19660.113,0.01,,2.1053544292155886,-1.5631940186722204e-15,nan,2265835.0,0.54065996,115.25772,100,1062943.6,nan,0.0046967613,9.01,18153927000.0,2253.7470325593026,80.05546740303238,,1014.2888,2253.7470325593026
37120.242,0.01,2.1863282e-21,2.3099648103671915,-6.1817218011128716e-15,nan,1223069.4,0.53933954,32.950386,100,2002041.4,nan,0.0042717876,8.71,58861502000.0,1481.6410139787768,77.05630997953087,5.8898544e-28,156.28392,1481.641013978777
588098.06,0.01,,3.2835560351473676,8.171241461241152e-15,nan,23188932.0,0.47087193,39.430458,100,27691888.0,nan,0.0029752308,7.9,10290117000000.0,776.9283371964138,68.95432988708852,,114.14372,776.9283371964138
13650225.0,0.01,,2.00000000317595,1.7053025658242404e-15,nan,218302830.0,0.5,15.992628,100,682511200.0,nan,0.004949495,8.4,9222326000000000.0,2060.8471361703537,73.95592767860599,,282.88278,2060.8471361703537
1.0,0.009999998,1.0,100.0,2.2737367544323206e-15,nan,-15.502835,0.01,-4.172325e-07,100,1.0,nan,3.5044917e-18,9.58,,2473.419975061567,85.75552324720289,0.01,49.484196,2473.419975061567
1.0,0.009999998,1.0,100.0,-1.5489831639570185e-14,nan,-14.408812,0.01,2.3841858e-07,100,1.0,nan,3.5044917e-18,7.88,,1752.3466938341567,68.75395852296572,0.01,41.65121,1752.3466938341564
1.0,0.009999998,1.0,100.0,-2.0605739337042904e-15,nan,-9.763657,0.01,1.4901161e-07,100,1.0,nan,3.5044917e-18,8.4,,1450.7249401936735,73.95535932874783,0.01,37.89746,1450.7249401936735
1.0,0.009999998,1.0,100.0,-7.815970093361103e-15,nan,-15.646985,0.01,-5.9604645e-08,100,1.0,nan,3.5044917e-18,8.41,,1349.9732960120973,74.05431737786903,0.01,36.55781,1349.9732960120973
1.0,0.009999998,1.0,100.0,-1.2789769243681803e-15,nan,-11.698836,0.01,-2.682209e-07,100,1.0,nan,3.5044917e-18,8.1,,1170.91328124402,70.9546995215523,0.01,34.047085,1170.91328124402
1.0,0.009999998,1.0,100.0,5.755396159656812e-15,nan,-16.723179,0.01,-8.6426735e-07,100,1.0,nan,3.5044917e-18,8.13,,1860.1098219277428,71.2539334002027,0.01,42.912804,1860.1098219277428
1.0,0.009999998,1.0,100.0,-1.3926637620897963e-14,nan,-12.044602,0.01,-5.9604645e-08,100,1.0,nan,3.5044917e-18,8.69,,1918.9074761006611,76.85500428176357,0.01,43.585762,1918.9074761006611
1.0,0.009999998,1.0,100.0,-8.526512829121202e-16,nan,-9.502093,0.01,3.5762787e-07,100,1.0,nan,3.5044917e-18,8.71,,1788.8006745691857,77.05454681569417,0.01,42.082214,1788.8006745691857
1.0,0.009999998,1.0,100.0,-1.5631940186722204e-15,nan,-12.591063,0.01,5.9604645e-08,100,1.0,nan,3.5044917e-18,8.04,,1276.763102190045,70.35357836784209,0.01,35.552715,1276.763102190045
1.0,0.009999998,1.0,100.0,9.379164112033323e-15,nan,-19.73668,0.01,3.5762787e-07,100,1.0,nan,3.5044917e-18,8.55,,1992.9422810581143,75.4539333369433,0.01,44.418606,1992.942281058114
