ESSRenyi,MaxNormIw,EpsThisIter,VarJ,MaxVanillaIw,IterType,eRenyi2,ESSClassic,AvgDiscRet,VanillaAvgRet,VarNormIw,J,VarRet,AvgVanillaIw,MinVanillaIw,BatchSize,Bound,MinNormIw,Delta,VarVanillaIw,AvgRet,VarDiscRet,AvgNormIw,AvgEpLen
82.7389295633,0.0177766,100,27.9877,1.77671,1,1.20862,83.8067763172,-126.517539579,-126.517539579,1.95173e-05,-114.321,4841.67031171,0.999466,0.0246823,100,-167.6,0.000246955,0.5,0.194965,-126.517539579,4841.67031171,0.01,42.58
92.1070890197,0.0144775,100,14.8658,1.44303,1,1.08569,92.3029867513,-117.969981797,-117.969981797,8.42308e-06,-111.772,2183.84975012,0.996738,0.122317,100,-163.282,0.00122717,0.5,0.0836822,-117.969981797,2183.84975012,0.01,32.84
95.9642454992,0.0142892,100,4.40854,1.47258,1,1.04205,95.6105095597,-109.332908371,-109.332908371,4.63737e-06,-108.711,30.5483787386,1.03055,0.366213,100,-122.756,0.00355356,0.5,0.0492506,-109.332908371,30.5483787386,0.01,19.11
92.0262933897,0.0151625,100,13.9794,1.44226,1,1.08665,89.9825123835,-115.005169062,-115.005169062,1.12452e-05,-110.275,1481.0083291,0.951203,0.25838,100,-155.495,0.00271635,0.5,0.101745,-115.005169062,1481.0083291,0.01,29.82
95.7924492062,0.0143293,100,15.4013,1.42933,1,1.04392,95.2548462847,-112.234181047,-112.234181047,5.03187e-06,-109.438,1571.80226915,0.997487,0.343587,100,-160.383,0.00344453,0.5,0.0500661,-112.234181047,1571.80226915,0.01,25.36
96.6415909822,0.013157,100,4.19522,1.30011,1,1.03475,96.5084707932,-108.747610802,-108.747610802,3.65439e-06,-108.235,29.756182175,0.98815,0.408967,100,-122.515,0.00413872,0.5,0.035683,-108.747610802,29.756182175,0.01,20.31
98.0505737378,0.0128515,100,3.51597,1.29058,1,1.01988,98.1945029031,-107.83509867,-107.83509867,1.85729e-06,-107.541,20.7805055218,1.00422,0.455145,100,-121.197,0.00453232,0.5,0.0187301,-107.83509867,20.7805055218,0.01,16.51
99.0388917893,0.0136731,100,3.19934,1.35809,1,1.0097,98.8507171894,-107.72239934,-107.72239934,1.17437e-06,-107.601,11.971422681,0.993256,0.700208,100,-120.489,0.00704963,0.5,0.0115858,-107.72239934,11.971422681,0.01,21.57
99.0208529554,0.0122382,100,2.96585,1.22214,1,1.00989,99.1303925041,-107.849294084,-107.849294084,8.86083e-07,-107.724,10.3046096685,0.998627,0.660748,100,-120.059,0.00661656,0.5,0.00883652,-107.849294084,10.3046096685,0.01,16.83
99.5070558532,0.0126779,100,2.75899,1.27177,1,1.00495,99.4468631406,-107.451630261,-107.451630261,5.61858e-07,-107.396,7.37879968359,1.00314,0.799326,100,-118.928,0.00796824,0.5,0.00565392,-107.451630261,7.37879968359,0.01,17.88
97.9931664416,0.0227205,100,2.88892,2.27501,1,1.02048,96.5536625611,-107.220203091,-107.220203091,3.60541e-06,-106.97,9.01540390488,1.0013,0.345899,100,-118.844,0.0034545,0.5,0.0361479,-107.220203091,9.01540390488,0.01,18.11
99.1734607031,0.0126859,100,3.03076,1.25823,1,1.00833,98.8395437018,-107.309150625,-107.309150625,1.18594e-06,-107.212,9.36575691025,0.991833,0.628522,100,-119.149,0.00633697,0.5,0.0116665,-107.309150625,9.36575691025,0.01,17.88
99.0226179692,0.0114009,100,3.02731,1.14328,1,1.00987,99.1077619532,-107.692732833,-107.692732833,9.09355e-07,-107.551,12.0555901168,1.0028,0.618121,100,-120.341,0.00616395,0.5,0.00914455,-107.692732833,12.0555901168,0.01,16.05
97.0656321155,0.0172094,100,6.20114,1.77035,1,1.03023,96.9061811827,-106.660936794,-106.660936794,3.22486e-06,-106.343,19.41297893,1.02871,0.561083,100,-118.185,0.00545423,0.5,0.0341271,-106.660936794,19.41297893,0.01,18.72
99.3830828796,0.0126295,100,4.58789,1.24504,1,1.00621,99.3461772162,-107.277022403,-107.277022403,6.64787e-07,-107.191,25.4998118958,0.985818,0.721032,100,-120.191,0.00731405,0.5,0.00646064,-107.277022403,25.4998118958,0.01,17.7
99.2487081329,0.0110391,100,3.30343,1.10169,1,1.00757,99.2955872532,-107.675823293,-107.675823293,7.16546e-07,-107.591,11.3578373139,0.997991,0.696127,100,-119.519,0.00697528,0.5,0.0071367,-107.675823293,11.3578373139,0.01,18.93
99.5522845403,0.0110366,100,3.54595,1.09683,1,1.0045,99.4608962071,-107.096659672,-107.096659672,5.47529e-07,-107.043,13.1514471558,0.993807,0.777879,100,-118.726,0.00782727,0.5,0.00540768,-107.096659672,13.1514471558,0.01,18.63
98.5804411214,0.0146918,100,3.11962,1.46792,1,1.0144,98.0618956437,-106.949211144,-106.949211144,1.99632e-06,-106.796,7.22205041772,0.999143,0.515159,100,-118.1,0.00515601,0.5,0.019929,-106.949211144,7.22205041772,0.01,18.71
99.5106797185,0.0110994,100,3.20685,1.11751,1,1.00492,99.5758860037,-107.148524977,-107.148524977,4.30255e-07,-107.087,11.4894898371,1.00682,0.710399,100,-119.943,0.00705584,0.5,0.00436147,-107.148524977,11.4894898371,0.01,17.47
96.2156101151,0.01345,100,18.4243,1.34883,1,1.03933,96.1942597597,-110.949646436,-110.949646436,3.99628e-06,-108.688,1531.78094627,1.00285,0.162614,100,-159.297,0.00162152,0.5,0.0401908,-110.949646436,1531.78094627,0.01,24.37
98.6337024147,0.0141072,100,3.27459,1.39267,1,1.01385,98.7993334145,-107.112735921,-107.112735921,1.22756e-06,-106.958,9.60568801606,0.987209,0.697017,100,-118.788,0.00706048,0.5,0.0119636,-107.112735921,9.60568801606,0.01,17.82
99.3609874354,0.011697,100,2.74757,1.17693,1,1.00643,99.4965279181,-106.91492666,-106.91492666,5.11132e-07,-106.841,7.92180691453,1.00618,0.76166,100,-118.541,0.00756979,0.5,0.00517473,-106.91492666,7.92180691453,0.01,18.76
94.8486703492,0.019765,100,8.14785,2.00832,1,1.05431,94.6189799125,-107.107577272,-107.107577272,5.74449e-06,-106.51,25.7317528257,1.0161,0.264648,100,-118.441,0.00260455,0.5,0.0593097,-107.107577272,25.7317528257,0.01,19.01
97.1852497201,0.0121129,100,7.1219,1.19452,1,1.02896,96.1657679665,-110.735862522,-110.735862522,4.0274e-06,-107.493,1550.43079961,0.986154,0.162937,100,-158.142,0.00165225,0.5,0.0391664,-110.735862522,1550.43079961,0.01,22.51
98.8825711943,0.012464,100,3.19094,1.24496,1,1.0113,98.9895627774,-106.844724478,-106.844724478,1.03105e-06,-106.719,8.99132522465,0.998848,0.611698,100,-118.141,0.00612403,0.5,0.0102867,-106.844724478,8.99132522465,0.01,18.31
95.8567472865,0.0244356,100,6.35032,2.44052,1,1.04322,94.6847168837,-106.35609366,-106.35609366,5.67038e-06,-105.909,12.3299667145,0.998753,0.712478,100,-117.587,0.00713367,0.5,0.0565625,-106.35609366,12.3299667145,0.01,20.52
96.9728693323,0.0127295,100,6.55447,1.23733,1,1.03122,96.0900976757,-108.491596351,-108.491596351,4.11012e-06,-107.266,300.809818423,0.972012,0.329726,100,-135.326,0.00339219,0.5,0.0388327,-108.491596351,300.809818423,0.01,24.41
99.746537543,0.011762,100,3.73962,1.18028,1,1.00254,99.7521727137,-106.563536696,-106.563536696,2.50942e-07,-106.532,13.5828747024,1.00347,0.90643,100,-118.458,0.009033,0.5,0.00252684,-106.563536696,13.5828747024,0.01,21.24
98.5619551169,0.0144523,100,4.54851,1.44693,1,1.01459,98.6266406465,-106.641475885,-106.641475885,1.40658e-06,-106.481,14.9216297481,1.00117,0.634046,100,-118.195,0.00633303,0.5,0.0140989,-106.641475885,14.9216297481,0.01,20.0
