AvgEpLen,VarDiscRet,BatchSize,AvgVanillaIw,MaxNormIw,VarVanillaIw,Bound,MinVanillaIw,AvgRet,J,delta,EpsThisIter,AvgNormIw,AvgDiscRet,IterType,renyi2,MinNormIw,VarRet,ESSClassic,ESSRenyi,SamplesThisIter,MaxVanillaIw,VarNormIw,VarJ,VanillaAvgRet
500.0,37.6972961156,100,1.34525e+07,0.324651,1.03633e+18,0.302139,,-6.79977680697,760.369,0.8,100,5.52486e-05,-6.79977680697,1,nan,,37.6972961156,2.99785697807,nan,50000,7.90493e+10,1.74798e-05,56.839,-6.79977680697
500.0,20.0777081056,100,8.0003e+16,0.212773,inf,2.58241,,-6.35815397497,1086.23,0.8,100,5.52486e-05,-6.35815397497,1,nan,,20.0777081056,2.59147957717,nan,50000,3.08107e+20,8.68403e-06,13.7399,-6.35815397497
500.0,14.5989885334,100,2.06844e+17,0.3198,inf,1.7635,,-4.36663037951,735.301,0.8,100,5.52486e-05,-4.36663037951,1,nan,,14.5989885334,2.99463981986,nan,50000,1.19729e+21,1.69794e-05,9.10846,-4.36663037951
500.0,14.8359532433,100,7.85359e+13,0.333323,3.72064e+31,3.64898,,-2.11244004416,951.982,0.8,100,5.52486e-05,-2.11244004416,1,nan,,14.8359532433,2.99999982665,nan,50000,4.73818e+17,1.8413e-05,18.33,-2.11244004416
500.0,19.2427717325,100,5.10541e+19,0.319346,inf,3.71218,,-2.29303847934,1168.14,0.8,100,5.52486e-05,-2.29303847934,1,nan,,19.2427717325,2.99500134175,nan,50000,2.95101e+23,1.69291e-05,20.2623,-2.29303847934
500.0,17.0120223892,100,2.4533e+17,0.333326,inf,2.50671,,-2.8936393065,1147.53,0.8,100,5.52486e-05,-2.8936393065,1,nan,,17.0120223892,2.99999987995,nan,50000,1.48013e+21,1.84134e-05,28.211,-2.8936393065
500.0,23.2073711817,100,14.7313,0.0190286,14064.2,1.75648,,-3.39570254765,726.061,0.8,100,5.52486e-05,-3.39570254765,1,nan,,23.2073711817,1.69764093664,nan,50000,5073.7,1.97823e-07,27.9581,-3.39570254765
500.0,16.1490467852,100,13.1363,0.0279673,14942.0,1.22615,1.8745e-28,-3.1323182532,453.952,0.8,100,5.52486e-05,-3.1323182532,1,nan,7.88379e-34,16.1490467852,1.61791753003,nan,50000,6649.68,2.64307e-07,25.2777,-3.1323182532
500.0,20.4888032005,100,5.0353e+19,0.156769,inf,6.40796,,-1.50194070065,1584.25,0.8,100,5.52486e-05,-1.50194070065,1,nan,,20.4888032005,1.81803484943,nan,50000,1.42878e+23,6.71909e-06,12.0448,-1.50194070065
500.0,17.0135493948,100,42.3605,0.351849,8.05657e+06,1.0722,,-3.11183566441,564.275,0.8,100,5.52486e-05,-3.11183566441,1,nan,,17.0135493948,2.0181676873,nan,50000,269771.0,1.37047e-05,52.4557,-3.11183566441
