MinNormIw,J,AvgEpLen,VarDiscRet,VanillaAvgRet,ESSClassic,ESSRenyi,MinVanillaIw,eRenyi2,AvgDiscRet,MaxVanillaIw,MaxNormIw,VarRet,AvgVanillaIw,VarVanillaIw,AvgNormIw,Bound,VarNormIw,BatchSize,VarJ,AvgRet
,1593.7217,200.0,4230828.776786032,-1608.5544895009277,1.99997956759358,0.24468454414025395,,408.68948,-1.0913936421275138e-13,372.64,0.50160813,4230828.776786032,7.428907,2731.5886,0.01,9102.787,0.0049495474,100,12.6129055,-1.0913936421275138e-13
,10.259385,200.0,109.34012781398155,-12.792929771221422,1.0,5.985850496949049e-05,,1670606.4,-6.394884621840901e-16,1428265.5,1.0,109.34012781398155,14282.655,20399421000.0,0.01,145139.66,0.010000002,100,,-6.394884621840901e-16
,1.6715797,200.0,90.89072268443753,-12.580235271079117,25.00000694113985,7.801280934201351e-11,,1281840800000.0,,1812802200000.0,0.039999995,90.89072268443753,453200580000.0,6.223961e+23,0.01,757559700000.0,0.00030303025,100,19.11397,
0.01,2.9802322e-08,200.0,102.0248485645527,-12.599244664246337,100.0,100.0,1.0,1.0,-8.881784197001252e-16,1.0,0.01,102.0248485645527,1.0,,0.009999998,-1.0602736,3.5044917e-18,100,10.050104,-8.881784197001252e-16
0.01,7.450581e-09,200.0,92.82908431698543,-11.300173424394467,100.0,100.0,1.0,1.0,-4.067857162226574e-15,1.0,0.01,92.82908431698543,1.0,,0.009999998,-0.95050085,3.5044917e-18,100,9.586491,-4.067857162226574e-15
0.01,2.9802322e-08,200.0,96.04711262797062,-10.82475560503114,100.0,100.0,1.0,1.0,4.103384299014579e-15,1.0,0.01,96.04711262797062,1.0,,0.009999998,-0.9110294,3.5044917e-18,100,9.751238,4.103384299014579e-15
0.01,1.1920929e-07,200.0,87.55614548448993,-10.809081707119649,100.0,100.0,1.0,1.0,1.4299672557172017e-15,1.0,0.01,87.55614548448993,1.0,,0.009999998,-0.90968585,3.5044917e-18,100,9.310241,1.4299672557172017e-15
0.01,-5.2154064e-08,200.0,97.19043510189286,-11.252771206732808,100.0,100.0,1.0,1.0,-9.769962616701378e-16,1.0,0.01,97.19043510189286,1.0,,0.009999998,-0.9470404,3.5044917e-18,100,9.809104,-9.769962616701378e-16
0.01,-7.4505806e-08,200.0,101.49592360012778,-11.416293867503173,100.0,100.0,1.0,1.0,3.854694341498543e-15,1.0,0.01,101.49592360012778,1.0,,0.009999998,-0.96019536,3.5044917e-18,100,10.024019,3.854694341498543e-15
0.01,-5.2154064e-08,200.0,107.39012683365888,-12.158894203129865,100.0,100.0,1.0,1.0,2.0961010704922954e-15,1.0,0.01,107.39012683365888,1.0,,0.009999998,-1.0232443,3.5044917e-18,100,10.310976,2.0961010704922954e-15
