AvgRet,SamplesThisIter,MinNormIw,AvgVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,VarDiscRet,VarRet,ESSClassic,AvgEpLen,Delta,J,MaxVanillaIw,Bound,VarVanillaIw,eRenyi2,BatchSize,MaxNormIw,VarNormIw,ESSRenyi,IterType,VanillaAvgRet,AvgDiscRet,VarJ
48.6459653678,50000,0.000117357,1.0,8521,1.0,0.000117357,3412.94666931,3412.94666931,8520.99956992,5.86785588546,0.6,48.646,1.0,40.7776,,1.0,100,0.000117357,,100.0,1,48.6459653678,48.6459653678,58.417
48.9645925185,50000,0.000117994,1.0,8475,1.0,0.000117994,3390.81706772,3390.81706772,8475.0003959,5.89970501475,0.6,48.9646,1.0,41.6045,,1.0,100,0.000117994,2.11783e-22,100.0,1,48.9645925185,48.9645925185,58.2273
49.3229000175,50000,0.000118708,1.0,8424,1.0,0.000118708,3422.55145445,3422.55145445,8424.00047944,5.93542260209,0.6,49.3229,1.0,43.3642,,1.0,100,0.000118708,2.11783e-22,100.0,1,49.3229000175,49.3229000175,58.4991
48.8198633365,50000,0.000117702,1.0,8496,1.0,0.000117702,3672.24936268,3672.24936268,8495.99947339,5.88512241055,0.6,48.8199,1.0,39.2551,,1.0,100,0.000117702,2.11783e-22,100.0,1,48.8198633365,48.8198633365,60.5955
48.4691331386,50000,0.000117,1.0,8547,1.0,0.000117,3434.02988531,3434.02988531,8546.99947494,5.85000585001,0.6,48.4692,1.0,41.2292,,1.0,100,0.000117,2.11783e-22,100.0,1,48.4691331386,48.4691331386,58.5972
48.6472353103,50000,0.000117357,1.0,8521,1.0,0.000117357,3674.60129794,3674.60129794,8520.99956992,5.86785588546,0.6,48.6472,1.0,40.247,,1.0,100,0.000117357,,100.0,1,48.6472353103,48.6472353103,60.6149
49.3789180912,50000,0.000118821,1.0,8416,1.0,0.000118821,3823.26803414,3823.26803414,8415.99956471,5.94106463878,0.6,49.3789,1.0,41.8159,,1.0,100,0.000118821,5.29459e-23,100.0,1,49.3789180912,49.3789180912,61.8289
50.1440116206,50000,0.000120351,1.0,8309,1.0,0.000120351,4201.71709017,4201.71709017,8308.99986961,6.01757130822,0.6,50.144,1.0,38.058,,1.0,100,0.000120351,,100.0,1,50.1440116206,50.1440116206,64.8167
47.90611423,50000,0.000115875,1.0,8630,1.0,0.000115875,3290.52476937,3290.52476937,8629.99938113,5.79374275782,0.6,47.9061,1.0,36.8342,,1.0,100,0.000115875,4.76511e-22,100.0,1,47.90611423,47.90611423,57.3598
48.9658521393,50000,0.000117994,1.0,8475,1.0,0.000117994,3810.91860088,3810.91860088,8475.0003959,5.89970501475,0.6,48.9659,1.0,33.8028,,1.0,100,0.000117994,2.11783e-22,100.0,1,48.9658521393,48.9658521393,61.729
