ReturnStepMaxmin,EpThisIter,MinIW,InitialReturnMax,EmpiricalD2,InitialReturnMean,MaxIWNorm,MeanIW,ESSRenyi,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,StdIWNorm,Weights,EpisodesSoFar,MaxIW,MeanIWNorm,Bound,MinIWNorm,EpRewMean,J_sample_variance,Iteration,EpLenMean,TimeElapsed,ReturnStepMax,MeanEntropy,InitialBound,ESSClassic,InitialReturnMin,StdIW
,100,0.0022822903,,29.71165,-97.0,0.02108636,0.31159618,3.365683,17.058722,10342,-28.16932,0.0046380255,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],100,2.108636,0.0031159616,-46.338783,2.2822902e-05,-97.0,1840.9589,1,103.42,22.912787437438965,100.0,2.7903159,-100.333336,31.098856,-100.0,0.46380255
,100,0.0046263435,,25.304506,-96.0,0.06328112,0.5054396,3.9518652,19.595919,21870,-42.05016,0.009118704,[ 0.186  0.133  0.074 ... -0.324 -0.025 -0.022],200,6.328112,0.005054395,-58.818024,4.6263434e-05,-96.0,4931.899,2,115.28,101.27682781219482,100.0,2.8241646,-99.333336,23.502728,-100.0,0.9118704
,100,0.0026921218,,21.597767,-96.0,0.02622147,0.39215767,4.6301084,19.595919,32645,-38.745262,0.004887066,[ 0.186  0.133  0.074 ... -0.327 -0.015  0.001],300,2.622147,0.0039215772,-54.236397,2.6921218e-05,-96.0,2429.3667,3,107.75,175.0291347503662,100.0,2.8205254,-99.333336,39.169403,-100.0,0.48870662
,100,0.03235933,,14.640376,-98.0,0.03005961,0.44089916,6.8304257,14.0,44055,-43.859905,0.005615185,[ 1.865e-01  1.333e-01  7.380e-02 ... -3.290e-01 -1.702e-02 -1.816e-04],400,3.005961,0.004408992,-56.61415,0.00032359333,-98.0,3202.471,4,114.1,250.82462906837463,100.0,2.8566964,-101.333336,38.13889,-100.0,0.56151855
,100,0.0103191305,,29.440607,-99.0,0.02741273,0.3370062,3.3966691,9.949874,56631,-33.62784,0.004636672,[ 0.187  0.133  0.074 ... -0.331  0.015  0.003],500,2.741273,0.0033700617,-51.71424,0.000103191305,-99.0,2176.003,5,125.76,321.5008008480072,100.0,2.8591518,-102.333336,34.566906,-100.0,0.46366718
,100,0.0016322519,,17.8024,-99.0,0.03055772,0.4242762,5.61722,9.949874,71820,-42.19088,0.005555417,[ 0.186  0.133  0.073 ... -0.335  0.015  0.006],600,3.055772,0.0042427625,-56.255177,1.6322518e-05,-99.0,3132.0137,6,151.89,416.81482458114624,100.0,2.9236119,-102.333336,36.83928,-100.0,0.55554163
,100,0.0092498725,,19.222517,-98.0,0.026856827,0.48693824,5.2022324,14.0,85664,-47.26375,0.005112023,[ 0.186  0.134  0.073 ... -0.338  0.048  0.037],700,2.6856828,0.004869382,-61.878246,9.2498725e-05,-98.0,2651.3103,7,138.44,512.2010791301727,100.0,2.921002,-101.333336,47.57051,-100.0,0.51120234
,100,0.010324796,,27.735918,-99.0,0.023155557,0.401171,3.6054332,9.949874,98711,-39.94661,0.0044513843,[ 0.186  0.134  0.074 ... -0.338  0.04   0.043],800,2.3155558,0.00401171,-57.50158,0.000103247956,-99.0,2012.3491,8,130.47,594.6125428676605,100.0,2.9492621,-102.333336,44.818787,-100.0,0.44513845
,100,0.0055382624,,18.141945,-99.0,0.019041905,0.44601655,5.5120883,9.949874,113532,-43.30419,0.005019636,[ 0.187  0.133  0.073 ... -0.342  0.039  0.073],900,1.9041905,0.0044601653,-57.50198,5.538262e-05,-99.0,2490.2915,9,148.21,690.2445540428162,100.0,2.9509685,-102.333336,44.118774,-100.0,0.5019636
,100,0.0012431636,,14.897876,-97.0,0.031691812,0.52672344,6.712366,17.058722,127376,-50.82251,0.006250781,[ 0.186  0.134  0.072 ... -0.346  0.013  0.1  ],1000,3.169181,0.0052672345,-63.68843,1.2431636e-05,-97.0,3983.4148,10,138.44,780.5487594604492,100.0,2.9402704,-100.333336,41.522614,-100.0,0.62507814
100.0,100,0.0046843425,-100.0,16.752438,-100.0,0.026357664,0.48570418,5.9692807,,140092,-48.57042,0.006040738,[ 0.186  0.133  0.072 ... -0.348  0.007  0.095],1100,2.6357665,0.0048570414,-62.213665,4.6843423e-05,-100.0,3685.9114,11,127.16,861.8804166316986,100.0,2.93836,-103.333336,39.26484,-100.0,0.6040738
,100,0.0060995356,,19.685562,-96.0,0.05033601,0.45489722,5.079865,19.595919,153389,-44.95653,0.006845486,[ 0.186  0.133  0.073 ... -0.347  0.012  0.088],1200,5.0336013,0.0045489725,-59.746002,6.0995353e-05,-96.0,4771.0693,12,132.97,930.4163908958435,100.0,2.9277372,-99.333336,30.632092,-100.0,0.6845486
,100,0.0017346216,,17.54073,-98.0,0.06276623,0.6002902,5.7010174,14.0,167640,-58.934986,0.009336391,[ 0.186  0.134  0.072 ... -0.348  0.023  0.067],1300,6.2766232,0.0060029016,-72.89554,1.7346216e-05,-98.0,8846.369,13,142.51,1000.5687508583069,100.0,2.9062502,-101.333336,29.248335,-100.0,0.93363905
,100,0.0006397177,,17.50853,-97.0,0.03523318,0.49335766,5.711502,17.058722,179778,-47.500908,0.006596503,[ 0.185  0.134  0.072 ... -0.35   0.017  0.052],1400,3.5233183,0.004933576,-61.44864,6.3971765e-06,-97.0,4322.398,14,121.38,1061.9764316082,100.0,2.9382071,-100.333336,35.87138,-100.0,0.6596503
,100,0.001967643,,18.04138,-98.0,0.06992234,0.5448112,5.5428133,14.0,192504,-47.206337,0.009310079,[ 0.185  0.134  0.072 ... -0.35   0.041  0.059],1500,6.992234,0.005448112,-61.36472,1.9676429e-05,-98.0,4555.954,15,127.26,1121.7887649536133,100.0,2.949395,-101.333336,25.508812,-100.0,0.93100786
,100,0.010840295,,11.156378,-98.0,0.0231325,0.6461672,8.963483,14.0,205221,-64.1165,0.0050200885,[ 0.185  0.134  0.072 ... -0.351  0.043  0.068],1600,2.31325,0.006461672,-75.25022,0.00010840295,-98.0,2597.1855,16,127.17,1177.7603831291199,100.0,2.9609807,-101.333336,62.360565,-100.0,0.50200886
,100,0.0027339114,,15.395466,-93.0,0.03202666,0.43765774,6.495419,25.514702,218827,-40.37995,0.005198597,[ 0.185  0.134  0.071 ... -0.352  0.052  0.071],1700,3.202666,0.004376577,-53.45897,2.7339112e-05,-93.0,2646.8794,17,136.06,1241.8204822540283,100.0,2.9303463,-96.333336,41.477905,-100.0,0.5198597
,100,0.0046687843,,18.496773,-95.0,0.0380793,0.4207393,5.4063487,21.794495,233664,-39.894897,0.0059178467,[ 0.184  0.134  0.071 ... -0.351  0.045  0.047],1800,3.80793,0.004207392,-54.230858,4.668784e-05,-95.0,3460.5571,18,148.37,1331.3484065532684,100.0,2.921862,-98.333336,33.575737,-100.0,0.59178466
,100,0.004958041,,9.892976,-97.0,0.026159333,0.52645206,10.108182,17.058722,246713,-51.466755,0.0055092736,[ 0.184  0.134  0.07  ... -0.353  0.058  0.026],1900,2.6159334,0.005264521,-61.951122,4.958041e-05,-97.0,3118.1592,19,130.49,1406.2083294391632,100.0,2.9550748,-100.333336,47.729427,-100.0,0.5509274
,100,0.0045634424,,13.57707,-97.0,0.032819107,0.55266327,7.3653593,17.058722,260369,-52.663666,0.005448291,[ 0.184  0.134  0.07  ... -0.355  0.063  0.054],2000,3.2819107,0.0055266325,-64.94602,4.5634424e-05,-97.0,2911.1733,20,136.56,1470.928457736969,100.0,2.9402797,-100.333336,50.713795,-100.0,0.5448291
,100,0.0023815522,,25.78463,-97.0,0.029799229,0.53034407,3.8782794,17.058722,274272,-47.922432,0.005764383,[ 0.183  0.134  0.07  ... -0.357  0.06   0.042],2100,2.979923,0.0053034406,-64.84862,2.3815523e-05,-97.0,2726.1028,21,139.03,1533.3403046131134,100.0,2.9577312,-100.333336,45.842503,-100.0,0.5764383
,100,0.003203731,,12.193237,-96.0,0.07370998,0.61408514,8.201267,19.595919,288283,-49.148827,0.009736571,[ 0.184  0.134  0.07  ... -0.356  0.075  0.045],2200,7.370998,0.0061408514,-60.788433,3.203731e-05,-96.0,3928.8027,22,140.11,1597.0145530700684,100.0,2.9544282,-99.333336,28.458088,-100.0,0.97365713
,100,0.00433191,,5.2585516,-93.0,0.0545703,0.7333853,19.016644,25.514702,301791,-67.12029,0.008149795,[ 0.184  0.134  0.07  ... -0.358  0.082  0.034],2300,5.45703,0.0073338533,-74.76414,4.3319098e-05,-93.0,6533.6167,23,135.08,1649.0923371315002,100.0,2.9288237,-96.333336,44.74489,-100.0,0.81497955
,100,2.167789e-05,100.0,52592.406,-95.0,633.8509,634.2633,0.0019014152,25.980762,314701,63345.195,63.066956,[ 0.184  0.134  0.07  ... -0.359  0.081  0.01 ],2400,63385.09,6.3426332,62580.76,2.167789e-07,-95.0,401772100000.0,24,129.1,1708.4849808216095,100.0,2.8984513,-98.333336,1.0013016,-100.0,6306.6953
,100,0.02084732,,11.841658,-98.0,0.050499,0.50487804,8.444763,14.0,328791,-50.012524,0.0065373546,[ 0.185  0.133  0.07  ... -0.36   0.065 -0.004],2500,5.0499,0.0050487802,-61.483093,0.0002084732,-98.0,4353.6343,25,140.9,1781.0290443897247,100.0,2.9220402,-101.333336,37.360737,-100.0,0.65373546
,100,0.005476776,100.0,13.027064,-95.0,0.03882025,0.4984147,7.6763268,25.980762,341977,-45.278336,0.0064392155,[ 0.185  0.133  0.07  ... -0.361  0.096 -0.012],2600,3.8820252,0.0049841464,-57.309345,5.476776e-05,-95.0,3090.5503,26,131.86,1845.3607153892517,100.0,2.944218,-98.333336,37.465714,-100.0,0.6439215
,100,0.011127107,,24.286232,-98.0,0.032221317,0.509836,4.1175594,14.0,355451,-50.159294,0.0068029203,[ 0.184  0.133  0.07  ... -0.363  0.091  0.015],2700,3.222132,0.0050983597,-66.58632,0.00011127107,-98.0,4723.6494,27,134.74,1911.0104975700378,100.0,2.9969373,-101.333336,35.96541,-100.0,0.68029207
,100,0.00069627864,,23.550482,-96.0,0.021036973,0.29338172,4.2461977,19.595919,368764,-29.14359,0.0034492856,[ 0.184  0.134  0.07  ... -0.363  0.108  0.051],2800,2.1036973,0.0029338172,-45.31987,6.9627863e-06,-96.0,1211.732,28,133.13,1975.5236196517944,100.0,2.993288,-99.333336,41.976807,-100.0,0.34492856
,100,0.0033987742,,14.774959,-97.0,0.020328727,0.4318079,6.7682085,17.058722,382429,-40.133762,0.004995034,[ 0.184  0.134  0.07  ... -0.364  0.108  0.047],2900,2.0328727,0.004318079,-52.9465,3.398774e-05,-97.0,2350.4624,29,136.65,2043.3283932209015,100.0,2.9455264,-100.333336,42.769363,-100.0,0.49950343
