MaxIW,MeanIW,ReturnStepMaxmin,ReturnMeanIW,MinIW,TimestepsSoFar,MeanIWNorm,EpisodesSoFar,StdIW,MeanEntropy,ESSClassic,MinIWNorm,MaxIWNorm,StdIWNorm,ReturnStepMax,Iteration,EmpiricalD2,EpThisIter,ESSRenyi,InitialReturnMean,InitialReturnMax,InitialReturnStd,TimeElapsed,EpRewMean,EpLenMean,InitialReturnMin,Weights,Bound,J_sample_variance,InitialBound
3.0374594,0.71482116,33.94129,-105.41266,0.016791986,11214,0.007148212,100,0.6473692,2.8661137,54.93961,0.00016791986,0.030374592,0.006473692,100.0,1,4.449416,100,22.47486,-175.51616,13.8029175,107.75486,9.491977214813232,-382.46914497075073,112.14,-347.8344,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],-129.86964,13044.384,-187.11064
3.3312972,0.73419607,8.094536,-97.85391,0.0063051344,22322,0.0073419604,200,0.69693995,2.8516154,52.60149,6.3051346e-05,0.033312973,0.0069693993,100.0,2,5.369077,100,18.625175,-167.25671,4.7047515,85.83805,49.33601498603821,-360.0782792062502,111.08,-311.35007,[ 0.195 -0.062 -0.127 ... -0.308  0.015  0.013],-121.90183,11845.449,-177.63507
5.10426,0.51302034,8.490158,-61.255695,0.0072436854,34420,0.005130204,300,0.7135764,2.8220954,34.075127,7.243685e-05,0.051042598,0.0071357633,100.0,3,6.955221,100,14.377688,-132.05586,-7.5994225,77.95477,84.04756212234497,-307.312363992126,120.98,-314.07104,[ 0.195 -0.062 -0.127 ... -0.304  0.023 -0.009],-88.865425,7860.6836,-142.5249
3.901489,0.57187563,4.827278,-66.07547,0.014480153,45596,0.0057187565,400,0.6483441,2.8029594,43.757736,0.00014480152,0.03901489,0.006483441,100.0,4,5.956146,100,16.789381,-124.4019,15.774904,84.88755,120.35314440727234,-282.8751038471232,111.76,-349.12964,[ 0.195 -0.062 -0.128 ... -0.304  0.018 -0.034],-94.47742,10085.318,-136.03955
2.7610471,0.6213851,17.02069,-60.757446,0.010968647,56587,0.006213851,500,0.58447236,2.8016512,53.058243,0.000109686465,0.027610471,0.005844724,117.02069,5,7.943554,100,12.588823,-146.51035,-1.6522655,81.70418,157.54394912719727,-315.55859499858775,109.91,-287.72888,[ 0.195 -0.062 -0.128 ... -0.301 -0.007 -0.028],-87.78892,3202.3135,-156.1013
3.559315,0.7048392,2.8241425,-44.013405,0.02435257,67622,0.0070483917,600,0.66178197,2.8437932,53.147526,0.00024352569,0.03559315,0.006617819,102.82414,6,3.8804476,100,25.770224,-93.589386,7.6448936,69.598976,189.26987957954407,-211.07263063683033,110.35,-256.5633,[ 0.196 -0.062 -0.128 ... -0.3   -0.012 -0.024],-60.860077,1568.9062,-102.14149
7.559422,0.6137207,22.085289,-41.791687,0.0067205173,78914,0.0061372067,700,0.9224879,2.8213716,30.681145,6.720517e-05,0.07559422,0.009224879,122.08529,7,5.565939,100,17.966421,-94.81633,-1.8262138,58.765774,226.31998491287231,-212.32478521951597,112.92,-278.4287,[ 0.196 -0.062 -0.127 ... -0.298 -0.003  0.009],-63.687546,2036.1696,-104.09729
3.978145,0.7565451,39.31505,-45.92558,0.023272246,90942,0.0075654513,800,0.6608287,2.799881,56.722424,0.00023272245,0.039781447,0.0066082873,139.31505,8,3.2509549,100,30.760193,-86.657166,-1.6447563,60.757103,260.0440196990967,-199.29530391000236,120.28,-252.34903,[ 0.196 -0.062 -0.128 ... -0.297 -0.035  0.018],-61.092094,1872.2639,-95.0688
5.009759,0.5892238,6.9987335,-32.616158,0.031746633,103999,0.0058922376,900,0.6715775,2.7949762,43.49589,0.00031746633,0.05009759,0.006715775,106.99873,9,4.775583,100,20.939852,-81.17564,32.509003,56.855476,293.73083901405334,-193.93153514004865,130.57,-227.0556,[ 0.197 -0.062 -0.129 ... -0.297 -0.052  0.014],-49.155724,1060.2372,-88.744156
42.38432,1.1835508,3.010994,-33.94032,0.075116105,116830,0.011835508,1000,4.1707883,2.8045027,7.452503,0.000751161,0.42384318,0.04170788,100.0,10,2.6102064,100,38.311146,-69.285164,28.28242,49.909233,328.56486654281616,-168.41988294452875,128.31,-256.6966,[ 0.197 -0.061 -0.129 ... -0.301 -0.049  0.006],-47.7644,17203.78,-77.84172
