InitialReturnMin,Iteration,MeanIWNorm,Weights,MeanEntropy,EpRewMean,EpThisIter,ReturnStepMaxmin,InitialReturnMax,InitialBound,EpisodesSoFar,TimestepsSoFar,MinIW,MeanIW,EmpiricalD2,ESSRenyi,InitialReturnMean,StdIWNorm,ReturnStepMax,TimeElapsed,InitialReturnStd,MaxIWNorm,MaxIW,ReturnMeanIW,J_sample_variance,ESSClassic,EpLenMean,MinIWNorm,StdIW,Bound
-100.0,1,0.0026482078,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],2.8176773,-97.0,100,,,-98.005035,100,10342,0.00021124519,0.26482078,224.7385,0.4449616,-97.0,0.005417878,100.0,11.847306966781616,17.058722,0.034128293,3.4128294,-25.470863,2970.6865,19.28429,103.42,2.112452e-06,0.5417878,-40.537666
-100.0,2,0.0065381443,[ 0.186  0.133  0.074 ... -0.325 -0.011 -0.009],2.8419771,-95.0,100,,100.0,-96.005035,200,21120,0.0032788,0.6538144,17.34587,5.7650614,-95.0,0.010421353,100.0,49.63826584815979,25.980762,0.08556097,8.556097,-64.475044,11063.244,28.24366,107.78,3.2788e-05,1.0421354,-68.660866
-100.0,3,0.0025953534,[ 0.187  0.133  0.075 ... -0.321 -0.018  0.022],2.8385704,-99.0,100,,,-100.005035,300,31852,0.00057984586,0.25953534,137.7051,0.72618955,-99.0,0.0039820205,100.0,83.08097290992737,9.949874,0.02006976,2.006976,-25.821016,1606.8221,29.814785,107.32,5.7984585e-06,0.3982021,-37.614914
-100.0,4,0.0050790394,[ 0.187  0.133  0.075 ... -0.322 -0.026  0.027],2.8663495,-95.0,100,,,-96.005035,400,42820,0.00052898657,0.507904,29.898218,3.344681,-95.0,0.0075106784,100.0,120.56780624389648,21.794495,0.047351666,4.7351665,-49.27259,5766.6426,31.380135,109.68,5.2898654e-06,0.7510678,-54.768063
-100.0,5,0.0024107525,[ 0.186  0.134  0.075 ... -0.32   0.001  0.027],2.8444257,-98.0,100,,,-99.005035,500,53828,8.570468e-05,0.24107526,246.22879,0.40612635,-98.0,0.006183991,100.0,153.5066089630127,14.0,0.056717627,5.671763,-23.345263,3842.126,13.19244,110.08,8.570468e-07,0.61839914,-39.115993
-100.0,6,0.0037231117,[ 0.186  0.134  0.074 ... -0.318 -0.02   0.026],2.872824,-99.0,100,,,-100.005035,600,65194,0.00014601204,0.37231117,79.96406,1.2505618,-99.0,0.0050522,100.0,187.85151147842407,9.949874,0.025430264,2.5430264,-37.152157,2583.558,35.193874,113.66,1.4601204e-06,0.50522006,-46.13947
-100.0,7,0.0030021803,[ 0.186  0.134  0.075 ... -0.319 -0.016  0.05 ],2.920798,-100.0,100,100.0,-100.0,-101.005035,700,76567,0.0032150818,0.30021805,64.79148,1.5434128,-100.0,0.004745157,100.0,222.56766986846924,,0.024761323,2.4761324,-30.021805,2274.3958,28.586111,113.73,3.2150816e-05,0.47451574,-38.11167
-100.0,8,0.0034740947,[ 0.186  0.134  0.075 ... -0.318  0.021  0.062],2.9461806,-97.0,100,,,-98.005035,800,87505,0.00027613068,0.34740943,184.1147,0.5431397,-97.0,0.0070841447,100.0,256.8675391674042,17.058722,0.039962146,3.9962149,-34.62948,5076.329,19.387102,109.38,2.7613069e-06,0.7084145,-48.266724
-100.0,9,0.0043874127,[ 0.185  0.134  0.074 ... -0.32   0.031  0.078],2.9474318,-100.0,100,100.0,-100.0,-101.005035,900,98593,0.00018066916,0.43874127,135.16608,0.7398306,-100.0,0.006866649,100.0,292.8834903240204,,0.04242376,4.242376,-43.874123,4762.715,28.989927,110.88,1.8066916e-06,0.68666494,-55.55879
-100.0,10,0.0027066683,[ 0.185  0.134  0.074 ... -0.32   0.029  0.08 ],2.9322956,-100.0,100,100.0,-100.0,-101.005035,1000,109757,7.295546e-05,0.27066684,115.530876,0.8655695,-100.0,0.0041170185,100.0,325.4983551502228,,0.022763465,2.2763464,-27.06668,1712.1055,30.1783,111.64,7.295546e-07,0.4117019,-37.869358
-100.0,11,0.003284502,[ 0.185  0.134  0.074 ... -0.323  0.006  0.089],2.857436,-98.0,100,,,-99.005035,1100,121080,0.00031098508,0.32845023,171.1857,0.5841609,-98.0,0.0057663172,100.0,360.8672239780426,14.0,0.031903487,3.1903489,-32.23823,3364.5977,24.496717,113.23,3.1098507e-06,0.5766318,-45.38794
