EpThisIter,StdIW,InitialReturnStd,ReturnStepMaxmin,ReturnMeanIW,StdIWNorm,EpRewMean,MeanIW,MinIW,InitialReturnMean,TimeElapsed,MinIWNorm,J_sample_variance,MaxIW,ReturnStepMax,EmpiricalD2,EpisodesSoFar,Iteration,InitialReturnMax,MeanIWNorm,EpLenMean,InitialReturnMin,MeanEntropy,InitialBound,ESSRenyi,Weights,ESSClassic,Bound,MaxIWNorm,TimestepsSoFar
100,0.65644205,,100.0,-44.535904,0.00656442,-100.0,0.44535905,0.0009486183,-100.0,7.398960113525391,9.4861825e-06,4352.688,2.713977,100.0,97.18395,100,1,-100.0,0.00445359,84.53,-100.0,2.8689287,-101.005035,1.0289764,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],31.520266,-54.44376,0.02713977,8453
100,0.53281844,,100.0,-26.363468,0.0053281845,-100.0,0.26363468,0.0001910581,-100.0,43.352229595184326,1.910581e-06,2867.631,2.9617043,100.0,111.85506,200,2,-100.0,0.0026363467,88.98,-100.0,2.8495538,-101.005035,0.8940141,[ 0.161 -0.226  0.048 ...  0.064  0.051 -0.02 ],19.667091,-36.992905,0.029617041,17351
100,0.45393068,14.0,,-24.503363,0.0045393067,-98.0,0.25480232,1.5666472e-05,-98.0,77.3683853149414,1.5666471e-07,2040.3121,2.8359995,100.0,159.78368,300,3,,0.0025480231,88.08,-100.0,2.8254898,-99.005035,0.62584615,[ 0.161 -0.225  0.048 ...  0.064  0.033 -0.022],23.959286,-37.2076,0.028359994,26159
100,0.57663816,14.0,,-27.857428,0.005766382,-98.0,0.28215384,6.832856e-05,-98.0,113.7441177368164,6.832856e-07,3366.3914,3.6306753,100.0,144.77402,400,4,,0.0028215381,89.91,-100.0,2.7617157,-99.005035,0.6907317,[ 0.161 -0.225  0.048 ...  0.065 -0.007 -0.005],19.317266,-39.95025,0.036306754,35150
100,0.35594472,,100.0,-19.199217,0.0035594471,-100.0,0.19199216,0.0008736019,-100.0,150.62021112442017,8.736019e-06,1279.7642,2.3657546,100.0,105.160095,500,5,-100.0,0.0019199216,91.62,-100.0,2.76246,-101.005035,0.9509311,[ 0.161 -0.224  0.048 ...  0.069 -0.042 -0.035],22.537008,-29.505638,0.023657545,44312
100,0.27548394,9.949874,,-14.347904,0.0027548391,-99.0,0.15185045,0.00038588466,-99.0,183.12107062339783,3.8588464e-06,720.7646,1.6541545,100.0,165.45277,600,6,,0.0015185043,87.94,-100.0,2.7314875,-100.005035,0.60440207,[ 0.16  -0.223  0.048 ...  0.074 -0.034 -0.041],23.303253,-27.27555,0.016541544,53106
100,0.6845763,9.949874,,-78.37413,0.006845762,-99.0,0.786007,0.04257044,-99.0,213.4411940574646,0.00042570438,4764.5244,4.293713,100.0,2.8272796,700,7,,0.00786007,82.34,-100.0,2.727756,-100.005035,35.36969,[ 0.16  -0.225  0.048 ...  0.076 -0.074 -0.033],56.86465,-80.06406,0.04293713,61340
100,0.45584223,19.595919,,-34.466244,0.004558422,-96.0,0.3635712,0.003105952,-96.0,244.08419919013977,3.1059517e-05,2074.5007,2.3932517,100.0,133.09415,800,8,,0.003635712,80.55,-100.0,2.780386,-97.005035,0.75134784,[ 0.16  -0.225  0.048 ...  0.078 -0.102 -0.008],38.88038,-46.061005,0.023932517,69395
100,0.32125688,9.949874,,-20.751543,0.0032125686,-99.0,0.20850904,0.00023401383,-99.0,278.0001621246338,2.3401383e-06,1045.6628,1.4026803,100.0,162.94862,900,9,,0.0020850904,83.72,-100.0,2.7333138,-100.005035,0.6136904,[ 0.16  -0.225  0.049 ...  0.083 -0.031 -0.027],29.639645,-33.580986,0.014026802,77767
100,0.79260606,19.595919,,-39.627007,0.00792606,-96.0,0.4147896,0.00011451286,-96.0,310.055296421051,1.1451286e-06,6269.4873,5.102354,100.0,170.10008,1000,10,,0.004147895,85.97,-100.0,2.748279,-97.005035,0.5878892,[ 0.16  -0.226  0.049 ...  0.087 -0.051 -0.054],21.498917,-52.734955,0.05102354,86364
