Bound,EmpiricalD2,MaxIWNorm,InitialBound,InitialReturnMax,InitialReturnStd,EpRewMean,MeanIWNorm,StdIWNorm,ESSRenyi,EpLenMean,InitialReturnMin,StdIW,EpisodesSoFar,MaxIW,MinIWNorm,MeanIW,EpThisIter,J_sample_variance,ESSClassic,ReturnStepMaxmin,MinIW,ReturnMeanIW,ReturnStepMax,MeanEntropy,Weights,TimeElapsed,InitialReturnMean,Iteration,TimestepsSoFar
-24.05249,14.387976,0.032776434,-38.427402,-7.113055,9.151215,-100.0,0.0045689996,0.005704608,6.9502482,104.92,-50.998573,0.5704608,100,3.2776434,1.9344181e-05,0.4569,100,573.8758,39.079777,100.0,0.0019344182,-17.604317,100.0,2.8176212,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],10.863610744476318,-36.727455,1,10492
-23.706486,8.147526,0.028913498,-37.984932,-6.90179,9.145521,-100.0,0.005077895,0.0056033107,12.273664,106.26,-50.998573,0.5603311,200,2.8913498,0.00029661108,0.5077895,100,477.7322,45.092804,100.0,0.029661108,-18.854162,100.0,2.8329318,[ 0.186 -0.108 -0.135 ... -0.395 -0.039  0.019],43.72445106506348,-36.28498,2,21118
-22.370762,11.28534,0.03208712,-35.957916,-6.2418556,10.90766,-100.0,0.004583905,0.00566426,8.861053,115.91,-50.48859,0.566426,300,3.2087123,2.482812e-05,0.4583905,100,500.94168,39.57393,100.0,0.002482812,-16.717106,100.0,2.8161798,[ 0.186 -0.108 -0.135 ... -0.393 -0.057  0.052],71.70978307723999,-34.274967,3,32709
