Iteration,TimestepsSoFar,Weights,EpRewMean,TimeElapsed,MaxIW,InitialReturnStd,ReturnMeanIW,J_sample_variance,EmpiricalD2,MeanEntropy,MeanIWNorm,StdIWNorm,InitialReturnMin,EpisodesSoFar,ESSRenyi,MaxIWNorm,Bound,ESSClassic,MinIWNorm,EpLenMean,MeanIW,StdIW,MinIW,InitialBound,EpThisIter,ReturnStepMaxmin,InitialReturnMax,InitialReturnMean,ReturnStepMax
1,10492,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-388.69100231127794,8.549292802810669,5.504678,77.52853,-75.00758,23067.146,46.6247,2.8046331,0.0045440095,0.0080145,-330.82123,100,2.144786,0.05504678,-97.71062,24.326073,1.3477345e-05,104.92,0.45440102,0.80144995,0.0013477346,-194.88104,100,2.496704,-15.257216,-191.55617,100.0
2,21407,[ 0.188 -0.107 -0.138 ... -0.393 -0.03  -0.003],-284.80333784922624,48.978856563568115,3.0535016,74.832825,-67.71146,11760.549,34.20604,2.8222666,0.00549637,0.0069941166,-278.3835,200,2.9234602,0.030535016,-84.075,38.178875,2.0745323e-05,109.15,0.54963696,0.69941163,0.0020745324,-137.96826,100,0.9534912,30.67226,-135.1704,100.95349
3,33295,[ 0.187 -0.107 -0.137 ... -0.394 -0.033  0.018],-353.61604494611936,85.14866590499878,7.349392,80.75274,-74.580444,9964.788,29.831043,2.8396719,0.006234654,0.00955871,-339.05542,300,3.3522127,0.07349392,-93.1922,29.84564,2.1101898e-05,118.88,0.6234655,0.95587105,0.0021101898,-164.2616,100,24.00409,-12.1347885,-160.85396,100.0
4,45195,[ 0.188 -0.107 -0.138 ... -0.393 -0.013  0.015],-248.22337158591662,121.96829438209534,3.2988067,71.77972,-64.17709,4752.023,8.6260805,2.8485444,0.0069625764,0.0063098865,-351.27893,400,11.592751,0.032988068,-74.546196,54.90577,9.674186e-05,119.0,0.6962577,0.63098866,0.009674186,-114.09814,100,1.1806259,32.199837,-110.567665,100.0
5,56746,[ 0.188 -0.108 -0.137 ... -0.395 -0.007  0.018],-298.05076181960203,155.94419717788696,5.194344,87.4244,-70.35105,12886.431,22.667208,2.8621778,0.006607864,0.009882164,-327.22803,500,4.4116592,0.05194344,-86.008896,30.896929,2.367196e-05,115.51,0.6607863,0.98821646,0.0023671961,-142.6852,100,21.789848,23.076857,-139.39644,100.0
6,69658,[ 0.188 -0.108 -0.138 ... -0.393 -0.018  0.042],-301.5576878530379,194.952232837677,4.6295795,79.18323,-70.114624,9087.047,16.019789,2.8977332,0.0069308854,0.00861583,-289.94247,600,6.2422795,0.046295796,-81.777954,39.287888,3.6101177e-05,129.12,0.69308853,0.86158293,0.0036101178,-131.99516,100,6.573967,79.184265,-129.08113,106.57397
7,81926,[ 0.189 -0.108 -0.138 ... -0.393 -0.023  0.083],-261.32343816970223,235.29421997070312,6.8315077,70.720474,-43.6842,4470.003,22.463928,2.8572109,0.0060764058,0.009272635,-310.5923,700,4.451581,0.068315074,-58.479233,30.041786,2.7405706e-06,122.68,0.60764056,0.92726356,0.00027405706,-115.28315,100,9.77887,19.608097,-112.16159,100.0
8,94827,[ 0.19  -0.108 -0.141 ... -0.392 -0.037  0.056],-252.93621761789964,272.3593661785126,4.8998694,58.813797,-33.1562,3751.428,20.075117,2.7968178,0.004939675,0.008540217,-217.30696,800,4.981291,0.048998695,-42.941746,25.068289,1.7526392e-06,129.01,0.4939675,0.8540217,0.00017526392,-99.343285,100,10.802635,20.96969,-97.15927,110.802635
9,106981,[ 0.19  -0.107 -0.141 ... -0.393 -0.067  0.026],-185.82066801809103,307.78711795806885,6.303141,52.48784,-27.855066,1092.3641,22.57147,2.8231165,0.005275595,0.008507543,-244.91626,900,4.4303718,0.06303141,-39.549522,27.773523,3.41199e-05,121.54,0.5275595,0.8507543,0.0034119904,-79.70567,100,26.247955,-3.7271957,-77.24417,100.0
10,119367,[ 0.191 -0.107 -0.143 ... -0.395 -0.054  0.039],-171.72334119649764,341.60052490234375,3.641808,42.52592,-41.695747,4783.675,7.728319,2.8327513,0.006059915,0.0069358936,-283.88608,1000,12.9394245,0.03641808,-49.6275,43.290016,6.197318e-05,123.86,0.6059914,0.6935894,0.006197318,-72.09281,100,0.9512558,-1.9736576,-69.23965,100.0
