TimestepsSoFar,StdIWNorm,MaxIW,EpThisIter,Weights,EpLenMean,MeanEntropy,MaxIWNorm,MeanIWNorm,InitialReturnMin,InitialReturnMean,InitialReturnMax,ReturnMeanIW,Bound,InitialReturnStd,StdIW,MeanIW,EpisodesSoFar,Iteration,EmpiricalD2,ESSRenyi,EpRewMean,ReturnStepMax,J_sample_variance,TimeElapsed,InitialBound,ESSClassic,ReturnStepMaxmin,MinIW,MinIWNorm
11214,0.0068505104,3.96765,100,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],112.14,2.8556404,0.0396765,0.0044614407,-100.0,-100.0,-100.0,-44.614407,-52.572266,,0.685051,0.44614407,100,1,62.69423,1.5950432,-100.0,100.0,4740.3525,9.984677791595459,-101.005035,29.781952,100.0,0.0037780835,3.7780836e-05
21609,0.007458992,4.669666,100,[ 0.194 -0.062 -0.125 ... -0.307  0.002  0.016],103.95,2.8583148,0.046696655,0.004221486,-100.0,-100.0,-100.0,-42.214855,-53.755745,,0.74589914,0.42214856,200,2,131.86017,0.7583791,-100.0,100.0,5619.854,45.750497817993164,-101.005035,24.260206,100.0,0.00052527,5.2527e-06
33284,0.0039847223,2.3390453,100,[ 0.195 -0.063 -0.124 ... -0.304  0.008  0.012],116.75,2.8288488,0.023390451,0.0022516465,-100.0,-99.0,,-22.512732,-31.887608,9.949874,0.39847222,0.22516468,300,3,87.00941,1.149301,-99.0,100.0,1604.0082,79.1377739906311,-100.005035,24.20246,,0.00037355954,3.7355953e-06
44645,0.004499934,3.2019606,100,[ 0.193 -0.063 -0.125 ... -0.306  0.007 -0.016],113.61,2.814407,0.032019604,0.0021723602,-100.0,-99.0,,-21.722971,-34.790337,9.949874,0.44999343,0.21723603,400,4,169.04854,0.59154606,-99.0,100.0,2045.4226,116.89574074745178,-100.005035,18.900366,100.0,0.00031161506,3.1161505e-06
54560,0.0050341543,2.5563893,100,[ 0.192 -0.062 -0.126 ... -0.306 -0.004 -0.019],99.15,2.833941,0.025563892,0.003500506,-100.0,-100.0,-100.0,-35.005062,-45.850525,,0.50341547,0.35005063,500,5,116.44778,0.85875404,-100.0,100.0,2559.87,152.47083449363708,-101.005035,32.59246,100.0,0.00036013388,3.6013387e-06
64360,0.030915776,29.932108,100,[ 0.192 -0.062 -0.126 ... -0.308 -0.01   0.006],98.0,2.8215318,0.2993211,0.00799934,-100.0,-99.0,,-50.061295,-58.25135,9.949874,3.0915773,0.799934,600,6,66.40622,1.5058831,-99.0,100.0,9977.995,187.15350437164307,-100.005035,6.274862,,9.69836e-05,9.698359e-07
73639,0.0055187657,3.5483835,100,[ 0.193 -0.063 -0.126 ... -0.312 -0.024  0.008],92.79,2.8288488,0.035483833,0.003167235,-100.0,-100.0,-100.0,-31.67235,-43.39273,,0.5518766,0.31672353,700,7,135.9936,0.7353287,-100.0,100.0,3076.4429,222.6296010017395,-101.005035,24.776083,100.0,0.000110830064,1.1083006e-06
83972,0.006936512,4.244481,100,[ 0.192 -0.062 -0.127 ... -0.311 -0.027  0.018],103.33,2.8116002,0.04244481,0.0041310266,-100.0,-100.0,-100.0,-41.310265,-49.281643,,0.6936512,0.41310266,800,8,62.90746,1.5896366,-100.0,100.0,4860.1216,255.80263566970825,-101.005035,26.181694,100.0,1.0955688e-05,1.0955687e-07
94336,0.008380996,4.462102,100,[ 0.194 -0.062 -0.126 ... -0.31  -0.066  0.039],103.64,2.7842834,0.044621017,0.004124586,-100.0,-99.0,,-41.151985,-50.71576,9.949874,0.83809954,0.41245857,900,9,90.551125,1.1043485,-99.0,100.0,7101.9834,290.1938474178314,-100.005035,19.497496,,0.00018724838,1.8724838e-06
105970,0.0074347444,4.708017,100,[ 0.194 -0.062 -0.126 ... -0.309 -0.077  0.023],116.34,2.7839386,0.047080167,0.0048789238,-100.0,-100.0,-100.0,-48.789234,-58.206367,,0.74347436,0.48789233,1000,10,87.79554,1.1390101,-100.0,100.0,5583.3755,321.5986330509186,-101.005035,30.101295,100.0,0.0005058253,5.0582526e-06
116775,0.006450257,3.4496813,100,[ 0.194 -0.061 -0.126 ... -0.312 -0.082  0.028],108.05,2.7571044,0.03449681,0.0033395684,-100.0,-99.0,,-33.38565,-43.225044,9.949874,0.6450257,0.33395687,1100,11,95.845535,1.0433455,-99.0,100.0,4203.274,356.13950061798096,-100.005035,21.13918,,0.00092249544,9.224954e-06
127684,0.0050872,2.4573064,100,[ 0.192 -0.062 -0.124 ... -0.313 -0.088  0.008],109.09,2.7362728,0.024573063,0.0031863186,-100.0,-100.0,-100.0,-31.863186,-44.061356,,0.5087201,0.3186319,1200,12,147.30737,0.6788526,-100.0,100.0,2614.102,390.35777020454407,-101.005035,28.176512,100.0,9.2330825e-05,9.233082e-07
138442,0.007162005,4.267144,100,[ 0.192 -0.062 -0.124 ... -0.314 -0.09  -0.012],107.58,2.7253687,0.042671442,0.005688001,-100.0,-100.0,-100.0,-56.88001,-64.93828,,0.71620053,0.5688001,1300,13,64.28636,1.5555398,-100.0,100.0,5181.244,425.8138346672058,-101.005035,38.678127,100.0,0.00044058866,4.4058866e-06
149869,0.005221845,2.9530854,100,[ 0.192 -0.063 -0.122 ... -0.311 -0.087 -0.026],114.27,2.7176938,0.029530853,0.002889645,-100.0,-100.0,-100.0,-28.896452,-41.61227,,0.52218455,0.2889645,1400,14,160.07515,0.62470657,-100.0,100.0,2754.3096,461.101744890213,-101.005035,23.443533,100.0,0.0002070821,2.070821e-06
159860,0.00500497,2.3477416,100,[ 0.192 -0.062 -0.124 ... -0.311 -0.107 -0.014],99.91,2.6318884,0.023477415,0.0031575656,-100.0,-100.0,-100.0,-31.575655,-41.16855,,0.500497,0.3157566,1500,15,91.10337,1.0976542,-100.0,100.0,2530.2751,489.25799775123596,-101.005035,28.470127,100.0,9.311441e-06,9.311441e-08
170336,0.0029590237,1.8421543,100,[ 0.193 -0.062 -0.125 ... -0.317 -0.154 -0.052],104.76,2.6074095,0.018421542,0.0018719941,-100.0,-100.0,-100.0,-18.719942,-30.763378,,0.2959024,0.18719941,1600,16,143.5939,0.6964084,-100.0,100.0,884.4265,524.6018576622009,-101.005035,28.583275,100.0,0.00022518502,2.2518502e-06
180299,0.00580857,4.233793,100,[ 0.19  -0.062 -0.127 ... -0.317 -0.149 -0.082],99.63,2.59003,0.042337928,0.0027289921,-100.0,-100.0,-100.0,-27.28992,-39.60198,,0.580857,0.2728992,1700,17,150.07089,0.66635174,-100.0,100.0,3408.0288,562.069917678833,-101.005035,18.081968,100.0,0.00042903112,4.290311e-06
