MeanIWNorm,MeanEntropy,ReturnMeanIW,InitialReturnMin,InitialBound,EpLenMean,StdIWNorm,EpThisIter,StdIW,EpRewMean,ReturnStepMaxmin,EmpiricalD2,Iteration,Bound,J_sample_variance,EpisodesSoFar,MaxIW,ReturnStepMax,TimestepsSoFar,ESSClassic,InitialReturnMax,MaxIWNorm,TimeElapsed,InitialReturnMean,MinIWNorm,InitialReturnStd,Weights,MinIW,MeanIW,ESSRenyi
0.0068845022,2.92507,-45.220493,-230.61926,-88.04567,132.2,0.006914276,100,0.6914276,-230.4318942085091,15.841591,7.003099,16,-51.354202,2667.15,1600,3.3072586,100.0,211037,49.78423,-4.19425,0.033072587,596.7601389884949,-85.727875,6.718178e-05,55.340595,[ 0.19   0.132  0.074 ... -0.329  0.065  0.017],0.0067181783,0.6884502,14.279392
0.008158196,2.9257393,-40.818474,-235.9465,-88.47223,132.77,0.017326051,100,1.732605,-229.32671426260885,7.3077316,17.93231,17,-50.860332,4181.661,1700,16.608694,107.30773,224314,18.147646,21.50655,0.16608694,636.0813276767731,-86.10087,8.655297e-05,57.523907,[ 0.191  0.132  0.075 ... -0.326  0.058  0.029],0.008655298,0.8158196,5.576526
0.005097425,2.9160185,-35.854866,-252.09937,-91.9166,126.67,0.0068301945,100,0.6830195,-227.63872911206602,29.95488,17.108376,18,-46.3348,2546.4734,1800,4.718614,129.95488,236981,35.77288,6.12426,0.04718614,672.6412172317505,-89.38291,3.8780236e-05,53.19999,[ 0.189  0.132  0.074 ... -0.328  0.06   0.028],0.0038780235,0.5097425,5.8450904
0.0067775105,2.9460077,-39.242096,-184.11154,-82.90732,125.51,0.0064404784,100,0.64404786,-208.37828528913624,19.972313,20.72279,19,-47.665497,1793.9069,1900,3.3563747,100.0,249532,52.548157,15.783207,0.033563748,709.8029372692108,-81.05693,5.914221e-06,48.70827,[ 0.189  0.133  0.074 ... -0.33   0.056  0.022],0.00059142214,0.6777512,4.825605
0.0057662083,2.9285946,-25.137451,-155.05759,-63.027344,127.95,0.006505275,100,0.65052754,-166.38445938421216,10.107452,14.731331,20,-31.118763,745.3335,2000,3.5774238,110.10745,262327,43.99914,1.8499749,0.03577424,743.5371022224426,-61.468956,1.8941488e-05,35.015957,[ 0.19   0.132  0.074 ... -0.327  0.08   0.028],0.0018941488,0.5766209,6.788253
0.0061392356,2.995933,-27.946583,-185.36127,-58.86665,129.81,0.0066203834,100,0.6620384,-153.29384196827112,8.451263,6.9660096,21,-32.863506,866.96625,2100,4.561456,108.45126,275308,46.234486,-7.5646877,0.04561456,771.5786986351013,-57.0037,4.3721143e-06,34.75696,[ 0.191  0.132  0.075 ... -0.323  0.083  0.007],0.00043721145,0.61392355,14.355421
0.0055490453,2.9513779,-13.531261,-153.39586,-53.426437,125.47,0.014127003,100,1.4127003,-134.2273807275109,9.75808,35.444683,22,-22.709759,351.34506,2200,12.296524,100.0,287855,13.36662,12.827598,0.12296524,812.8732738494873,-51.884754,5.2483465e-06,33.23844,[ 0.19   0.132  0.075 ... -0.323  0.114  0.044],0.0005248347,0.55490446,2.8212976
0.005905797,2.920128,-24.594635,-235.63377,-69.941376,136.06,0.0130386865,100,1.3038687,-180.40744376998674,11.91214,16.451784,23,-34.20028,1282.8158,2300,10.9278965,100.0,301461,17.023355,24.552952,0.10927896,845.845223903656,-67.573166,0.00010735485,47.96934,[ 0.191  0.132  0.075 ... -0.32   0.109  0.004],0.010735485,0.5905797,6.078368
0.0072530843,2.9131868,-26.433817,-182.8002,-59.672676,140.15,0.011934576,100,1.1934576,-154.44334859252413,19.921555,8.0852785,24,-31.657858,1347.1294,2400,8.404358,100.0,315476,26.972353,33.058105,0.08404358,881.3729224205017,-57.835464,0.00023864763,41.65622,[ 0.19   0.132  0.075 ... -0.319  0.087 -0.005],0.023864763,0.7253085,12.368157
0.007309268,2.9385822,-22.172363,-195.41681,-45.875412,151.57,0.007167475,100,0.71674746,-123.78795261578139,12.936363,5.471597,25,-26.766472,712.72363,2500,4.5846586,100.0,330633,50.979355,18.293346,0.045846585,926.5389013290405,-43.9114,0.00012504082,36.139526,[ 0.191  0.132  0.076 ... -0.315  0.097 -0.022],0.012504083,0.7309268,18.2762
0.006792833,2.9513783,-19.514727,-144.6902,-38.357834,141.21,0.0058587105,100,0.58587104,-104.85136109676576,14.925804,5.588261,26,-22.952362,539.82275,2600,3.7175543,100.0,344754,57.343437,11.045589,0.037175544,964.2533769607544,-36.903645,2.819349e-05,29.518293,[ 0.191  0.132  0.076 ... -0.314  0.141 -0.041],0.002819349,0.6792834,17.894653
0.0062373322,2.9913425,-17.209139,-216.33464,-46.33043,140.93,0.007095912,100,0.7095912,-120.60001595820988,5.8821335,8.168072,27,-23.423096,352.6536,2700,4.014979,100.0,358847,43.5872,21.486471,0.04014979,995.737434387207,-44.156185,4.5259476e-05,34.717583,[ 0.192  0.132  0.076 ... -0.312  0.141 -0.027],0.004525948,0.6237333,12.242791
0.053973712,3.0038562,245.58209,-145.28683,-38.422928,154.5,0.4580912,100,45.80912,-104.32941944049195,36.91779,1276.2347,28,193.41772,7196653.0,2800,461.02463,100.0,374297,1.3692199,58.134346,4.610246,1038.1851875782013,-36.962746,2.0996338e-06,34.040493,[ 0.191  0.132  0.077 ... -0.312  0.142  0.011],0.00020996339,5.3973713,0.07835549
12.477896,2.9210093,54793.887,-95.51021,-34.82698,136.98,124.09747,100,12409.748,-88.75037868799858,35.83365,870765.7,29,53898.145,300398900000.0,2900,124723.23,100.0,387995,1.0008938,43.944107,1247.2322,1076.833456993103,-33.86707,5.050417e-07,20.755978,[ 0.192  0.133  0.076 ... -0.31   0.15   0.015],5.0504175e-05,1247.7896,0.00011484146
0.0055770194,2.9216976,-7.7228737,-107.979324,-26.944075,144.62,0.0067632254,100,0.6763225,-70.57407107366598,22.949493,17.814623,30,-12.303357,133.04921,3000,4.3899555,100.0,402457,40.475502,55.172153,0.043899555,1121.8492650985718,-25.85884,2.2394545e-06,23.190075,[ 0.191  0.134  0.077 ... -0.31   0.128 -0.044],0.00022394545,0.55770195,5.613366
