InitialReturnMean,RewardCompression,EpisodesSoFar,EmpiricalD2,InitialBound,EpThisIter,ReturnStepMax,Iteration,TimeElapsed,InitialReturnStd,ReturnStepMaxmin,TimestepsSoFar,InitialReturnMax,EpRewMean,ReturnMeanIW,Bound,StdIW,Weights,EpLenMean,MeanIW,MeanEntropy,MinIW,ESSRenyi,InitialReturnMin,MaxIW,ESSClassic
-100.0,0.99,100,1.0,-101.005035,100,100.0,1,16.925081253051758,,100.0,8453,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],84.53,1.0,2.837890386581421,1.0,100.0,-100.0,1.0,1.0
-100.0,0.99,200,1.0,-101.005035,100,100.0,2,53.725154876708984,,100.0,16940,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],84.87,1.0,2.837890386581421,1.0,100.0,-100.0,1.0,1.0
-99.0,0.98,300,5.488809585571289,-51.00504,100,100.0,3,76.10903143882751,9.949873924255371,,25343,,-99.0,-1.1387015581130981,-3.4933252334594727,0.21002669056847342,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],84.03,0.23280072240328983,2.8346750736236572,0.022774031834816404,18.218887329101562,-100.0,0.44282741297176326,1.0
-100.0,0.99,400,1.0,-101.005035,100,100.0,4,137.2168424129486,,100.0,33769,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],84.26,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-97.0,0.98,500,1.0,-51.00504,100,100.0,5,155.2784640789032,17.0587215423584,,42484,,-97.0,-50.0,-51.00503921508789,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],87.15,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-99.0,0.98,600,1.0,-51.00504,100,100.0,6,184.85740447044373,9.949873924255371,100.0,51915,,-99.0,-50.0,-51.00503921508789,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],94.31,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-100.0,0.99,700,1.0,-101.005035,100,100.0,7,213.66472744941711,,100.0,60789,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],88.74,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-96.0,0.97,800,1.0,-1.0050378,100,100.0,8,237.99298882484436,24.166091918945312,,69696,100.0,-96.0,,-1.005037784576416,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],89.07,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,2.0
-100.0,0.99,900,1.0,-101.005035,100,100.0,9,268.71978521347046,,100.0,79052,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],93.56,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-99.0,0.98,1000,1.0,-51.00504,100,100.0,10,295.7285478115082,9.949873924255371,,87787,,-99.0,-50.0,-51.00503921508789,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],87.35,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-100.0,0.99,1100,1.0,-101.005035,100,100.0,11,315.61248445510864,,100.0,96465,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],86.78,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-99.0,0.98,1200,1.0,-51.00504,100,100.0,12,340.68052411079407,9.949873924255371,,105492,,-99.0,-50.0,-51.00503921508789,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],90.27,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-100.0,0.99,1300,1.0,-101.005035,100,100.0,13,369.40080165863037,,100.0,114354,-100.0,-100.0,-100.0,-101.00503540039062,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],88.62,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
-98.0,0.98,1400,1.0,-51.00504,100,100.0,14,396.8168067932129,14.0,,123108,,-98.0,-50.0,-51.00503921508789,,[ 0.159 -0.225  0.049 ...  0.067 -0.008  0.005],87.54,1.0,2.8346750736236572,1.0,100.0,-100.0,1.0,1.0
