MeanIWNorm,ESSClassic,MinIWNorm,Iteration,ReturnStepMaxmin,InitialReturnMax,J_sample_variance,MaxIWNorm,ESSRenyi,MinIW,EpLenMean,Bound,EpisodesSoFar,ReturnMeanIW,MeanIW,StdIWNorm,TimestepsSoFar,MeanEntropy,EmpiricalD2,TimeElapsed,EpRewMean,InitialReturnStd,Weights,InitialReturnMin,MaxIW,ReturnStepMax,InitialBound,InitialReturnMean,StdIW,EpThisIter
0.0037231713,16.66972,1.3209476e-05,1,13.65049,5.1900406,24474.102,0.06754494,0.94777685,0.0013209475,84.53,-110.9319,100,-71.24052,0.37231714,0.008324349,8453,2.8864996,105.51007,11.603610515594482,-410.9072636939507,110.19566,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],-384.47394,6.7544937,100.0,-230.15466,-226.29059,0.83243495,100
0.0030020007,21.063057,7.614275e-07,2,3.4071198,-5.1497993,2180.0007,0.038486645,3.1060963,7.614275e-05,82.56,-56.22546,200,-33.929546,0.3002001,0.0058115274,16709,2.815178,32.19475,51.3040509223938,-326.94592021162947,110.55632,[ 0.161 -0.225  0.048 ...  0.06   0.019  0.03 ],-390.9762,3.8486645,100.0,-185.66104,-181.73157,0.5811528,100
0.006423246,33.15177,6.6027624e-08,3,10.534874,-3.0398254,10812.384,0.06032546,3.0270884,6.602763e-06,80.39,-87.21894,300,-67.72136,0.6423247,0.009121077,24748,2.7824585,33.035046,86.4041485786438,-289.12849012321874,78.14418,[ 0.161 -0.225  0.049 ...  0.06  -0.002 -0.021],-337.5288,6.032546,100.0,-164.14636,-160.75407,0.9121079,100
0.0025361795,27.618988,1.3136491e-06,4,9.942955,-8.20108,2641.614,0.020642333,1.5461494,0.00013136491,79.21,-48.669506,400,-28.33568,0.25361794,0.004105712,32669,2.6886804,64.6768,123.86014151573181,-220.637118098713,65.651276,[ 0.16  -0.226  0.049 ...  0.057 -0.015 -0.04 ],-251.5721,2.0642333,109.942955,-124.089005,-121.56059,0.41057116,100
0.004168633,19.639494,1.464625e-06,5,21.917542,18.718842,7887.2,0.068621546,3.102553,0.00014646251,83.41,-60.71441,500,-44.323837,0.4168633,0.0084323725,41010,2.6730983,32.23152,159.06017637252808,-215.786657061619,67.26155,[ 0.161 -0.224  0.049 ...  0.053 -0.118 -0.031],-287.25748,6.862155,121.91754,-118.59046,-115.703415,0.84323716,100
0.0033795012,23.266483,9.457246e-06,6,16.391953,17.203846,2305.2893,0.030220374,2.3148942,0.0009457246,87.51,-49.99362,600,-30.265158,0.33795014,0.0061373343,49761,2.64545,43.198517,188.92807817459106,-237.29569508959503,76.60619,[ 0.161 -0.226  0.049 ...  0.056 -0.136 -0.029],-298.6596,3.0220375,116.39195,-128.13663,-125.13497,0.6137335,100
0.004190223,18.859077,2.6638043e-06,7,5.6596603,1.1899872,3927.2046,0.06094741,2.398673,0.00026638043,83.46,-57.42383,700,-36.166317,0.41902226,0.008691542,58107,2.6394475,41.689716,216.0373833179474,-218.23262310189048,77.46085,[ 0.161 -0.225  0.049 ...  0.059 -0.164 -0.028],-327.5786,6.0947413,105.65966,-119.51716,-116.22486,0.8691542,100
0.0052214456,24.784128,5.514106e-06,8,18.291649,31.381685,3635.4333,0.053563956,3.8278368,0.0005514106,82.56,-52.1199,800,-37.951134,0.5221445,0.009096172,66363,2.6150498,26.124416,247.1262083053589,-168.20616672348635,53.309387,[ 0.161 -0.225  0.049 ...  0.063 -0.19  -0.008],-275.82037,5.3563957,118.29165,-96.563324,-93.79122,0.9096172,100
0.004509494,25.578821,4.7485384e-05,9,1.3155518,18.619968,2206.1116,0.057006825,4.517582,0.0047485386,81.66,-46.87433,900,-33.748795,0.45094943,0.00769194,74529,2.5798888,22.135736,273.56409215927124,-186.1793892690556,57.400562,[ 0.161 -0.224  0.049 ...  0.062 -0.195 -0.027],-277.57968,5.7006826,100.0,-104.10671,-101.31694,0.76919395,100
0.006168208,31.518032,3.1258525e-05,10,28.493652,-4.855942,3729.2202,0.05455035,5.471511,0.0031258524,82.52,-54.87728,1000,-43.47637,0.6168208,0.009092172,82781,2.5586555,18.276487,307.6163682937622,-175.75683868645646,59.324986,[ 0.16  -0.225  0.049 ...  0.056 -0.185 -0.073],-265.34485,5.455035,128.49365,-96.49672,-93.82991,0.9092172,100
0.004127691,36.92834,3.1536858e-06,11,17.115211,54.88791,1511.9915,0.029334439,3.692256,0.00031536858,82.95,-42.19715,1100,-28.587427,0.41276917,0.005394417,91076,2.508741,27.083714,336.52016711235046,-161.67246583424424,58.092903,[ 0.16  -0.225  0.049 ...  0.053 -0.197 -0.082],-260.20337,2.933444,117.11521,-91.250084,-88.63495,0.5394417,100
0.0034435422,20.731712,5.5383257e-06,12,12.575233,14.357412,1293.8715,0.042046495,2.3166318,0.00055383256,77.37,-38.122498,1200,-23.179663,0.34435418,0.0067334473,98813,2.487241,43.16612,364.9800441265106,-155.53996651783788,48.47406,[ 0.161 -0.226  0.049 ...  0.059 -0.222 -0.108],-226.29716,4.2046494,112.57523,-89.83652,-87.56215,0.6733448,100
0.008042116,65.01349,5.5212862e-05,13,21.017212,-6.3158684,1239.5414,0.029414596,19.645369,0.0055212863,78.41,-54.736023,1300,-48.652916,0.80421156,0.005899551,106654,2.4802744,5.090258,393.8923065662384,-136.16608366340668,44.44409,[ 0.161 -0.225  0.049 ...  0.059 -0.226 -0.125],-268.27057,2.9414597,121.01721,-77.179596,-74.483376,0.5899551,100
0.004958996,26.668303,1.6819906e-05,14,4.534523,5.5880795,2889.8457,0.046724908,2.2276347,0.0016819906,79.01,-40.811684,1400,-29.965612,0.49589962,0.008223222,114555,2.4658194,44.890663,417.2401673793793,-116.3485339565735,30.306332,[ 0.161 -0.226  0.049 ...  0.059 -0.229 -0.128],-161.06902,4.672491,104.53452,-65.463356,-63.84455,0.8223222,100
0.004209762,34.858524,4.174669e-05,15,0.16505432,-18.503792,1193.8547,0.035282396,4.399381,0.0041746693,75.19,-38.15822,1500,-25.57051,0.42097622,0.005754821,122074,2.468749,22.730469,445.7962591648102,-126.62729890128963,34.51681,[ 0.161 -0.227  0.049 ...  0.067 -0.239 -0.133],-262.69995,3.5282395,100.0,-72.14563,-69.5054,0.57548213,100
