EmpiricalD2,InitialBound,ESSRenyi,ESSClassic,InitialReturnMin,TimestepsSoFar,MeanIW,EpisodesSoFar,ReturnStepMaxmin,StdIW,EpThisIter,Bound,MinIW,Weights,Iteration,MaxIW,EpRewMean,RewardCompression,EpLenMean,ReturnStepMax,InitialReturnStd,TimeElapsed,InitialReturnMean,ReturnMeanIW,MeanEntropy,InitialReturnMax
1.0,-53.333332,100.0,1.0,-100.0,9645,1.0,100,,,100,-53.33333206176758,1.0,[-0.155  0.183  0.205 ...  0.116  0.     0.   ],1,1.0,-97.0,0.98,96.45,100.0,17.0587215423584,21.852618932724,-97.0,-50.0,2.837890386581421,
1.0,-53.333332,100.0,1.0,-100.0,19623,1.0,200,,,100,-53.33333206176758,1.0,[-0.155  0.183  0.205 ...  0.116  0.     0.   ],2,1.0,-99.0,0.98,99.78,100.0,9.949873924255371,54.5925350189209,-99.0,-50.0,2.837890386581421,
3.737191677093506,-53.333332,26.758060455322266,1.0,-100.0,29294,1.0761561060419726,300,,0.9997391039781586,100,-10.264789581298828,0.07641700206381401,[-0.155  0.183  0.205 ...  0.116  0.     0.   ],3,2.075895210020131,-99.0,0.98,96.71,100.0,9.949873924255371,81.51319313049316,-99.0,-3.820849895477295,2.8614962100982666,
1.0,-103.333336,100.0,1.0,-100.0,39344,1.0,400,100.0,,100,-103.33333587646484,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],4,1.0,-100.0,0.99,100.5,100.0,,150.0577836036682,-100.0,-100.0,2.8614962100982666,-100.0
1.0,-53.333332,100.0,1.0,-100.0,49134,1.0,500,,,100,-53.33333206176758,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],5,1.0,-95.0,0.98,97.9,100.0,21.79449462890625,175.55447220802307,-95.0,-50.0,2.8614962100982666,
1.0,-103.333336,100.0,1.0,-100.0,59075,1.0,600,100.0,,100,-103.33333587646484,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],6,1.0,-100.0,0.99,99.41,100.0,,203.64891242980957,-100.0,-100.0,2.8614962100982666,-100.0
1.0,-3.3333335,100.0,2.0,-100.0,69983,1.0,700,,,100,-3.3333334922790527,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],7,1.0,-91.0,0.97,109.08,100.0,34.914180755615234,231.84783387184143,-91.0,,2.8614962100982666,100.0
1.0,-53.333332,100.0,1.0,-100.0,80189,1.0,800,,,100,-53.33333206176758,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],8,1.0,-96.0,0.98,102.06,100.0,19.595918655395508,258.24310851097107,-96.0,-50.0,2.8614962100982666,
1.0,-53.333332,100.0,1.0,-100.0,90132,1.0,900,,,100,-53.33333206176758,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],9,1.0,-99.0,0.98,99.43,100.0,9.949873924255371,289.37666606903076,-99.0,-50.0,2.8614962100982666,
1.0,-53.333332,100.0,1.0,-100.0,100262,1.0,1000,,,100,-53.33333206176758,1.0,[-0.154  0.183  0.205 ...  0.115  0.022  0.002],10,1.0,-97.0,0.98,101.3,100.0,17.0587215423584,317.72034549713135,-97.0,-50.0,2.8614962100982666,
