ReturnMeanIW,Weights,EpThisIter,ESSClassic,ReturnStepMaxmin,InitialBound,Iteration,EmpiricalD2,InitialReturnMax,InitialReturnMean,MeanEntropy,InitialReturnMin,MaxIWNorm,MinIWNorm,MaxIW,EpLenMean,StdIW,MeanIWNorm,ESSRenyi,Bound,ReturnStepMax,MeanIW,EpisodesSoFar,TimestepsSoFar,MinIW,EpRewMean,TimeElapsed,StdIWNorm,J_sample_variance,InitialReturnStd
-45.715023,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],100,33.726818,100.0,-103.333336,1,32.96833,-100.0,-100.0,2.8602169,-100.0,0.031603795,4.1281244e-05,3.1603794,112.14,0.64082605,0.0045715026,3.0332139,-64.85438,100.0,0.45715022,100,11214,0.0041281246,-100.0,24.128454446792603,0.0064082607,4148.061,
-70.392876,[ 0.195 -0.062 -0.125 ... -0.308  0.001  0.021],100,54.068317,100.0,-103.333336,2,7.0948296,-100.0,-100.0,2.855511,-100.0,0.030358376,0.00010942573,3.0358377,112.0,0.64880395,0.0070392867,14.094771,-79.27158,100.0,0.70392877,200,22414,0.010942574,-100.0,106.29815649986267,0.006488039,4251.9854,
-50.994244,[ 0.195 -0.063 -0.125 ... -0.307  0.001  0.016],100,50.138866,100.0,-103.333336,3,22.537336,-100.0,-100.0,2.8671877,-100.0,0.034116935,1.26976865e-05,3.4116936,119.4,0.50852805,0.005099424,4.437082,-66.81874,100.0,0.5099424,300,34354,0.0012697687,-100.0,170.60488438606262,0.005085281,2612.1296,
-43.89408,[ 0.194 -0.063 -0.125 ... -0.306  0.014  0.015],100,32.16776,100.0,-103.333336,4,15.606662,-100.0,-100.0,2.8561437,-100.0,0.04214294,2.5874911e-05,4.214294,119.88,0.63740236,0.004389408,6.4075203,-57.062504,100.0,0.43894082,400,46342,0.0025874912,-100.0,248.58334589004517,0.006374023,4103.856,
-32.99388,[ 0.194 -0.063 -0.124 ... -0.304  0.001  0.017],100,38.990993,,-102.333336,5,26.240053,,-99.0,2.8253222,-100.0,0.022919213,1.8835199e-06,2.2919214,106.88,0.41763967,0.0033387726,3.810968,-50.068897,100.0,0.3338773,500,57030,0.00018835199,-99.0,313.4925870895386,0.0041763964,1772.5874,9.949874
-75.323395,[ 0.195 -0.062 -0.126 ... -0.304 -0.017  0.005],100,59.99056,100.0,-103.333336,6,3.2238226,-100.0,-100.0,2.8181357,-100.0,0.031546008,0.0001572731,3.1546009,113.46,0.61513394,0.0075323395,31.019077,-81.308395,100.0,0.75323397,600,68376,0.01572731,-100.0,386.11269998550415,0.006151339,3822.1187,
-42.748653,[ 0.195 -0.063 -0.126 ... -0.303 -0.037  0.017],100,45.75298,,-100.333336,7,15.839211,,-97.0,2.7920654,-100.0,0.022675132,2.1859707e-07,2.2675133,119.43,0.47046697,0.0043206685,6.3134456,-56.014824,100.0,0.4320669,700,80319,2.1859707e-05,-97.0,449.9243288040161,0.00470467,2264.1475,17.058722
-40.20402,[ 0.194 -0.062 -0.127 ... -0.303 -0.088  0.043],100,36.660217,,-102.333336,8,16.260008,,-99.0,2.766374,-100.0,0.03642085,1.9687861e-05,3.6420848,120.67,0.5292691,0.004026575,6.1500587,-53.645256,100.0,0.40265748,800,92386,0.0019687861,-99.0,534.3525893688202,0.005292691,2834.1853,9.949874
-31.053383,[ 0.195 -0.062 -0.128 ... -0.303 -0.118  0.047],100,33.97752,100.0,-103.333336,9,42.511288,-100.0,-100.0,2.747869,-100.0,0.022091746,3.45825e-05,2.2091746,120.88,0.4328715,0.0031053384,2.3523164,-52.78694,100.0,0.31053382,900,104474,0.0034582498,-100.0,607.4539229869843,0.0043287147,1892.7043,
-65.26415,[ 0.196 -0.061 -0.13  ... -0.307 -0.135  0.045],100,61.644135,100.0,-103.333336,10,10.561632,-100.0,-100.0,2.750014,-100.0,0.026091866,1.7772665e-05,2.6091866,124.79,0.5148072,0.0065264152,9.468233,-76.09704,100.0,0.65264153,1000,116953,0.0017772665,-100.0,675.9581122398376,0.005148072,2677.0352,
