StdIW,EpThisIter,MeanIW,MaxIW,InitialReturnMean,MinIW,InitialBound,ESSRenyi,Weights,EpRewMean,J_sample_variance,MeanEntropy,InitialReturnStd,StdIWNorm,ReturnMeanIW,ReturnStepMax,EmpiricalD2,MaxIWNorm,TimeElapsed,EpisodesSoFar,TimestepsSoFar,ReturnStepMaxmin,InitialReturnMax,InitialReturnMin,MeanIWNorm,MinIWNorm,ESSClassic,EpLenMean,Iteration,Bound
0.48317516,100,0.30320966,2.681055,-99.0,5.9358994e-05,-100.005035,0.969239,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-99.0,2365.484,2.803786,9.949874,0.0048317513,-30.156303,100.0,103.17373,0.02681055,9.555752038955688,100,10492,,,-100.0,0.0030320964,5.935899e-07,28.253744,104.92,1,-40.36492
0.5902192,100,0.3590368,3.3692565,-100.0,0.0009866987,-101.005035,0.8250177,[ 0.186 -0.108 -0.135 ... -0.395 -0.049  0.015],-100.0,3518.7744,2.8157134,,0.0059021916,-35.90368,100.0,121.20952,0.033692565,46.68017792701721,200,20726,100.0,-100.0,-100.0,0.0035903677,9.866986e-06,27.009548,102.34,2,-46.968662
0.57603425,100,0.3405553,2.9013326,-99.0,0.00035022895,-100.005035,0.5047068,[ 0.185 -0.109 -0.133 ... -0.397 -0.045  0.023],-99.0,3353.439,2.8086052,9.949874,0.0057603423,-34.028774,100.0,198.13484,0.029013326,79.97966933250427,300,31052,100.0,,-100.0,0.0034055528,3.5022895e-06,25.899876,103.26,3,-48.175724
0.53962326,100,0.33410895,2.5608382,-98.0,2.1067674e-05,-99.005035,0.8957696,[ 0.185 -0.109 -0.133 ... -0.391 -0.055  0.025],-98.0,2953.2812,2.8333066,14.0,0.005396232,-33.14553,100.0,111.63585,0.025608381,115.62843179702759,400,41752,,,-100.0,0.0033410895,2.1067673e-07,27.711693,107.0,4,-43.764545
0.78929573,100,0.41637504,5.8604126,-99.0,0.00023565408,-100.005035,0.813462,[ 0.185 -0.108 -0.134 ... -0.395 -0.055  0.051],-99.0,3281.9353,2.811633,9.949874,0.007892958,-35.777092,100.0,122.931366,0.058604125,150.31199479103088,500,52357,,,-100.0,0.004163751,2.3565408e-06,21.770182,106.05,5,-46.92039
0.75276226,100,0.37280297,4.2360673,-99.0,0.0010341519,-100.005035,0.6246352,[ 0.186 -0.108 -0.136 ... -0.393 -0.062  0.036],-99.0,5700.5337,2.7878122,9.949874,0.0075276224,-36.308033,100.0,160.09344,0.04236067,185.45270776748657,600,62684,,,-100.0,0.0037280293,1.0341519e-05,19.696077,103.27,6,-49.02458
0.4247298,100,0.32035476,2.3074486,-99.0,0.00036795976,-100.005035,1.2445207,[ 0.188 -0.107 -0.14  ... -0.387 -0.091  0.041],-99.0,1800.165,2.7940063,9.949874,0.0042472975,-31.155844,100.0,80.35222,0.023074485,222.85475516319275,700,72855,,,-100.0,0.0032035483,3.6795975e-06,36.261124,101.71,7,-40.164944
0.5702767,100,0.4045425,3.219448,-100.0,0.00021175732,-101.005035,1.0633501,[ 0.188 -0.107 -0.139 ... -0.385 -0.113  0.069],-100.0,3285.0044,2.8698547,,0.0057027666,-40.45425,100.0,94.042404,0.03219448,254.96415638923645,800,82850,100.0,-100.0,-100.0,0.0040454254,2.117573e-06,33.476097,99.95,8,-50.20065
0.6684362,100,0.36218286,3.0921133,-99.0,0.00021157524,-100.005035,0.671005,[ 0.189 -0.107 -0.14  ... -0.384 -0.065  0.097],-99.0,4516.123,2.857251,9.949874,0.0066843624,-36.175854,100.0,149.03018,0.030921131,288.31814789772034,900,93750,,,-100.0,0.0036218285,2.1157523e-06,22.69553,109.0,9,-48.445145
0.33725706,100,0.21618536,2.0845284,-100.0,0.0006384396,-101.005035,0.84794766,[ 0.19  -0.107 -0.14  ... -0.389 -0.056  0.075],-100.0,1148.9125,2.8320446,,0.0033725707,-21.618536,100.0,117.93181,0.020845285,322.2328109741211,1000,104829,100.0,-100.0,-100.0,0.0021618537,6.384396e-06,29.12298,110.79,10,-32.532887
