EpRewMean,ESSClassic,InitialBound,MaxIWNorm,MinIW,EpisodesSoFar,MeanIW,Bound,ESSRenyi,InitialReturnMin,ReturnStepMaxmin,ReturnStepMax,StdIWNorm,Iteration,TimestepsSoFar,InitialReturnMax,EpThisIter,Weights,MeanIWNorm,MaxIW,EpLenMean,InitialReturnMean,StdIW,MeanEntropy,MinIWNorm,J_sample_variance,ReturnMeanIW,InitialReturnStd,EmpiricalD2,TimeElapsed
-97.0,18.0914,-98.005035,0.054485224,0.00013011113,100,0.39409885,-50.90247,0.7584269,-100.0,,100.0,0.008385594,1,9645,,100,[-0.155  0.183  0.205 ...  0.116  0.     0.   ],0.0039409893,5.4485226,96.45,-97.0,0.83855945,2.7988713,1.3011113e-06,7106.5474,-39.361946,17.058722,131.85187,7.912513256072998
-96.0,17.121088,-97.005035,0.049906243,0.0010075389,200,0.36065432,-47.54282,0.7063483,-100.0,,100.0,0.00793501,2,19773,,100,[-0.155  0.184  0.204 ...  0.117 -0.021 -0.018],0.0036065432,4.9906244,101.28,-96.0,0.79350096,2.7863638,1.0075389e-05,6384.352,-35.584423,19.595919,141.57321,41.666831493377686
-99.0,14.819375,-100.005035,0.04931326,0.0001381443,300,0.30113745,-44.483444,0.43637362,-100.0,,100.0,0.007219718,3,29599,,100,[-0.155  0.185  0.205 ...  0.12  -0.041 -0.01 ],0.0030113745,4.931326,98.26,-99.0,0.7219718,2.7370744,1.381443e-06,5243.686,-29.269104,9.949874,229.16142,77.40309262275696
-98.0,18.362827,-99.005035,0.04761018,0.0010143484,400,0.26558045,-37.807808,0.7872653,-100.0,,100.0,0.005599771,4,39149,,100,[-0.155  0.184  0.205 ...  0.117 -0.096 -0.005],0.0026558042,4.761018,95.5,-98.0,0.5599771,2.7334852,1.0143483e-05,3171.0732,-26.480627,14.0,127.02198,113.94502711296082
-99.0,20.490755,-100.005035,0.037934583,0.00039771388,500,0.2876931,-44.058258,0.43203303,-100.0,,100.0,0.0056670797,5,49559,,100,[-0.153  0.182  0.204 ...  0.119 -0.055 -0.049],0.002876931,3.7934582,104.1,-99.0,0.566708,2.7313921,3.977139e-06,3244.114,-28.767681,9.949874,231.46379,148.3788092136383
-100.0,23.180792,-101.005035,0.07374451,0.018070811,600,0.6040815,-66.99102,2.3309555,-100.0,100.0,100.0,0.0109968,6,61544,-100.0,100,[-0.154  0.181  0.203 ...  0.12  -0.035 -0.072],0.0060408143,7.374451,119.85,-100.0,1.09968,2.7052555,0.00018070811,12215.112,-60.40815,,42.900864,184.50829148292542
-99.0,26.769945,-100.005035,0.03567058,0.0011518894,700,0.27448905,-39.32794,0.706886,-100.0,,100.0,0.0045398967,7,73306,,100,[-0.155  0.181  0.203 ...  0.122 -0.054 -0.078],0.0027448907,3.567058,117.62,-99.0,0.4539897,2.6613286,1.1518894e-05,2085.4626,-27.374096,9.949874,141.46553,221.60385274887085
-99.0,24.919796,-100.005035,0.053340215,0.00022222918,800,0.39132285,-48.281654,1.1191928,-100.0,,100.0,0.0067924387,8,84270,,100,[-0.155  0.181  0.204 ...  0.121 -0.08  -0.097],0.0039132284,5.3340216,109.64,-99.0,0.67924386,2.7148287,2.2222919e-06,4675.503,-38.781517,9.949874,89.350105,257.75473833084106
-100.0,41.545673,-101.005035,0.039908037,0.00089844945,900,0.5803958,-66.48914,1.4148042,-100.0,100.0,100.0,0.0068844575,9,96084,-100.0,100,[-0.155  0.182  0.204 ...  0.122 -0.055 -0.069],0.005803958,3.9908037,118.14,-100.0,0.6884458,2.7128878,8.984494e-06,4787.45,-58.03958,,70.68116,294.8708505630493
-100.0,43.71492,-101.005035,0.029195892,0.00012420147,1000,0.5300752,-61.012886,1.5761681,-100.0,100.0,100.0,0.006014774,10,109144,-100.0,100,[-0.156  0.182  0.205 ...  0.122 -0.04  -0.085],0.005300752,2.9195893,130.6,-100.0,0.6014774,2.678507,1.2420147e-06,3654.2932,-53.00752,,63.44501,327.80687975883484
-100.0,36.161842,-101.005035,0.027745154,0.0013295588,1100,0.421272,-51.594757,1.1269099,-100.0,100.0,100.0,0.005597286,11,122303,-100.0,100,[-0.155  0.183  0.205 ...  0.123 -0.066 -0.094],0.0042127203,2.7745154,131.59,-100.0,0.5597286,2.69722,1.3295587e-05,3164.6074,-42.1272,,88.73824,368.370902299881
-100.0,23.908928,-101.005035,0.05358562,0.00020241628,1200,0.42532542,-53.069157,0.90983486,-100.0,100.0,100.0,0.0075876657,12,134078,-100.0,100,[-0.155  0.182  0.204 ...  0.119 -0.051 -0.089],0.0042532543,5.358562,117.75,-100.0,0.75876653,2.7305274,2.0241628e-06,5815.421,-42.532543,,109.91006,405.8760802745819
-99.0,30.551119,-100.005035,0.046286065,0.0019925484,1300,0.48345202,-56.40672,1.546284,-100.0,,100.0,0.0072890753,13,145320,,100,[-0.156  0.181  0.204 ...  0.119 -0.05  -0.057],0.00483452,4.628607,112.42,-99.0,0.7289076,2.7783897,1.9925483e-05,5368.721,-48.324368,9.949874,64.67117,437.30679655075073
-100.0,22.169825,-101.005035,0.03616512,0.000106405176,1400,0.2820037,-39.458992,0.7968826,-100.0,100.0,100.0,0.0052838163,14,156203,-100.0,100,[-0.155  0.18   0.202 ...  0.115 -0.033 -0.026],0.0028200373,3.6165118,108.83,-100.0,0.52838165,2.7390404,1.0640517e-06,2820.0723,-28.20037,,125.48899,471.39508605003357
