StdIW,MeanEntropy,Iteration,TimeElapsed,EpRewMean,MeanIW,InitialReturnMean,MinIW,EpisodesSoFar,TimestepsSoFar,EpThisIter,RewardCompression,ReturnStepMaxmin,ESSRenyi,InitialReturnStd,EpLenMean,InitialReturnMin,Weights,Bound,MaxIW,ReturnStepMax,InitialReturnMax,InitialBound,EmpiricalD2,ESSClassic,ReturnMeanIW
,2.837890386581421,1,20.646397829055786,-99.0,1.0,-99.0,1.0,100,10492,100,0.98,,100.0,9.949873924255371,104.92,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-51.00503921508789,1.0,100.0,,-51.00504,1.0,1.0,-50.0
,2.837890386581421,2,59.857101917266846,-100.0,1.0,-100.0,1.0,200,22118,100,0.99,100.0,100.0,,116.26,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,3,93.66080403327942,-100.0,1.0,-100.0,1.0,300,33904,100,0.99,100.0,100.0,,117.86,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,4,133.84269881248474,-100.0,1.0,-100.0,1.0,400,44989,100,0.99,100.0,100.0,,110.85,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,5,162.27693963050842,-99.0,1.0,-99.0,1.0,500,56719,100,0.98,,100.0,9.949873924255371,117.3,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-51.00503921508789,1.0,100.0,,-51.00504,1.0,1.0,-50.0
,2.837890386581421,6,195.0370578765869,-99.0,1.0,-99.0,1.0,600,67888,100,0.98,,100.0,9.949873924255371,111.69,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-51.00503921508789,1.0,100.0,,-51.00504,1.0,1.0,-50.0
,2.837890386581421,7,233.09951448440552,-99.0,1.0,-99.0,1.0,700,79393,100,0.98,,100.0,9.949873924255371,115.05,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-51.00503921508789,1.0,100.0,,-51.00504,1.0,1.0,-50.0
,2.837890386581421,8,270.4003224372864,-100.0,1.0,-100.0,1.0,800,89919,100,0.99,100.0,100.0,,105.26,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,9,302.2329969406128,-100.0,1.0,-100.0,1.0,900,100366,100,0.99,100.0,100.0,,104.47,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,10,337.0325016975403,-100.0,1.0,-100.0,1.0,1000,110900,100,0.99,100.0,100.0,,105.34,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,11,370.2764256000519,-98.0,1.0,-98.0,1.0,1100,121653,100,0.98,,100.0,14.0,107.53,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-51.00503921508789,1.0,100.0,,-51.00504,1.0,1.0,-50.0
,2.837890386581421,12,404.3569166660309,-100.0,1.0,-100.0,1.0,1200,133360,100,0.99,100.0,100.0,,117.07,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,13,434.74874997138977,-100.0,1.0,-100.0,1.0,1300,143802,100,0.99,100.0,100.0,,104.42,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,14,463.5935778617859,-100.0,1.0,-100.0,1.0,1400,154521,100,0.99,100.0,100.0,,107.19,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,15,501.2817943096161,-100.0,1.0,-100.0,1.0,1500,165709,100,0.99,100.0,100.0,,111.88,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,16,536.2564926147461,-100.0,1.0,-100.0,1.0,1600,176638,100,0.99,100.0,100.0,,109.29,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,17,566.737500667572,-100.0,1.0,-100.0,1.0,1700,187602,100,0.99,100.0,100.0,,109.64,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,18,598.060688495636,-100.0,1.0,-100.0,1.0,1800,198420,100,0.99,100.0,100.0,,108.18,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,19,634.3047258853912,-100.0,1.0,-100.0,1.0,1900,209178,100,0.99,100.0,100.0,,107.58,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
,2.837890386581421,20,667.6986775398254,-99.0,1.0,-99.0,1.0,2000,220689,100,0.98,,100.0,9.949873924255371,115.11,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-51.00503921508789,1.0,100.0,,-51.00504,1.0,1.0,-50.0
,2.837890386581421,21,701.8975088596344,-100.0,1.0,-100.0,1.0,2100,231122,100,0.99,100.0,100.0,,104.33,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],-101.00503540039062,1.0,100.0,-100.0,-101.005035,1.0,1.0,-100.0
