InitialReturnMax,RewardCompression,ESSRenyi,EpRewMean,Bound,EpThisIter,MeanEntropy,TimestepsSoFar,ReturnMeanIW,TimeElapsed,InitialReturnMean,ReturnStepMax,EpLenMean,StdIW,MeanIW,InitialReturnStd,Iteration,InitialBound,MaxIW,Weights,InitialReturnMin,MinIW,ReturnStepMaxmin,EpisodesSoFar,EmpiricalD2,ESSClassic
,0.98,100.0,-97.0,-51.00503921508789,100,2.837890386581421,10342,-50.0,20.331754207611084,-97.0,100.0,103.42,,1.0,17.0587215423584,1,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,100,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,21284,-50.0,55.802008628845215,-98.0,100.0,109.42,,1.0,14.0,2,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,200,1.0,1.0
,0.98,100.0,-97.0,-51.00503921508789,100,2.837890386581421,32471,-50.0,85.20865845680237,-97.0,100.0,111.87,,1.0,17.0587215423584,3,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,300,1.0,1.0
100.0,0.98,100.0,-98.0,-1.005037784576416,100,2.837890386581421,44028,,119.49278736114502,-98.0,100.0,115.57,,1.0,19.899747848510742,4,-1.0050378,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,400,1.0,2.0
,0.98,100.0,-97.0,-51.00503921508789,100,2.837890386581421,55193,-50.0,150.2783362865448,-97.0,100.0,111.65,,1.0,17.0587215423584,5,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,500,1.0,1.0
,0.98,100.0,-96.0,-51.00503921508789,100,2.837890386581421,66106,-50.0,177.13003849983215,-96.0,100.0,109.13,,1.0,19.595918655395508,6,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,600,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,77244,-50.0,212.87865591049194,-98.0,100.0,111.38,,1.0,14.0,7,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,700,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,87829,-50.0,243.02382707595825,-98.0,100.0,105.85,,1.0,14.0,8,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,800,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,98721,-50.0,279.5200741291046,-98.0,100.0,108.92,,1.0,14.0,9,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,900,1.0,1.0
,0.98,100.0,-96.0,-51.00503921508789,100,2.837890386581421,109555,-50.0,308.9878866672516,-96.0,100.0,108.34,,1.0,19.595918655395508,10,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1000,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,120779,-50.0,344.3138449192047,-98.0,100.0,112.24,,1.0,14.0,11,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1100,1.0,1.0
,0.98,100.0,-97.0,-51.00503921508789,100,2.837890386581421,132415,-50.0,381.340167760849,-97.0,100.0,116.36,,1.0,17.0587215423584,12,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1200,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,143484,-50.0,418.37223982810974,-98.0,100.0,110.69,,1.0,14.0,13,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1300,1.0,1.0
,0.98,100.0,-99.0,-51.00503921508789,100,2.837890386581421,154717,-50.0,447.5843594074249,-99.0,100.0,112.33,,1.0,9.949873924255371,14,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1400,1.0,1.0
-100.0,0.99,100.0,-100.0,-101.00503540039062,100,2.837890386581421,165713,-100.0,482.3150691986084,-100.0,100.0,109.96,,1.0,,15,-101.005035,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,100.0,1500,1.0,1.0
,0.98,100.0,-95.0,-51.00503921508789,100,2.837890386581421,176659,-50.0,517.6819434165955,-95.0,100.0,109.46,,1.0,21.79449462890625,16,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1600,1.0,1.0
,0.98,100.0,-95.0,-51.00503921508789,100,2.837890386581421,187829,-50.0,555.2043356895447,-95.0,100.0,111.7,,1.0,21.79449462890625,17,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1700,1.0,1.0
,0.98,100.0,-98.0,-51.00503921508789,100,2.837890386581421,199459,-50.0,591.2723686695099,-98.0,100.0,116.3,,1.0,14.0,18,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1800,1.0,1.0
,0.98,100.0,-99.0,-51.00503921508789,100,2.837890386581421,210288,-50.0,627.0212726593018,-99.0,100.0,108.29,,1.0,9.949873924255371,19,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,1900,1.0,1.0
,0.98,100.0,-99.0,-51.00503921508789,100,2.837890386581421,221371,-50.0,660.288741350174,-99.0,100.0,110.83,,1.0,9.949873924255371,20,-51.00504,1.0,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,1.0,,2000,1.0,1.0
