InitialBound,StdIW,MaxIW,EpLenMean,MeanIW,InitialReturnMin,ReturnMeanIW,ESSRenyi,J_sample_variance,StdIWNorm,MeanEntropy,MeanIWNorm,ReturnStepMax,InitialReturnMean,Iteration,MinIWNorm,ESSClassic,Bound,TimeElapsed,EpisodesSoFar,MaxIWNorm,MinIW,InitialReturnStd,ReturnStepMaxmin,Weights,InitialReturnMax,TimestepsSoFar,EpThisIter,EmpiricalD2,EpRewMean
-239.10635,0.81877345,5.3445773,84.53,0.5627244,-384.47394,-112.64401,7.949569,30995.545,0.0081877345,2.881745,0.0056272447,100.0,-226.29057,1,0.00012822375,32.081367,-158.0982,6.999452114105225,100,0.05344577,0.012822375,110.19566,13.65049,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],5.1900406,8453,100,12.579298,-410.9072636939507
-208.89885,0.6288353,5.0530868,83.02,0.36692378,-383.51013,-57.490406,7.6006823,8057.661,0.0062883534,2.8176744,0.0036692382,100.0,-196.11519,2,1.855758e-05,25.399258,-103.85957,40.48941898345947,200,0.050530866,0.0018557579,97.491585,2.3938065,[ 0.161 -0.225  0.048 ...  0.062  0.027  0.017],-18.858793,16755,100,13.1567135,-356.26754060368324
-179.10303,0.7022759,3.559598,82.54,0.5848084,-378.40552,-76.701614,15.775809,8160.39,0.0070227585,2.763729,0.0058480836,118.546555,-166.48952,3,5.6109086e-05,40.948772,-108.45868,71.55651497840881,300,0.03559598,0.005610909,85.1543,18.546555,[ 0.161 -0.226  0.049 ...  0.064  0.011 -0.031],-5.6854877,25009,100,6.338819,-307.5830567731248
-184.48688,0.52552956,2.636009,80.12,0.47157875,-364.70325,-65.45398,9.118541,8299.797,0.0052552954,2.7851093,0.0047157872,116.67605,-172.33012,4,4.5946108e-05,44.60507,-105.71231,103.92163228988647,400,0.026360089,0.004594611,96.95394,16.676048,[ 0.16  -0.226  0.048 ...  0.062 -0.036 -0.038],-20.783073,33021,100,10.966667,-309.8455504972967
-183.84254,0.598435,2.9789584,81.65,0.54985625,-411.97946,-62.88758,13.502201,4501.562,0.0059843496,2.767806,0.0054985625,100.0,-170.10991,5,7.045994e-05,45.777035,-100.26007,133.75355291366577,500,0.029789584,0.007045994,104.35974,0.7669449,[ 0.16  -0.226  0.049 ...  0.064 -0.055  0.002],-7.5641403,41186,100,7.4062,-309.7544950696735
-167.516,0.37791032,2.431143,90.48,0.3657197,-354.53168,-46.427532,9.025883,3630.197,0.003779103,2.7471268,0.003657197,124.85766,-155.6983,6,2.7334541e-05,48.361103,-85.76342,169.80583310127258,600,0.02431143,0.002733454,94.334114,24.857658,[ 0.16  -0.226  0.049 ...  0.062 -0.096  0.026],50.704346,50234,100,11.079248,-293.1803039522871
-133.81837,0.517203,2.8505993,80.18,0.5352855,-388.4594,-50.81187,14.625744,1993.9441,0.00517203,2.7588515,0.0053528547,100.0,-120.86973,7,0.00021970751,51.71756,-84.6702,196.25331258773804,700,0.028505992,0.02197075,76.9909,6.309952,[ 0.16  -0.226  0.049 ...  0.061 -0.11   0.02 ],12.891502,58252,100,6.8372593,-218.76859370853526
-132.04053,0.6334674,3.8218472,77.41,0.53438836,-301.0036,-60.177486,15.103824,5451.349,0.006334673,2.7704544,0.0053438838,115.35966,-122.00707,8,5.1647e-05,41.576786,-85.99456,224.4775140285492,800,0.038218472,0.0051647,68.98458,15.359657,[ 0.16  -0.226  0.049 ...  0.063 -0.113  0.034],2.6775932,65993,100,6.62084,-217.75176843324448
-142.7385,0.7965499,5.881899,81.56,0.58969986,-334.58148,-55.265358,15.402425,4152.2095,0.007965499,2.7528284,0.0058969986,120.42836,-131.58578,9,0.00013401163,35.40344,-83.68288,255.67746448516846,900,0.05881899,0.013401164,80.92145,20.42836,[ 0.16  -0.225  0.049 ...  0.062 -0.1    0.032],-22.15325,74149,100,6.492484,-247.00621823626062
-108.27835,0.5661541,2.5939388,77.37,0.7111615,-258.51038,-57.09142,24.369438,3399.2876,0.005661541,2.7656112,0.0071116146,121.9395,-99.66134,10,0.00027875594,61.208057,-74.54699,288.77735590934753,1000,0.025939388,0.027875595,62.351536,21.939499,[ 0.16  -0.226  0.049 ...  0.061 -0.095  0.01 ],-16.916544,81886,100,4.1035004,-175.15561227693811
-92.91353,0.82442856,4.663822,85.38,0.57652336,-239.42462,-36.809982,13.479194,1965.6193,0.008244285,2.771257,0.0057652337,122.66262,-84.93272,11,9.455177e-05,32.841793,-58.547783,318.5653324127197,1100,0.04663822,0.009455177,58.87391,22.66262,[ 0.161 -0.228  0.049 ...  0.061 -0.082  0.01 ],21.801697,90424,100,7.4188414,-157.88647969872193
-105.229866,0.60185933,2.871873,81.32,0.5355596,-275.102,-37.98738,14.15914,1587.2983,0.0060185934,2.764413,0.005355596,125.567116,-96.059814,12,5.0787672e-05,44.190777,-62.3573,346.12698554992676,1200,0.028718729,0.0050787674,63.488464,25.567116,[ 0.16  -0.227  0.049 ...  0.065 -0.076  0.01 ],25.050478,98556,100,7.062576,-172.2027657169465
-101.34555,0.56862295,3.2253597,80.13,0.5534549,-256.45605,-44.730156,16.93074,2323.776,0.005686229,2.7746987,0.005534549,114.87341,-92.797005,13,0.00012563562,48.648468,-65.50577,371.88487696647644,1300,0.032253597,0.012563562,54.73872,14.873413,[ 0.16  -0.228  0.049 ...  0.067 -0.069 -0.005],-7.3771896,106569,100,5.9064164,-173.23377650349593
-87.32536,0.8493357,6.484656,81.18,0.6421163,-206.49998,-44.11402,29.698277,2679.5977,0.008493356,2.7849703,0.006421163,127.433586,-80.442024,14,8.1003156e-05,36.369324,-56.74489,399.7972319126129,1400,0.06484656,0.008100316,41.53979,27.433586,[ 0.16  -0.229  0.05  ...  0.071 -0.087  0.024],-4.8961067,114687,100,3.3671987,-152.2323530197712
-82.24184,0.79918647,5.7517886,79.65,0.58845294,-206.5254,-37.042656,12.716434,1353.9882,0.007991864,2.766884,0.0058845296,126.72951,-75.35766,15,0.00014935686,35.155876,-56.34765,429.99812841415405,1500,0.057517886,0.014935686,41.31829,26.729507,[ 0.16  -0.227  0.049 ...  0.072 -0.104  0.051],1.8545666,122652,100,7.86384,-136.89223762349084
-80.12191,0.5149931,2.740082,79.81,0.5201428,-246.81143,-33.620678,14.112071,1227.5082,0.005149931,2.7571015,0.0052014277,125.6481,-71.89486,16,0.00010603701,50.49748,-55.520905,456.5535342693329,1600,0.02740082,0.010603702,37.857258,25.648102,[ 0.159 -0.226  0.049 ...  0.075 -0.097  0.027],5.3085575,130633,100,7.086132,-132.94357478361053
-96.439865,0.61629516,2.7389073,79.6,0.61703813,-223.2201,-46.89009,16.773052,2316.1638,0.006162951,2.8250685,0.0061703813,115.45221,-88.9992,17,0.00049031613,50.06025,-65.058044,484.5634808540344,1700,0.027389072,0.04903161,46.715427,15.452209,[ 0.16  -0.224  0.049 ...  0.073 -0.09   0.01 ],-8.856818,138593,100,5.961944,-164.6877035506211
-98.6795,0.5787312,2.988916,80.59,0.7092476,-225.18025,-49.690567,27.899906,1631.3303,0.005787311,2.8435774,0.007092476,153.81277,-91.17349,18,8.550744e-05,60.030426,-63.901012,515.6887767314911,1800,0.029889159,0.0085507445,51.50565,53.812775,[ 0.159 -0.224  0.049 ...  0.074 -0.069  0.056],31.483387,146652,100,3.5842414,-171.91217726313533
-88.41269,0.5932597,3.1013584,83.41,0.55275565,-189.84236,-37.44067,14.756437,1293.8484,0.0059325965,2.8713133,0.0055275564,102.34963,-82.08461,19,9.54506e-05,46.470074,-53.91399,544.5906901359558,1900,0.031013584,0.009545061,33.300163,2.3496323,[ 0.158 -0.224  0.049 ...  0.072 -0.046  0.052],-5.081871,154993,100,6.7767034,-157.6232145570961
-78.397644,0.65249324,3.5296826,81.49,0.49966103,-191.85202,-28.996052,9.219227,931.06494,0.0065249326,2.8379047,0.0049966103,105.566025,-72.00259,20,7.954953e-05,36.96446,-50.05797,569.136310338974,2000,0.035296824,0.007954953,37.940434,5.566025,[ 0.158 -0.223  0.049 ...  0.068 -0.034  0.067],1.7845078,163142,100,10.846896,-138.1078880963975
