EpLenMean,ReturnStepMaxmin,StdIW,EpRewMean,MaxIW,ESSClassic,InitialBound,J_sample_variance,StdIWNorm,EmpiricalD2,Bound,ReturnStepMax,MinIW,InitialReturnMean,InitialReturnMax,MeanIWNorm,ReturnMeanIW,MeanIW,MaxIWNorm,TimeElapsed,MeanEntropy,EpThisIter,InitialReturnStd,MinIWNorm,Iteration,EpisodesSoFar,ESSRenyi,Weights,InitialReturnMin,TimestepsSoFar
103.42,,0.5417306,-97.0,3.4120598,19.289717,-98.005035,2970.036,0.0054173055,224.3958,-40.52729,100.0,0.00021148124,-97.0,,0.002648389,-25.471977,0.2648389,0.034120597,10.094873905181885,2.817675,100,17.058722,2.1148123e-06,1,100,0.44564113,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,10342
107.78,,1.0419126,-95.0,8.553455,28.259117,-96.005035,11058.641,0.010419126,17.302492,-68.66575,100.0,0.0032863147,-95.0,100.0,0.00653924,-64.48517,0.6539239,0.08553455,45.75762629508972,2.8419766,100,25.980762,3.2863147e-05,2,200,5.7795143,[ 0.186  0.133  0.074 ... -0.325 -0.011 -0.009],-100.0,21120
104.26,,0.3322385,-99.0,1.6184067,29.647062,-100.005035,1118.234,0.0033223846,166.56119,-34.441643,100.0,0.00010978222,-99.0,,0.0021567491,-21.470764,0.21567494,0.016184065,78.54572677612305,2.8184047,100,9.949874,1.0978222e-06,3,300,0.60037994,[ 0.187  0.133  0.075 ... -0.321 -0.018  0.022],-100.0,31546
112.24,,0.43057373,-98.0,2.0907323,34.832222,-99.005035,1567.9843,0.004305737,135.75372,-40.86412,100.0,0.001328854,-98.0,,0.0031479048,-29.154081,0.3147905,0.020907324,113.20827722549438,2.8799834,100,14.0,1.328854e-05,4,400,0.73662806,[ 0.186  0.134  0.075 ... -0.324 -0.038  0.019],-100.0,42770
114.23,,0.49278626,-99.0,2.3141809,28.184538,-100.005035,2442.3396,0.0049278624,134.944,-41.796803,100.0,0.0005313606,-99.0,,0.003087131,-30.12174,0.30871308,0.023141809,153.3773856163025,2.8620017,100,9.949874,5.313606e-06,5,500,0.74104816,[ 0.186  0.134  0.075 ... -0.324  0.009  0.033],-100.0,54193
111.74,,0.5991746,-99.0,4.2274313,22.854715,-100.005035,3630.2263,0.0059917467,74.33305,-41.212627,100.0,0.0010593376,-99.0,,0.0032612693,-32.54753,0.32612693,0.04227431,190.90952897071838,2.859376,100,9.949874,1.0593376e-05,6,600,1.3452965,[ 0.185  0.134  0.075 ... -0.324 -0.006  0.03 ],-100.0,65367
111.35,,1.0197332,-97.0,8.950597,12.009899,-98.005035,10518.3,0.010197331,148.25034,-49.36495,100.0,0.0007300477,-97.0,,0.0037673784,-37.1278,0.3767379,0.08950596,230.92233896255493,2.8756785,100,17.058722,7.3004767e-06,7,700,0.67453474,[ 0.184  0.134  0.074 ... -0.329 -0.004  0.026],-100.0,76502
110.41,100.0,0.64394385,-100.0,4.6144505,31.289894,-101.005035,4188.522,0.0064394386,54.2939,-50.86056,100.0,0.0014472022,-100.0,-100.0,0.004345501,-43.455,0.43455002,0.046144504,265.6733994483948,2.879573,100,,1.4472022e-05,8,800,1.8418275,[ 0.185  0.134  0.074 ... -0.329  0.009  0.029],-100.0,87543
110.7,,0.7528975,-97.0,5.6819944,19.032455,-98.005035,5746.497,0.0075289747,145.25615,-47.754166,100.0,0.0013964332,-97.0,,0.0036502942,-35.641224,0.36502936,0.05681994,302.0741250514984,2.9323063,100,17.058722,1.3964332e-05,9,900,0.688439,[ 0.185  0.134  0.074 ... -0.329  0.015  0.027],-100.0,98613
112.75,100.0,0.55448943,-100.0,3.0488515,28.556347,-101.005035,3105.6418,0.0055448944,145.77277,-47.190502,100.0,0.00031828458,-100.0,-100.0,0.0035056036,-35.056038,0.35056037,0.030488513,337.7096846103668,2.9151917,100,,3.1828458e-06,10,1000,0.6859992,[ 0.184  0.134  0.073 ... -0.332  0.036  0.059],-100.0,109888
119.78,100.0,0.47541597,-100.0,2.241708,33.50068,-101.005035,2283.0337,0.0047541596,75.83181,-42.49566,100.0,0.0008455112,-100.0,-100.0,0.003374364,-33.743645,0.33743644,0.02241708,371.78627848625183,2.8751702,100,,8.455112e-06,11,1100,1.3187078,[ 0.183  0.135  0.073 ... -0.333  0.022  0.056],-100.0,121866
129.89,,0.51451355,-99.0,2.9021726,31.068722,-100.005035,2681.5671,0.005145136,52.35417,-41.678726,100.0,0.0055663767,-99.0,,0.0034542226,-34.406654,0.3454223,0.029021725,412.8614227771759,2.8652372,100,9.949874,5.5663764e-05,12,1200,1.9100674,[ 0.184  0.135  0.073 ... -0.33   0.01   0.027],-100.0,134855
147.71,,0.53765374,-97.0,2.7672884,35.207745,-98.005035,2937.3596,0.0053765373,53.1436,-45.509514,100.0,0.000126716,-97.0,,0.00396333,-38.182823,0.396333,0.027672883,454.02501225471497,2.861275,100,17.058722,1.26716e-06,13,1300,1.8816941,[ 0.185  0.134  0.075 ... -0.326  0.007  0.021],-100.0,149626
133.9,100.0,0.65431964,-100.0,4.3610144,23.9224,-101.005035,4324.5884,0.0065431963,118.657196,-47.639236,100.0,0.0010851579,-100.0,-100.0,0.0036691376,-36.691372,0.3669137,0.043610144,490.6590166091919,2.8340409,100,,1.0851579e-05,14,1400,0.8427639,[ 0.186  0.134  0.076 ... -0.321  0.026 -0.003],-100.0,163016
139.58,100.0,0.7013314,-100.0,4.7643657,36.507572,-101.005035,4968.341,0.0070133135,43.628056,-59.819096,100.0,0.00031500726,-100.0,-100.0,0.005318067,-53.180668,0.5318067,0.047643654,528.5172700881958,2.8039484,100,,3.1500724e-06,15,1500,2.292103,[ 0.187  0.134  0.076 ... -0.319  0.007 -0.01 ],-100.0,176974
125.64,,0.76357067,-98.0,4.2996044,40.203987,-99.005035,5939.2563,0.007635707,15.578709,-65.520805,100.0,0.0031481027,-98.0,,0.0062610568,-61.553932,0.6261057,0.04299604,568.8686363697052,2.840573,100,14.0,3.1481028e-05,16,1600,6.4190173,[ 0.186  0.134  0.076 ... -0.32  -0.017 -0.017],-100.0,189538
124.12,,0.6406379,-98.0,3.3737688,31.96968,-99.005035,4181.916,0.006406379,91.48606,-52.771885,100.0,0.001014431,-98.0,,0.004391679,-43.158863,0.43916786,0.033737686,604.9536459445953,2.8330839,100,14.0,1.014431e-05,17,1700,1.0930626,[ 0.185  0.134  0.075 ... -0.321  0.     0.002],-100.0,201950
130.08,,0.65064317,-97.0,3.466997,31.155878,-98.005035,4284.305,0.006506432,65.4021,-50.108006,100.0,0.0018214174,-97.0,,0.004377029,-41.980106,0.4377029,0.03466997,645.4748635292053,2.820526,100,17.058722,1.8214174e-05,18,1800,1.5290029,[ 1.842e-01  1.343e-01  7.448e-02 ... -3.241e-01 -5.015e-03  1.905e-04],-100.0,214958
122.75,100.0,0.58826065,-100.0,2.645368,26.28824,-101.005035,3495.4602,0.005882606,119.33973,-46.109627,100.0,0.00028223204,-100.0,-100.0,0.0035130319,-35.13032,0.35130322,0.026453681,682.3534162044525,2.8263447,100,,2.8223203e-06,19,1900,0.8379439,[ 1.848e-01  1.342e-01  7.503e-02 ... -3.222e-01 -1.740e-02  2.237e-04],-100.0,227233
121.71,,0.8646659,-99.0,4.6609883,29.458807,-100.005035,7579.326,0.00864666,70.18572,-63.93914,100.0,5.247593e-05,-99.0,,0.00558772,-55.519245,0.5587719,0.046609882,720.6421873569489,2.833769,100,9.949874,5.247593e-07,20,2000,1.4247912,[ 0.185  0.134  0.075 ... -0.322  0.003 -0.014],-100.0,239404
119.67,,1.0213199,-98.0,7.8796415,21.073936,-99.005035,10365.597,0.010213198,43.382538,-57.02396,100.0,0.00029497832,-98.0,,0.0052774525,-50.404236,0.5277453,0.07879642,753.4570229053497,2.8468127,100,14.0,2.9497833e-06,21,2100,2.305075,[ 0.185  0.134  0.075 ... -0.322  0.008 -0.013],-100.0,251371
