InitialReturnMax,MeanIW,RewardCompression,ReturnStepMax,Iteration,ReturnMeanIW,EpisodesSoFar,EpRewMean,TimeElapsed,Weights,InitialReturnMean,StdIW,MaxIW,InitialReturnMin,EmpiricalD2,ReturnStepMaxmin,Bound,EpThisIter,MeanEntropy,ESSRenyi,ESSClassic,MinIW,InitialBound,InitialReturnStd,EpLenMean,TimestepsSoFar
,1.0,0.98,100.0,23,-50.0,2300,-95.0,731.802163362503,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-95.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,21.79449462890625,110.35,254492
-100.0,1.0,0.99,100.0,24,-100.0,2400,-100.0,763.672004699707,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-100.0,,1.0,-100.0,1.0,100.0,-103.33333587646484,100,2.837890386581421,100.0,1.0,1.0,-103.333336,,111.04,265596
,1.0,0.98,100.0,25,-50.0,2500,-98.0,795.5779042243958,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,109.62,276558
,1.0,0.98,100.0,26,-50.0,2600,-96.0,825.9722344875336,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,108.88,287446
,1.0,0.98,100.0,27,-50.0,2700,-98.0,852.6427767276764,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,109.1,298356
,1.0,0.98,100.0,28,-50.0,2800,-97.0,882.4362418651581,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,106.71,309027
,1.0,0.98,100.0,29,-50.0,2900,-98.0,910.2646162509918,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,108.02,319829
,1.0,0.98,100.0,30,-50.0,3000,-98.0,934.3015487194061,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,111.69,330998
,1.0,0.98,100.0,31,-50.0,3100,-93.0,956.7695894241333,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-93.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,25.51470184326172,114.62,342460
,1.0,0.98,100.0,32,-50.0,3200,-98.0,987.0495705604553,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,115.29,353989
