MaxIWNorm,StdIWNorm,MinIW,MinIWNorm,ReturnStepMax,Weights,TimestepsSoFar,ReturnMeanIW,EpRewMean,MeanEntropy,Iteration,EpThisIter,StdIW,EpLenMean,InitialReturnMax,InitialReturnMean,J_sample_variance,MaxIW,TimeElapsed,ESSClassic,MeanIW,InitialReturnStd,EpisodesSoFar,Bound,EmpiricalD2,ReturnStepMaxmin,InitialReturnMin,MeanIWNorm,ESSRenyi,InitialBound
0.025570307,0.0058912984,0.0011590929,1.1590929e-05,100.0,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],11214,-15.277458,-100.0,2.8487635,1,100,0.58912987,112.14,-11.293726,-34.467392,474.07852,2.5570307,10.41533875465393,35.84015,0.44031578,9.773936,100,-18.885963,50.57124,100.0,-50.48859,0.0044031576,1.9774085,-34.974827
0.030050077,0.005716418,0.00019602083,1.9602082e-06,100.0,[ 0.194 -0.063 -0.125 ... -0.307 -0.023  0.034],22680,-13.276729,-99.0,2.8592033,2,100,0.5716418,114.66,,-34.31144,390.1383,3.0050077,44.983437061309814,29.716625,0.37170413,9.867972,200,-17.561588,68.4956,100.0,-51.51371,0.003717041,1.4599478,-34.82917
0.05987089,0.007664851,0.004600445,4.6004447e-05,100.0,[ 0.195 -0.063 -0.125 ... -0.305 -0.019  0.04 ],33864,-13.243127,-100.0,2.8386095,3,100,0.7664851,111.84,-12.239274,-33.977715,908.26587,5.987089,75.66376757621765,19.108461,0.37253326,8.291275,300,-16.23467,32.722805,100.0,-52.034054,0.0037253327,3.0559728,-34.50067
