InitialReturnMean,EmpiricalD2,EpisodesSoFar,MaxIW,ESSRenyi,EpRewMean,Weights,EpThisIter,StdIWNorm,MeanIWNorm,TimestepsSoFar,ReturnMeanIW,MeanEntropy,InitialReturnStd,Iteration,TimeElapsed,InitialBound,MeanIW,StdIW,EpLenMean,MinIWNorm,ReturnStepMaxmin,InitialReturnMax,InitialReturnMin,MaxIWNorm,ReturnStepMax,MinIW,ESSClassic,Bound,J_sample_variance
-191.55617,12.294324,100,5.503926,8.133835,-388.69100231127794,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],100,0.0076827775,0.005358757,10492,-91.44356,2.7936997,77.52853,1,9.542332649230957,-202.58354,0.5358757,0.7682777,104.92,4.4987984e-05,2.496704,-15.257216,-330.82123,0.055039257,100.0,0.0044987984,32.728333,-130.10913,20274.287
-149.78165,7.408628,200,2.8442135,13.497776,-319.1396647439327,[ 0.187 -0.107 -0.138 ... -0.394 -0.033 -0.011],100,0.005117927,0.0050872928,21520,-63.49617,2.7949328,81.90429,2,47.91833519935608,-160.70486,0.5087293,0.5117927,110.28,0.0002673861,31.628891,9.514404,-327.69656,0.028442135,131.62889,0.02673861,49.69982,-93.22786,5733.029
-145.62303,7.614692,300,3.1450663,13.132507,-313.19035734492434,[ 0.188 -0.107 -0.138 ... -0.392 -0.045  0.002],100,0.007595003,0.0071334587,33015,-82.649475,2.8046906,75.600006,3,84.7974705696106,-154.99815,0.713346,0.7595003,114.95,4.1874366e-05,3.333641,-22.08665,-281.25366,0.031450663,100.0,0.004187437,46.869396,-108.519875,8570.683
-108.68493,3.9319108,400,4.6382656,25.432928,-238.84009459100196,[ 0.188 -0.107 -0.139 ... -0.393 -0.019 -0.014],100,0.00951146,0.008595823,44385,-62.893303,2.818135,71.12781,4,119.89688372612,-118.28728,0.85958236,0.95114595,113.7,0.00020270828,8.357193,16.625593,-288.07056,0.046382654,100.0,0.020270828,44.95616,-81.93385,3155.3298
-90.72254,7.195435,500,5.8414726,13.8977,-202.82672504559775,[ 0.187 -0.106 -0.139 ... -0.398  0.003 -0.023],100,0.008040969,0.00544537,56345,-44.0735,2.801467,47.748203,5,154.2981035709381,-98.07032,0.544537,0.80409694,119.6,4.4159864e-05,6.784096,36.383972,-220.43365,0.058414724,106.784096,0.0044159866,31.441301,-63.78344,3589.6152
-78.56118,4.9723983,600,1.9896175,20.11102,-176.27235584115127,[ 0.187 -0.106 -0.137 ... -0.394 -0.037  0.001],100,0.0048945323,0.0062300996,67756,-41.017532,2.8174622,46.118862,6,187.55075573921204,-86.39642,0.62301004,0.48945326,114.11,0.0002653831,65.07068,6.982998,-235.05713,0.019896174,165.07068,0.02653831,61.834927,-58.48923,2531.0342
-89.45425,5.2145643,700,1.9620036,19.177057,-216.92427936307286,[ 0.188 -0.106 -0.138 ... -0.393 -0.042  0.021],100,0.004700024,0.0071095573,80204,-57.474564,2.815711,57.04449,7,220.7589406967163,-97.274994,0.7109558,0.4700024,124.48,0.00010835545,7.8461304,1.9820976,-234.62231,0.019620035,100.0,0.010835545,69.58778,-75.33356,3616.1023
-113.54203,3.2429519,800,3.964073,30.836103,-261.0452148437147,[ 0.188 -0.106 -0.137 ... -0.392 -0.043  0.021],100,0.0070517156,0.0070526246,92085,-59.56809,2.810732,65.545715,8,255.52207326889038,-123.72741,0.70526254,0.70517164,118.81,2.544222e-05,28.39952,11.6769085,-305.5611,0.03964073,128.39952,0.002544222,50.006447,-77.9101,3004.24
-74.298,6.5714607,900,3.8548408,15.217317,-180.4559548452962,[ 0.188 -0.106 -0.137 ... -0.394 -0.044  0.017],100,0.0060233814,0.0062263096,104403,-33.52388,2.7863662,50.616585,9,293.5588617324829,-81.119606,0.62263095,0.60233814,123.18,0.00018504394,5.688698,7.4221,-204.64804,0.038548406,105.6887,0.018504394,51.656147,-51.010963,1317.8762
-69.8735,6.0238976,1000,5.5623317,16.600548,-169.6728797332542,[ 0.187 -0.106 -0.136 ... -0.395 -0.079  0.028],100,0.009022478,0.006725977,116199,-30.940853,2.782459,43.237247,10,326.9259235858917,-76.54894,0.67259765,0.90224785,117.96,8.344407e-05,14.983665,20.433586,-200.26352,0.055623315,100.0,0.008344407,35.721237,-47.32483,1558.0262
