MaxIW,TimeElapsed,RewardCompression,InitialBound,EpRewMean,Weights,EpLenMean,MeanIW,TimestepsSoFar,EpisodesSoFar,MeanEntropy,ReturnStepMax,ReturnMeanIW,StdIW,InitialReturnStd,EpThisIter,EmpiricalD2,ESSClassic,InitialReturnMean,ESSRenyi,Iteration,MinIW,InitialReturnMin,InitialReturnMax,ReturnStepMaxmin,Bound
1.0,20.97026515007019,0.98,-53.333332,-99.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],104.92,1.0,10492,100,2.837890386581421,100.0,-50.0,,9.949873924255371,100,1.0,1.0,-99.0,100.0,1,1.0,-100.0,,,-53.33333206176758
1.0,57.71045422554016,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],116.26,1.0,22118,200,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,2,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,87.3909821510315,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],117.86,1.0,33904,300,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,3,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,118.1028413772583,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],110.85,1.0,44989,400,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,4,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,151.04672503471375,0.98,-53.333332,-99.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],117.3,1.0,56719,500,2.837890386581421,100.0,-50.0,,9.949873924255371,100,1.0,1.0,-99.0,100.0,5,1.0,-100.0,,,-53.33333206176758
1.0,173.9096167087555,0.98,-53.333332,-99.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],111.69,1.0,67888,600,2.837890386581421,100.0,-50.0,,9.949873924255371,100,1.0,1.0,-99.0,100.0,6,1.0,-100.0,,,-53.33333206176758
1.0,211.81714916229248,0.98,-53.333332,-99.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],115.05,1.0,79393,700,2.837890386581421,100.0,-50.0,,9.949873924255371,100,1.0,1.0,-99.0,100.0,7,1.0,-100.0,,,-53.33333206176758
1.0,241.75952458381653,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],105.26,1.0,89919,800,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,8,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,271.0388276576996,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],104.47,1.0,100366,900,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,9,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,303.0402216911316,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],105.34,1.0,110900,1000,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,10,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,333.27226519584656,0.98,-53.333332,-98.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],107.53,1.0,121653,1100,2.837890386581421,100.0,-50.0,,14.0,100,1.0,1.0,-98.0,100.0,11,1.0,-100.0,,,-53.33333206176758
1.0,369.4710569381714,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],117.07,1.0,133360,1200,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,12,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,399.2889633178711,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],104.42,1.0,143802,1300,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,13,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,428.7923882007599,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],107.19,1.0,154521,1400,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,14,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,465.65449571609497,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],111.88,1.0,165709,1500,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,15,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,498.29838395118713,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],109.29,1.0,176638,1600,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,16,1.0,-100.0,-100.0,100.0,-103.33333587646484
1.0,525.0912477970123,0.99,-103.333336,-100.0,[ 0.187 -0.108 -0.136 ... -0.394  0.     0.   ],109.64,1.0,187602,1700,2.837890386581421,100.0,-100.0,,,100,1.0,1.0,-100.0,100.0,17,1.0,-100.0,-100.0,100.0,-103.33333587646484
