StdIWNorm,InitialReturnMin,EpRewMean,TimeElapsed,MinIWNorm,TimestepsSoFar,EpisodesSoFar,ESSClassic,MeanIWNorm,J_sample_variance,MeanEntropy,StdIW,EpThisIter,ESSRenyi,MaxIW,InitialBound,InitialReturnMax,Bound,EpLenMean,MeanIW,ReturnStepMax,InitialReturnMean,MaxIWNorm,EmpiricalD2,Iteration,ReturnStepMaxmin,Weights,InitialReturnStd,MinIW,ReturnMeanIW
0.0068505784,-100.0,-100.0,9.527216672897339,3.7787086e-05,11214,100,29.782864,0.004461582,4740.4473,2.8556404,0.6850578,100,1.595498,3.9678333,-101.005035,-100.0,-52.57254,112.14,0.44615823,100.0,-100.0,0.03967833,62.676357,1,100.0,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],,0.0037787086,-44.615818
0.0074584098,-100.0,-100.0,46.78875660896301,5.2565265e-06,21609,200,24.20483,0.004214796,5618.978,2.8583066,0.74584097,100,0.75761884,4.6726274,-101.005035,-100.0,-53.694633,103.95,0.42147958,100.0,-100.0,0.046726275,131.9925,2,100.0,[ 0.194 -0.062 -0.125 ... -0.307  0.002  0.016],,0.00052565266,-42.147957
0.005778072,-100.0,-99.0,83.1984236240387,2.2702834e-05,33348,300,25.435318,0.0033746979,3377.0042,2.8166327,0.5778072,100,2.441415,3.2334123,-100.005035,,-40.10173,117.39,0.3374698,100.0,-99.0,0.032334123,40.95985,3,,[ 0.195 -0.063 -0.124 ... -0.304  0.008  0.012],9.949874,0.0022702834,-33.669502
0.008178363,-100.0,-99.0,121.44252753257751,6.385473e-06,45337,400,13.88965,0.0032846138,6765.6978,2.7704525,0.8178363,100,1.1237835,6.294217,-100.005035,,-42.110756,119.89,0.32846138,100.0,-99.0,0.06294217,88.985115,4,,[ 0.195 -0.063 -0.124 ... -0.302  0.008 -0.029],9.949874,0.00063854735,-32.630043
0.0064462647,-100.0,-99.0,160.2067859172821,1.2327136e-05,58035,500,26.71925,0.0038924697,2721.0962,2.795834,0.64462656,100,0.63466406,4.2089124,-100.005035,,-47.33146,126.98,0.38924703,100.0,-99.0,0.042089123,157.56367,5,100.0,[ 0.195 -0.064 -0.121 ... -0.3   -0.01  -0.058],9.949874,0.0012327136,-34.715786
0.0049711955,-100.0,-99.0,200.9726276397705,4.1674375e-06,70201,600,35.215702,0.0036651702,2503.8525,2.772404,0.4971196,100,0.81702006,2.4419355,-100.005035,,-47.64674,121.66,0.36651704,100.0,-99.0,0.024419354,122.39602,6,,[ 0.197 -0.064 -0.119 ... -0.304  0.007 -0.049],9.949874,0.00041674374,-36.527733
0.0071408413,-100.0,-96.0,235.31093335151672,3.557486e-08,81851,700,20.260275,0.003599438,5118.995,2.7578127,0.7140841,100,1.6646608,4.602426,-97.005035,,-42.113804,116.5,0.3599438,100.0,-96.0,0.04602426,60.072296,7,,[ 0.199 -0.065 -0.117 ... -0.301 -0.013 -0.053],19.595919,3.5574863e-06,-34.324127
0.0053038304,-100.0,-96.0,277.4488799571991,2.046824e-06,95358,800,32.823586,0.003707441,2876.4807,2.7265773,0.53038305,100,1.1640761,2.6078932,-97.005035,,-45.7818,135.07,0.3707441,100.0,-96.0,0.026078932,85.90504,8,,[ 0.198 -0.065 -0.118 ... -0.299 -0.058 -0.022],19.595919,0.00020468241,-36.46661
0.009408558,-100.0,-98.0,320.01665711402893,5.209294e-05,109705,900,27.177197,0.005747668,8981.084,2.715786,0.94085586,100,10.375354,6.7422304,-99.005035,,-60.097427,143.47,0.5747668,100.0,-98.0,0.0674223,9.638226,9,,[ 0.199 -0.065 -0.118 ... -0.301 -0.073 -0.038],14.0,0.005209294,-56.977238
0.009472093,-100.0,-98.0,359.8617968559265,2.9534312e-05,125803,1000,32.58294,0.0065850057,4795.258,2.700283,0.94720924,100,3.1407542,7.169867,-99.005035,,-64.1004,160.98,0.6585005,100.0,-98.0,0.071698666,31.839485,10,,[ 0.199 -0.065 -0.117 ... -0.301 -0.074 -0.048],14.0,0.0029534313,-58.429325
