ReturnMeanIW,MeanIWNorm,ReturnStepMaxmin,InitialReturnMin,EmpiricalD2,MinIW,MaxIWNorm,InitialBound,ReturnStepMax,EpRewMean,ESSClassic,InitialReturnStd,Weights,MeanEntropy,EpLenMean,MeanIW,ESSRenyi,J_sample_variance,MaxIW,Iteration,EpThisIter,TimestepsSoFar,EpisodesSoFar,StdIWNorm,StdIW,InitialReturnMax,MinIWNorm,TimeElapsed,InitialReturnMean,Bound
-87.88118,0.006145779,33.94129,-347.8344,19.791119,0.0025797961,0.032859553,-179.01204,100.0,-382.46914497075073,45.10619,107.75485,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2.8682487,112.14,0.6145779,5.0527716,11869.831,3.2859554,1,100,11214,100,0.0067798565,0.6779857,13.8029175,2.5797961e-05,9.266412019729614,-175.51616,-103.43332
-75.87587,0.005153128,26.935959,-303.84546,31.641037,0.0016914683,0.030798974,-145.55516,100.0,-318.2529535560655,38.475086,81.14141,[ 0.195 -0.062 -0.127 ... -0.307  0.016  0.015],2.8943102,114.78,0.5153129,3.1604526,17610.654,3.0798974,2,100,22692,200,0.006516385,0.6516385,-1.8461514,1.6914682e-05,50.6240656375885,-142.5014,-93.05339
-59.02702,0.0040381644,25.525154,-317.19888,39.420788,0.0013033268,0.024484506,-156.3544,125.525154,-359.69844926509364,33.983757,88.14918,[ 0.195 -0.062 -0.126 ... -0.306  0.033  0.023],2.844597,119.05,0.4038165,2.5367327,8732.776,2.4484506,3,100,34597,300,0.0056282547,0.56282556,20.485147,1.3033267e-05,87.63661813735962,-153.16641,-79.04299
-47.91665,0.0028678835,15.2647705,-338.86877,59.30008,0.0002479233,0.027724354,-173.4407,100.0,-382.02808791548216,24.711782,80.79245,[ 0.193 -0.062 -0.127 ... -0.306 -0.01   0.017],2.8192637,114.04,0.28678834,1.6863384,9145.624,2.7724354,4,100,46001,400,0.0050057946,0.5005795,5.1898537,2.479233e-06,124.36781597137451,-170.03496,-74.14322
-45.995136,0.004412747,22.589561,-332.15686,36.021656,0.0005045582,0.039116863,-168.45918,100.0,-344.91922209801646,28.137989,80.82528,[ 0.192 -0.063 -0.127 ... -0.305 -0.038  0.019],2.8125463,100.52,0.44127473,2.7761078,5282.8203,3.9116864,5,100,56053,500,0.0070519983,0.7051999,-17.449118,5.045582e-06,162.70020747184753,-165.12086,-66.030975
-54.002193,0.006266196,3.2703094,-269.7304,20.129839,0.0021488299,0.07063001,-126.32188,100.0,-282.8813264597382,32.62743,65.19271,[ 0.193 -0.062 -0.128 ... -0.304 -0.039  0.013],2.8114433,112.43,0.6266196,4.9677496,5236.7993,7.0630007,6,100,67296,600,0.009004385,0.9004386,-3.9510975,2.1488298e-05,199.37527418136597,-123.61098,-66.16496
-33.700436,0.004543294,15.905052,-242.4335,29.878838,0.003966448,0.038660694,-80.92276,100.0,-182.67159559633248,32.63096,48.076267,[ 0.194 -0.062 -0.128 ... -0.304 -0.045  0.018],2.8117735,112.85,0.4543294,3.3468504,4732.371,3.8660693,7,100,78581,700,0.0065280898,0.6528089,0.19526863,3.966448e-05,232.87308502197266,-78.48622,-47.018982
-32.202736,0.004805442,25.874588,-257.28162,21.810452,0.00011828454,0.042058796,-109.12839,125.87459,-241.00002303482196,34.46689,69.07021,[ 0.193 -0.063 -0.127 ... -0.304 -0.062  0.036],2.7726905,103.97,0.4805442,4.5849576,1573.4413,4.2058797,8,100,88978,800,0.0066261725,0.6626172,12.949728,1.1828454e-06,265.8322911262512,-106.54262,-44.278748
-31.261646,0.0039969976,4.1132812,-277.7355,23.215391,0.0007084524,0.058690775,-127.35292,104.11328,-281.93873232611395,23.711584,73.71285,[ 0.193 -0.062 -0.127 ... -0.303 -0.096  0.031],2.749997,105.46,0.3996998,4.307487,2138.1887,5.8690777,9,100,99524,900,0.007169402,0.7169403,33.098206,7.084524e-06,301.3440945148468,-124.561584,-44.711014
-31.050816,0.004002758,20.514122,-288.54913,33.78873,3.1848333e-05,0.05739686,-124.85196,100.0,-292.1163045679487,24.260708,69.72897,[ 0.192 -0.062 -0.129 ... -0.306 -0.114  0.026],2.7208803,119.05,0.40027577,2.9595666,2152.2395,5.739686,10,100,111429,1000,0.007072422,0.70724225,13.959015,3.1848333e-07,336.1123068332672,-121.95194,-47.90812
