MeanIWNorm,StdIWNorm,InitialBound,Iteration,StdIW,EpThisIter,MaxIW,InitialReturnMean,MeanEntropy,MinIW,InitialReturnMax,EpRewMean,TimestepsSoFar,ESSRenyi,InitialReturnStd,Weights,EpisodesSoFar,J_sample_variance,MinIWNorm,EpLenMean,Bound,ReturnMeanIW,InitialReturnMin,ReturnStepMax,MaxIWNorm,EmpiricalD2,ReturnStepMaxmin,TimeElapsed,ESSClassic,MeanIW
0.0051328065,0.0068129245,-103.333336,1,0.6812925,100,4.2701135,-100.0,2.8684678,0.0044412874,-100.0,-100.0,8453,5.2045197,,[ 0.159 -0.226  0.049 ...  0.067  0.     0.   ],100,4688.48,4.441287e-05,84.53,-65.939354,-51.328068,-100.0,100.0,0.042701133,19.21407,100.0,16.846715927124023,36.208233,0.5132807
0.0027096095,0.004188667,-103.333336,2,0.41886675,100,2.2888331,-100.0,2.8263419,0.0024338695,-100.0,-100.0,17049,3.4079213,,[ 0.161 -0.225  0.048 ...  0.064  0.049 -0.019],200,1772.2155,2.4338695e-05,85.96,-45.15261,-27.096096,-100.0,100.0,0.02288833,29.343401,100.0,82.51315498352051,29.50138,0.27096096
0.0052502835,0.00666503,-101.333336,3,0.666503,100,3.7351074,-98.0,2.8053834,0.0059120194,,-98.0,25430,7.261749,14.0,[ 0.161 -0.225  0.049 ...  0.068  0.038 -0.05 ],300,4530.5684,5.9120193e-05,83.81,-64.30834,-51.93867,-100.0,100.0,0.03735107,13.770787,,155.49721717834473,38.291706,0.5250283
0.004114972,0.0053742286,-103.333336,4,0.53742284,100,3.3586779,-100.0,2.794908,0.0048628533,-100.0,-100.0,33614,4.1181054,,[ 0.161 -0.226  0.048 ...  0.072  0.003 -0.036],400,2917.4075,4.862853e-05,81.84,-57.575653,-41.14972,-100.0,100.0,0.033586778,24.283012,100.0,225.68947458267212,36.959236,0.4114972
0.0032146305,0.0040585096,-101.333336,5,0.40585098,100,2.0287373,-98.0,2.750699,0.0005720123,,-98.0,42057,3.892379,14.0,[ 0.161 -0.226  0.049 ...  0.074 -0.027 -0.016],500,1653.0176,5.7201228e-06,84.43,-48.25128,-31.355778,-100.0,100.0,0.020287372,25.691229,,292.24792671203613,38.551437,0.32146305
0.0028119255,0.0043546543,-102.333336,6,0.43546546,100,2.4646907,-99.0,2.7519975,0.00567214,,-99.0,51367,3.7039645,9.949874,[ 0.161 -0.226  0.049 ...  0.074 -0.047 -0.04 ],600,1720.0845,5.6721397e-05,93.1,-43.74917,-26.429272,-100.0,100.0,0.024646906,26.998098,,357.26462960243225,29.426651,0.28119254
0.0036074517,0.0067135515,-101.333336,7,0.67135525,100,4.605432,-98.0,2.6844997,0.0016581989,,-98.0,59982,3.031105,14.0,[ 0.161 -0.226  0.049 ...  0.077 -0.067 -0.019],700,4506.0576,1.658199e-05,86.15,-53.379692,-34.233685,-100.0,100.0,0.04605432,32.99127,,411.0697522163391,22.404404,0.36074516
0.0059849382,0.008554787,-101.333336,8,0.85547876,100,6.940051,-98.0,2.7002828,0.02403851,,-98.0,68128,8.100549,14.0,[ 0.16  -0.225  0.049 ...  0.087 -0.09  -0.063],800,7395.0513,0.0002403851,81.46,-69.5065,-57.794758,-100.0,100.0,0.06940051,12.344843,,479.1438329219818,32.86075,0.5984938
0.0029784152,0.0039710863,-102.333336,9,0.39710867,100,1.7500079,-99.0,2.6679096,0.002487538,,-99.0,77012,4.380905,9.949874,[ 0.161 -0.225  0.049 ...  0.087 -0.083 -0.054],900,1594.7157,2.4875379e-05,88.84,-45.677547,-29.751911,-100.0,100.0,0.017500078,22.826332,,551.9534101486206,36.001537,0.2978415
0.0042382907,0.006151255,-100.333336,10,0.61512554,100,2.9084322,-97.0,2.6594334,0.008199944,,-97.0,85967,4.24063,17.058722,[ 0.161 -0.224  0.049 ...  0.086 -0.085 -0.085],1000,3793.3525,8.199944e-05,89.55,-57.09105,-40.904152,-100.0,100.0,0.029084321,23.581402,,613.998030424118,32.191353,0.42382917
