EpLenMean,StdIW,EpisodesSoFar,Iteration,J_sample_variance,MinIW,EpRewMean,MeanIW,InitialReturnMax,ReturnMeanIW,TimeElapsed,ReturnStepMax,MeanEntropy,MaxIW,ReturnStepMaxmin,EpThisIter,MinIWNorm,InitialReturnStd,ESSClassic,Bound,InitialReturnMin,MeanIWNorm,ESSRenyi,Weights,MaxIWNorm,InitialReturnMean,InitialBound,TimestepsSoFar,EmpiricalD2,StdIWNorm
100.98,0.3092078,1700,17,967.19366,0.00020454309,-98.0,0.16492994,,-16.442104,565.840886592865,100.0,2.465804,1.7469782,,100,2.0454308e-06,14.0,22.149324,-27.814625,-100.0,0.0016492993,0.7810005,[-0.155  0.181  0.203 ...  0.113 -0.187 -0.116],0.01746978,-98.0,-99.005035,181142,128.0409,0.0030920778
109.39,0.5850348,1800,18,3464.6958,3.6623835e-05,-98.0,0.3671363,,-36.59924,600.2444643974304,100.0,2.4728656,3.1397734,,100,3.6623834e-07,14.0,28.25442,-47.251354,-100.0,0.0036713632,0.89021116,[-0.156  0.181  0.202 ...  0.116 -0.187 -0.185],0.031397734,-98.0,-99.005035,192081,112.3329,0.0058503477
107.53,0.61017615,1900,19,3739.9856,0.00019576582,-94.0,0.33837363,,-32.427826,635.4672482013702,100.0,2.4697912,4.4900126,,100,1.9576582e-06,23.748684,23.51971,-44.45017,-100.0,0.0033837366,0.69885415,[-0.156  0.18   0.201 ...  0.113 -0.221 -0.144],0.044900127,-94.0,-95.005035,202834,143.09137,0.006101762
111.17,0.74259675,2000,20,4857.205,0.054425433,-97.0,0.7615597,,-71.44773,674.6738431453705,100.0,2.4619782,4.8539567,,100,0.0005442543,17.058722,51.260506,-73.44362,-100.0,0.0076155975,25.356712,[-0.157  0.18   0.201 ...  0.116 -0.219 -0.149],0.048539568,-97.0,-98.005035,213951,3.943729,0.0074259676
104.29,0.7946061,2100,21,6378.36,0.00019644358,-99.0,0.32701066,,-32.691936,708.1508057117462,100.0,2.4631014,5.3107624,,100,1.9644358e-06,9.949874,14.483401,-45.538445,-100.0,0.0032701066,0.6120606,[-0.156  0.18   0.202 ...  0.117 -0.235 -0.141],0.053107623,-99.0,-100.005035,224380,163.3825,0.00794606
103.6,0.7026421,2200,22,5002.3066,7.9676014e-05,-98.0,0.52621514,,-52.452053,742.968492269516,100.0,2.424591,3.4540615,,100,7.967601e-07,14.0,35.932957,-60.38862,-100.0,0.0052621514,1.6036124,[-0.157  0.181  0.202 ...  0.118 -0.222 -0.153],0.034540616,-98.0,-99.005035,234740,62.359207,0.007026421
96.76,0.71300405,2300,23,5146.0684,0.0023167713,-99.0,0.34581092,,-34.337242,774.5029709339142,100.0,2.4891944,5.4113426,,100,2.3167713e-05,9.949874,19.043438,-46.187065,-100.0,0.0034581092,0.71935123,[-0.157  0.181  0.202 ...  0.12  -0.224 -0.189],0.054113425,-99.0,-100.005035,244416,139.01414,0.0071300403
103.62,0.98370785,2400,24,9774.969,6.603006e-05,-99.0,0.43079334,,-43.074574,809.5764944553375,100.0,2.4844265,6.8465667,,100,6.6030054e-07,9.949874,16.09197,-51.96191,-100.0,0.0043079336,1.2788554,[-0.157  0.182  0.203 ...  0.119 -0.181 -0.168],0.068465665,-99.0,-100.005035,254778,78.19492,0.009837078
97.73,0.5177278,2500,25,2707.4956,0.0020657077,-100.0,0.3108853,-100.0,-31.08853,844.9717061519623,100.0,2.5048707,3.9513812,100.0,100,2.0657077e-05,,26.501743,-40.01174,-100.0,0.003108853,1.268593,[-0.157  0.181  0.202 ...  0.118 -0.182 -0.171],0.03951381,-100.0,-101.005035,264551,78.82749,0.005177278
91.09,0.6899523,2600,26,4585.078,0.00057428586,-96.0,0.54612494,,-50.65565,874.9076759815216,100.0,2.5155644,3.9679024,,100,5.7428583e-06,19.595919,38.51964,-57.94228,-100.0,0.005461248,1.9024415,[-0.158  0.182  0.202 ...  0.12  -0.155 -0.178],0.039679024,-96.0,-97.005035,273660,52.564034,0.0068995226
87.9,0.435836,2700,27,1926.7418,0.0010611176,-96.0,0.2724768,,-27.079525,908.3349809646606,100.0,2.502981,2.4465122,,100,1.0611176e-05,19.595919,28.10165,-37.728794,-100.0,0.0027247681,0.890687,[-0.156  0.181  0.202 ...  0.124 -0.137 -0.185],0.024465121,-96.0,-97.005035,282450,112.27289,0.0043583596
91.78,0.3588844,2800,28,1307.6078,0.0002775344,-97.0,0.24151544,,-23.777842,939.2863812446594,100.0,2.485098,1.9802644,,100,2.7753438e-06,17.058722,31.171068,-36.81464,-100.0,0.0024151544,0.5943235,[-0.156  0.181  0.202 ...  0.118 -0.124 -0.21 ],0.019802643,-97.0,-98.005035,291628,168.25853,0.0035888439
106.18,0.56401145,2900,29,3213.915,0.00011521075,-99.0,0.34669724,,-34.659683,972.0749199390411,100.0,2.402278,2.8622713,,100,1.1521075e-06,9.949874,27.423407,-43.375526,-100.0,0.0034669724,1.329677,[-0.157  0.181  0.202 ...  0.115 -0.132 -0.221],0.028622713,-99.0,-100.005035,302246,75.20624,0.0056401147
