#{"t_start": 1538941660.195787, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-100,138,1.802981
-100,205,2.140756
-100,105,2.297582
-100,113,2.551716
-100,95,2.697238
-100,222,3.125911
-100,143,3.446359
-100,129,3.651355
-100,86,3.782714
-100,92,3.919409
-100,96,4.142775
-100,148,4.393629
-100,104,4.555135
-100,92,4.696052
-100,113,4.960317
-100,147,5.194617
-100,184,5.48685
-100,78,5.625638
-100,122,5.770137
-100,71,5.85629
-100,90,5.97616
-100,100,6.121397
-100,75,6.288934
-100,145,6.532287
-100,69,6.634265
-100,85,6.765721
-100,125,6.960878
-100,133,7.172219
-100,127,7.369513
-100,81,7.490626
-100,132,7.697332
-100,119,7.918832
-100,99,8.076462
-100,89,8.212599
-100,97,8.362431
-100,95,8.654177
-100,82,8.777629
-100,87,8.905941
-100,87,9.035647
-100,82,9.161076
-100,92,9.39991
-100,149,9.643935
-100,95,9.786687
-100,176,10.36446
-100,133,10.572204
-100,151,10.820473
-100,125,11.0765
-100,81,11.201832
-100,143,11.431013
-100,101,11.587657
-100,100,11.8149
-100,165,12.101284
-100,110,12.268895
-100,117,12.456848
-100,76,12.582887
-100,118,12.767116
-100,88,12.901834
-100,112,13.08064
-100,85,13.207176
-100,141,13.459789
-100,81,13.536619
-100,89,13.62972
-100,141,13.805371
-100,135,14.055988
-100,108,14.219701
-100,87,14.351837
-100,111,14.529252
-100,139,14.840164
-100,131,15.059836
-100,121,15.254324
-100,79,15.547494
-100,170,15.835134
-100,86,15.966368
-100,78,16.082889
-100,77,16.33331
-100,73,16.442264
-100,123,16.639679
-100,202,16.996381
-100,96,17.175471
-100,98,17.323584
-100,107,17.931267
-100,238,18.285725
-100,95,18.41144
-100,79,18.602452
-100,76,18.716614
-100,92,18.858854
-100,150,19.116352
-100,85,19.243785
-100,100,19.427798
-100,99,19.583724
-100,71,19.687098
-100,91,19.829968
-100,118,20.017181
-100,91,20.186971
-100,138,20.414832
-100,129,20.616012
-100,133,20.82993
-100,113,21.013866
-100,121,21.2084
-100,115,21.36757
-100,105,21.476135
-100,95,21.634593
-100,135,21.819233
-100,170,22.12518
-100,86,22.254269
-100,177,22.584245
-100,133,22.800622
-100,146,23.04443
-100,76,23.223785
-100,127,23.429833
-100,92,23.570433
-100,148,23.818233
-100,97,24.053813
-100,92,24.195761
-100,164,24.471422
-100,103,24.622545
0,99,24.836616
-100,92,24.979169
-100,217,25.414143
-100,81,25.672009
-100,76,25.782512
-100,174,26.07581
-100,77,26.194824
-100,85,26.468097
-100,87,26.600924
-100,97,26.746474
-100,81,26.866935
-100,118,27.050812
-100,111,27.269122
-100,97,27.425049
-100,84,27.555445
-100,128,27.767359
-100,131,28.095818
-100,198,28.463077
-100,78,28.579728
-100,96,28.866768
-100,125,29.063809
-100,89,29.202589
-100,81,29.326106
-100,96,29.47051
-100,112,29.663598
-100,183,30.00161
-100,176,30.31186
-100,89,30.488935
-100,138,30.710249
-100,166,31.009834
-100,102,31.336693
-100,84,31.46335
-100,108,31.630301
-100,124,31.826047
-100,62,31.913924
-100,94,32.086874
-100,81,32.209966
-100,101,32.36344
-100,94,32.500824
-100,111,32.680798
-100,109,32.878842
-100,87,33.009612
-100,119,33.199536
-100,86,33.3317
-100,83,33.453912
-100,125,33.594514
-100,104,33.707376
-100,106,33.838326
-100,92,33.965185
-100,94,34.210592
-100,103,34.372937
-100,102,34.541386
-100,110,34.712533
-100,77,34.829039
-100,122,35.044403
