MaxIW,ReturnStepMaxmin,EpLenMean,ESSRenyi,Bound,MeanIW,ReturnStepMax,InitialReturnMax,RewardCompression,EpThisIter,MinIW,EpRewMean,TimestepsSoFar,Iteration,InitialBound,MeanEntropy,InitialReturnMean,TimeElapsed,Weights,EpisodesSoFar,InitialReturnStd,ESSClassic,StdIW,ReturnMeanIW,InitialReturnMin,EmpiricalD2
1.0,100.0,112.14,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,11214,1,-101.005035,2.837890386581421,-100.0,27.32945156097412,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],100,,1.0,,-100.0,-100.0,1.0
1.0,100.0,106.31,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,21845,2,-101.005035,2.837890386581421,-100.0,65.43834209442139,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],200,,1.0,,-100.0,-100.0,1.0
1.0,,104.18,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-98.0,32263,3,-51.00504,2.837890386581421,-98.0,96.178795337677,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],300,14.0,1.0,,-50.0,-100.0,1.0
1.0,100.0,112.4,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,43503,4,-101.005035,2.837890386581421,-100.0,133.28088402748108,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],400,,1.0,,-100.0,-100.0,1.0
1.0,100.0,112.22,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,54725,5,-101.005035,2.837890386581421,-100.0,163.3512647151947,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],500,,1.0,,-100.0,-100.0,1.0
1.0,,110.01,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,65726,6,-51.00504,2.837890386581421,-99.0,203.41522908210754,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],600,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,,115.61,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,77287,7,-51.00504,2.837890386581421,-99.0,243.144917011261,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],700,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,114.57,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,88744,8,-101.005035,2.837890386581421,-100.0,283.45024251937866,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],800,,1.0,,-100.0,-100.0,1.0
1.0,100.0,115.44,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,100288,9,-101.005035,2.837890386581421,-100.0,314.21666145324707,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],900,,1.0,,-100.0,-100.0,1.0
1.0,100.0,114.37,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,111725,10,-101.005035,2.837890386581421,-100.0,351.04489731788635,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1000,,1.0,,-100.0,-100.0,1.0
1.0,,116.05,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,123330,11,-51.00504,2.837890386581421,-99.0,387.299085855484,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1100,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,110.07,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,134337,12,-101.005035,2.837890386581421,-100.0,415.62983322143555,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1200,,1.0,,-100.0,-100.0,1.0
1.0,,114.14,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,145751,13,-51.00504,2.837890386581421,-99.0,451.55828976631165,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1300,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,109.36,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,156687,14,-101.005035,2.837890386581421,-100.0,485.8518283367157,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1400,,1.0,,-100.0,-100.0,1.0
1.0,,111.66,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,167853,15,-51.00504,2.837890386581421,-99.0,515.340692281723,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1500,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,109.14,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,178767,16,-101.005035,2.837890386581421,-100.0,544.8503201007843,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1600,,1.0,,-100.0,-100.0,1.0
1.0,100.0,117.53,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,190520,17,-101.005035,2.837890386581421,-100.0,581.1499140262604,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1700,,1.0,,-100.0,-100.0,1.0
1.0,100.0,113.46,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,201866,18,-101.005035,2.837890386581421,-100.0,613.3420131206512,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1800,,1.0,,-100.0,-100.0,1.0
1.0,,119.71,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-98.0,213837,19,-51.00504,2.837890386581421,-98.0,650.863166809082,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],1900,14.0,1.0,,-50.0,-100.0,1.0
1.0,100.0,114.5,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,225287,20,-101.005035,2.837890386581421,-100.0,679.4513282775879,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2000,,1.0,,-100.0,-100.0,1.0
1.0,100.0,116.58,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,236945,21,-101.005035,2.837890386581421,-100.0,715.6953721046448,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2100,,1.0,,-100.0,-100.0,1.0
1.0,100.0,107.09,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,247654,22,-101.005035,2.837890386581421,-100.0,743.6391656398773,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2200,,1.0,,-100.0,-100.0,1.0
1.0,,116.69,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,259323,23,-51.00504,2.837890386581421,-99.0,776.0034937858582,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2300,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,,112.96,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,270619,24,-51.00504,2.837890386581421,-99.0,807.7041375637054,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2400,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,107.96,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,281415,25,-101.005035,2.837890386581421,-100.0,837.9910333156586,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2500,,1.0,,-100.0,-100.0,1.0
1.0,100.0,106.93,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,292108,26,-101.005035,2.837890386581421,-100.0,869.0196945667267,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2600,,1.0,,-100.0,-100.0,1.0
1.0,,110.62,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,303170,27,-51.00504,2.837890386581421,-99.0,893.5649852752686,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2700,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,110.64,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,314234,28,-101.005035,2.837890386581421,-100.0,923.3591485023499,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2800,,1.0,,-100.0,-100.0,1.0
1.0,,107.78,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,325012,29,-51.00504,2.837890386581421,-99.0,945.1850938796997,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],2900,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,112.86,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,336298,30,-101.005035,2.837890386581421,-100.0,973.351226568222,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3000,,1.0,,-100.0,-100.0,1.0
1.0,100.0,115.9,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,347888,31,-101.005035,2.837890386581421,-100.0,1002.1875648498535,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3100,,1.0,,-100.0,-100.0,1.0
1.0,100.0,113.22,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,359210,32,-101.005035,2.837890386581421,-100.0,1030.2606949806213,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3200,,1.0,,-100.0,-100.0,1.0
1.0,100.0,111.53,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,370363,33,-101.005035,2.837890386581421,-100.0,1056.2993550300598,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3300,,1.0,,-100.0,-100.0,1.0
1.0,,111.01,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,381464,34,-51.00504,2.837890386581421,-99.0,1081.6717057228088,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3400,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,109.51,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,392415,35,-101.005035,2.837890386581421,-100.0,1104.5349478721619,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3500,,1.0,,-100.0,-100.0,1.0
1.0,,112.35,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,403650,36,-51.00504,2.837890386581421,-99.0,1128.5112662315369,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3600,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,,107.48,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,414398,37,-51.00504,2.837890386581421,-99.0,1151.2711703777313,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3700,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,110.09,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,425407,38,-101.005035,2.837890386581421,-100.0,1178.8017196655273,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3800,,1.0,,-100.0,-100.0,1.0
1.0,100.0,115.9,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,436997,39,-101.005035,2.837890386581421,-100.0,1209.7020196914673,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],3900,,1.0,,-100.0,-100.0,1.0
1.0,,113.7,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,448367,40,-51.00504,2.837890386581421,-99.0,1232.379238128662,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4000,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,,114.53,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,459820,41,-51.00504,2.837890386581421,-99.0,1259.3754386901855,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4100,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,108.0,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,470620,42,-101.005035,2.837890386581421,-100.0,1285.1111130714417,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4200,,1.0,,-100.0,-100.0,1.0
1.0,,114.16,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,482036,43,-51.00504,2.837890386581421,-99.0,1314.4011340141296,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4300,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,,111.78,100.0,-51.00503921508789,1.0,100.0,,0.98,100,1.0,-99.0,493214,44,-51.00504,2.837890386581421,-99.0,1345.8036758899689,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4400,9.949873924255371,1.0,,-50.0,-100.0,1.0
1.0,100.0,109.64,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,504178,45,-101.005035,2.837890386581421,-100.0,1379.7498307228088,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4500,,1.0,,-100.0,-100.0,1.0
1.0,100.0,113.14,100.0,-101.00503540039062,1.0,100.0,-100.0,0.99,100,1.0,-100.0,515492,46,-101.005035,2.837890386581421,-100.0,1402.4430923461914,[ 0.196 -0.062 -0.126 ... -0.31   0.     0.   ],4600,,1.0,,-100.0,-100.0,1.0
