SamplesThisIter,ESSRenyi,VarRet,AvgVanillaIw,AvgEpLen,Bound,IterType,VarDiscRet,AvgNormIw,VarNormIw,ESSClassic,VanillaAvgRet,Delta,BatchSize,EpsThisIter,MaxVanillaIw,MinNormIw,AvgRet,VarVanillaIw,MaxNormIw,AvgDiscRet,MinVanillaIw,eRenyi2,VarJ,J
50000,100.0,3673.87163009,1.0,5.84658559401,39.2561,1,3673.87163009,0.000116932,8.47132e-22,8551.99931207,48.4344927027,0.6,100,8552,1.0,0.000116932,48.4344927027,,0.000116932,48.4344927027,1.0,1.0,60.6089,48.4345
50000,100.0,4170.52254199,1.0,5.99448507373,37.7591,1,4170.52254199,0.00011989,2.11784e-22,8340.9993885,49.9132117669,0.6,100,8341,1.0,0.00011989,49.9132117669,,0.00011989,49.9132117669,1.0,1.0,64.5757,49.9132
50000,100.0,3936.3610428,1.0,5.97657183839,38.491,1,3936.3610428,0.000119531,4.76513e-22,8365.99952759,49.7340031682,0.6,100,8366,1.0,0.000119531,49.7340031682,,0.000119531,49.7340031682,1.0,1.0,62.7367,49.734
50000,100.0,3531.68118602,1.0,5.85960389078,40.6118,1,3531.68118602,0.000117192,2.11783e-22,8533.00032748,48.5647615289,0.6,100,8533,1.0,0.000117192,48.5647615289,,0.000117192,48.5647615289,1.0,1.0,59.4244,48.5648
50000,100.0,3414.56669044,1.0,5.9227671168,41.8231,1,3414.56669044,0.000118455,2.11783e-22,8442.00021164,49.1961336332,0.6,100,8442,1.0,0.000118455,49.1961336332,,0.000118455,49.1961336332,1.0,1.0,58.4308,49.1961
50000,100.0,3245.84548,1.0,5.80787547915,41.7135,1,3245.84548,0.000116157,4.76511e-22,8608.9997268,48.0477031332,0.6,100,8609,1.0,0.000116158,48.0477031332,,0.000116158,48.0477031332,1.0,1.0,56.969,48.0477
50000,100.0,3579.79378415,1.0,5.87406015038,38.799,1,3579.79378415,0.000117481,2.11783e-22,8512.00050014,48.7079966304,0.6,100,8512,1.0,0.000117481,48.7079966304,,0.000117481,48.7079966304,1.0,1.0,59.8279,48.708
50000,100.0,3517.86893211,1.0,5.91156301726,40.4745,1,3517.86893211,0.000118231,2.11783e-22,8458.00021796,49.0840098677,0.6,100,8458,1.0,0.000118231,49.0840098677,,0.000118231,49.0840098677,1.0,1.0,59.3081,49.084
50000,100.0,3623.94614469,1.0,5.9150597421,40.8622,1,3623.94614469,0.000118301,8.47133e-22,8452.99947581,49.1192099167,0.6,100,8453,1.0,0.000118301,49.1192099167,,0.000118301,49.1192099167,1.0,1.0,60.1957,49.1192
50000,100.0,3923.80229151,1.0,5.97871577185,35.1171,1,3923.80229151,0.000119574,8.47134e-22,8362.99992324,49.7555507038,0.6,100,8363,1.0,0.000119574,49.7555507038,,0.000119574,49.7555507038,1.0,1.0,62.6365,49.7556
50000,100.0,3604.42590756,1.0,5.91016548463,38.8637,1,3604.42590756,0.000118203,2.11783e-22,8460.0003817,49.0694161232,0.6,100,8460,1.0,0.000118203,49.0694161232,,0.000118203,49.0694161232,1.0,1.0,60.0333,49.0694
50000,100.0,3645.7516217,1.0,5.89622641509,39.624,1,3645.7516217,0.000117925,,8480.00025845,48.9309139194,0.6,100,8480,1.0,0.000117925,48.9309139194,,0.000117925,48.9309139194,1.0,1.0,60.3765,48.9309
50000,100.0,3688.56557817,1.0,6.01106035105,42.0225,1,3688.56557817,0.000120221,2.11784e-22,8317.99973178,50.0774658271,0.6,100,8318,1.0,0.000120221,50.0774658271,,0.000120221,50.0774658271,1.0,1.0,60.7299,50.0775
