VarNormIw,AvgDiscRet,VarVanillaIw,EpsThisIter,IterType,renyi2,VarJ,MinVanillaIw,Bound,MaxVanillaIw,VanillaAvgRet,ESSClassic,MaxNormIw,VarDiscRet,SamplesThisIter,VarRet,ESSRenyi,AvgVanillaIw,J,AvgRet,delta,BatchSize,MinNormIw,AvgNormIw,AvgEpLen
3.20471e-09,-406.023216426,1.10104,100,1,nan,431.85,2.22897e-07,-421.029,7.26216,-406.023216426,0.707615623778,0.000391794,208.713314097,50000,208.713314097,nan,1.02976,-71072.8,-406.023216426,0.8,100,1.20253e-11,5.55556e-05,500.0
2.24958e-06,-364.184355837,inf,111,1,nan,1476.68,,-168.326,4.1383e+19,-364.184355837,8.44346929527,0.0560334,8887.97540293,50000,8887.97540293,nan,3.69641e+16,-31164.8,-364.184355837,0.8,100,,5.00501e-05,450.45045045
4.4648e-06,-353.517718824,inf,112,1,nan,1434.34,,-182.413,2.32835e+21,-353.517718824,10.9998233621,0.0904805,9239.18049958,50000,9239.18049958,nan,1.27645e+18,-34628.8,-353.517718824,0.8,100,,4.96032e-05,446.428571429
4.55122e-06,-329.511975458,7.09669e+10,121,1,nan,nan,,nan,1.2435e+07,-329.511975458,10.0001077333,0.0995826,16103.573916,50000,16103.573916,nan,5733.32,nan,-329.511975458,0.8,100,,4.59137e-05,413.223140496
5.50055e-05,-401.689933472,inf,101,1,nan,nan,,nan,8.60623e+19,-401.689933472,1.0,1.0,1294.64187938,50000,1294.64187938,nan,4.7339e+15,nan,-401.689933472,0.8,100,,5.50055e-05,495.04950495
5.49313e-05,-399.028145234,inf,101,1,nan,nan,,nan,8.83152e+19,-399.028145234,0.999999800802,0.999325,1477.51107281,50000,1477.51107281,nan,4.86111e+15,nan,-399.028145234,0.8,100,,5.50055e-05,495.04950495
3.76392e-10,-410.146431639,0.102988,100,1,nan,380.131,0.150431,-428.692,5.32206,-410.146431639,0.991895861902,0.000321741,89.3851301789,50000,89.3851301789,nan,0.918967,-73436.5,-410.146431639,0.8,100,9.09421e-06,5.55556e-05,500.0
5.11212e-05,-387.339629223,inf,101,1,nan,2150.62,,-331.47,3.61396e+19,-387.339629223,0.998559944889,0.963353,1837.67969818,50000,1837.67969818,nan,2.0635e+15,-48192.8,-387.339629223,0.8,100,,5.50055e-05,495.04950495
2.74249e-05,-399.807566696,2.81433e+16,102,1,nan,nan,,nan,2.19402e+10,-399.807566696,0.951750913991,0.684895,2546.55654904,50000,2546.55654904,nan,1.74479e+06,nan,-399.807566696,0.8,100,,5.44662e-05,490.196078431
4.47552e-06,-314.288580539,2.42599e+17,124,1,nan,1671.0,,-115.945,2.32744e+10,-314.288580539,10.0000000541,0.099967,17181.0074135,50000,17181.0074135,nan,1.0431e+07,-22317.8,-314.288580539,0.8,100,,4.48029e-05,403.225806452
1.78792e-07,-365.864754376,8.42657e+06,110,1,nan,1241.96,,-224.944,88911.2,-365.864754376,8.98957413883,0.012951,7604.51702289,50000,7604.51702289,nan,346.726,-40113.5,-365.864754376,0.8,100,,5.05051e-05,454.545454545
4.85967e-06,-365.190195764,4.90873e+33,111,1,nan,2260.48,,-155.485,3.13212e+18,-365.190195764,9.99791912885,0.0985501,9486.89640321,50000,9486.89640321,nan,1.59069e+15,-32794.4,-365.190195764,0.8,100,,5.00501e-05,450.45045045
1.21695e-10,-408.692565759,0.0333325,100,1,18.6049,111.326,0.276842,-428.811,2.52926,-408.692565759,0.73160735145,0.000152825,28.1399651842,50000,28.1399651842,8.31716642524e-07,0.919444,-73428.5,-408.692565759,0.8,100,1.67276e-05,5.55556e-05,500.0
2.37476e-06,-370.336447898,1.49954e+17,110,1,nan,2082.76,,-124.964,1.38714e+10,-370.336447898,6.47397464149,0.0552014,10157.1514296,50000,10157.1514296,nan,1.26912e+07,-30234.6,-370.336447898,0.8,100,,5.05051e-05,454.545454545
1.1913e-08,-277.492317848,916.185,143,1,nan,1623.97,,-95.7852,280.507,-277.492317848,1.72399776514,0.0010115,26355.4194844,50000,26355.4194844,nan,10.7739,-17490.4,-277.492317848,0.8,100,,3.885e-05,349.65034965
2.2949e-06,-328.963849739,6.00378e+13,121,1,nan,1572.83,,-125.371,3.27069e+08,-328.963849739,8.17368589454,0.0639454,15724.2775252,50000,15724.2775252,nan,234840.0,-24640.3,-328.963849739,0.8,100,,4.59137e-05,413.223140496
8.11878e-07,-377.895170497,145034.0,106,1,nan,nan,,nan,19442.4,-377.895170497,1.94123392703,0.0460004,7259.13059403,50000,7259.13059403,nan,22.1519,nan,-377.895170497,0.8,100,,5.24109e-05,471.698113208
2.19867e-05,-399.604263922,1.7891e+18,102,1,nan,2626.24,,-217.295,1.40773e+11,-399.604263922,1.94700500812,0.493496,2518.79554835,50000,2518.79554835,nan,1.55369e+07,-43316.5,-399.604263922,0.8,100,,5.44662e-05,490.196078431
3.093e-08,-304.606205335,11909.5,131,1,nan,1732.36,,-105.129,2032.26,-304.606205335,7.12083575283,0.00327509,21914.8157047,50000,21914.8157047,nan,26.3156,-20685.3,-304.606205335,0.8,100,,4.24088e-05,381.679389313
3.39281e-07,-344.113900818,468848.0,114,1,nan,1446.97,,-199.298,26276.9,-344.113900818,7.19452647122,0.0223531,9696.14197014,50000,9696.14197014,nan,57.2874,-35140.5,-344.113900818,0.8,100,,4.87329e-05,438.596491228
7.73275e-09,-260.476064619,148.455,151,1,nan,nan,,nan,89.3793,-260.476064619,2.69691850891,0.000645071,25238.0118178,50000,25238.0118178,nan,5.09777,nan,-260.476064619,0.8,100,,3.67918e-05,331.125827815
8.31027e-09,-235.978745784,258.667,164,1,nan,1288.43,,-90.2126,467.195,-235.978745784,5.14712050175,0.00264811,26403.6027342,50000,26403.6027342,nan,5.97649,-16352.7,-235.978745784,0.8,100,,3.38753e-05,304.87804878
2.37376e-06,-340.585027201,6.44861e+32,115,1,nan,2077.87,,-122.429,8.94742e+17,-340.585027201,5.99174476186,0.0542854,13151.6640644,50000,13151.6640644,nan,7.96241e+14,-26225.3,-340.585027201,0.8,100,,4.83092e-05,434.782608696
1.13702e-07,-212.241386143,6051.43,179,1,nan,1195.07,,-88.0895,4316.23,-212.241386143,10.0239302283,0.0187094,23042.1117257,50000,23042.1117257,nan,7.16012,-15261.5,-212.241386143,0.8,100,,3.10366e-05,279.329608939
1.1298e-08,-253.000099224,450.268,151,1,nan,1601.03,,-93.0543,176.423,-253.000099224,1.55606309053,0.000883729,25267.0499195,50000,25267.0499195,nan,7.3449,-18220.7,-253.000099224,0.8,100,,3.67918e-05,331.125827815
7.1787e-09,-205.771119362,60.555,183,1,nan,nan,,nan,261.579,-205.771119362,5.81143383221,0.00284807,24524.8110998,50000,24524.8110998,nan,2.78823,nan,-205.771119362,0.8,100,,3.03582e-05,273.224043716
4.0251e-09,-168.47439067,67.9742,217,1,nan,831.47,,-85.157,309.689,-168.47439067,4.99655003374,0.0023831,18304.1522247,50000,18304.1522247,nan,3.32699,-13617.7,-168.47439067,0.8,100,,2.56016e-05,230.414746544
3.9095e-08,-278.726952153,1760.24,136,1,nan,nan,,nan,930.473,-278.726952153,2.6925215784,0.00438509,20385.3928877,50000,20385.3928877,nan,8.66789,nan,-278.726952153,0.8,100,,4.08497e-05,367.647058824
4.61127e-09,-206.99771382,66.1463,179,1,nan,nan,,nan,81.0624,-206.99771382,3.40966399155,0.000676827,22665.229807,50000,22665.229807,nan,3.71721,nan,-206.99771382,0.8,100,,3.10366e-05,279.329608939
1.59772e-08,-232.961696135,1204.7,161,1,nan,1298.73,,-98.4229,501.088,-232.961696135,2.51627685659,0.00182484,21784.1828586,50000,21784.1828586,nan,9.47528,-17846.6,-232.961696135,0.8,100,,3.45066e-05,310.559006211
4.14876e-09,-198.066227034,86.6012,197,1,nan,1165.84,,-79.0362,69.5026,-198.066227034,5.17618868309,0.000481059,27071.7820927,50000,27071.7820927,nan,4.0744,-13280.6,-198.066227034,0.8,100,,2.82008e-05,253.807106599
2.75811e-08,-170.066802233,4848.05,221,1,nan,1110.63,,-70.633,1920.84,-170.066802233,2.08173033742,0.00458157,22385.3293439,50000,22385.3293439,nan,10.5393,-10028.9,-170.066802233,0.8,100,,2.51383e-05,226.244343891
8.85724e-09,-175.181522739,70.4735,213,1,nan,nan,,nan,438.447,-175.181522739,8.73262670071,0.00491534,21148.0249104,50000,21148.0249104,nan,2.32655,nan,-175.181522739,0.8,100,,2.60824e-05,234.741784038
1.37235e-08,-149.258222086,308.176,247,1,nan,825.592,,-78.1015,1017.91,-149.258222086,9.79558512359,0.00679269,16667.9001223,50000,16667.9001223,nan,3.37053,-12564.1,-149.258222086,0.8,100,,2.24921e-05,202.429149798
2.43036e-09,-149.034008009,29.5296,249,1,nan,837.127,,-77.1848,163.435,-149.034008009,5.11378203258,0.00148269,17641.4703491,50000,17641.4703491,nan,2.45936,-12889.9,-149.034008009,0.8,100,,2.23115e-05,200.803212851
2.06224e-09,-145.173916988,26.4655,251,1,nan,961.733,,-77.4295,106.475,-145.173916988,15.6512420795,0.000939893,17336.2885176,50000,17336.2885176,nan,2.50741,-13310.5,-145.173916988,0.8,100,,2.21337e-05,199.203187251
5.32416e-10,-78.3622520128,8.31592,444,1,nan,547.959,,-64.7645,34.2936,-78.3622520128,3.66527827092,0.000274399,3797.14058401,50000,3797.14058401,nan,1.56377,-10303.9,-78.3622520128,0.8,100,,1.25125e-05,112.612612613
1.60709e-09,-124.260573179,10.4106,288,1,nan,760.096,,-73.1392,40.9432,-124.260573179,2.713089947,0.000508702,14246.8000335,50000,14246.8000335,nan,1.55258,-11832.1,-124.260573179,0.8,100,,1.92901e-05,173.611111111
2.43817e-10,-86.793653584,1.64329,400,1,nan,440.216,,-70.6557,24.9725,-86.793653584,7.62468810234,0.000304184,5225.07595107,50000,5225.07595107,nan,1.14023,-11673.9,-86.793653584,0.8,100,,1.38889e-05,125.0
2.42256e-10,-84.4866367903,2.35431,423,1,nan,438.319,,-69.9544,12.1573,-84.4866367903,6.18419022424,0.000123323,6443.62147865,50000,6443.62147865,nan,1.29474,-11451.3,-84.4866367903,0.8,100,,1.31337e-05,118.203309693
5.73751e-10,-94.4607975791,5.20474,379,1,nan,647.766,,-67.4886,35.7727,-94.4607975791,3.90900591104,0.00037559,8859.96034526,50000,8859.96034526,nan,1.39613,-11103.5,-94.4607975791,0.8,100,,1.46585e-05,131.926121372
5.76652e-10,-114.028970244,2.45501,314,1,nan,685.263,,-72.9283,14.9176,-114.028970244,5.7852596794,0.000228627,11883.2901652,50000,11883.2901652,nan,1.15443,-12386.6,-114.028970244,0.8,100,,1.76929e-05,159.23566879
1.93215e-10,-71.112297412,1.99312,483,1,nan,331.496,3.18052e-23,-66.0037,14.3103,-71.112297412,4.535614762,0.000140897,2255.82181727,50000,2255.82181727,nan,1.16822,-10601.7,-71.112297412,0.8,100,3.13149e-28,1.15022e-05,103.519668737
8.45629e-09,-66.8465647966,257.773,510,1,nan,731.853,,-59.4108,867.045,-66.8465647966,3.65267335647,0.00496607,2028.15885194,50000,2028.15885194,nan,1.90189,-8580.39,-66.8465647966,0.8,100,,1.08932e-05,98.0392156863
9.89026e-09,-60.994493821,544.292,559,1,nan,731.399,,-57.8191,1259.79,-60.994493821,3.17329317649,0.00537015,352.341575104,50000,352.341575104,nan,2.33146,-8252.53,-60.994493821,0.8,100,,9.93838e-06,89.4454382826
2.16872e-10,-64.0039710302,3.4987,526,1,nan,295.519,1.11118e-17,-63.75,34.987,-64.0039710302,8.64348195465,0.000275458,355.423501738,50000,355.423501738,nan,1.34151,-10322.2,-64.0039710302,0.8,100,8.74845e-23,1.05619e-05,95.0570342205
1.15026e-10,-64.0623359596,1.46523,531,1,nan,256.469,1.07808e-11,-65.4721,12.3753,-64.0623359596,4.37028328767,0.000109648,394.492922003,50000,394.492922003,nan,1.18083,-10467.2,-64.0623359596,0.8,100,9.55199e-17,1.04624e-05,94.1619585687
3.6998e-10,-65.0825094806,6.18348,521,1,nan,496.321,7.42937e-28,-59.8549,35.519,-65.0825094806,3.15314238052,0.000274747,1331.25803818,50000,1331.25803818,nan,1.37853,-9485.24,-65.0825094806,0.8,100,5.74678e-33,1.06633e-05,95.9692898273
5.61778e-07,-64.7637971282,inf,527,1,nan,382.265,,-46.7399,1.30568e+26,-64.7637971282,8.43711607509,0.0670597,1234.6589919,50000,1234.6589919,nan,2.05254e+22,-5781.41,-64.7637971282,0.8,100,,1.05419e-05,94.8766603416
1.93978e-10,-62.4439559056,2.71025,542,1,nan,404.285,,-62.076,40.8859,-62.4439559056,3.27683764193,0.000345895,340.275360501,50000,340.275360501,nan,1.21159,-9943.86,-62.4439559056,0.8,100,,1.02501e-05,92.2509225092
2.29647e-10,-80.3811976963,2.02378,433,1,nan,391.051,2.2327e-31,-66.8732,10.1269,-80.3811976963,5.0327316519,0.000107876,5128.21238047,50000,5128.21238047,nan,1.20445,-10930.7,-80.3811976963,0.8,100,2.37837e-36,1.28304e-05,115.473441109
1.23805e-08,-65.3300540405,1244.94,520,1,nan,744.687,,-57.8977,1116.51,-65.3300540405,1.20631867229,0.00352092,2032.71560444,50000,2032.71560444,nan,3.38788,-7180.02,-65.3300540405,0.8,100,,1.06838e-05,96.1538461538
7.94665e-07,-63.1973845498,inf,535,1,nan,416.766,,-36.4436,1.09441e+25,-63.1973845498,9.75971035866,0.0864273,524.290546948,50000,524.290546948,nan,1.31494e+21,-5644.6,-63.1973845498,0.8,100,,1.03842e-05,93.4579439252
3.37003e-10,-85.5791014674,2.91479,397,1,nan,479.094,,-67.0265,17.2773,-85.5791014674,4.57086071129,0.000185776,5111.35669381,50000,5111.35669381,nan,1.30144,-11274.8,-85.5791014674,0.8,100,,1.39938e-05,125.944584383
