MaxVanillaIw,VarRet,MinNormIw,BatchSize,VarJ,VarNormIw,Bound,J,EpsThisIter,VarVanillaIw,ESSRenyi,MaxNormIw,ESSClassic,AvgVanillaIw,MinVanillaIw,AvgDiscRet,VanillaAvgRet,eRenyi2,AvgRet,AvgEpLen,AvgNormIw,IterType,VarDiscRet
54.746616,20669.342025623653,6.2303225e-11,100,1445.0051,0.001956451,285.17017,527.8018,100,34.291676,8.89185573528494,0.41352084,4.909454605773887,1.3239143,8.2484135e-09,113.94176401086446,113.94176401086446,11.246246,113.94176401086446,12.4,0.01,1,20669.342025623653
76.08485,719683.1322812043,4.092109e-27,100,3341.737,0.003818163,2689.7192,4524.545,100,82.729,5.259964364255101,0.5168881,2.5773315125153973,1.471979,6.023499e-25,417.6800201448241,417.6800201448241,19.011536,417.6800201448241,42.75,0.009999997,1,719683.1322812043
1.6601647e+24,719683.1322812043,7.884932e-27,200,66.93935,0.0099189645,-inf,1385.0986,100,inf,nan,0.99597245,,1.6668781e+22,0.013143222,1643.2475098264085,417.6800201448241,nan,417.6800201448241,42.75,0.01,,3108018.2995407456
158.28517,614365.9693335387,3.404642e-30,200,5911.7095,0.0014286855,2475.512,4266.299,100,169.39775,5.521849932631468,0.45967907,3.4565191827969493,1.7216922,1.1723492e-27,452.76953040959813,452.76953040959813,36.219746,452.76953040959813,46.275,0.005000001,1,614365.9693335387
1.0,2886473.645126818,0.01,200,1690.4463,3.5044917e-18,1544.6506,1965.4613,100,,200.0,0.01,100.0,1.0,1.0,1965.4613265068506,1965.4613265068506,1.0,1965.4613265068506,197.38,0.009999998,2,2886473.645126818
8.529882e+26,614365.9693335387,5.3111325e-30,300,18541.707,0.0029610617,-inf,1722.6267,100,inf,11843295140.142242,0.7170846,,5.9476125e+24,0.0063177114,1859.925985977975,452.76953040959813,2.5330788e-08,452.76953040959813,46.275,0.005,,2919204.2720520245
176.25809,510371.2357649533,3.6303e-37,300,7404.0664,0.0008941777,2504.3843,4222.3022,100,144.7475,6.000225685978942,0.43808204,3.6942289568145834,1.3411345,1.4606162e-34,429.0032349434666,429.0032349434666,49.99812,429.0032349434666,43.903333333333336,0.0033333336,1,510371.2357649533
1.0,4168001.7193160756,0.01,300,2031.3351,3.5044917e-18,1801.1777,2221.988,100,,300.0,0.01,100.0,1.0,1.0,2221.9880095541484,2221.9880095541484,1.0,2221.9880095541484,222.91,0.009999998,2,4168001.7193160756
1.0,3828156.4727427983,0.005,300,1951.6699,2.179301e-19,1830.3724,2127.9304,100,,300.0,0.005,200.00000010221265,1.0,1.0,2127.9305053344633,2127.9305053344633,1.0,2127.9305053344633,213.535,0.0049999994,2,3828156.4727427983
6.846425e+33,510371.2357649533,6.1270585e-37,400,6939.7573,0.0020443737,-inf,742.91833,100,inf,5043334456.654348,0.73937535,,3.0865806e+31,0.005673498,2171.8742276836892,429.0032349434666,7.9312606e-08,429.0032349434666,43.903333333333336,0.0033333334,,3802528.025186918
142.61829,565046.6665006303,,400,6760.2764,0.0004549934,2670.037,4256.1855,100,105.308876,7.038576389499541,0.2964458,5.433531458028969,1.202735,,427.19859633962733,427.19859633962733,56.829674,427.19859633962733,43.72,0.0025000004,1,565046.6665006303
1.0,3705822.150402726,0.01,400,1915.4017,3.5044917e-18,1813.3479,2234.1584,100,,400.0,0.01,100.0,1.0,1.0,2234.1586018844164,2234.1586018844164,1.0,2234.1586018844164,224.17,0.009999998,2,3705822.150402726
1.0,3756810.1758538885,0.005,400,1933.3975,2.179301e-19,1871.9293,2169.4873,100,,400.0,0.005,200.00000010221265,1.0,1.0,2169.4873132951657,2169.4873132951657,1.0,2169.4873132951657,217.71,0.0049999994,2,3756810.1758538885
1.0,3810727.726738209,0.0033333334,400,1948.8523,5.4391416e-20,2019.2407,2262.1958,100,,400.0,0.0033333334,299.999969473632,1.0,1.0,2262.195725726489,2262.195725726489,1.0,2262.195725726489,226.96666666666667,0.0033333336,2,3810727.726738209
inf,565046.6665006303,nan,500,nan,nan,nan,nan,100,nan,233002667.53466925,nan,nan,inf,0.0070117237,2243.431448751244,427.19859633962733,2.1458982e-06,427.19859633962733,43.72,nan,,3727752.6447981894
