SamplesThisIter,VarVanillaIw,Bound,delta,AvgVanillaIw,MinVanillaIw,VarNormIw,VarRet,J,MaxNormIw,ESSClassic,AvgDiscRet,MaxVanillaIw,EpsThisIter,BatchSize,IterType,AvgNormIw,renyi2,VarDiscRet,VarJ,VanillaAvgRet,ESSRenyi,AvgRet,AvgEpLen,MinNormIw
50000,1.5893882e+25,679.8383,1.0,5334250000.0,,2.467934e-07,3707.9092547294586,31115.766,0.42757544,1.9999998845741087,49.792065109816946,3431318000000000.0,8358,100,1,6.6469914e-07,nan,3707.9092547294586,19634.463,49.792065109816946,nan,49.792065109816946,5.982292414453219,
50000,369178440000.0,1379.7565,1.0,711.9125,,3.3501033e-07,4798.904268357515,38444.086,0.49698606,1.9999988736642156,51.00234115321035,521714900.0,8192,100,1,6.781684e-07,nan,4798.904268357515,58375.652,51.00234115321035,nan,51.00234115321035,6.103515625,
50000,1.24799355e+20,899.7979,1.0,14074004.0,,3.9572717e-07,6705.468041564953,47647.52,0.4996646,1.9999993323438627,61.29007585825638,8873333000000.0,7010,100,1,7.925186e-07,nan,6705.468041564953,28094.334,61.29007585825638,nan,61.29007585825638,7.132667617689016,
50000,inf,2219.58,1.0,7729781500000000.0,,5.001395e-07,15903.759124890386,83986.59,0.49999994,1.9999998408378712,79.97834881097211,3.863808e+21,5554,100,1,1.0002801e-06,nan,15903.759124890386,63342.215,79.97834881097211,nan,79.97834881097211,9.002520705797624,
50000,436280500000.0,nan,1.0,1665.5358,,2.642461e-07,24081.71928000326,nan,0.30021334,1.8160376114757397,106.60339071323156,385752400.0,4286,100,1,1.2962097e-06,nan,24081.71928000326,nan,106.60339071323156,nan,106.60339071323156,11.665888940737284,
50000,3.21425e+31,nan,1.0,8639843700000.0,,5.787485e-07,43000.531468043184,nan,0.4996028,1.999998839494357,94.30164885678968,3.7232317e+18,4792,100,1,1.1593398e-06,nan,43000.531468043184,nan,94.30164885678968,nan,94.30164885678968,10.434056761268781,
50000,15916077000.0,2279.7168,1.0,284.0989,,1.1377373e-07,8208.488214890036,112505.43,0.18799648,1.9429883084320945,58.32645902919959,70314800.0,7314,100,1,7.5957837e-07,nan,8208.488214890036,107248.664,58.32645902919959,nan,58.32645902919959,6.836204539239814,
50000,2.996722e+31,4999.255,1.0,12336945000000.0,,5.986804e-07,164689.79657085062,424818.47,0.40281817,2.0000001247598322,146.90569227324872,2.849935e+18,3186,100,1,1.7437402e-06,nan,164689.79657085062,150402.4,146.90569227324872,nan,146.90569227324872,15.693659761456372,
50000,3906490000.0,4999.3223,1.0,235.90752,,1.3223246e-06,405910.2489011369,285839.3,0.38375312,2.0002401147390545,380.57599805607776,20858168.0,1280,100,1,4.3402774e-06,nan,405910.2489011369,78129.1,380.57599805607776,nan,380.57599805607776,39.0625,
50000,inf,4999.2324,1.0,2.6043474e+20,,1.855779e-06,645514.4405050813,288878.38,0.49986297,2.0000000879919617,324.29413393269755,3.5055323e+25,1496,100,1,3.7136067e-06,nan,645514.4405050813,43738.723,324.29413393269755,nan,324.29413393269755,33.42245989304813,
50000,inf,39.975975,1.0,2.3265182e+19,,1.797215e-07,100.01466166980381,5083.558,0.5,2.00000019205902,22.335392853098853,3.23628e+25,15456,100,1,3.594433e-07,nan,100.01466166980381,2318.348,22.335392853098853,nan,22.335392853098853,3.2349896480331264,
50000,3.2433028e+18,nan,1.0,2490617.2,,7.6752485e-08,4636.730137424923,nan,0.26518118,1.4127519532745276,24.467600118452516,1723813300000.0,14500,100,1,3.8314175e-07,nan,4636.730137424923,nan,24.467600118452516,nan,24.467600118452516,3.4482758620689653,
50000,1.3063755e+31,4478.9473,1.0,6412195000000.0,,5.7617562e-08,8816.14995218458,261089.52,0.21888128,1.4163490644783778,28.30901158864085,3.295833e+18,13046,100,1,4.258436e-07,nan,8816.14995218458,31919.932,28.30901158864085,nan,28.30901158864085,3.832592365476008,
50000,1.6036375e+22,nan,1.0,201145550.0,,6.3073276e-07,103340.04212414013,nan,0.49999774,1.9999998535727475,103.5046958972648,79725690000000.0,4404,100,1,1.2614793e-06,nan,103340.04212414013,nan,103.5046958972648,nan,103.5046958972648,11.353315168029065,
50000,2.5148726e+17,nan,1.0,774903.9,,4.7185418e-07,98356.48436870435,nan,0.47111103,1.9971384042700893,85.50358605043479,343935750000.0,5234,100,1,1.0614359e-06,nan,98356.48436870435,nan,85.50358605043479,nan,85.50358605043479,9.552923194497517,
50000,37216.164,4999.367,1.0,1.6149677,,4.200095e-07,996891.4146644508,327386.72,0.18576792,2.480253650249362,478.41956858662036,55297.69,1024,100,1,5.425347e-06,nan,996891.4146644508,97131.04,478.41956858662036,nan,478.41956858662036,48.828125,
50000,3.1182279e+29,4999.345,1.0,2065647900000.0,,3.4208826e-06,1045819.6429831012,478757.06,0.49999982,2.000000035274722,605.9374855712247,1.509575e+17,812,100,1,6.8418167e-06,nan,1045819.6429831012,68665.734,605.9374855712247,nan,605.9374855712247,61.576354679802954,
50000,inf,nan,1.0,1.5008074e+19,,1.83472e-06,733384.5362975668,nan,0.49999988,1.9999998727833903,320.3635646534085,2.0449997e+24,1514,100,1,3.6694553e-06,nan,733384.5362975668,nan,320.3635646534085,nan,320.3635646534085,33.02509907529723,
50000,inf,4999.341,1.0,6.2687274e+17,,4.1830262e-06,1313195.550235475,548136.1,0.49922565,2.0000000055890244,745.3430787235867,3.7291237e+22,662,100,1,8.392078e-06,nan,1313195.550235475,38147.76,745.3430787235867,nan,745.3430787235867,75.52870090634441,
50000,4.845543e+32,4819.165,1.0,145547630000000.0,,6.642814e-06,519786.7926564953,558341.75,0.43696702,1.959311460599156,1523.5215204233562,3.7320193e+18,326,100,1,1.7041584e-05,nan,519786.7926564953,17890.488,1523.5215204233562,nan,1523.5215204233562,153.37423312883436,
50000,2.783467e+33,4999.022,1.0,362992480000000.0,,8.436383e-06,915387.924831594,637660.56,0.45752454,1.9999969652888352,1788.3351776567617,8.310541e+18,278,100,1,1.9984012e-05,nan,915387.924831594,22427.277,1788.3351776567617,nan,1788.3351776567617,179.85611510791367,
50000,inf,nan,1.0,8.243525e+16,,8.204563e-06,888863.135755817,nan,0.44863632,1.9751561509354445,1801.3198495557463,1.8373376e+21,276,100,1,2.0128824e-05,nan,888863.135755817,nan,1801.3198495557463,nan,1801.3198495557463,181.15942028985506,
50000,4.1394447e+31,nan,1.0,34155237000000.0,,3.5173382e-06,1011448.9872766213,nan,0.41127676,1.9999979837220025,885.8990844190803,1.4109062e+18,558,100,1,9.956193e-06,nan,1011448.9872766213,nan,885.8990844190803,nan,885.8990844190803,89.60573476702508,
50000,1.2738069e+26,3479.5483,1.0,65986454000.0,,4.7936855e-06,244728.4058958215,418386.66,0.42849714,1.9992892409835303,1141.9285160453724,2208843400000000.0,434,100,1,1.2800819e-05,nan,244728.4058958215,15485.566,1141.9285160453724,nan,1141.9285160453724,115.2073732718894,
50000,9.4667445e+29,nan,1.0,1053537000000.0,,2.6167012e-07,34426.770017027375,nan,0.48587006,1.998812630672475,39.8371944644758,9.2415196e+17,10030,100,1,5.5389387e-07,nan,34426.770017027375,nan,39.8371944644758,nan,39.8371944644758,4.985044865403789,
50000,inf,4999.1733,1.0,5.8769873e+19,,2.2843378e-06,519335.2931309382,360623.8,0.4999991,1.9999999543910378,401.15620817707963,6.4317634e+24,1216,100,1,4.5687134e-06,nan,519335.2931309382,48474.605,401.15620817707963,nan,401.15620817707963,41.11842105263158,
50000,inf,4999.188,1.0,1.106085e+16,,1.909572e-06,340081.15959268325,321401.78,0.4998875,1.9999998630701292,333.82933980234077,1.447097e+21,1454,100,1,3.8208773e-06,nan,340081.15959268325,64982.457,333.82933980234077,nan,333.82933980234077,34.3878954607978,
50000,30913342.0,4160.026,1.0,15.875407,,1.6472245e-06,243303.98427729434,138803.12,0.47406906,2.001021833508857,319.7447150429079,2053705.5,1516,100,1,3.6646159e-06,nan,243303.98427729434,81562.125,319.7447150429079,nan,319.7447150429079,32.98153034300792,
50000,9.415658e+17,4998.897,1.0,1618457.4,,6.9548463e-07,55812.92768788302,128720.66,0.49999905,1.9999999363805814,115.14850030360283,581769560000.0,3994,100,1,1.3909753e-06,nan,55812.92768788302,141393.75,115.14850030360283,nan,115.14850030360283,12.518778167250876,
50000,2219094200000000.0,529.61584,1.0,75419.48,,4.6954403e-07,7049.167491136191,27197.21,0.46095267,1.999999935391961,88.69247213504376,31688819000.0,5064,100,1,1.097069e-06,nan,7049.167491136191,13720.351,88.69247213504376,nan,88.69247213504376,9.873617693522906,
50000,inf,539.89825,1.0,1.0879162e+16,,9.21853e-07,4484.126981201785,47992.785,0.4995641,2.000000057532334,156.15352657020622,2.942639e+21,3008,100,1,1.8469266e-06,nan,4484.126981201785,7802.958,156.15352657020622,nan,156.15352657020622,16.622340425531913,
50000,inf,449.90665,1.0,3.0316106e+19,,8.453294e-07,4566.9589727008415,49603.23,0.4796974,1.9999998544553255,154.9473789592516,7.931511e+24,3030,100,1,1.8335165e-06,nan,4566.9589727008415,5417.0156,154.9473789592516,nan,154.9473789592516,16.501650165016503,
50000,1.2070961e+24,419.8631,1.0,2753375700.0,,5.5043284e-07,4641.536849835868,42866.227,0.35745502,1.9999999729717546,157.2644985538409,529346430000000.0,2988,100,1,1.8592889e-06,nan,4641.536849835868,7263.03,157.2644985538409,nan,157.2644985538409,16.733601070950467,
50000,2.7375018e+16,529.8736,1.0,610170.3,,2.531651e-07,4719.678256629281,45075.97,0.18869571,3.3934592570480584,156.93085403314404,62049374000.0,2994,100,1,1.855563e-06,nan,4719.678256629281,8124.2324,156.93085403314404,nan,156.93085403314404,16.7000668002672,
50000,inf,469.72864,1.0,2.0778146e+16,,8.8168986e-07,4665.616340828235,49714.75,0.4882625,2.000000086878038,156.26556192870075,5.489359e+21,3006,100,1,1.8481554e-06,nan,4665.616340828235,5997.5747,156.26556192870075,nan,156.26556192870075,16.633399866932802,
50000,1.8519463e+16,319.68777,1.0,137964.1,,1.357727e-07,259.247126460401,10294.229,0.41847122,1.92724187138796,23.60383873302895,154551620000.0,14872,100,1,3.7355807e-07,nan,259.247126460401,9179.555,23.60383873302895,nan,23.60383873302895,3.3620225927918237,
50000,3.91341e+25,309.81274,1.0,7547009500.0,,9.432472e-08,277.6013715137684,15575.027,0.30354837,1.4481000184314408,23.33177521943684,6182908000000000.0,14994,100,1,3.705186e-07,nan,277.6013715137684,10408.031,23.33177521943684,nan,23.33177521943684,3.334667200213419,
50000,2.0496278e+19,249.9187,1.0,4084671.5,,1.7608353e-07,366.37287602945185,8263.828,0.48203394,1.9983657640661088,24.057323535972298,5200627600000.0,14674,100,1,3.7859854e-07,nan,366.37287602945185,11683.885,24.057323535972298,nan,24.057323535972298,3.4073872154831677,
50000,inf,265.83115,1.0,3.7811497e+17,,1.9030753e-07,359.9026092438424,12184.809,0.4999958,1.9999998815700806,24.24066889015277,4.9670276e+23,14596,100,1,3.8062177e-07,nan,359.9026092438424,13152.827,24.24066889015277,nan,24.24066889015277,3.4255960537133463,
50000,104057100000.0,289.85577,1.0,289.33658,,1.9793234e-07,684.5749417054371,8544.727,0.49800122,2.0000188284420335,25.89839749403173,361083700.0,13922,100,1,3.990489e-07,nan,684.5749417054371,16057.023,25.89839749403173,nan,25.89839749403173,3.5914380117799167,
50000,1.4516774e+25,349.80548,1.0,3394706000.0,,1.9763013e-07,630.1660943247226,14449.768,0.4994761,2.0000000956196744,25.632213214208253,4280783000000000.0,14026,100,1,3.9608977e-07,nan,630.1660943247226,12116.797,25.632213214208253,nan,25.632213214208253,3.5648082133181234,
50000,5.2092604e+23,419.82715,1.0,697345540.0,,1.6834909e-07,646.8044649021205,15711.471,0.45910698,1.9999995827918913,25.662689910541342,807600400000000.0,14014,100,1,3.9642896e-07,nan,646.8044649021205,19493.393,25.662689910541342,nan,25.662689910541342,3.5678607107178535,
50000,1.3091231e+32,312.104,1.0,10126030000000.0,,1.9581105e-07,595.876847281125,16935.852,0.5,2.000000022337723,25.228831945852978,1.2928307e+19,14186,100,1,3.9162242e-07,nan,595.876847281125,15394.544,25.228831945852978,nan,25.228831945852978,3.524601720005639,
50000,inf,539.7432,1.0,200942280000000.0,,3.6102898e-07,4745.287871741849,27381.148,0.49999866,1.9999998716590512,54.95745685541054,1.3914412e+20,7694,100,1,7.220633e-07,nan,4745.287871741849,16834.67,54.95745685541054,nan,54.95745685541054,6.498570314530803,
50000,529322150000.0,309.71484,1.0,1183.5848,,1.8077105e-07,4042.929281134893,15971.473,0.30440268,1.9999998711687081,52.22401529043039,520887650.0,8032,100,1,6.9167754e-07,nan,4042.929281134893,15451.44,52.22401529043039,nan,52.22401529043039,6.225099601593626,
50000,inf,459.87283,1.0,49480355000000.0,,5.9823225e-07,7224.8608222486855,42546.234,0.49939084,1.999999946307704,97.89877437265379,2.060224e+19,4632,100,1,1.1993858e-06,nan,7224.8608222486855,7551.5825,97.89877437265379,nan,97.89877437265379,10.79447322970639,
50000,1.9421679e+22,379.75443,1.0,266344700.0,,9.13136e-07,4530.528992234868,37346.14,0.49999878,2.0000001549721644,154.29591493370035,72919680000000.0,3042,100,1,1.8262841e-06,nan,4530.528992234868,5697.0894,154.29591493370035,nan,154.29591493370035,16.43655489809336,
50000,295992700000000.0,509.72256,1.0,39531.83,,6.194412e-07,5302.767664878333,39465.227,0.40764254,1.9934985448743077,152.6915230505791,8910871000.0,3072,100,1,1.8084493e-06,nan,5302.767664878333,8050.326,152.6915230505791,nan,152.6915230505791,16.276041666666668,
50000,2890.6523,359.83508,1.0,0.76582605,,1.6790267e-08,4439.634867201804,32304.008,0.05163782,2.836961535063163,156.0422789742779,21425.8,3010,100,1,1.8457e-06,nan,4439.634867201804,7677.5474,156.0422789742779,nan,156.0422789742779,16.611295681063122,
50000,1.1519818e+31,509.73105,1.0,6514105000000.0,,9.199256e-07,4855.900601467947,50309.348,0.49987063,1.999999905780046,155.60226262975695,1.7689034e+18,3018,100,1,1.8408069e-06,nan,4855.900601467947,7882.126,155.60226262975695,nan,155.60226262975695,16.56726308813784,
50000,inf,nan,1.0,1.3817342e+17,,4.6367714e-07,4639.259781993934,nan,0.27544698,2.0000000181198354,156.15178909629506,2.060691e+22,3008,100,1,1.8469267e-06,nan,4639.259781993934,nan,156.15178909629506,nan,156.15178909629506,16.622340425531913,
50000,inf,529.8099,1.0,48969065000000.0,,8.605139e-07,5593.830618307775,42892.223,0.49999675,1.9999998584612735,144.82430931304677,1.4226401e+19,3228,100,1,1.7210521e-06,nan,5593.830618307775,6704.258,144.82430931304677,nan,144.82430931304677,15.489467162329616,
50000,1275255300.0,nan,1.0,69.90853,,9.130171e-07,6621.944686275157,nan,0.49401376,2.000051705715458,158.27744580786486,18462826.0,2970,100,1,1.8705579e-06,nan,6621.944686275157,nan,158.27744580786486,nan,158.27744580786486,16.835016835016834,
50000,1.4472439e+31,1409.5682,1.0,8526674500000.0,,1.2556453e-06,34218.94864065211,126514.46,0.49997458,2.000000207619181,215.94610616932496,1.697404e+18,2212,100,1,2.5115532e-06,nan,34218.94864065211,23497.865,215.94610616932496,nan,215.94610616932496,22.60397830018083,
50000,2.6302626e+30,nan,1.0,5269325000000.0,,2.2897457e-06,134790.3570323881,nan,0.48239696,1.9999999173829432,432.3486467250273,5.1702377e+17,1130,100,1,4.91642e-06,nan,134790.3570323881,nan,432.3486467250273,nan,432.3486467250273,44.24778761061947,
50000,6349.907,2958.913,1.0,1.1660777,,3.563306e-07,170022.93742707194,205085.78,0.13819663,2.1577504847845046,775.9615630041275,18448.225,636,100,1,8.73515e-06,nan,170022.93742707194,36529.8,775.9615630041275,nan,775.9615630041275,78.61635220125787,
50000,inf,1899.6318,1.0,1.4787894e+21,,3.774483e-06,144137.9317550459,239067.81,0.44447154,1.999999823554634,837.2531111522957,6.980312e+25,590,100,1,9.416195e-06,nan,144137.9317550459,8163.963,837.2531111522957,nan,837.2531111522957,84.7457627118644,
50000,141223.97,2007.0776,1.0,4.0545483,,7.514594e-07,192449.68006347097,204647.75,0.17399679,2.1239611746746285,831.5255093204787,75429.75,594,100,1,9.352788e-06,nan,192449.68006347097,20964.676,831.5255093204787,nan,831.5255093204787,84.17508417508418,
50000,1.5380302e+21,3989.1245,1.0,277946100.0,,1.753296e-06,185759.41364187945,324752.3,0.26009658,1.4483639969069302,834.3704119394021,7703524000000.0,592,100,1,9.3843855e-06,nan,185759.41364187945,20276.895,834.3704119394021,nan,834.3704119394021,84.45945945945945,
50000,inf,489.8228,1.0,567839000000000.0,,6.325184e-07,2938.0388858654987,35237.895,0.49979466,2.0000002189499866,103.8789391938535,2.2415886e+20,4388,100,1,1.2660792e-06,nan,2938.0388858654987,7450.2837,103.8789391938535,nan,103.8789391938535,11.394712853236099,
50000,inf,389.87668,1.0,1.8049717e+19,,6.554245e-07,2478.7337985051863,31010.66,0.4967884,1.9999999470290224,109.43107671227847,6.7531443e+24,4184,100,1,1.3278096e-06,nan,2478.7337985051863,5321.553,109.43107671227847,nan,109.43107671227847,11.950286806883366,
50000,3.0439044e+23,2039.2751,1.0,605992000.0,,3.0160112e-07,17243.193942759877,79535.08,0.4999976,1.9999998295180526,44.26829801666738,502304340000000.0,9210,100,1,6.032091e-07,nan,17243.193942759877,68306.62,44.26829801666738,nan,44.26829801666738,5.4288816503800215,
50000,1164286800000.0,1409.6471,1.0,1438.375,,4.42092e-07,42787.18650516318,39028.137,0.49939296,2.0027680668153804,69.74519676723237,810431000.0,6268,100,1,8.8633635e-07,nan,42787.18650516318,47675.58,69.74519676723237,nan,69.74519676723237,7.97702616464582,
50000,1119661.2,1584.0057,1.0,2.5550103,,1.294016e-07,40873.41422530764,41146.723,0.2718038,2.024062232095372,68.14927099072808,799519.6,6396,100,1,8.68598e-07,nan,40873.41422530764,57402.37,68.14927099072808,nan,68.14927099072808,7.817385866166354,
50000,7315275000.0,2468.744,1.0,132.7934,,3.468138e-07,41237.17860417181,55999.53,0.4309423,2.000021090916158,72.25953166179511,62587252.0,6076,100,1,9.1434435e-07,nan,41237.17860417181,71153.164,72.25953166179511,nan,72.25953166179511,8.229098090849243,
50000,78659.99,1816.5393,1.0,1.2182705,,1.7584162e-07,92330.51352185337,56804.156,0.21950294,2.1302706715981046,153.88672797355264,146810.27,3050,100,1,1.8214932e-06,nan,92330.51352185337,51181.516,153.88672797355264,nan,153.88672797355264,16.39344262295082,
50000,inf,3069.0928,1.0,1.4974848e+18,,4.0571667e-06,141613.4196902896,273346.7,0.49829486,1.9999765587243195,725.117151836867,9.133353e+22,680,100,1,8.169935e-06,nan,141613.4196902896,16758.576,725.117151836867,nan,725.117151836867,73.52941176470588,
50000,inf,nan,1.0,7.603127e+18,,4.2274264e-06,113160.47034194708,nan,0.49729532,1.9999678825191383,759.0502192428514,4.4237692e+23,650,100,1,8.547008e-06,nan,113160.47034194708,nan,759.0502192428514,nan,759.0502192428514,76.92307692307692,
50000,inf,nan,1.0,357180900000000.0,,2.606113e-06,104217.05567478947,nan,0.35510078,1.7684142260550846,812.1883595978708,1.3880846e+19,608,100,1,9.137427e-06,nan,104217.05567478947,nan,812.1883595978708,nan,812.1883595978708,82.23684210526316,
50000,2695.5408,3029.139,1.0,1.125992,,1.7181192e-07,181226.31181425301,222963.22,0.07042211,3.903525290823549,798.8553967154186,8820.746,618,100,1,8.989572e-06,nan,181226.31181425301,36511.676,798.8553967154186,nan,798.8553967154186,80.90614886731392,
