AvgNormIw,VarDiscRet,VarRet,ESSClassic,Delta,IterType,MinVanillaIw,Bound,ESSRenyi,VarVanillaIw,MaxNormIw,VarNormIw,AvgDiscRet,BatchSize,J,VarJ,AvgVanillaIw,EpsThisIter,MinNormIw,eRenyi2,AvgRet,MaxVanillaIw,VanillaAvgRet,AvgEpLen
0.01,10464.2007747,10464.2007747,58.5031689905,0.1,1,0.107313,30.8942,72.4223279777,1.06686,0.0571825,7.16474e-05,153.812071012,100,210.092,156.007,1.22026,100,0.000879425,1.38079,153.812071012,6.97775,153.812071012,16.78
0.01,19230.9828473,19230.9828473,81.4106599178,0.1,1,0.223697,-48.0582,84.3714436036,0.271534,0.0250248,2.30647e-05,192.716805102,100,239.167,186.493,1.08502,100,0.00206168,1.18524,192.716805102,2.71524,192.716805102,20.96
0.01,12696.5890713,12696.5890713,3.92507319172,0.1,1,0.0400593,102.056,37.5654717193,58.5946,0.499713,0.00247245,202.282672782,100,402.695,818.715,1.53945,100,0.000260219,2.66202,202.282672782,76.9283,202.282672782,21.97
0.01,23458.8427969,23458.8427969,65.7719067632,0.1,1,0.159336,-20.1553,75.0757056945,0.600245,0.0468222,5.25662e-05,254.080435284,100,328.655,374.163,1.06859,100,0.00149109,1.33199,254.080435284,5.00337,254.080435284,27.52
0.01,19829.7720121,19829.7720121,82.1613439758,0.1,1,0.0779136,61.088,83.4081512931,0.220999,0.0232999,2.1931e-05,291.010554819,100,336.645,185.218,1.00384,100,0.000776154,1.19892,291.010554819,2.33894,291.010554819,31.47
0.01,22883.618976,22883.618976,23.3635514588,0.1,1,0.0601145,-41.9056,50.4241197848,3.8592,0.176675,0.00033133,280.782055909,100,460.235,1304.77,1.07924,100,0.000557008,1.98318,280.782055909,19.0675,280.782055909,30.36
0.01,38509.586836,38509.586836,2.61525100206,0.1,1,0.00764719,250.543,30.2827885438,131.011,0.615269,0.00376134,350.721486157,100,1055.68,2625.5,1.86631,100,4.09749e-05,3.30221,350.721486157,114.828,350.721486157,37.93
0.01,59742.3022586,59742.3022586,72.8894437622,0.1,1,0.0559276,12.9982,79.9213953638,0.39058,0.0401737,3.75697e-05,411.906722549,100,487.901,456.976,1.01961,100,0.000548517,1.25123,411.906722549,4.09616,411.906722549,44.53
0.01,45788.9783518,45788.9783518,18.4319044759,0.1,1,0.00134508,172.13,37.6352626722,4.17899,0.140556,0.000447008,424.722661287,100,712.961,754.189,0.966892,100,1.39114e-05,2.65708,424.722661287,13.5902,424.722661287,45.86
0.01,66586.513629,66586.513629,66.3874444331,0.1,1,0.0676017,61.3545,79.4753867749,0.472374,0.0405603,5.11424e-05,466.312749878,100,558.584,425.058,0.961065,100,0.000703404,1.25825,466.312749878,3.89811,466.312749878,50.35
0.01,73629.141989,73629.141989,3.2572929685,0.1,1,0.00784396,341.036,32.7663156066,98.051,0.55016,0.00300003,567.696546209,100,1077.35,1821.32,1.80785,100,4.33883e-05,3.05191,567.696546209,99.4608,567.696546209,61.29
0.01,99008.4678122,99008.4678122,90.828866768,0.1,1,0.348514,-100.567,92.6228405857,0.0986907,0.0217684,1.01991e-05,628.013852042,100,676.35,483.766,0.983685,100,0.00354294,1.07965,628.013852042,2.14133,628.013852042,67.82
