AvgNormIw,MaxVanillaIw,MinVanillaIw,ESSClassic,AvgEpLen,eRenyi2,AvgVanillaIw,BatchSize,VarJ,J,ESSRenyi,MaxNormIw,AvgRet,Bound,MinNormIw,VarDiscRet,VarVanillaIw,VarRet,VarNormIw,AvgDiscRet
0.01,63.362602,7.263003e-27,1.7833181517569017,4.41,22.032835,0.8657229,100,54.240906,39.131485,4.538680563328682,0.731904,34.07641874443197,17.052069,8.389524e-29,256.62887337303863,41.69452,256.62887337303863,0.005563156,2.2382096176443156e-15
0.01,133.63351,,1.514488241331138,7.01,34.71694,1.6581153,100,212.73521,135.88504,2.880438043178002,0.8059362,60.06512553675921,56.61174,,1501.5987997542213,180.59294,1501.5987997542215,0.0065685776,9.876544027065392e-15
0.009999999,55.544327,1.0255451e-12,3.9426080150016083,7.57,18.914976,1.3534459,100,184.95192,97.1523,5.286816085075016,0.41039193,65.66031464538821,18.707512,7.577289e-15,1963.7331453066809,45.081024,1963.7331453066809,0.0024610024,1.4210854715202004e-16
0.01,25.404692,,5.255335433900202,10.55,9.42187,0.85642844,100,224.12361,130.74849,10.613604044800839,0.2966353,95.44408088139417,49.50328,,3469.377612735808,13.356762,3469.377612735808,0.0018210381,1.4210854715202005e-15
0.01,76.44516,,1.2440210791021378,10.43,35.609917,0.85314196,100,222.64511,221.97806,2.808206513902735,0.8960427,94.23945525196342,98.57232,,3224.9443154160776,58.363758,3224.944315416078,0.008018639,-1.0231815394945442e-14
0.01,59.349384,,1.14815966092395,11.4,21.657152,0.6361337,100,108.54422,165.06857,4.6174122612143025,0.93297035,103.93787661862635,88.29565,,2949.928768078626,35.19201,2949.9287680786256,0.008696557,-2.0179413695586844e-14
0.010000002,36.10063,0.03819701,11.749838344957984,11.73,2.1372006,1.3113121,100,158.6295,20.668652,46.79017977215481,0.2753016,107.2367305198731,-26.41932,0.00029128848,6044.55596593567,13.045495,6044.55596593567,0.0007586623,8.242295734817162e-15
0.01,93.96568,,2.0442095559609026,11.13,27.130491,1.3900859,100,205.38097,139.75275,3.685889763431889,0.6759703,101.23690746378158,57.02703,,3096.5239100880517,93.53041,3096.5239100880526,0.0048402683,-4.263256414560601e-15
0.01,89.090744,2.0968416e-16,1.5857082514026917,10.72,27.141083,1.1265427,100,152.04478,104.45831,3.684451385773349,0.7908333,97.1367360157702,41.845234,1.861307e-18,2531.619640420641,79.560036,2531.619640420641,0.006269021,1.6271428648906295e-14
0.01,162.48563,3.4939247e-31,1.2373453130421443,10.8,20.891108,1.8089304,100,189.06621,162.20493,4.786725630348042,0.89824146,97.93688160253313,76.80086,1.9314865e-33,2729.604351558471,263.82153,2729.604351558471,0.008062446,1.5205614545266145e-14
