VarJ,VarNormIw,Delta,VarVanillaIw,AvgDiscRet,AvgNormIw,eRenyi2,VarDiscRet,ESSRenyi,J,MaxNormIw,BatchSize,IterType,MinVanillaIw,EpsThisIter,AvgEpLen,MaxVanillaIw,Bound,MinNormIw,ESSClassic,VarRet,AvgRet,VanillaAvgRet,AvgVanillaIw
160.848,0.000157186,0.1,1.77626,-313.050702843,0.01,2.67262,22396.0299037,37.4165103149,-150.007,0.0426272,100,1,2.12516e-08,100,385.49,4.53141,-354.591,1.99915e-10,39.1214622904,22396.0299037,-313.050702843,-313.050702843,1.06303
102.801,2.80455e-05,0.1,0.322028,-165.51700683,0.01,1.34186,21489.2373678,74.5233600208,-114.766,0.0202174,100,1,0.0231233,100,214.23,2.16641,-259.725,0.000215791,78.2686736471,21489.2373678,-165.51700683,-165.51700683,1.07156
66.3231,8.62603e-06,0.1,0.0854389,-100.096941045,0.01,1.08762,7711.64944123,91.9442486454,-87.9861,0.014103,100,1,0.237981,100,137.7,1.40357,-218.493,0.00239123,92.1321392458,7711.64944123,-100.096941045,-100.096941045,0.995227
65.0417,7.15459e-06,0.1,0.0698594,-96.5627112149,0.01,1.07481,7078.02940409,93.039377715,-87.6407,0.0132188,100,1,0.286944,100,132.88,1.30621,-217.38,0.00290387,93.3854854619,7078.02940409,-96.5627112149,-96.5627112149,0.988144
89.8943,1.38632e-07,0.1,0.00139761,-95.7229306869,0.01,1.00129,8084.4011499,99.8716097546,-95.563,0.0105515,100,1,0.869541,100,131.04,1.05944,-220.784,0.00866025,99.8629645908,8084.4011499,-95.7229306869,-95.7229306869,1.00406
58.1344,2.68164e-06,0.1,0.0283239,-84.3635027221,0.01,1.03002,4904.75894931,97.085920599,-80.4816,0.0124155,100,1,0.602183,100,118.03,1.27597,-207.474,0.00585939,97.4138148508,4904.75894931,-84.3635027221,-84.3635027221,1.02772
111.022,3.62345e-06,0.1,0.0369387,-114.452368675,0.01,1.04108,13947.0323539,96.0539768651,-110.658,0.0122889,100,1,0.154429,100,152.7,1.24077,-238.344,0.0015295,96.5369922099,13947.0323539,-114.452368675,-114.452368675,1.00967
81.4028,3.30434e-06,0.1,0.0336867,-92.6284129283,0.01,1.0353,8177.75632064,96.5904810924,-88.5539,0.0124434,100,1,0.496037,100,126.8,1.25639,-215.886,0.00491278,96.8323417618,8177.75632064,-92.6284129283,-92.6284129283,1.00969
100.136,1.30412e-07,0.1,0.00128553,-96.5477177976,0.01,1.00255,10349.9804288,99.7458852156,-96.2299,0.0112401,100,1,0.956223,100,131.14,1.11597,-221.532,0.0096311,99.8710661809,10349.9804288,-96.5477177976,-96.5477177976,0.992849
33.623,7.33055e-07,0.1,0.00743417,-71.5970684327,0.01,1.00896,1433.69626009,99.1123424558,-70.5069,0.0111898,100,1,0.796798,100,102.72,1.12686,-196.054,0.00791225,99.2795412669,1433.69626009,-71.5970684327,-71.5970684327,1.00704
74.8466,5.5609e-07,0.1,0.00563014,-85.5254533882,0.01,1.004,6011.70026234,99.6019298672,-85.0182,0.0133105,100,1,0.809066,100,118.91,1.33931,-210.409,0.00804076,99.4525124483,6011.70026234,-85.5254533882,-85.5254533882,1.00621
