MinVanillaIw,AvgNormIw,ESSRenyi,VarVanillaIw,MaxNormIw,VarDiscRet,AvgEpLen,BatchSize,VarRet,Bound,AvgDiscRet,AvgRet,MinNormIw,J,VanillaAvgRet,VarNormIw,MaxVanillaIw,ESSClassic,eRenyi2,VarJ,AvgVanillaIw
0.00691167,0.009999999,15.57262719174225,62.26914,0.457686,23392.691048747136,11.87,100,23392.691048747136,345.37558,108.63941649007496,108.63941649007496,4.0487597e-05,537.2671,108.63941649007496,0.0021367364,78.13194,4.513921079286728,6.421524,1713.1757,1.707108
,0.01,4.720341925158495,36.94093,0.5931138,120492.60721805278,26.5,100,120492.60721805278,582.4318,254.8966631309534,254.8966631309534,,1357.1036,254.8966631309534,0.0037070047,59.207996,2.652565772028745,21.184906,3518.2812,0.998257
1.2752197e-07,0.01,25.41240668100338,3.4527938,0.1365394,120761.06270872505,48.77,100,120761.06270872505,388.19443,477.485749349437,477.485749349437,1.2291402e-09,800.5373,477.485749349437,0.00032077718,14.165815,23.94810980572129,3.9350858,1568.8478,1.0374892
2.3692037e-05,0.01,55.60172641850351,0.80667907,0.038674917,191166.37334567445,67.83,100,191166.37334567445,475.27216,668.0404930357934,668.0404930357934,2.2837028e-07,829.6658,668.0404930357934,7.4950614e-05,4.012289,57.40492656435503,1.7985053,904.5114,1.0374396
4.2510064e-21,0.01,18.028040382290545,4.8502593,0.095445395,235639.32646744372,86.45,100,235639.32646744372,877.0287,854.2036220773307,854.2036220773307,4.1874797e-23,1334.8972,854.2036220773307,0.00047063798,9.689336,17.669982451364753,5.5469146,1030.839,1.0151706
7.858126e-19,0.010000002,3.9935334203100084,90.4013,0.64759636,559219.2624265555,115.07,100,559219.2624265555,1685.5532,1140.4439924875917,1140.4439924875917,5.415921e-21,3791.2854,1140.4439924875917,0.0042941896,93.96174,2.2981911810522053,25.040482,8301.462,1.4509306
6.461381e-07,0.009999999,38.74126075652485,1.3046442,0.048630267,919827.0068274098,142.6,100,919827.0068274098,1198.866,1415.5239777920758,1415.5239777920758,7.3025417e-09,1778.8839,1415.5239777920758,0.00016664392,4.3028674,37.73905911578768,2.5812273,1867.4388,0.8848126
0.10264425,0.01,56.13735657586945,1.6244663,0.06653281,926424.1838153636,172.08,100,926424.1838153636,1474.8079,1710.2977097051362,1710.2977097051362,0.00086109847,2034.2026,1710.2977097051362,0.00011432655,7.9308124,46.908001411498745,1.781345,2166.5227,1.1920152
0.0022607048,0.010000003,38.77927188272016,5.0630393,0.113914505,705490.7246368431,158.8,100,705490.7246368431,1407.4221,1577.4937708657721,1577.4937708657721,1.686181e-05,1987.1661,1577.4937708657721,0.00028166443,15.2728,26.395821334409302,2.5786972,2140.279,1.3407248
0.16467178,0.010000002,72.4620970710953,0.3377518,0.033719406,780564.5534292089,159.34,100,780564.5534292089,1258.9192,1582.9025239635673,1582.9025239635673,0.0016090474,1742.3777,1582.9025239635673,3.224756e-05,3.4508834,75.80058368497733,1.3800318,1072.0508,1.0234116
0.0013598194,0.010000002,60.50819885096132,0.48226574,0.037534766,830897.6335538588,169.36,100,830897.6335538588,1346.3506,1683.1905681763355,1683.1905681763355,1.5504353e-05,1887.3243,1683.1905681763355,6.269475e-05,3.2920115,61.70256203864859,1.6526686,1162.0867,0.8770566
0.010252126,0.010000002,57.83578035137999,0.8718116,0.066846915,872187.0626163371,160.99,100,872187.0626163371,1362.3446,1599.3951809788068,1599.3951809788068,9.971405e-05,1859.2283,1599.3951809788068,8.247219e-05,6.872883,55.05168468799034,1.7290335,1577.4664,1.0281526
0.09887168,0.01,21.756656826219135,56.479424,0.35225675,958965.6993287017,168.43,100,958965.6993287017,1869.2411,1673.791409312546,1673.791409312546,0.00047907728,2627.044,1673.791409312546,0.0013260435,72.69853,7.07823000810376,4.5962944,5644.087,2.063794
