Bound,MinVanillaIw,MinNormIw,ESSClassic,VarNormIw,VarVanillaIw,VarDiscRet,VanillaAvgRet,BatchSize,MaxNormIw,AvgDiscRet,AvgVanillaIw,AvgRet,eRenyi2,VarRet,MaxVanillaIw,J,AvgNormIw,ESSRenyi,VarJ,AvgEpLen
5.556273e-06,-8.37345378201685,500,1.6450206,-9.174633,-8.37345378201685,209.5302222629549,50.88888606010152,1.0882379,200.0,50.88888606010152,10.976588,0.002,3.076908,-8.37345378201685,9.90197e-19,-7.7737207,206.70654489770493,2.418888,5.3878495e-16,0.0056548445,,,,,,,,,,,,,,,,,,,,,
-867.7424,5.2481485e-22,5.2540566e-24,37.74039936757732,0.00016663442,1.6625988,5113440.000518177,-2091.3704890246295,100,0.037182353,-2091.3704890246295,0.9988755,-2091.3704890246295,2.650634,5113440.000518177,3.714054,-78.946815,0.01,37.72682237522335,207.6223,200.0
-287.16946,0.055923,0.0005619307,89.59062743117643,1.1736173e-05,0.11623633,243633.92816664794,-97.93710830477553,100,0.013618945,-97.93710830477553,0.99519384,-97.93710830477553,1.1228697,243633.92816664794,1.3553491,-18.470684,0.01,89.05752584530042,49.197044,200.0
-14.639244,0.012645246,0.0001272632,87.0759037584757,1.4992263e-05,0.14801852,98.57106309632555,-10.023855204169102,100,0.0138312485,-10.023855204169102,0.99362946,-10.023855204169102,1.1332242,98.57106309632555,1.3743136,-9.125822,0.01,88.2437876689402,8.427793,200.0
-9.916137,3.1961286e-10,3.77726e-12,44.595501786311,0.00012549279,0.8984906,59.685249772165655,-8.361999611971772,100,0.03054441,-8.361999611971772,0.84615,-8.361999611971772,1.8998616,59.685249772165655,2.584515,-6.65607,0.009999998,52.635413737198654,9.509073,200.0
-10.232782,0.627811,0.002903768,107.67774318298414,2.154257e-05,1.0070046,58.78986369270518,-8.930844001558397,200,0.047435768,-8.930844001558397,1.0810281,-8.930844001558397,1.4464847,58.78986369270518,10.25588,-8.33023,0.005,138.26624096453656,8.251157,200.0
-9.260133,3.8781413e-06,1.8278888e-08,127.29612235563592,1.4350244e-05,0.64596206,55.76121212718528,-8.046853108670167,200,0.01080348,-8.046853108670167,1.0608253,-8.046853108670167,1.6342295,55.76121212718528,2.292121,-7.3268914,0.005,122.38182887028736,9.354934,200.0
-9.182855,0.44029647,0.0014800729,293.5091825494576,2.4654068e-07,0.021817893,51.01916794118562,-7.912874401406045,300,0.0038216175,-7.912874401406045,0.99160993,-7.912874401406045,1.0200568,51.01916794118562,1.1368661,-7.8802614,0.0033333334,294.10125703865333,7.0103025,200.0
-9.733454,0.11623998,0.0002905891,368.1476945643411,5.4210824e-07,0.08674381,53.956908667755265,-8.67615343553834,400,0.003231326,-8.67615343553834,1.0000374,-8.67615343553834,1.0917714,53.956908667755265,1.2925787,-8.549773,0.0025,366.37707592623286,7.60965,200.0
-9.478785,0.5827715,0.0014460556,396.70138389193636,5.2098734e-08,0.008461624,57.93135387089144,-8.40493783939061,400,0.0026759845,-8.40493783939061,1.0075191,-8.40493783939061,1.0098995,57.93135387089144,1.0784422,-8.391981,0.0025,396.0790169472279,7.564101,200.0
