BatchSize,VarJ,VarRet,VarVanillaIw,AvgNormIw,VanillaAvgRet,VarNormIw,J,Delta,eRenyi2,IterType,VarDiscRet,MaxNormIw,AvgVanillaIw,AvgEpLen,MinNormIw,MaxVanillaIw,MinVanillaIw,AvgRet,EpsThisIter,Bound,ESSRenyi,ESSClassic,AvgDiscRet
100,172.506,130372.419906,1.08424,0.01,-1385.32358895,7.86063e-05,-1169.62,0.5,1.93577,1,130372.419906,0.0315429,1.17445,500.0,6.48013e-08,3.70454,7.61056e-06,-1385.32358895,100,-1442.45,51.6589715486,56.2365804683,-1385.32358895
100,75.7639,47279.5675455,0.238711,0.01,-1199.01921134,2.25976e-05,-1142.06,0.5,1.20503,1,47279.5675455,0.0178108,1.02779,500.0,0.000192582,1.83058,0.0197934,-1199.01921134,100,-1357.4,82.9856606859,81.7182868234,-1199.01921134
100,37.9897,6870.58444401,0.0501823,0.01,-1149.29944853,4.80533e-06,-1139.65,0.5,1.04642,1,6870.58444401,0.0132093,1.02191,500.0,0.00311428,1.34988,0.318252,-1149.29944853,100,-1297.85,95.5638811571,95.4587569277,-1149.29944853
100,69.9555,17429.2421914,0.0334224,0.01,-1145.53319289,3.33281e-06,-1136.82,0.5,1.03022,1,17429.2421914,0.0132097,1.00141,500.0,0.00394177,1.32284,0.394734,-1145.53319289,100,-1337.06,97.0669462288,96.805905971,-1145.53319289
100,14.0327,315.475542802,0.00316603,0.01,-1136.85853517,3.09983e-07,-1136.31,0.5,1.00403,1,315.475542802,0.0110452,1.01062,500.0,0.00772842,1.11625,0.781051,-1136.85853517,100,-1266.34,99.5989734023,99.6940737082,-1136.85853517
100,5.68346,33.6779320725,0.00025408,0.01,-1134.40125372,2.53379e-08,-1134.38,0.5,1.0002,1,33.6779320725,0.0107982,1.00138,500.0,0.00965557,1.08131,0.966892,-1134.40125372,100,-1252.26,99.9799887656,99.9749310629,-1134.40125372
100,28.2023,3337.58401805,0.0306046,0.01,-1143.13866413,3.11713e-06,-1138.39,0.5,1.02174,1,3337.58401805,0.0137679,0.990869,500.0,0.00301913,1.36422,0.299156,-1143.13866413,100,-1295.62,97.8720211896,97.0064084275,-1143.13866413
100,2.23363,5.29386418438,9.46672e-05,0.01,-1134.33533973,9.4882e-09,-1134.33,0.5,1.00008,1,5.29386418438,0.0102155,0.998868,500.0,0.00968277,1.0204,0.967181,-1134.33533973,100,-1249.77,99.9916322081,99.9906173267,-1134.33533973
100,468.133,4716.23616697,2.62483,0.01,-1121.55973892,0.00018725,-1037.7,0.5,1.83515,1,4716.23616697,0.107785,1.18397,500.0,0.00123491,12.7614,0.146209,-1121.55973892,100,-1194.23,54.4915362355,35.0413400091,-1121.55973892
100,103.628,9966.15319041,0.0126016,0.01,-1134.31230482,1.26267e-06,-1131.33,0.5,1.01669,1,9966.15319041,0.015753,0.999006,500.0,0.00796202,1.57373,0.795411,-1134.31230482,100,-1329.14,98.3586274596,98.7653897905,-1134.31230482
